科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
实收资本(或股本),"150,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00"
油气资产,,,,,,,,,,,,,,,,,
资本公积,"132,491,273.26","132,400,177.60","135,795,079.40","135,819,985.79","135,819,985.79","135,819,985.79","173,326,814.14","173,326,814.14","173,326,814.14","173,326,814.14","173,326,814.14","173,326,814.14","173,326,814.14","173,326,814.14","173,326,814.14","173,326,814.14","173,326,814.14"
无形资产,"30,927,693.31","29,577,667.04","28,546,873.34","28,239,995.47","27,920,391.99","27,723,034.70","27,320,838.71","27,058,192.73","26,791,877.70","26,521,870.69","26,635,347.84","26,446,452.87","26,258,949.14","26,070,054.83","25,353,221.18","25,184,376.44","24,977,071.00"
盈余公积,"7,002,973.86","8,474,788.94","9,223,916.74","9,456,994.63","9,248,871.13","9,223,916.74","9,860,118.26","9,860,118.26","9,860,118.26","9,860,118.26","11,502,036.60","11,502,036.60","11,502,036.60","11,590,519.86","11,502,036.60","11,822,887.52","11,502,036.60"
开发支出,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,,,
未分配利润,"170,649,082.11","206,941,822.57","226,490,525.12","229,988,117.91","230,155,712.48","239,586,100.15","246,934,118.55","249,568,264.46","253,817,467.20","259,662,230.12","266,177,537.22","269,685,073.19","274,405,731.42","279,391,328.60","257,337,038.23","260,866,983.47","267,075,766.39"
长期待摊费用,"5,325,128.09","6,686,240.88","9,990,050.28","10,526,881.49","10,008,592.27","9,168,125.87","8,850,807.41","8,760,825.85","9,053,955.18","9,341,329.75","10,310,645.42","9,634,644.47","12,215,562.00","11,969,969.51","13,368,793.43","12,944,579.52","14,434,864.79"
少数股东权益,"26,289,341.71","27,606,442.25","22,119,885.61","23,404,328.72","23,296,398.12","26,460,811.96","26,826,522.12","27,962,455.98","27,086,692.98","29,300,090.56","36,089,183.42","39,761,456.40","39,619,874.89","40,012,514.39","38,517,301.89","38,797,599.22","38,088,154.57"
递延所得税资产,"7,844,331.52","9,030,158.97","10,819,366.86","10,556,954.62","12,675,127.45","13,769,836.64","13,607,428.63","12,593,557.91","15,176,367.91","15,409,678.19","19,839,032.84","18,881,700.93","19,318,943.57","19,260,776.12","24,845,129.08","23,312,582.01","21,863,345.17"
外币报表折算价差,"-729,211.53","-1,558,412.56",,,,,,,,,,,,,,,
其他非流动资产,"97,536.82","98,422.26","101,728.38","62,453.86","101,640.13",,,,,,,,,,"1,244,380.21","1,194,380.21",
非正常经营项目收益调整,,,,,,,,,,,,,,,,,
非流动资产合计,"201,046,637.27","213,152,582.14","245,694,903.71","244,513,675.12","246,256,478.75","246,447,083.07","243,714,304.13","243,970,322.47","251,247,113.80","251,900,901.30","254,692,949.17","256,628,398.33","277,709,718.61","279,974,870.46","289,697,310.72","286,478,147.55","292,697,788.36"
所有者权益(或股东权益)合计,"485,703,459.41","523,864,818.80","542,557,490.41","546,992,694.15","546,768,990.68","558,525,149.36","655,804,195.72","659,593,406.34","663,285,865.00","671,789,180.76","687,472,458.92","693,648,723.72","698,871,587.37","704,237,211.88","680,255,938.81","684,901,515.96","689,901,132.28"
资产总计,"877,309,042.26","932,571,076.21","934,705,133.70","924,507,340.99","980,933,066.07","1,005,152,276.08","1,095,066,134.79","1,069,545,257.45","1,152,653,668.77","1,149,983,216.81","1,215,379,845.59","1,184,291,138.19","1,257,140,520.58","1,253,954,105.27","1,275,671,778.00","1,200,368,727.98","1,230,170,834.30"
负债和所有者(或股东权益)合计,"877,309,042.26","932,571,076.21","934,705,133.70","924,507,340.99","980,933,066.07","1,005,152,276.08","1,095,066,134.79","1,069,545,257.45","1,152,653,668.77","1,149,983,216.81","1,215,379,845.59","1,184,291,138.19","1,257,140,520.58","1,253,954,105.27","1,275,671,778.00","1,200,368,727.98","1,230,170,834.30"
