科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付其他与经营活动有关的现金,"19,426,919.21","35,691,892.91","37,475,845.62","29,936,724.06","36,739,658.76","55,578,809.45","17,642,878.19","34,740,318.19","46,544,358.00","86,042,693.32","25,739,677.73","49,785,709.58","72,704,154.66","60,820,351.79","39,211,963.96","38,975,467.69","54,143,734.15","92,476,363.61","50,689,188.23","48,351,149.47","95,124,208.40","94,167,849.36","40,398,972.95"
筹资活动现金流入小计,"394,220,895.62","343,091,615.34","314,751,669.00","179,031,153.80","268,750,698.20","363,750,698.20","379,280,341.56","475,946,793.40","584,691,572.80","624,691,572.80","1,135,376,000.00","1,243,906,702.10","1,392,268,442.16","1,535,525,503.57","105,000,000.00","233,000,000.00","403,000,000.00","728,956,996.00","140,840,953.09","443,609,012.82","498,133,368.80","685,632,799.88","105,285,083.99"
经营活动现金流出小计,"366,248,346.87","428,270,939.76","559,169,295.17","302,613,844.03","471,180,729.27","633,768,490.01","195,972,279.48","384,816,296.10","560,456,804.54","743,303,438.36","162,771,154.47","393,415,628.23","630,034,426.74","786,568,878.66","239,381,103.45","439,763,454.15","767,146,380.32","1,138,861,292.02","486,948,327.02","800,746,864.44","1,200,678,909.38","1,546,251,886.48","463,657,238.75"
偿还债务支付的现金,"338,624,015.81","320,838,214.00","267,902,909.80","124,538,096.20","219,593,555.40","298,115,221.40","113,166,666.00","155,233,332.00","289,993,598.00","322,160,264.00","95,176,901.20","351,921,174.80","363,807,991.20","396,273,419.08","251,840,239.90","371,940,239.90","401,940,239.90","643,340,239.90","101,522,500.00","242,639,382.78","383,846,163.75","450,156,078.71","52,513,190.00"
经营活动产生的现金流量净额,"86,416,488.98","65,256,604.08","98,850,990.51","25,326,790.69","71,421,555.58","102,435,380.63","6,704,361.07","32,701,813.61","96,172,358.95","99,268,726.87","169,496,119.40","161,156,108.41","201,378,439.95","66,268,793.31","31,068,856.25","55,872,727.36","91,394,937.60","116,387,790.80","34,516,852.64","58,697,325.05","225,323,370.95","257,563,652.31","20,106,311.36"
分配股利、利润或偿还利息支付的现金,"29,250,791.47","13,872,117.92","16,215,121.60","34,916,298.51","41,092,762.15","50,744,515.22","9,361,512.80","35,431,112.54","43,691,521.77","42,584,417.31","3,719,599.94","47,981,808.39","47,774,543.80","46,911,562.36","3,066,213.72","42,997,629.60","45,771,022.46","50,141,102.48","2,534,800.06","70,018,036.32","73,558,206.23","76,683,280.92","5,794,106.73"
收回投资收到的现金,,,,,,,,,,,,,,,"332,000,000.00","532,000,000.00","532,000,000.00","570,800,000.00","198,000,000.00","426,750,000.00","530,100,000.00","592,900,000.00","55,850,000.00"
支付其他与筹资活动有关的现金,"9,674,408.12","4,738,650.31","701,886.79","283,018.87","471,698.12","524,826.13","5,046,643.60","34,125,285.68","34,674,345.52","35,625,285.68","26,000,000.00","27,750,000.00","27,750,000.00","84,192,000.00",,"2,390,000.00","2,390,000.00","19,500,000.00","95,890.41","13,000,000.00","13,075,711.24","113,086,581.53","50,000,000.00"
取得投资收益收到的现金,,,,,,,,,,,,,,"10,314,432.43",,,,"9,914,545.24",,"1,862,376.40","2,776,344.49","6,584,769.63","6,679,793.15"
筹资活动现金流出小计,"377,549,215.40","339,448,982.23","284,819,918.19","159,737,413.58","261,158,015.67","349,384,562.75","127,574,822.40","224,789,730.22","368,359,465.29","400,369,966.99","124,896,501.14","427,652,983.19","439,332,535.00","527,376,981.44","254,906,453.62","417,327,869.50","450,101,262.36","712,981,342.38","104,153,190.47","325,657,419.10","470,480,081.22","639,925,941.16","108,307,296.73"
处置固定资产、无形资产和其他长期资产收回的现金净额,"74,595.69","59,325.74","47,816.25",,,,"5,900.00","547,749.49","547,749.49","9,868.00","17,094.02","17,094.02","17,094.02","47,891,116.23",,"790,688.12","117,404.02","1,165,001.87","700,278.80","2,107,633.42","2,239,489.80","3,839,667.43",
筹资活动产生的现金流量净额,"16,671,680.22","3,642,633.11","29,931,750.81","19,293,740.22","7,592,682.53","14,366,135.45","251,705,519.16","251,157,063.18","216,332,107.51","224,321,605.81","1,010,479,498.86","816,253,718.91","952,935,907.16","1,008,148,522.13","-149,906,453.62","-184,327,869.50","-47,101,262.36","15,975,653.62","36,687,762.62","117,951,593.72","27,653,287.58","45,706,858.72","-3,022,212.74"
处置子公司及其他营业单位收到的现金净额,"3,326,879.93",,,,"470,110.31",,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-2,060,477.25","2,610,446.23","5,736,230.09","394,675.64","1,358,237.06","830,200.17","-511,560.41","-1,815,877.73","23,612.59","-3,283,862.32","-4,256,579.30","-1,216,494.54","1,440,817.36","27,089,592.53","-12,531,941.01","-16,803,674.09","-16,907,111.77","-47,225,924.05","-27,403,074.84","8,909,595.36","27,440,163.02","25,516,046.51","-17,542,177.26"
收到其他与投资活动有关的现金,"514,259.92","509,225.63","675,006.01","320,817.55",,,,,,,,,,"81,578,493.00",,,,"69,006,516.96","40,455,784.00","40,455,784.00","124,686,553.23","40,455,784.00","156,413,065.69"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"3,915,735.54","568,551.37","722,822.26","320,817.55","470,110.31",,"5,900.00","547,749.49","547,749.49","9,868.00","17,094.02","17,094.02","17,094.02","139,784,041.66","332,000,000.00","532,790,688.12","532,117,404.02","650,886,064.07","239,156,062.80","471,175,793.82","659,802,387.52","643,780,221.06","218,942,858.84"
五、现金及现金等价物净增加额,"10,803,349.50","-269,105.15","1,765,620.56","-1,452,361.66","7,220,678.28","18,314,984.80","225,844,218.18","146,481,941.77","102,073,518.52","14,635,919.51","1,016,096,439.74","155,361,700.59","269,257,761.35","185,765,711.09","80,609,315.72","-64,092,234.09","-68,779,087.30","-50,414,863.23","105,956,980.17","-54,266,844.42","-29,589,153.52","20,788,879.61","-35,690,950.16"
购建固定资产、无形资产和其他长期资产支付的现金,"60,752,746.32","72,347,339.94","133,476,173.11","46,788,385.76","73,621,907.20","99,316,731.45","32,060,001.64","136,108,806.78","211,002,310.02","305,680,418.85","159,639,693.24","220,848,726.21","319,514,497.14","452,260,221.58","100,367,662.86","192,470,622.94","263,934,518.99","349,834,127.87","47,306,178.61","159,499,815.86","268,271,380.34","316,696,390.34","47,654,117.36"
期初现金及现金等价物余额,"21,422,225.60","32,225,575.10","31,956,469.95","33,722,090.51","33,722,090.51","33,722,090.51","52,037,075.31","52,037,075.31","52,037,075.31","52,037,075.31","90,939,570.46","66,672,994.82","66,672,994.82","66,672,994.82","252,438,705.91","252,438,705.91","252,438,705.91","252,438,705.91","202,023,842.68","202,023,842.68","202,023,842.68","202,023,842.68","222,812,722.29"
投资支付的现金,"33,323,472.67",,,,,,,,,,,,,"535,468,500.00",,"250,000,000.00","220,000,000.00","251,800,000.00","72,000,000.00","338,750,000.00","417,750,000.00","469,750,000.00","40,000,000.00"
期末现金及现金等价物余额,"32,225,575.10","31,956,469.95","33,722,090.51","32,269,728.85","40,942,768.79","52,037,075.31","277,881,293.49","198,519,017.08","154,110,593.83","66,672,994.82","1,107,036,010.20","222,034,695.41","335,930,756.17","252,438,705.91","333,048,021.63","188,346,471.82","183,659,618.61","202,023,842.68","307,980,822.85","147,756,998.26","172,434,689.16","222,812,722.29","187,121,772.13"
