科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
一年内到期的非流动负债,"35,000,000.00","270,000,000.00","270,000,000.00","230,000,000.00","220,000,000.00","167,870,000.00","167,870,000.00","278,000,000.00","263,000,000.00","352,000,000.00","87,000,000.00","200,000,000.00","200,000,000.00","295,000,000.00","295,000,000.00","23,520,000.00","23,520,000.00","463,520,000.00","470,000,000.00","340,000,000.00","340,000,000.00","60,000,000.00","30,000,000.00","30,000,000.00",,,,,,,,,,,,"160,000,000.00","160,000,000.00","50,000,000.00",,"818,181.80",,,
其他流动资产,"4,258,968.45","4,147,099.16","3,345,498.32",,,,,,,,,,,,,,,,,,,,,,,,,"140,370.35",,"622,140.01",,,,,,,,,,"21,841,227.59","15,599,242.27","8,065,912.44","8,775,972.24"
其他流动负债,"6,693,779.25","1,444,936.11","5,459,757.36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,698,614.40","10,690,014.40","6,004,725.13","8,899,058.01"
流动资产合计,"2,058,421,816.95","1,920,508,005.98","2,226,064,501.32","2,022,273,185.97","1,844,078,903.21","2,034,004,100.51","2,221,113,690.99","2,001,299,899.02","2,061,922,838.80","2,349,630,400.41","3,180,115,508.16","3,069,560,082.47","2,975,926,797.60","3,248,343,135.26","3,903,612,553.74","4,739,757,584.58","4,591,846,549.70","5,113,103,975.08","4,687,904,564.91","4,863,140,682.81","4,309,682,785.48","4,655,758,951.56","3,619,639,746.38","3,777,353,672.37","3,618,876,622.23","3,658,798,983.77","3,722,066,821.61","3,592,993,360.84","3,587,779,229.97","4,155,235,957.54","3,819,813,334.07","3,526,280,026.99","3,222,843,728.62","3,438,678,243.80","3,364,968,606.75","3,670,521,859.26","3,501,404,556.57","3,849,524,162.54","3,772,188,283.15","3,854,972,665.26","3,927,730,985.88","3,809,413,503.24","4,190,961,874.58"
流动负债合计,"1,424,051,640.34","1,597,752,626.16","1,841,098,255.87","1,782,008,484.74","1,656,026,554.61","1,701,505,379.60","1,869,420,341.63","1,695,329,758.07","1,668,117,217.52","1,742,706,683.54","2,107,491,783.09","2,065,424,633.98","2,035,264,576.78","2,524,524,353.98","3,218,264,052.47","3,855,877,823.81","3,648,540,344.55","4,711,510,308.96","4,496,830,111.55","4,224,152,662.26","3,783,345,791.59","4,133,862,455.21","3,197,984,199.86","3,304,250,104.53","3,235,166,597.42","3,549,796,091.53","3,499,726,783.24","3,860,652,211.70","3,721,472,454.67","3,090,001,725.70","2,895,212,273.61","3,099,402,225.23","2,757,547,960.20","3,045,025,418.37","3,007,670,472.91","3,510,732,289.18","3,301,780,486.07","3,868,922,450.31","3,618,551,832.34","3,726,627,100.39","3,584,923,298.57","3,558,970,812.61","3,973,255,806.53"
可供出售金融资产,"70,043,832.13","83,996,299.05","110,612,326.85","104,611,567.02","73,842,912.64","67,879,634.11","48,473,629.32","47,264,117.38","79,104,387.05","40,043,227.12","52,971,732.00","60,609,393.60","88,910,243.28","76,334,492.99","88,414,801.20","90,894,640.74","70,762,836.76","69,278,636.34","56,590,569.24","51,114,732.28","50,667,698.58","30,005,859.61","44,704,055.64",,,,,,,,,"287,578.71","287,578.71","287,578.71","287,578.71","287,578.71","287,578.71","287,578.71","287,578.71","402,810.23","402,810.23","402,810.23","60,402,810.23"
长期借款,"646,590,000.00","377,701,818.18","457,701,818.18","326,701,818.18","326,701,818.18","464,363,636.36","477,883,636.36","331,074,187.86","356,073,931.36","420,065,454.54","750,065,184.54","470,065,454.54","500,065,454.54","364,247,272.72","264,247,272.72","475,727,272.72","477,528,845.47","34,909,090.90","4,909,090.90","34,909,090.90","74,909,090.90","272,082,905.18","54,090,909.08","34,090,909.08","63,258,702.13","44,272,727.26","44,272,727.26","314,272,727.26","403,454,545.44","158,780,545.44","148,170,239.49","147,021,234.98","145,849,016.70","164,962,562.02","165,099,833.70","3,949,269.91","4,104,854.88","144,668,080.94","349,609,513.11","367,388,470.30","470,452,302.51","470,383,189.59","435,375,565.73"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
