科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
偿还债务支付的现金,"325,000,000.00","726,000,000.00","918,500,000.00","1,041,000,000.00","1,314,984,407.71","1,557,000,000.00","680,517,782.36","1,204,964,561.18","1,503,295,078.85","1,689,000,000.00","225,000,000.00","666,029,398.28","1,403,314,172.82","1,694,000,000.00","312,116,666.67","451,601,483.42","1,263,086,300.17","1,615,000,000.00","320,781,955.83","656,249,627.84","1,778,947,494.59","1,996,000,000.00","290,697,866.75"
经营活动产生的现金流量净额,"171,690,233.96","142,892,493.81","119,044,504.65","127,085,701.61","96,134,149.39","-915,719,201.25","-445,626,507.05","218,779,740.49","241,491,358.60","-57,258,862.88","104,322,725.13","548,711,100.18","517,627,840.68","699,320,640.88","184,487,978.80","417,528,076.10","515,394,705.90","677,243,941.24","8,681,043.58","75,473,186.63","29,967,988.95","471,156,743.10","1,693,187.80"
分配股利、利润或偿还利息支付的现金,"46,266,453.70","62,289,822.33","94,581,549.96","82,723,826.79","121,185,670.45","161,509,410.64","41,608,050.82","140,184,709.21","173,412,776.68","208,242,334.00","38,422,881.91","58,526,734.00","90,679,004.27","144,899,372.10","31,151,118.39","65,457,334.77","94,453,392.05","134,840,237.91","27,242,848.55","100,712,833.62","127,406,354.91","128,336,940.04","16,883,537.50"
收回投资收到的现金,,,,,,,"270,000,000.00","270,000,000.00","270,000,000.00",,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"200,379,094.88","516,857,736.84","658,151,381.87","439,521,950.46","618,307,882.82","1,078,925,597.10","118,435,017.20","196,372,390.22","289,655,268.33","540,492,293.43","97,433,051.87","144,449,469.09","174,450,500.09","704,249,705.69","72,675,480.91","123,380,169.32","193,175,388.18","665,313,209.12","108,571,437.62","214,205,707.15","339,251,194.72","831,055,496.13","126,081,399.01"
取得投资收益收到的现金,,,,,,,"795,407.26","70,273.97","795,407.26",,,,,,,,,"4,273,972.60","2,060,273.97","8,010,958.90","46,050,124.42","52,044,538.86","4,903,518.75"
筹资活动现金流出小计,"571,645,548.58","1,305,147,559.17","1,671,232,931.83","1,563,245,777.25","2,054,477,960.98","2,797,435,007.74","840,560,850.38","1,541,521,660.61","1,966,363,123.86","2,437,734,627.43","360,855,933.78","869,005,601.37","1,668,443,677.18","2,543,149,077.79","415,943,265.97","640,438,987.51","1,550,715,080.40","2,415,153,447.03","456,596,242.00","971,168,168.61","2,245,605,044.22","2,955,392,436.17","433,662,803.26"
处置固定资产、无形资产和其他长期资产收回的现金净额,"361,850.00","252,200.00","5,730,728.85",,,"16,000.00",,,,"4,406.15","5,000,000.00","8,000,000.00","8,340,000.00","8,350,000.00",,,,"670,000.00",,"7,000.00","157,000.00","178,864.08","11,000.00"
筹资活动产生的现金流量净额,"1,575,334,451.42","478,499,844.83","148,767,068.17","-61,479,693.92","7,996,816.94","2,193,815,242.82","-485,070,117.02","-961,024,652.62","-538,852,650.82","-644,873,469.03","-195,853,217.47","-655,686,630.34","-572,122,922.47","-825,149,077.79","-138,586,682.50","-313,224,029.12","-348,333,322.24","2,202,585,209.52","28,563,640.17","-205,884,903.82","-685,295,995.49","-727,652,673.57","-69,160,709.91"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"36,592,060.50","274,613,863.24","192,582,374.14","110,560,830.36","112,225,830.36","166,185,830.36","1,163,027.00","1,292,020.00","1,292,020.00","732,365,250.97",,"9,692,800.00","27,292,800.00","491,864,694.00","1,550,000.00","1,654,950.00","3,326,666.00","1,294,677,536.71","200,668,000.00","713,318,000.00","2,344,568,000.00","2,718,264,402.70","224,060,650.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"36,953,910.50","274,866,063.24","198,313,102.99","110,560,830.36","112,225,830.36","166,201,830.36","271,958,434.26","271,362,293.97","272,087,427.26","732,369,657.12","5,000,000.00","17,692,800.00","35,632,800.00","500,214,694.00","1,550,000.00","1,654,950.00","3,326,666.00","1,299,621,509.31","202,728,273.97","721,335,958.90","2,390,775,124.42","2,770,487,805.64","228,975,168.75"
五、现金及现金等价物净增加额,"518,871,873.77","-443,386,738.87","100,411,763.29","-54,025,914.82","-66,412,700.52","658,393,908.15","-788,922,458.56","-645,995,000.55","-222,770,907.58","-623,145,623.28","-171,553,657.44","-205,190,167.30","-190,062,413.20","-199,469,911.51","26,837,043.49","69,759,780.75","125,130,340.82","1,236,052,868.87","-1,110,470,288.41","-879,993,713.77","-713,919,124.33","-192,753,592.17","-455,240,234.30"
购建固定资产、无形资产和其他长期资产支付的现金,"1,045,260,985.27","1,132,580,541.72","147,392,912.52","33,772,238.50","80,216,357.09","201,859,644.87","74,038,555.03","117,119,410.06","125,041,453.05","119,239,326.49","84,918,299.28","103,727,820.79","114,182,103.44","229,871,220.60","14,340,430.30","33,305,073.36","41,986,421.11","331,774,710.49","18,288,860.07","129,670,790.54","249,201,998.05","519,936,877.92","400,739,619.28"
期初现金及现金等价物余额,"67,056,175.11","585,928,048.88","142,541,310.01","242,953,073.30","242,953,073.30","242,953,073.30","901,156,670.78","901,346,981.45","901,346,981.45","901,346,981.45","279,601,358.17","278,201,358.17","278,201,358.17","278,201,358.17","78,731,446.66","78,731,446.66","78,731,446.66","79,729,495.68","1,315,782,364.55","1,315,782,364.55","1,315,782,364.55","1,315,782,364.55","1,123,028,772.38"
投资支付的现金,"1,000,000.00",,,,,,"56,000,000.00","56,000,000.00","56,000,000.00","56,000,000.00",,"4,600,000.00","44,000,000.00","44,000,000.00",,,,,,,,,
期末现金及现金等价物余额,"585,928,048.88","142,541,310.01","242,953,073.30","188,927,158.48","176,540,372.78","901,346,981.45","112,234,212.22","255,351,980.90","678,576,073.87","278,201,358.17","108,047,700.73","73,011,190.87","88,138,944.97","78,731,446.66","105,568,490.15","148,491,227.41","203,861,787.48","1,315,782,364.55","205,312,076.14","435,788,650.78","601,863,240.22","1,123,028,772.38","667,788,538.08"
