科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
取得借款收到的现金,"3,459,260,609.73","2,162,059,769.81","3,632,288,655.30",,"1,421,798,991.56","1,914,372,896.22","2,902,561,880.48","559,380,554.21","1,056,572,363.65","1,450,430,216.22","2,182,421,325.55","1,222,618,550.02","1,570,721,131.68","1,990,754,681.87","2,424,162,030.43"
支付的各项税费,"92,284,221.51","74,479,544.58","133,476,545.79",,"100,764,785.53","155,768,747.34","190,226,366.85","35,974,816.06","69,716,096.51","104,987,075.93","152,216,982.48","26,184,207.63","57,467,141.62","93,000,014.65","144,036,400.82"
收到其他与筹资活动有关的现金,"172,245,587.29",,"215,000.00",,"1,579,188.11","3,117,432.93","1,668,439.50","56,983,983.93","101,574,238.57","101,746,051.39",37.73,"2,921,067.88","6,337,659.84","24,268,351.25","34,166,275.82"
支付其他与经营活动有关的现金,"110,747,338.82","155,678,898.25","148,105,813.47",,"47,850,218.50","65,837,912.67","130,237,230.58","23,520,671.84","50,797,298.03","77,045,285.07","156,456,768.58","15,133,653.21","60,804,512.37","119,883,958.03","115,962,390.98"
筹资活动现金流入小计,"4,127,254,442.35","2,662,059,769.81","4,165,657,226.44",,"2,026,044,743.67","2,520,156,893.15","3,493,162,961.12","616,364,538.14","1,558,146,602.22","1,952,176,267.61","2,582,421,363.28","1,225,539,617.90","1,577,058,791.52","2,015,023,033.12","2,458,328,306.25"
经营活动现金流出小计,"2,824,795,934.38","2,853,374,784.01","3,429,302,749.88",,"1,567,134,794.68","2,415,790,610.83","2,651,480,880.43","885,825,555.99","1,759,205,677.33","2,729,821,152.89","4,041,830,253.49","1,093,422,006.37","2,170,922,859.25","3,490,859,393.50","4,677,458,439.08"
偿还债务支付的现金,"3,167,881,557.47","2,556,699,094.72","3,512,528,110.84",,"1,240,358,733.37","2,153,414,258.27","3,090,687,324.34","560,876,368.33","1,233,867,576.10","1,780,432,030.28","2,346,907,049.32","896,439,752.92","1,322,322,741.06","1,749,980,362.72","2,614,769,166.82"
经营活动产生的现金流量净额,"56,802,374.56","606,112,207.68","321,157,702.08","66,812,000.00","176,950,155.47","390,957,117.32","372,141,552.94","107,913,799.28","190,620,635.32","331,942,564.60","241,132,815.55","-121,985,646.32","-16,545,333.76","149,006,637.15","397,568,504.93"
分配股利、利润或偿还利息支付的现金,"84,908,757.12","66,509,893.40","109,246,923.29",,"229,675,291.86","256,376,167.12","297,746,861.68","20,879,175.20","64,143,248.00","82,846,137.40","101,671,373.45","30,824,199.59","59,995,341.83","84,873,631.57","100,439,757.29"
收回投资收到的现金,"20,000,000.00",,,,,,"130,000,000.00",,"70,000,000.00","450,000,000.00","500,000,000.00","100,000,000.00","230,000,000.00","250,000,000.00","310,000,000.00"
支付其他与筹资活动有关的现金,"30,000,000.00","278,515,289.09","132,779,098.78",,"4,251,544.18","10,178,443.92","11,205,585.82","19,514.17","48,071,555.60","106,459,782.17","37,875,273.82","5,741,821.92","18,799,724.48","36,903,098.22","40,407,756.80"
取得投资收益收到的现金,"317,857.61",,,,,,"1,182,850.29",,"768,570.97","6,396,916.85","8,398,230.50","3,033,804.18","3,436,763.09","5,194,040.70","9,867,163.95"
筹资活动现金流出小计,"3,282,790,314.59","2,901,724,277.21","3,754,554,132.91",,"1,474,285,569.41","2,419,968,869.31","3,399,639,771.84","581,775,057.70","1,346,082,379.70","1,969,737,949.85","2,486,453,696.59","933,005,774.43","1,401,117,807.37","1,871,757,092.51","2,755,616,680.91"
处置固定资产、无形资产和其他长期资产收回的现金净额,"149,691.30","3,986,186.36","122,968.23",,"64,490.00","491,452.90","2,099,865.91","2,564,083.45","2,738,606.45","2,742,356.45","10,558,722.47","-27,000.00","-27,000.00","-27,000.00","25,500.00"
筹资活动产生的现金流量净额,"844,464,127.76","-239,664,507.40","411,103,093.53","-68,617,800.00","551,759,174.26","100,188,023.84","93,523,189.28","34,589,480.44","212,064,222.52","-17,561,682.24","95,967,666.69","292,533,843.47","175,940,984.15","143,265,940.61","-297,288,374.66"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-1,016,855.53","-2,623,271.30","-10,435,570.36",,"-7,259,674.31","-8,540,740.48","-4,680,525.40","2,006,550.14","13,471,976.36","17,091,519.77","16,685,992.42","-742,073.97","989,706.99","432,533.64","380,863.25"
收到其他与投资活动有关的现金,"2,197,320.00","10,480,000.00",,,"15,261,022.70","15,261,022.70","14,168,000.00",,,,,"2,328.35","2,636.10",,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,
投资活动现金流入小计,"22,664,868.91","14,466,186.36","122,968.23",,"15,325,512.70","15,752,475.60","147,450,716.20","2,564,083.45","73,507,177.42","459,139,273.30","518,956,952.97","103,009,132.53","233,412,399.19","255,167,040.70","319,892,663.95"
五、现金及现金等价物净增加额,"187,010,308.32","-8,380,677.60","120,014,827.31",,"617,309,960.81","80,967,770.55","-90,687,121.95","-120,956,747.32","-83,779,283.80","-19,083,123.11","-132,265,662.45","207,592,775.75","111,800,874.80","229,429,806.59","33,071,130.38"
购建固定资产、无形资产和其他长期资产支付的现金,"732,704,207.38","386,671,292.94","544,583,356.03",,"116,990,199.48","214,438,006.32","429,120,812.87","255,321,891.72","340,734,526.51","386,985,998.63","464,708,859.08","64,890,637.58","151,243,312.40","187,478,302.45","237,482,527.09"
期初现金及现金等价物余额,"27,543,390.20","214,553,698.52","206,173,020.92",,"326,187,848.23","326,187,848.23","326,187,848.23","235,500,726.28","235,500,726.28","235,500,726.28","235,500,726.28","103,235,063.83","103,235,063.83","103,235,063.83","103,235,063.83"
投资支付的现金,,,"17,550,000.00",,,"200,000,000.00","270,000,000.00",,"220,000,000.00","410,000,000.00","540,300,000.00","331,842.38","130,753,569.37","130,964,043.06","150,000,000.00"
期末现金及现金等价物余额,"214,553,698.52","206,173,020.92","326,187,848.23",,"943,497,809.04","407,155,618.78","235,500,726.28","114,543,978.96","151,721,442.48","216,417,603.17","103,235,063.83","310,827,839.58","215,035,938.63","332,664,870.42","136,306,194.21"
