科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
筹资活动现金流入小计,"58,800,008.89","79,501,435.00","150,547,788.92","93,000,000.00","90,000,000.00","515,826,165.86","518,400,000.00","548,400,000.00","548,400,000.00","51,170,000.00",,"8,000,000.00","48,000,000.00","30,000,000.00","50,000,000.00","120,000,000.00","130,000,000.00","28,000,000.00","78,000,000.00","92,000,000.00","142,200,000.00","50,000,000.00","170,000,000.00","170,000,000.00","247,230,000.00","50,000,000.00","56,000,000.00","56,000,000.00","56,000,000.00",,"30,000,000.00","130,000,000.00","130,000,000.00"
经营活动现金流出小计,"48,663,304.77","70,350,121.53","89,233,229.43","69,919,470.27","93,409,424.16","26,420,263.81","55,589,841.90","89,867,773.08","130,176,851.44","31,507,797.40","58,977,317.90","90,708,119.40","120,257,459.63","28,985,096.18","63,507,921.01","106,813,100.26","139,009,043.39","37,177,182.91","100,569,563.25","171,640,847.01","226,922,879.91","47,289,498.33","102,994,254.59","149,244,905.38","199,723,210.81","32,872,458.37","97,461,621.23","150,697,254.80","216,066,788.94","65,616,524.97","140,373,269.31","224,050,589.04","313,760,388.36"
偿还债务支付的现金,"19,000,000.00","31,000,000.00","45,000,000.00","74,000,000.00","89,000,000.00","35,000,000.00","85,000,000.00","105,000,000.00","125,000,000.00",,,"10,000,000.00","10,000,000.00",,,"19,000,000.00","30,000,000.00",,"30,000,000.00","70,000,000.00","90,000,000.00","50,000,000.00","76,000,000.00","76,000,000.00","152,200,000.00","50,000,000.00","114,000,000.00","114,000,000.00","139,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","65,000,000.00"
经营活动产生的现金流量净额,"34,779,166.99","20,357,045.15","50,856,662.80","33,134,088.14","47,345,959.01","4,783,763.32","12,092,675.18","35,381,683.56","47,721,507.03","-1,353,865.49","12,445,465.27","25,165,555.21","36,544,460.79","4,514,780.95","10,776,710.76","19,012,251.53","30,815,490.02","14,525,120.69","41,781,483.26","64,015,718.12","76,335,491.59","12,167,234.39","22,384,166.47","53,768,375.50","85,606,396.97","22,361,627.06","37,053,565.13","51,858,854.92","83,154,828.36","26,559,537.11","53,840,560.90","97,690,939.69","151,952,160.62"
分配股利、利润或偿还利息支付的现金,"2,435,882.26","2,142,075.00","3,253,311.49","3,541,327.50","4,737,882.64","1,151,196.53","10,165,803.11","11,819,459.04","11,825,796.82","3,765,822.22","14,733,466.67","14,792,000.00","14,904,896.88","7,625,999.99","21,842,666.65","21,996,666.65","28,218,661.10","2,504,150.01","5,517,999.97","8,581,269.42","11,057,299.97","3,054,824.82","6,213,491.85","9,264,398.91","14,340,565.75","2,464,907.84","4,784,178.40","6,487,269.54","7,638,116.16","1,285,416.68","2,062,562.35","60,607,398.48","62,817,276.48"
收回投资收到的现金,,,"17,000,000.00","2,000,000.00","2,000,000.00",,,"2,000,000.00","2,000,000.00",,,,,,,,"20,000,000.00","10,000,000.00","30,000,000.00","40,000,000.00","55,000,000.00","5,000,000.00","30,000,000.00","30,000,000.00",,,,,,,,,
支付其他与筹资活动有关的现金,"36,469.30","1,971,497.16","522,458.56","18,945,667.05","20,531,710.51","13,284,467.95","17,154,989.33","17,311,713.18","15,705,842.69","89,458.24","105,465.03","158,494.38",,,,,,,,,"230,000.00",,,,,,,,,,,,
取得投资收益收到的现金,,,"47,407.48","65,656.89","73,489.20",,,"19,441.10","19,441.10",,,,,,,,"85,435.61",,,,"328,054.80",,,,"242,520.54",,,,,,,,
筹资活动现金流出小计,"21,472,351.56","35,113,572.16","48,775,770.05","96,486,994.55","114,269,593.15","49,435,664.48","112,320,792.44","134,131,172.22","152,531,639.51","3,855,280.46","14,838,931.70","24,950,494.38","24,904,896.88","7,625,999.99","21,842,666.65","40,996,666.65","58,218,661.10","2,504,150.01","35,517,999.97","78,581,269.42","101,287,299.97","53,054,824.82","82,213,491.85","85,264,398.91","166,540,565.75","52,464,907.84","118,784,178.40","120,487,269.54","146,638,116.16","51,285,416.68","52,062,562.35","110,607,398.48","127,817,276.48"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,069,031.16","30,466.00","276,070.00","33,300.34","84,683.34","1,500.00","2,049.02","150,320.99","1,500.00",,"232,504.92","263,958.25","263,958.25",,,,833.65,,"36,000.00","188,655.00","438,866.18","228,997.00","227,193.00","239,271.00","362,703.80","418,181.65","112,967.97","112,967.97","329,439.44","145,711.20","166,008.60","517,841.36","2,007,296.84"
筹资活动产生的现金流量净额,"37,327,657.33","44,387,862.84","101,772,018.87","-3,486,994.55","-24,269,593.15","466,390,501.38","406,079,207.56","414,268,827.78","395,868,360.49","47,314,719.54","-14,838,931.70","-16,950,494.38","23,095,103.12","22,374,000.01","28,157,333.35","79,003,333.35","71,781,338.90","25,495,849.99","42,482,000.03","13,418,730.58","40,912,700.03","-3,054,824.82","87,786,508.15","84,735,601.09","80,689,434.25","-2,464,907.84","-62,784,178.40","-64,487,269.54","-90,638,116.16","-51,285,416.68","-22,062,562.35","19,392,601.52","2,182,723.52"
处置子公司及其他营业单位收到的现金净额,,,,,,,,"85,177,568.75","120,177,568.75",,,,,,,,,,,,,,,,,,,"36,000.00",,,,,
四、汇率变动对现金的影响,"-159,813.36","-98,887.90","-3,533.56","-3,865.85","-9,433.25","-3,996.35","-5,196.95","-7,029.98","-7,559.82",-7.96,510.42,804.05,16.79,-370.43,-23.47,-29.52,"-2,780.79",770.30,849.34,826.80,427.05,363.58,-23.89,-22.72,-22.10,-0.15,0.65,0.87,2.09,-0.18,-0.76,-1.41,-1.90
收到其他与投资活动有关的现金,"78,999.32","182,847.36","368,101.48","205,575.87","11,640,263.19","222,627.75","3,663,770.61","1,644,702.96","10,814,749.46","2,595,066.57","4,598,203.92","6,315,935.71","7,703,816.47","22,406,716.91","47,519,358.21","53,314,732.90","92,003,194.22","20,332,969.15","55,420,870.72","40,481,019.10","50,867,322.67","26,776,207.12","31,723,114.65","37,872,654.81","115,719,580.87","69,991,918.51","38,527,221.54","66,782,325.52","198,443,582.61","15,460,724.05","70,066,969.79","25,235,203.44","151,790,431.52"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,148,030.48","213,313.36","17,691,578.96","2,304,533.10","13,798,435.73","224,127.75","3,665,819.63","88,992,033.80","133,013,259.31","2,595,066.57","4,830,708.84","6,579,893.96","7,967,774.72","22,406,716.91","47,519,358.21","53,314,732.90","112,089,463.48","30,332,969.15","85,456,870.72","80,669,674.10","106,634,243.65","32,005,204.12","61,950,307.65","68,111,925.81","116,324,805.21","70,410,100.16","38,640,189.51","66,931,293.49","198,773,022.05","15,606,435.25","70,232,978.39","25,753,044.80","153,797,728.36"
五、现金及现金等价物净增加额,"35,054,768.39","-8,312,472.91","24,650,524.14","-14,816,858.47","-12,171,695.25","447,897,089.08","202,867,293.22","378,735,994.17","266,694,040.05","-109,278,591.75","-140,002,959.65","-144,287,004.98","-139,567,723.79","-20,523,179.16","-3,708,682.79","-8,597,794.43","5,868,974.61","34,628,180.34","78,162,660.87","-95,262,294.58","-52,542,211.65","-42,744,270.88","6,780,663.36","-42,829,778.77","43,092,445.85","43,791,364.17","-102,945,878.31","-98,152,204.24","-69,986,351.88","-42,720,232.04","41,600,369.96","27,485,496.73","110,419,675.08"
购建固定资产、无形资产和其他长期资产支付的现金,"37,473,561.10","68,039,978.82","123,425,833.26","41,017,362.72","46,289,807.00","26,071,141.16","88,965,212.20","157,899,520.99","187,901,526.96","32,759,504.41","73,395,712.48","112,737,763.82","139,390,079.21","34,449,338.47","80,162,061.64","140,288,082.69","182,650,537.00","20,726,529.79","41,558,542.48","94,747,244.18","145,425,073.97","73,454,488.49","104,855,535.36","131,100,013.82","159,259,523.85","39,515,455.06","81,663,111.83","107,455,083.98","115,293,545.64","18,600,787.54","25,410,606.22","38,013,298.99","54,588,195.87"
期初现金及现金等价物余额,"4,729,723.98","39,784,492.37","31,472,019.46","56,122,543.60","56,122,543.60","43,950,848.35","43,950,848.35","43,950,848.35","43,950,848.35","310,644,888.40","310,644,888.40","310,644,888.40","310,644,888.40","171,077,164.61","171,077,164.61","171,077,164.61","171,077,164.61","176,946,139.22","176,946,139.22","176,946,139.22","176,946,139.22","124,403,927.57","124,403,927.57","124,403,927.57","124,403,927.57","167,496,373.42","167,496,373.42","167,496,373.42","167,496,373.42","97,510,021.54","97,510,021.54","97,510,021.54","97,510,021.54"
投资支付的现金,,"5,000,000.00","22,240,369.67","5,747,256.59","2,747,256.59",,"130,000,000.00","2,000,000.00","2,000,000.00",,,,,,,,"20,000,000.00","15,000,000.00","30,000,000.00","55,000,000.00","55,000,000.00","10,000,000.00","35,000,000.00","35,000,000.00",,,,,,,,,
期末现金及现金等价物余额,"39,784,492.37","31,472,019.46","56,122,543.60","41,305,685.13","43,950,848.35","491,847,937.43","246,818,141.57","422,686,842.52","310,644,888.40","201,366,296.65","170,641,928.75","166,357,883.42","171,077,164.61","150,553,985.45","167,368,481.82","162,479,370.18","176,946,139.22","211,574,319.56","255,108,800.09","81,683,844.64","124,403,927.57","81,659,656.69","131,184,590.93","81,574,148.80","167,496,373.42","211,287,737.59","64,550,495.11","69,344,169.18","97,510,021.54","54,789,789.50","139,110,391.50","124,995,518.27","207,929,696.62"
