科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
其他流动负债,,"9,600,000.00","1,339,500.00","1,269,000.00","1,198,500.00","1,092,750.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"45,131,814.41","88,461,959.41","123,788,489.71","100,836,778.72","768,433,430.72","768,773,061.15","820,870,333.77","811,596,952.49","794,277,063.76","787,689,738.70","825,182,609.54","808,745,774.40","812,755,991.35","801,806,769.20","911,000,934.37","854,443,759.74","869,183,562.25","899,392,536.41","993,010,091.38","991,964,093.03","1,006,977,109.98","1,021,170,837.77","1,099,145,666.37","1,110,530,420.88","1,149,195,904.85","1,190,006,470.83","1,239,216,808.48","973,417,521.85","1,229,402,396.98","1,200,377,080.52","1,456,350,943.62","1,415,892,099.89","1,434,209,944.98","1,846,961,951.86","2,158,491,711.37","2,113,055,438.09"
流动负债合计,"7,656,695.83","19,382,475.22","14,493,743.44","3,744,305.23","4,908,903.15","4,032,251.02","11,271,113.82","8,640,322.48","5,812,639.40","5,846,615.80","16,352,430.25","10,193,018.64","8,395,474.46","6,941,807.03","125,787,392.29","72,692,916.03","89,957,409.46","113,970,432.39","183,024,892.32","179,657,194.77","187,854,272.35","191,391,214.37","223,723,819.56","221,250,708.56","236,984,093.37","270,431,983.39","566,401,668.61","350,680,154.80","446,954,049.66","404,596,538.93","883,444,941.27","830,067,880.61","796,330,612.77","698,335,782.98","984,217,279.00","915,000,195.25"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,000,000.00","3,000,000.00","3,020,000.00","3,020,000.00","15,020,000.00","15,020,000.00","15,020,000.00","43,020,000.00","43,020,000.00","43,020,000.00"
长期借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,"32,961,018.24","32,961,018.24","31,013,390.33","26,570,925.52","72,400,585.59","69,486,321.42","63,558,514.38","52,146,931.64","66,768,372.82","66,768,372.82","51,394,582.42","31,973,447.55","97,607,107.48","97,607,107.50","90,716,803.63","88,213,534.10","60,888,996.95","58,325,921.77"
长期应付款,,,,,,,,,,,,,,,,,,,,,,,"19,111,959.12","17,398,797.59","13,333,334.00","13,333,334.00","10,931,565.54","13,333,334.00","11,357,769.03","10,637,402.68","1,664,008.26","1,664,008.26","1,664,008.26",,,
长期股权投资,,,,,,,,,,,,,,,,,,,,,,,,,"3,000,000.00","6,250,000.00","306,600,000.00","365,159,970.23","2,117,600.14","6,633,162.38","5,394,677.10","3,466,665.50","3,752,267.82","2,043,042.95","11,530,432.97","9,628,817.19"
专项应付款,"2,328,000.00","3,520,000.00","3,197,612.00","4,388,551.00","4,387,612.00","4,477,612.00","4,273,727.36","4,673,852.82","3,808,727.36","3,778,727.36","197,612.00","167,612.00","167,612.00","778,992.00","96,000.00","61,224.00","61,224.00","96,000.00",,,,,,,,,,,,,,"106,799.47",,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,993,094.99","52,629,340.41","70,660,065.79","70,087,867.12","78,539,592.15","78,175,837.56","77,405,356.20","77,041,601.62","72,595,627.78","72,231,873.19"
预计负债,,,,,,,,,,,,,,,"341,000.00","341,000.00","341,000.00","341,000.00","2,030,000.00","2,030,000.00","2,199,000.00","2,199,000.00","3,810,000.00","3,810,000.00","3,810,000.00","3,810,000.00","5,910,000.00","5,910,000.00","5,910,000.00","5,910,000.00","7,800,000.00","7,800,000.00","7,800,000.00","7,800,000.00","10,988,000.00","10,988,000.00"
固定资产,"970,479.06","1,017,007.60","1,932,544.89","1,853,186.43","35,872,182.87","35,732,547.11","38,809,152.35","41,497,272.55","44,701,419.44","44,053,370.68","44,879,766.67","44,344,246.77","45,099,418.95","44,612,155.40","44,565,921.76","44,143,596.95","43,400,442.03","43,921,205.92","84,627,100.13","83,102,931.64","82,555,162.24","83,777,390.69","83,709,393.59","81,944,530.20","79,994,394.89","81,029,641.57","28,969,072.22","27,849,186.84","55,648,220.40","54,672,208.15","60,016,778.93","58,874,164.22","58,964,849.85","57,751,229.66","61,041,560.30","58,421,803.44"
递延所得税负债,,,,,,,,,,,,,,,"20,059,072.05","20,059,072.05","20,059,072.05","20,059,072.05","12,684,731.02","12,684,731.02","11,983,227.42","11,630,539.92","11,281,723.83","11,281,723.83","11,281,723.83","11,580,120.13","9,874,545.73","9,874,545.73","9,874,545.73","9,874,545.73","13,278,261.30","13,278,261.30","13,278,261.30","13,278,261.30","11,375,904.41","11,375,904.41"
在建工程,,,,,,,"450,032.52","450,032.52","61,111.11","6,384,848.86","17,372,313.56","28,509,469.41","28,318,534.35","28,368,583.92","28,395,592.47","35,457,130.90","37,989,024.57","39,030,009.50","1,891,807.89","4,691,966.56","7,450,737.43","8,426,541.77",,,,,,,,"21,433,558.54",,,,,,
其他非流动负债,,,,,,,"1,057,500.00","987,000.00","2,712,000.00","2,547,000.00","3,070,300.00","2,870,200.00","2,670,100.00","2,470,000.00","2,269,900.00","2,069,800.00","1,869,700.00","1,669,600.00","1,469,500.00","1,269,400.00","1,069,300.00","869,200.00",,"10,458,022.49",,"10,288,522.49",,"954,758.02","749,160.22","794,060.22",,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"2,328,000.00","3,520,000.00","3,197,612.00","4,388,551.00","4,387,612.00","4,477,612.00","5,331,227.36","5,660,852.82","6,520,727.36","6,325,727.36","3,267,912.00","3,037,812.00","2,837,712.00","3,248,992.00","22,765,972.05","22,531,096.05","22,330,996.05","22,165,672.05","16,184,231.02","15,984,131.02","15,251,527.42","14,698,739.92","37,051,305.44","42,948,543.91","38,843,180.32","39,011,976.62","27,806,448.09","30,072,637.75","27,891,474.98","27,216,008.63","22,849,069.03","22,849,069.03","22,849,069.03","21,185,060.77","22,363,904.41","22,363,904.41"
固定资产清理,,,,,,,,,,"-2,100.00",,,"-1,900.00","-2,100.00",,,"-2,750.00",,,,,,,,,,,,"-2,831.40",136.67,,,,,,"14,761.84"
负债合计,"9,984,695.83","22,902,475.22","17,691,355.44","8,132,856.23","9,296,515.15","8,509,863.02","16,602,341.18","14,301,175.30","12,333,366.76","12,172,343.16","19,620,342.25","13,230,830.64","11,233,186.46","10,190,799.03","148,553,364.34","95,224,012.08","112,288,405.51","136,136,104.44","199,209,123.34","195,641,325.79","203,105,799.77","206,089,954.29","260,775,125.00","264,199,252.47","275,827,273.69","309,443,960.01","594,208,116.70","380,752,792.55","474,845,524.64","431,812,547.56","906,294,010.30","852,916,949.64","819,179,681.80","719,520,843.75","1,006,581,183.41","937,364,099.66"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"5,000,000.00","6,617,200.00","42,000,000.00","42,000,000.00","56,000,000.00","56,000,000.00","56,000,000.00","56,000,000.00","84,000,000.00","84,000,000.00","84,000,000.00","84,000,000.00","84,000,000.00","84,000,000.00","84,000,000.00","84,000,000.00","126,000,000.00","126,000,000.00","126,000,000.00","126,000,000.00","189,917,350.00","189,921,350.00","190,142,800.00","190,157,455.00","381,537,860.00","382,196,810.00","382,493,310.00","382,633,710.00","391,635,310.00","393,596,310.00","395,487,010.00","395,621,710.00","395,481,310.00","424,589,855.00","424,626,905.00","424,626,905.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,,"24,182,800.00","29,110,309.68","29,109,943.46","717,663,309.68","717,663,309.68","722,083,309.68","722,083,309.68","694,083,309.68","694,083,309.68","694,083,309.68","694,416,309.68","694,749,309.68","695,082,309.68","697,228,339.68","698,092,339.68","656,956,339.68","657,820,339.68","658,684,369.68","659,211,369.68","604,223,456.68","604,726,566.68","603,922,238.72","604,309,814.57","426,707,466.07","422,286,891.56","423,692,651.56","424,312,985.56","508,552,569.56","508,552,569.56","540,953,492.83","538,751,542.83","537,158,642.83","1,034,579,157.36","968,810,608.44","968,810,608.44"
无形资产,,,"1,339,500.00","1,269,000.00","1,198,500.00","1,092,750.00","1,057,500.00","987,000.00","2,712,000.00","2,547,000.00","3,070,300.00","2,870,200.00","28,077,687.73","26,540,337.73","101,502,987.73","98,242,304.41","94,981,621.09","91,146,493.33","82,817,254.45","79,556,571.13","92,494,400.69","90,660,282.51","84,863,102.28","80,476,672.05","100,496,020.44","94,851,742.98","89,130,206.29","85,006,791.00","100,630,809.44","90,130,936.27","102,427,375.36","97,532,957.86","133,590,788.18","131,200,800.62","123,227,242.43","117,388,008.44"
盈余公积,"4,535,270.85","4,535,270.85","4,259,343.44","4,259,343.44","4,259,343.44","4,259,343.44","9,403,668.48","9,403,668.48","9,264,015.60","9,264,015.60","14,456,271.32","14,456,271.32","14,456,271.32","14,456,271.32","21,677,599.48","21,677,599.48","21,677,599.48","21,677,599.48","31,203,862.26","31,203,862.26","33,640,104.25","33,640,104.25","41,233,227.07","41,233,227.07","41,233,227.07","41,233,227.07","53,295,827.50","53,295,827.50","53,295,827.50","53,295,827.50","63,424,623.62","63,424,623.62","63,424,623.62","63,424,623.62","76,261,789.28","76,261,789.28"
开发支出,"1,983,895.61","2,857,531.82","4,258,786.61","5,575,934.81","13,684,430.23","16,648,869.67","14,153,714.74","19,608,650.45","26,371,337.39","30,596,144.32","26,744,837.73","28,861,438.74","9,559,047.85","9,471,781.00","11,157,706.50","14,517,027.57","21,291,226.61","25,902,314.70","31,452,691.76","35,429,928.07","21,360,856.26","22,919,820.05","34,538,330.81","39,859,998.41","21,604,540.93","29,353,587.80","27,303,681.54","35,494,944.99","26,318,116.31","31,274,390.21","41,814,367.01","49,879,448.69","13,961,462.29","22,451,926.72","30,882,652.71","37,560,332.12"
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104,720,400.00","102,518,450.00","100,925,550.00","100,925,550.00","75,606,625.00","75,606,625.00"
