科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83,326.00","56,408.00","32,240.00","9,072.00","1,000.00",500.00,500.00,"104,839.29",,,,,,,,,,
一年内到期的非流动负债,"420,831,941.54","715,022,893.90","715,022,893.90","707,742,389.06","617,742,389.06","607,287,069.29","613,287,069.29","667,464,366.96","667,464,366.96","371,619,346.62","289,459,346.62","88,502,460.87","88,502,460.87","668,481,497.45","1,141,719,246.53","714,214,605.95","719,000,000.00","713,000,000.00","203,000,000.00","110,000,000.00","130,000,000.00","117,000,000.00","461,000,000.00","284,250,000.00","356,250,000.00","550,000,000.00","460,000,000.00","823,750,000.00","453,750,000.00","693,000,000.00","667,000,000.00","1,021,750,000.00","1,027,528,125.00","1,549,886,875.00","395,966,875.00","484,188,750.00","326,988,750.00","256,270,000.00","256,600,000.00","159,825,000.00","117,400,000.00","169,750,000.00","169,750,000.00","222,700,000.00","227,700,000.00","307,733,333.33","322,400,000.00","768,300,000.00","781,300,000.00"
其他流动资产,,"1,167,900.00","3,628,000.00",,,,,,"10,164.00",,,,"1,922,750.00",,,,,,,,"559,000.00",,"140,300.00",,,,,,"129,832,009.69","220,166,917.91","237,798,112.13","193,495,690.38","235,742,695.86","200,731,234.55","240,937,238.60","142,861,336.29","189,420,860.12","301,019,779.92","249,740,185.42","163,661,749.91","114,816,809.92","316,156,836.78","370,227,059.46","321,278,895.83","389,798,859.92","400,351,258.60","298,994,231.74","342,215,160.99","364,971,115.43"
其他流动负债,,"2,463,050.00",,"13,322,850.00","6,815,950.00","2,110,900.00","6,830,400.00","21,198,550.00","5,259,100.00","3,249,450.00","599,000.00","3,138,250.00",,"728,250.00","3,662,650.00","3,028,100.00","1,522,050.00","140,650.00","5,904,350.00","3,678,400.00",,"48,750.00",,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"3,707,783,983.96","4,805,012,773.26","5,470,292,951.95","5,908,562,678.05","6,271,750,263.18","6,371,706,094.61","7,219,777,659.70","6,510,274,363.55","7,522,724,527.04","7,202,751,519.82","8,543,609,574.68","9,941,951,766.46","9,655,326,912.15","10,758,677,175.58","10,925,010,919.91","8,849,134,343.96","9,306,587,602.53","8,572,594,681.92","8,759,117,478.57","8,090,300,770.06","8,122,157,755.53","8,118,217,810.32","8,854,343,488.89","12,957,099,164.96","13,331,051,134.52","12,749,913,212.75","12,662,534,204.61","13,740,701,396.59","15,587,994,393.20","13,861,849,789.92","14,720,153,337.28","15,534,715,591.31","15,021,662,423.82","14,595,484,949.58","15,880,248,667.16","15,281,001,865.61","15,101,399,066.69","14,949,693,717.13","15,075,290,841.94","14,637,074,862.26","14,783,183,404.85","14,950,983,781.40","16,023,024,109.96","16,209,122,218.04","17,045,343,202.29","17,653,117,158.82","18,187,067,367.11","18,501,952,828.03","18,631,261,702.00"
流动负债合计,"2,831,660,549.19","3,444,394,116.50","3,323,189,885.13","4,773,833,718.43","4,967,108,600.20","4,799,920,602.54","5,287,047,408.98","4,659,736,199.34","5,821,889,554.00","5,526,179,171.58","6,231,003,858.03","7,379,265,840.15","6,959,394,610.11","8,520,910,262.17","9,111,810,384.39","6,993,524,643.92","6,978,993,277.04","6,390,971,195.31","5,976,594,013.93","4,944,731,077.96","4,688,035,858.20","4,584,639,779.28","5,726,899,492.26","8,821,351,077.22","8,748,417,372.58","7,720,428,408.55","7,306,714,955.08","8,092,202,017.56","9,006,522,758.26","8,617,706,232.68","7,894,587,156.48","8,150,725,560.23","7,903,235,493.65","8,321,317,889.38","7,557,111,786.47","7,254,017,529.03","7,995,730,741.57","8,395,278,379.81","8,379,007,144.77","8,479,197,937.10","7,947,149,547.58","7,644,231,421.80","8,881,162,186.40","8,821,648,613.25","8,727,254,562.33","9,252,295,980.85","10,001,686,178.76","9,373,771,112.55","9,257,981,809.52"
可供出售金融资产,"3,840,220.80","6,084,000.00",,"6,173,258.85","4,877,817.08","3,525,615.33","2,373,808.59","2,054,351.29","3,050,609.44","4,797,944.74","4,458,769.82","5,261,514.54","4,869,811.05","3,741,793.50","3,809,027.97","4,174,339.86","4,843,300.97","2,698,775.35","3,786,947.44","3,772,137.43","4,015,595.43","3,919,305.96","3,599,049.10","4,847,525.70","5,005,140.93","4,334,990.18","4,872,007.22","4,514,186.28","3,721,681.60","3,914,232.40","1,719,255,176.53","1,721,862,258.93","1,752,585,547.73","1,752,109,388.93","1,750,937,303.73","1,756,971,214.53","1,751,398,533.33","1,751,241,280.13","1,751,523,754.53","1,751,591,240.13","1,751,618,113.73","1,534,884,622.68","1,635,082,779.08","1,573,928,831.69","1,573,791,447.69","1,744,636,756.18","1,757,495,163.69","1,823,242,248.04",
长期借款,"729,961,820.14","956,868,682.29","1,852,868,682.29","826,555,973.28","946,555,973.28","1,086,635,347.09","1,050,735,347.09","997,746,551.01","803,134,374.04","677,859,347.19","1,277,038,700.29","1,311,951,231.02","1,311,687,125.16","847,000,000.00","398,500,000.00","128,000,000.00","354,000,000.00","347,000,000.00","821,000,000.00","868,000,000.00","840,000,000.00","1,108,000,000.00","625,000,000.00","800,750,000.00","575,750,000.00","760,000,000.00","1,040,000,000.00","1,382,091,088.00","2,805,631,955.81","2,422,862,622.34","2,700,962,622.34","2,689,690,747.34","2,556,690,747.34","1,773,110,122.34","1,264,765,625.00","958,588,750.00","275,848,750.00","275,247,500.00","651,597,500.00","720,722,500.00","449,600,000.00","613,350,000.00","613,350,000.00","839,500,000.00","1,894,500,000.00","2,675,616,666.67","3,461,166,000.00","3,429,956,000.00","3,413,706,000.00"
