科目,2011年度,2012年度,2013年1-9月,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付给职工以及为职工支付的现金,"18,817,750.33","29,882,528.15",,"44,283,999.08","26,606,984.05",,"52,686,812.44","23,877,275.15","40,154,129.24","57,230,280.65","60,861,707.26","26,093,432.95","51,663,150.99","75,138,929.55","82,983,367.94","26,881,921.51","45,080,177.47","65,966,904.33","98,397,800.00","34,548,809.33","67,847,904.28","99,880,198.73","141,120,440.35","80,137,736.00"
取得借款收到的现金,,,,,"10,000,000.00",,"10,000,000.00",,,,,,"7,542,524.97","10,316,185.87","10,316,185.87","4,070,184.35","4,070,184.35","4,070,184.35","4,070,184.35",,,,,
支付的各项税费,"23,575,964.67","33,287,526.05",,"32,452,869.74","19,602,164.00",,"42,807,670.49","10,398,891.22","17,163,904.19","24,897,577.38","38,475,550.09","12,332,323.10","17,157,090.84","23,035,477.91","36,470,662.74","9,755,256.29","19,884,534.10","30,156,959.08","47,394,151.29","25,383,079.75","38,120,562.58","50,343,735.74","78,753,232.05","26,421,697.52"
收到其他与筹资活动有关的现金,,,,"7,654,028.44",,,,,,"8,396,623.20","1,698,139.83",,"4,885,002.91",,"32,018,926.02",,"2,562,702.63","2,562,702.63","84,990,536.06",,"99,041,148.73","99,041,148.73","168,204,590.95",
支付其他与经营活动有关的现金,"50,919,321.67","60,074,594.33",,"57,205,975.66","23,805,689.45",,"65,431,275.60","31,487,564.88","45,648,958.51","76,259,469.41","110,661,907.90","47,483,104.73","76,369,279.14","107,579,094.43","113,665,981.60","28,040,596.99","59,186,292.08","115,150,901.14","144,249,754.61","33,810,794.14","59,130,477.83","156,923,383.22","140,202,881.22","41,175,590.88"
筹资活动现金流入小计,"1,500,000.00","3,382,576.70",,"7,654,028.44","10,000,000.00",,"373,792,423.30","10,000,000.00","10,000,000.00","18,396,623.20","16,598,139.83",,"13,193,927.88","12,986,185.87","109,699,579.89","4,870,184.35","8,249,486.98","8,249,486.98","94,570,820.41","653,184,394.30","753,290,543.03","753,828,443.03","822,991,885.25","6,490,000.00"
经营活动现金流出小计,"273,929,423.77","263,195,609.16",,"319,283,921.50","157,826,131.97",,"351,317,972.67","141,788,416.56","246,504,409.90","353,781,579.56","462,743,785.32","156,251,403.87","332,208,947.22","449,166,231.84","552,827,618.21","130,387,062.16","236,188,164.37","412,490,400.25","635,237,627.00","242,106,257.76","560,579,002.91","837,216,822.40","1,099,432,715.10","348,368,234.31"
偿还债务支付的现金,,,,,"10,000,000.00",,"10,000,000.00",,,,,,"599,306.40","599,306.40","7,542,524.97","2,773,660.90","2,773,660.90","6,843,845.25","6,843,845.25",,,,"400,000.00","1,200,000.00"
经营活动产生的现金流量净额,"34,656,960.69","50,083,069.33","19,297,000.00","100,561,099.68","19,826,472.76","40,102,800.00","104,650,567.90","-82,893,566.86","-111,639,293.66","-116,842,912.50","30,497,980.67","-43,662,843.91","-138,000,347.14","-166,950,185.67","-57,182,000.10","-57,902,059.18","34,704,282.06","35,092,865.85","138,408,077.65","-164,342,073.54","-369,899,524.90","-413,689,853.63","-269,780,968.06","-253,096,784.19"
分配股利、利润或偿还利息支付的现金,"6,000,000.00",,,,"82,333.34",,"82,333.34",,,"18,000,000.00","18,000,000.00",,"8,076,821.21","19,002,628.71","19,228,110.19","7,143,915.11","16,417,406.19","16,454,603.15","16,454,603.15",,"105,451,390.40","105,451,390.40","105,630,229.71","518,810.00"
收回投资收到的现金,"79,000,000.00",,,,"25,000,000.00",,"46,004,794.52","31,249,589.11","56,249,589.11","108,139,589.11","504,710,329.71","103,000,000.00","237,789,574.90","301,840,068.29","542,909,273.08","241,362,714.16","661,450,211.32","1,199,571,331.05","1,763,762,328.89","436,104,613.17","810,417,796.36","1,309,234,188.98","1,552,886,236.68","25,821.31"
支付其他与筹资活动有关的现金,"3,010,744.95","6,366,653.15",,,"1,936,614.23",,"23,881,080.82","6,929,974.00","1,406,274.96","4,600,726.18","6,894,740.49","9,825,816.36",,"616,800.00","660,875.97","14,092,541.23","45,845,485.81","66,227,328.87","110,293,177.71","-5,084,842.21","69,332,762.88","91,440,351.10","148,149,577.04","-13,987,685.18"
取得投资收益收到的现金,"145,276.68",,,,"560,958.90",,,"8,778,111.11","8,778,111.11","9,624,127.65",,"1,920,191.77","22,707,607.90","23,914,906.53",,,,,,,,,,
筹资活动现金流出小计,"9,010,744.95","6,366,653.15",,,"12,018,947.57",,"33,963,414.16","6,929,974.00","1,406,274.96","22,600,726.18","24,894,740.49","9,825,816.36","8,676,127.61","20,218,735.11","27,431,511.13","24,010,117.24","65,036,552.90","89,525,777.27","133,591,626.11","-5,084,842.21","174,784,153.28","196,891,741.50","254,179,806.75","-12,268,875.18"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,000,436.93","121,000.00",,,"35,000.00",,"103,982.28",,,,,,,322.79,"3,071.29","59,300.00","342,951.00","405,351.00","128,553.71",,,"1,543.93","7,352.30","35,350.00"
筹资活动产生的现金流量净额,"-7,510,744.95","-2,984,076.45",,"7,654,028.44","-2,018,947.57",,"339,829,009.14","3,070,026.00","8,593,725.04","-4,204,102.98","-8,296,600.66","-9,825,816.36","4,517,800.27","-7,232,549.24","82,268,068.76","-19,139,932.89","-56,787,065.92","-81,276,290.29","-39,020,805.70","658,269,236.51","578,506,389.75","556,936,701.53","568,812,078.50","18,758,875.18"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,"4,244,416.60",,"9,750,000.00","9,750,000.00","9,750,000.00",
四、汇率变动对现金的影响,,"-19,353.18",,"-44,934.01",,,,,,,,,,,,,"-14,171.74","-71,502.14",,-0.21,,0.23,,-0.11
收到其他与投资活动有关的现金,"1,902,033.00",,,,,,,"88,027.38","811,495.99","1,272.74",,,,,,,,,"66,000,000.00",,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"82,047,746.61","121,000.00",,,"25,595,958.90",,"46,108,776.80","40,115,727.60","65,839,196.21","117,764,989.50","504,710,329.71","104,920,191.77","260,497,182.80","325,755,297.61","542,912,344.37","241,422,014.16","661,793,162.32","1,199,976,682.05","1,834,135,299.20","436,104,613.17","820,167,796.36","1,318,985,732.91","1,562,643,588.98","61,171.31"
五、现金及现金等价物净增加额,"6,899,371.80","6,328,588.72",,"38,152,919.07","-12,886,558.83",,"417,398,370.47","-241,321,039.05","-295,720,847.67","-416,242,276.14","-125,273,723.54","-210,917,055.60","-317,079,291.27","-374,175,191.48","-126,281,588.70","-185,236,714.26","-214,172,389.16","-249,346,586.80","-100,589,035.31","648,144,444.26","-114,250,467.39","177,244,427.47","336,032,806.13","-346,330,156.55"
购建固定资产、无形资产和其他长期资产支付的现金,"23,294,590.55","40,872,050.98",,"44,817,275.04","36,290,042.92",,"53,189,983.37","3,610,134.79","8,283,605.26","18,345,380.16","61,142,766.77","3,325,630.10","14,468,637.26","21,724,422.46","71,979,778.87","16,714,288.69","29,776,942.06","44,969,396.61","103,009,400.81","15,228,396.48","31,398,328.62","51,749,788.80","93,956,310.28","25,143,524.69"
期初现金及现金等价物余额,"107,798,642.95","114,698,014.75",,"121,026,603.47","159,179,522.54",,"159,179,522.54","576,577,893.01","576,577,893.01","576,577,893.01","576,577,893.01","451,205,658.32","451,304,169.47","451,304,169.47","451,304,169.47","325,022,580.77","289,022,580.77","289,022,580.77","289,022,580.77","188,433,545.46","188,433,545.46","188,433,545.46","188,433,545.46","524,466,351.59"
投资支付的现金,"79,000,000.00",,,"25,200,000.00","20,000,000.00",,"20,000,000.00","198,000,000.00","250,000,000.00","394,550,000.00","591,042,666.49","259,022,957.00","429,625,289.94","504,023,331.72","622,300,222.86","332,901,955.66","824,091,653.82","1,358,098,945.66","1,901,102,205.65","266,658,935.19","1,111,626,799.98","1,233,238,364.77","1,398,236,335.50","86,909,894.05"
期末现金及现金等价物余额,"114,698,014.75","121,026,603.47",,"159,179,522.54","146,292,963.71",,"576,577,893.01","335,256,853.96","280,857,045.34","160,335,616.87","451,304,169.47","240,288,602.72","134,224,878.20","77,128,977.99","325,022,580.77","139,785,866.51","74,850,191.61","39,675,993.97","188,433,545.46","836,577,989.72","74,183,078.07","365,677,972.93","524,466,351.59","178,136,195.04"
