科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
支付给职工以及为职工支付的现金,"1,793,807.55","2,079,047.13","4,137,394.47","2,599,651.99","6,594,382.54","2,290,518.54","5,645,027.53","8,104,389.11","9,779,022.34","2,657,756.99","6,723,907.07","9,839,724.95","13,491,472.83","3,720,367.38","8,929,954.91","12,932,242.01","24,444,878.06","19,542,737.17","34,645,000.54","52,190,941.93","69,318,863.76","24,928,899.61","44,112,292.03","63,880,491.54","103,559,880.05","26,316,380.72","56,471,142.42","86,101,817.85"
取得借款收到的现金,,"70,000,000.00","15,000,000.00","9,500,000.00","69,500,000.00",,,,,,,,,,,,"28,214,374.44","52,000,000.00","200,000,000.00","413,000,000.00","498,000,000.00","220,000,000.00","351,000,000.00","561,180,000.00","628,490,000.00","30,000,000.00","43,000,000.00","63,000,000.00"
支付的各项税费,"4,639,816.99","3,998,025.41","22,046,632.00","15,427,956.45","44,796,612.66","11,205,817.78","22,995,597.36","34,201,274.28","56,955,438.37","21,199,947.77","32,649,422.26","45,435,875.89","64,534,570.83","16,598,746.21","23,375,369.76","33,169,863.47","44,515,053.30","23,658,034.37","42,297,632.51","53,884,538.35","63,851,076.79","3,636,094.44","15,720,537.27","20,244,548.28","24,976,308.14","3,859,354.22","41,121,546.32","49,063,193.49"
收到其他与筹资活动有关的现金,,,,,,"200,000.00","200,000.00","200,000.00","200,000.00",,,,,,,,,,"100,000,000.00","100,000,000.00","143,980,000.00",,,"61,170,000.00","12,120,000.00","410,000.00","12,265,630.33","49,760,000.00"
支付其他与经营活动有关的现金,"21,482,895.46","15,715,669.13","36,211,525.38","12,439,829.22","37,076,831.37","19,858,169.86","24,609,594.10","50,801,935.01","74,722,608.89","54,630,988.30","60,574,632.85","66,539,071.60","71,473,452.59","20,541,181.68","75,346,304.00","87,688,796.72","130,180,924.37","27,820,197.25","63,939,994.51","148,023,737.78","205,825,223.29","77,003,579.70","184,583,610.05","279,418,104.43","277,032,691.98","26,747,397.68","58,054,050.43","122,462,747.59"
筹资活动现金流入小计,"25,000,000.00","70,000,000.00","17,450,000.00","9,500,000.00","69,500,000.00","639,200,000.00","639,200,000.00","639,200,000.00","639,200,000.00",,"4,900,000.00","4,900,000.00","4,900,000.00",,"4,900,000.00","4,900,000.00","832,564,371.88","56,900,000.00","304,900,000.00","517,900,000.00","646,880,000.00","220,000,000.00","351,000,000.00","2,794,459,175.67","2,812,719,175.67","30,410,000.00","55,265,630.33","112,760,000.00"
经营活动现金流出小计,"99,244,068.17","152,640,491.67","179,086,984.13","115,181,597.93","301,092,857.98","78,884,693.48","221,296,009.37","363,814,795.28","503,000,571.77","149,544,706.40","253,597,917.78","354,523,725.72","459,688,774.28","120,133,587.58","308,711,753.90","435,759,427.47","883,259,938.87","363,733,376.50","959,102,902.97","1,379,607,939.56","1,832,747,258.41","651,237,353.57","1,032,256,881.66","1,780,863,448.57","2,373,837,387.65","513,551,786.33","966,635,004.42","1,322,483,856.09"
偿还债务支付的现金,,,"24,500,000.00","25,000,000.00","70,250,000.00","99,750,000.00","99,750,000.00","99,750,000.00","99,750,000.00",,,,,,,,"10,000,000.00","55,000,000.00","90,000,000.00","170,000,000.00","170,000,000.00","102,000,000.00","240,000,000.00","510,000,000.00","963,440,000.00","38,000,000.00","59,000,000.00","153,300,000.00"
经营活动产生的现金流量净额,"-9,528,221.40","-25,543,329.39","44,640,762.29","-7,278,864.39","19,030,635.38","-57,176,122.04","-167,246,229.28","-190,135,957.90","-99,814,540.09","-11,281,864.57","-49,635,145.98","-89,585,962.58","-72,660,218.15","-12,121,612.68","-112,438,356.26","-140,863,663.43","-57,620,134.96","-116,079,215.81","-278,184,936.88","-447,040,238.51","-143,801,866.07","-239,793,683.72","-20,310,976.36","-331,937,442.87","-462,021,850.15","72,169,075.11","-130,231,460.88","-38,973,299.63"
分配股利、利润或偿还利息支付的现金,"12,165,855.00","3,057,050.00","5,642,566.65","3,016,516.25","6,025,973.87","1,692,267.51","13,692,267.50","13,692,267.50","13,692,267.50",,"36,000,000.00","36,000,000.00","36,000,000.00",,"22,440,000.00","22,440,000.00","25,885,094.44",,"42,042,709.94","47,474,335.52","52,484,394.28","6,497,965.47","71,020,829.95","78,076,438.62","81,428,993.84","914,647.93","3,318,711.68","85,971,667.62"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,"586,000,000.00","1,490,000,000.00","2,643,365,542.12"
支付其他与筹资活动有关的现金,,,,,,"6,390,000.00","6,390,000.00","6,390,000.00","6,390,000.00",,,,,,,,"4,229,632.60","3,066,071.82",,,"109,029,230.00",,"150,000.00","650,000.00","56,600,000.00","9,300,000.00","10,100,000.00","10,162,026.13"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,"2,577,502.28","7,522,066.46","15,148,670.30"
筹资活动现金流出小计,"12,165,855.00","3,057,050.00","30,142,566.65","28,016,516.25","76,275,973.87","107,832,267.51","119,832,267.50","119,832,267.50","119,832,267.50",,"36,000,000.00","36,000,000.00","36,000,000.00",,"22,440,000.00","22,440,000.00","40,114,727.04","58,066,071.82","132,042,709.94","217,474,335.52","331,513,624.28","108,497,965.47","311,170,829.95","588,726,438.62","1,101,468,993.84","48,214,647.93","72,418,711.68","249,433,693.75"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"120,000.00",,,,"-11,816.00","-11,972.80","-11,972.80",,,,,"365,000.00",,180.00,180.00,"24,180.00",,,,,,,,,,"2,671,881.13","2,763,875.13"
筹资活动产生的现金流量净额,"12,834,145.00","66,942,950.00","-12,692,566.65","-18,516,516.25","-6,775,973.87","531,367,732.49","519,367,732.50","519,367,732.50","519,367,732.50",,"-31,100,000.00","-31,100,000.00","-31,100,000.00",,"-17,540,000.00","-17,540,000.00","792,449,644.84","-1,166,071.82","172,857,290.06","300,425,664.48","315,366,375.72","111,502,034.53","39,829,170.05","2,205,732,737.05","1,711,250,181.83","-17,804,647.93","-17,153,081.35","-136,673,693.75"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,"5,350,605.75",,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,"-3,326.24","-3,116.71","-6,553.40","-10,758.80"
收到其他与投资活动有关的现金,,,,,,,,,,,,,"1,759,905.71",,,,,,,,,"30,849,779.25","30,849,779.25","30,849,779.25","30,849,779.25",,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"120,000.00",,,,"-11,816.00","-11,972.80","-11,972.80",,,,,"2,124,905.71",,180.00,180.00,"24,180.00",,,,,"30,849,779.25","30,849,779.25","30,849,779.25","36,200,385.00","588,577,502.28","1,500,193,947.59","2,661,278,087.55"
五、现金及现金等价物净增加额,"3,257,173.60","40,761,732.61","29,942,370.64","-25,996,731.64","11,329,634.51","474,158,044.45","351,806,580.42","328,868,796.68","419,418,211.61","-9,706,260.86","-100,897,864.27","-141,013,230.87","-124,769,407.44","-12,133,712.68","-130,073,921.26","-158,984,064.43","-44,498,879.46","-117,506,498.95","-147,893,093.14","-190,741,780.35","70,139,486.85","-98,512,347.42","32,615,159.65","1,886,549,544.54","839,391,606.36","42,526,826.75","-596,950,650.69","-295,274,998.38"
购建固定资产、无形资产和其他长期资产支付的现金,"48,750.00","757,888.00","2,005,825.00","201,351.00","925,027.00","21,750.00","302,950.00","351,005.12","118,120.00","184,302.00","1,922,624.00","2,087,174.00","3,134,095.00","12,100.00","95,745.00","580,581.00","991,159.00","261,211.32","42,563,815.25","44,125,575.25","67,211,136.22","1,070,477.48","17,752,813.29","18,095,528.89","32,990,166.23","411,986.00","3,387,353.17","3,629,184.27"
期初现金及现金等价物余额,"9,454,442.14","12,711,615.74","53,473,348.35","83,415,718.99","83,415,718.99","94,745,353.50","94,745,353.50","94,745,353.50","94,745,353.50","514,163,565.11","514,163,565.11","514,163,565.11","514,163,565.11","389,394,157.67","389,394,157.67","389,394,157.67","389,394,157.67","344,895,278.21","344,895,278.21","344,895,278.21","344,895,278.21","415,034,765.06","415,034,765.06","415,034,765.06","415,034,765.06","1,254,426,371.42","1,254,426,371.42","1,254,426,371.42"
投资支付的现金,,,,,,,,,,,"20,000,000.00","20,000,000.00","20,000,000.00",,,,,,,,,,,,"403,672,900.00","600,000,000.00","1,946,000,000.00","2,776,900,000.00"
期末现金及现金等价物余额,"12,711,615.74","53,473,348.35","83,415,718.99","57,418,987.35","94,745,353.50","568,903,397.95","446,551,933.92","423,614,150.18","514,163,565.11","504,457,304.25","413,265,700.84","373,150,334.24","389,394,157.67","377,260,444.99","259,320,236.41","230,410,093.24","344,895,278.21","227,388,779.26","197,002,185.07","154,153,497.86","415,034,765.06","316,522,417.64","447,649,924.71","2,301,584,309.60","1,254,426,371.42","1,296,953,198.17","657,475,720.73","959,151,373.04"
