科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,"470,000.00","470,000.00","470,000.00","470,000.00",,,,"6,200.00",,,,"28,934.79","4,696.50","397,459.00","398,140.50","412,861.00","5,468.50","7,130.00","223,441.00","229,293.00","6,128.50","22,960.50","33,411.50","41,867.50","7,405.50","12,146.00"
筹资活动产生的现金流量净额,,"1,649,143.18","46,966,684.62","-2,261,254.88","3,099,150.00","157,804,335.27","163,731,532.01","149,918,374.76","91,117,328.86","28,890,337.19","67,506,908.56","95,901,863.74","94,649,675.37","-10,196,266.67","-17,364,573.34","-20,480,188.89","29,761,176.02","-13,012,365.03","373,429,005.56","269,316,287.14","265,683,010.83","-13,117,474.86","-24,171,249.00","-23,839,012.58","-23,528,178.50","28,704,228.16","-14,527,358.43","-65,426,996.78","-51,166,971.37","-6,988,248.22","-11,710,645.75"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,86.28,"-35,713.92","-25,697.74","-56,645.77","-1,441.97","3,731.99","7,262.31","-2,547.27",-353.05,"-14,743.37","-18,821.99","4,115.24","32,500.92","19,322.63","19,265.59","41,914.20","9,559.27","-6,575.47","156,243.32","307,020.55","-25,634.37","102,692.24","121,114.10","224,173.73","-10,188.53","-61,051.59","-140,308.70","-183,235.73","-124,072.36","7,757.69"
收到其他与投资活动有关的现金,,,,,,,,,,,,,"678,007.88",,,,,,,,,,,,,,,,,,"40,514,800.17"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,"1,000,460.28",,,"470,000.00","470,000.00","470,000.00","470,000.00",,,,"684,207.88",,,,"28,934.79","4,696.50","397,459.00","398,140.50","412,861.00","5,468.50","7,130.00","223,441.00","229,293.00","6,128.50","22,960.50","33,411.50","41,867.50","7,405.50","40,526,946.17"
五、现金及现金等价物净增加额,"-2,036,533.01","14,190,642.44","56,819,835.11","-35,733,127.64","46,488,417.41","81,932,591.75","74,343,315.56","26,515,641.74","93,441,389.58","-81,772,369.55","-103,664,838.37","-118,359,797.13","-44,993,858.66","-47,489,644.82","-79,444,774.16","-129,349,189.07","-33,432,669.05","-89,557,543.61","275,331,950.64","118,746,829.42","178,370,369.02","-87,604,686.55","-136,820,627.44","-149,814,033.81","-49,258,941.30","-126,357,308.40","-91,586,561.67","-177,521,011.29","-82,317,396.12","-68,873,966.73","-42,891,142.87"
购建固定资产、无形资产和其他长期资产支付的现金,"10,300.00","665,666.10","30,934,540.52","9,877,715.92","5,961,693.10","2,911,379.94","4,595,712.52","10,748,580.94","28,843,971.00","3,100,493.50","6,953,079.90","12,943,107.40","26,335,772.40","2,449,559.00","5,739,172.89","6,035,823.89","35,277,891.57","556,674.00","2,792,905.37","5,063,321.96","22,698,331.07","5,340,916.52","22,099,705.95","28,247,411.29","50,010,452.11","6,869,235.94","19,735,237.06","33,698,526.65","41,253,932.52","526,477.03","741,585.55"
期初现金及现金等价物余额,"6,219,191.06","4,182,658.05","18,373,300.49","75,193,135.60","75,193,135.60","121,681,553.01","121,681,553.01","121,681,553.01","121,681,553.01","215,122,942.59","215,122,942.59","215,122,942.59","215,122,942.59","170,129,083.93","170,129,083.93","170,129,083.93","170,129,083.93","136,696,414.88","136,696,414.88","136,696,414.88","136,696,414.88","315,066,783.90","315,066,783.90","315,066,783.90","315,066,783.90","265,807,842.60","265,807,842.60","265,807,842.60","265,807,842.60","183,490,446.48","183,490,446.48"
投资支付的现金,,,"1,000,000.00",,,,,,,,,,,,"1,904,095.20","1,904,095.20","977,352.73",,,,,,"3,010,000.00","3,010,000.00","17,010,000.00",,,,"6,000,000.00","14,040,000.00","29,040,000.00"
期末现金及现金等价物余额,"4,182,658.05","18,373,300.49","75,193,135.60","39,460,007.96","121,681,553.01","203,614,144.76","196,024,868.57","148,197,194.75","215,122,942.59","133,350,573.04","111,458,104.22","96,763,145.46","170,129,083.93","122,639,439.11","90,684,309.77","40,779,894.86","136,696,414.88","47,138,871.27","412,028,365.52","255,443,244.30","315,066,783.90","227,462,097.35","178,246,156.46","165,252,750.09","265,807,842.60","139,450,534.20","174,221,280.93","88,286,831.31","183,490,446.48","114,616,479.75","140,599,303.61"
