科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月
支付给职工以及为职工支付的现金,"58,562,513.04","120,089,738.92","190,748,046.40","256,030,948.07","64,747,847.91","132,735,593.55","205,917,543.73","326,860,826.36","106,915,390.48","205,103,706.34","294,781,539.71","390,612,203.12","113,673,554.51","221,372,422.70","329,404,102.16","412,949,609.18","121,848,893.93","212,895,830.81","384,616,944.66"
取得借款收到的现金,"30,000,000.00","480,000,000.00","1,027,000,000.00","1,373,000,000.00",,"260,000,000.00","430,309,696.00","1,061,966,000.00","174,000,000.00","974,000,000.00","2,448,000,000.00","4,559,000,000.00","888,000,000.00","2,216,000,000.00","3,514,000,000.00","5,782,100,000.00","390,000,000.00","2,549,500,000.00","2,849,500,000.00"
支付的各项税费,"28,383,407.91","53,352,030.31","76,706,086.87","103,348,116.13","34,359,799.95","56,529,787.95","83,108,156.97","104,634,175.34","36,571,678.07","90,020,489.29","129,843,742.82","159,374,207.08","49,512,497.32","121,853,335.91","162,254,825.28","214,853,417.85","79,267,638.83","153,162,400.68","219,504,834.39"
收到其他与筹资活动有关的现金,,,"15,750.00","545,660.39",,,,"6,542,623.05","401,338.77","810,497.42","1,193,447.25","1,382,840.15","217,970.06","499,241.37","806,027.03","151,170,136.82","756,398.24","140,438,181.21","140,646,125.10"
支付其他与经营活动有关的现金,"106,152,670.27","148,742,838.05","290,142,826.05","320,971,590.46","88,376,900.60","147,989,283.76","294,727,754.33","443,849,057.26","322,043,302.16","559,931,398.14","589,895,830.07","488,911,236.22","219,759,433.21","497,771,225.66","507,516,877.63","715,745,296.37","268,125,284.77","441,973,595.12","748,882,787.21"
筹资活动现金流入小计,"30,000,000.00","480,000,000.00","1,272,015,750.00","1,618,545,660.39",,"260,000,000.00","430,309,696.00","1,068,508,623.05","174,401,338.77","974,810,497.42","2,596,193,447.25","4,881,332,840.15","1,045,017,970.06","2,530,099,241.37","3,911,706,027.03","6,555,820,036.82","390,756,398.24","2,782,107,181.21","3,082,315,125.10"
经营活动现金流出小计,"1,346,138,670.17","2,497,486,827.82","3,792,929,889.57","5,338,002,513.20","1,218,797,863.38","2,416,217,420.59","3,976,015,135.01","5,224,690,331.70","2,262,236,125.99","3,686,140,382.62","5,147,948,108.91","7,197,083,775.80","2,130,671,932.23","4,112,291,190.48","6,403,004,410.95","7,326,605,606.74","2,601,326,715.26","5,593,553,128.67","9,093,757,687.81"
偿还债务支付的现金,"312,500,000.00","670,000,000.00","1,009,500,000.00","1,335,500,000.00",,"60,000,000.00","215,359,141.33","530,000,000.00","1,359,141.33","313,591,413.34","517,762,395.34","1,737,591,413.34","20,000,000.00","370,000,000.00","654,000,000.00","995,000,000.00",,"350,000,000.00","510,000,000.00"
经营活动产生的现金流量净额,"-227,882,055.62","-185,859,254.72","-248,843,289.13","115,117,266.57","-172,616,499.88","-66,374,359.20","-18,374,215.47","507,390,733.26","-187,395,438.30","94,254,128.89","341,198,803.69","651,926,996.47","-117,443,037.72","-36,988,484.28","167,221,229.30","907,260,639.26","-185,942,576.52","-75,861,220.84","-471,588,663.34"
分配股利、利润或偿还利息支付的现金,"4,705,143.51","11,477,872.85","22,695,307.33","34,565,352.59","12,231,679.94","26,067,903.53","42,311,243.19","78,921,142.20","18,725,475.08","48,648,242.69","78,223,151.19","123,982,216.81","56,883,931.67","124,231,482.06","198,386,634.66","315,271,262.55","116,251,955.28","253,612,149.67","410,206,649.87"
收回投资收到的现金,"2,354,170.00","3,703,565.00","5,926,655.01","8,727,615.00","1,289,510.00","1,581,240.00","1,581,240.01","1,692,420.00",,,,"112,795,136.00",,,,"43,814,758.54",,,
支付其他与筹资活动有关的现金,,,,,,,,"3,230,578.36","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00",,,,,,"3,225,345.62","46,445,262.43"
取得投资收益收到的现金,"1,329,223.87","2,448,336.38","5,599,405.80","8,178,609.47","709,864.45","23,707,070.42","143,471,468.50","143,542,966.53",,,,"125,454,960.00",,,,,,,
筹资活动现金流出小计,"317,205,143.51","681,477,872.85","1,032,195,307.33","1,370,065,352.59","12,231,679.94","86,067,903.53","257,670,384.52","612,151,720.56","28,084,616.41","370,239,656.03","603,985,546.53","1,869,573,630.15","76,883,931.67","494,231,482.06","852,386,634.66","1,310,271,262.55","116,251,955.28","606,837,495.29","966,651,912.30"
处置固定资产、无形资产和其他长期资产收回的现金净额,"414,800.00","2,271,180.00","3,468,545.00","3,866,806.00","223,600.00","300,800.00","401,855.00","405,810.00","440,300.00","902,160.00","907,610.00","1,112,610.00","263,100.00","1,037,372.00","1,387,141.50","3,108,378.86","722,607.00","1,582,907.00","1,958,667.00"
筹资活动产生的现金流量净额,"-287,205,143.51","-201,477,872.85","239,820,442.67","248,480,307.80","-12,231,679.94","173,932,096.47","172,639,311.48","456,356,902.49","146,316,722.36","604,570,841.39","1,992,207,900.72","3,011,759,210.00","968,134,038.39","2,035,867,759.31","3,059,319,392.37","5,245,548,774.27","274,504,442.96","2,175,269,685.92","2,115,663,212.80"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,"-23,595.05",,"-72,133.04",,,,"-29,148.14",,"-4,008.58","-8,611.01","-9,501.78",,"-16,468.11","-69,168.31","-159,207.75","-36,213.91","-80,629.73","-123,119.87"
收到其他与投资活动有关的现金,,,,"1,519,649.43",,,,,,,,,,,"33,690,000.00",,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"4,098,193.87","8,423,081.38","14,994,605.81","22,292,679.90","2,222,974.45","25,589,110.42","145,454,563.51","145,641,196.53","440,300.00","902,160.00","907,610.00","239,362,706.00","263,100.00","1,037,372.00","35,077,141.50","46,923,137.40","722,607.00","1,582,907.00","1,958,667.00"
五、现金及现金等价物净增加额,"-519,386,100.35","-396,963,954.19","-28,656,610.86","222,530,196.69","-212,370,425.26","-101,968,614.17","-182,837,780.95","350,257,069.23","-313,459,084.33","-446,272,864.58","200,295,593.24","630,944,415.32","-591,874,207.69","-735,293,546.16","-720,827,733.95","132,969,802.01","-551,559,815.86","327,234,967.26","-641,859,064.05"
购建固定资产、无形资产和其他长期资产支付的现金,"6,042,925.09","14,322,747.95","15,570,269.71","63,368,267.74","28,455,709.89","233,534,221.86","480,976,200.46","757,329,094.91","272,820,668.39","1,145,995,986.28","2,133,204,853.12","3,270,774,284.22","1,442,580,421.04","2,734,691,048.01","3,981,733,460.64","6,061,285,641.17","640,808,075.39","1,773,675,775.09","2,287,769,160.64"
期初现金及现金等价物余额,"865,896,442.00",,"865,896,442.00","865,896,442.00","1,088,426,638.69",,"1,088,426,638.69","1,088,426,638.69","1,438,683,707.92","1,438,683,707.92","1,438,683,707.92","1,438,683,707.92","2,070,629,283.47","2,070,629,283.47","2,070,629,283.47","2,069,628,123.24","2,202,597,925.25","2,202,597,925.25","2,202,597,925.25"
投资支付的现金,"2,354,170.00",,"19,058,100.50","21,885,626.00","1,289,510.00","1,581,240.00","1,581,240.01","1,773,520.00",,,,,,,,"5,317,900.00",,,
期末现金及现金等价物余额,"346,510,341.65",,"837,239,831.14","1,088,426,638.69","876,056,213.43",,"905,588,857.74","1,438,683,707.92","1,125,224,623.59","992,410,843.34","1,638,979,301.16","2,069,628,123.24","1,478,755,075.78","1,335,335,737.31","1,349,801,549.52","2,202,597,925.25","1,651,038,109.39","2,529,832,892.51","1,560,738,861.20"
