科目,2007年度,2008年度,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"484,724.82","1,734,450.83","2,365,799.40","3,566,391.36","176,722.36","-1,525,353.23","-3,217,417.04","-3,224,629.85","1,025,853.16","3,539,595.23","4,902,168.05","7,758,443.72","2,309,885.41","3,702,145.41","6,204,720.34","8,836,155.79","2,357,230.20","5,813,182.98","9,908,599.83","14,929,386.45","5,497,542.62","11,743,904.08","19,690,495.05","26,670,329.88","10,043,310.89","17,492,058.91","30,744,638.64","39,967,596.18","7,759,598.99","17,986,616.78","25,841,879.78","39,552,415.46","10,379,132.38","30,560,720.07","39,643,842.20","42,605,830.03"
三、利润总额,"12,514,665.63","43,747,130.41","33,273,355.22","50,918,934.89","3,984,270.38","12,628,695.37","18,530,588.41","28,040,895.98","6,912,932.15","14,209,877.52","19,864,770.74","32,975,194.60","6,619,132.92","15,820,702.60","27,720,452.86","47,756,786.58","6,462,912.79","18,000,691.70","32,157,111.48","68,677,995.06","6,767,174.03","17,461,850.11","46,110,635.61","71,721,888.60","7,614,028.59","25,796,456.42","44,474,517.72","62,272,406.25","10,363,075.27","47,918,749.16","90,109,369.62","136,133,260.10","11,352,187.18","195,948,873.37","344,197,343.17","552,096,512.02"
资产减值损失,"142,866.95","1,043,563.80","1,197,723.47","3,236,103.78","168,935.59","818,315.93","2,463,855.69","2,737,395.35","-1,486,802.23","-2,005,937.67","-1,918,147.72","-1,175,726.78","-3,419.14","292,064.38","-602,053.02","2,524,367.36","33,058.63","2,483,022.02","2,614,549.57","12,031,279.67","-1,448,610.70","-2,120,334.55","-4,097,767.08","13,571,909.04","-1,568,625.14","-3,885,525.75","-6,376,478.18","12,256,477.94","203,784.25","-6,250,121.25","-7,126,619.51","27,139,778.81","-6,663,056.84","-11,296,855.22","-15,421,167.70","3,609,410.86"
减:所得税,"89,958.64","4,100,970.32","3,149,591.70","5,148,957.26","450,980.74","1,375,926.64","2,149,210.73","2,487,474.59","1,729,259.91","2,303,676.11","3,575,725.25","5,344,904.21","935,150.50","3,154,384.40","4,147,497.03","5,847,268.06","485,440.71","2,951,384.69","5,290,025.62","9,120,720.26","3,022,120.70","4,393,659.46","11,066,816.94","10,072,775.94","2,006,508.69","5,513,822.51","9,693,339.72","6,098,949.57","2,084,037.74","7,840,241.97","9,729,476.05","13,388,023.26","1,055,655.07","12,725,061.46","19,636,670.07","56,574,672.55"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,"288,791.77",,,"147,304.86","680,982.12","-1,728,728.61","-4,268,509.98","-2,950,032.76","1,794,992.42","-1,348,956.72","-1,830,274.77","-1,868,681.24","-705,054.49","-594,032.03","-1,392,624.07","-1,987,132.66","934,948.59","215,949.74","-72,398.18","209,172.13","23,882,108.26","126,197.30","110,157.06","30,267.69","1,502,094.88"
四、净利润,"12,424,706.99","39,646,160.09","30,123,763.52","45,769,977.63","3,533,289.64","11,252,768.73","16,381,377.68","25,553,421.39","5,183,672.24","11,906,201.41","16,289,045.49","27,630,290.39","5,683,982.42","12,666,318.20","23,572,955.83","41,909,518.52","5,977,472.08","15,049,307.01","26,867,085.86","59,557,274.80","3,745,053.33","13,068,190.65","35,043,818.67","61,649,112.66","5,607,519.90","20,282,633.91","34,781,178.00","56,173,456.68","8,279,037.53","40,078,507.19","80,379,893.57","122,745,236.84","10,296,532.11","183,223,811.91","324,560,673.10","495,521,839.47"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,"886,675.67",,,,"302,794.82",,,,
归属于母公司所有者的净利润,"12,359,677.73","39,551,613.12","30,109,695.11","45,755,909.22","3,533,289.64","11,252,768.73","16,907,646.50","25,693,276.72","5,549,739.36","11,939,561.99","17,068,992.24","27,722,987.43","5,387,882.63","12,464,000.99","22,618,206.24","33,625,853.56","4,345,131.42","13,351,394.43","25,331,933.10","50,322,859.52","5,069,653.09","13,936,213.03","33,409,194.06","53,376,523.97","5,674,974.76","20,423,290.23","35,837,073.42","56,496,383.86","6,184,218.23","39,181,663.21","70,260,938.44","108,104,837.38","6,550,845.82","175,026,392.93","318,023,626.69","487,268,383.64"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"65,029.26","94,546.97","14,068.41","14,068.41",,,"-526,268.82","-139,855.33","-366,067.12","-33,360.58","-779,946.75","-92,697.04","296,099.79","202,317.21","954,749.59","8,283,664.96","1,632,340.66","1,697,912.58","1,535,152.76","9,234,415.28","-1,324,599.76","-868,022.38","1,634,624.61","8,272,588.69","-67,454.86","-140,656.32","-1,055,895.42","-322,927.18","2,094,819.30","896,843.98","10,118,955.13","14,640,399.46","3,745,686.29","8,197,418.98","6,537,046.41","8,253,455.83"
