科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
偿还债务支付的现金,,"28,312,437.39",,,,"1,005,000.00","1,005,000.00","1,005,000.00","1,005,000.00",,,,,,,,,
经营活动产生的现金流量净额,"53,576,697.85","275,207,430.81","218,969,529.42","290,481,582.64","342,513,938.26","181,373,351.32","261,750,657.61","293,465,930.00","497,265,602.36","143,770,305.05","215,922,444.47","396,792,727.44","681,593,721.70","130,629,851.11","184,818,616.47","374,517,430.12","717,497,928.03","-37,064,292.60"
分配股利、利润或偿还利息支付的现金,"40,021,588.23","42,552,968.78","45,000,000.00","24,768,801.78","24,783,612.97",,"230,000,000.00","230,000,000.00","230,007,076.46",,"228,000,000.00","228,000,000.00","230,000,000.00",,"230,000,000.00","230,000,000.00","230,000,000.00",
收回投资收到的现金,"225,081,566.26",,"11,500,000.00","11,200,000.00","36,200,000.00","45,000,000.00","290,300,000.00","610,300,000.00","1,100,300,000.00","670,000,000.00","1,575,000,000.00","2,518,000,000.00","3,508,833,872.20","735,000,000.00","1,768,000,000.00","2,637,962,283.22","3,637,962,283.22","1,250,000,000.00"
支付其他与筹资活动有关的现金,"702,000.00","1,565,292.00","1,203,900.00",,,"45,486,792.46","9,926,792.46","9,926,792.46","15,580,000.00",,,"9,230,200.00",,,,,,
取得投资收益收到的现金,,,"66,023.29","45,493.73","879,281.69","158,150.69","722,835.72","4,189,979.12","14,616,085.50","4,853,164.40","12,610,969.19","18,493,047.28","77,979,921.87","5,681,232.87","12,743,282.98","49,921,340.13","67,881,081.60","12,609,342.08"
筹资活动现金流出小计,"40,723,588.23","72,430,698.17","46,203,900.00","24,768,801.78","24,783,612.97","46,491,792.46","240,931,792.46","240,931,792.46","246,592,076.46",,"228,000,000.00","237,230,200.00","230,000,000.00",,"230,000,000.00","230,000,000.00","230,000,000.00",
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,796,227.22","5,116,077.60","3,963,943.42","620,710.30","1,713,280.99","582,200.00","796,000.00","1,408,399.58","201,476.96","2,011,150.00","2,061,150.00","2,122,300.00","2,263,811.00","217,000.00","275,390.00","401,130.00","3,205,147.14","81,000.00"
筹资活动产生的现金流量净额,"-7,821,150.84","-67,425,298.17","-777,900.00","-8,763,801.78","-8,778,612.97","742,508,207.54","512,508,207.54","532,508,207.54","547,847,923.54",,"-198,000,000.00","-196,111,400.00","-198,000,000.00",,"-230,000,000.00","-230,000,000.00","-230,000,000.00",
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,"-224,874.48","-1,042,802.50","-878,666.66",,,"1,286,469.19","2,258,584.76","384,069.35","821,643.24","698,385.51","1,844,015.21","305,633.39","21,521.70","-383,276.59","-1,344,827.14","-1,496,045.21"
收到其他与投资活动有关的现金,,,,,,"4,281,850.85","8,380,201.98","9,305,309.35",,,,,"2,099,696.81",,,"60,293,951.70","60,293,951.70",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"226,877,793.48","5,116,077.60","15,529,966.71","11,866,204.03","38,792,562.68","50,022,201.54","300,199,037.70","625,203,688.05","1,115,117,562.46","676,864,314.40","1,589,672,119.19","2,538,615,347.28","3,591,177,301.88","740,898,232.87","1,781,018,672.98","2,748,578,705.05","3,769,342,463.66","1,262,690,342.08"
五、现金及现金等价物净增加额,"-20,023,871.17","77,788,646.50","-37,424,929.04","56,979,982.60","86,731,853.95","890,374,443.11","26,662,414.91","157,407,081.17","313,527,167.47","290,888,135.82","-249,602,166.07","-122,428,149.14","49,356,411.04","93,480,793.32","-395,232,783.27","-192,751,250.62","-131,280,459.27","955,907,425.20"
购建固定资产、无形资产和其他长期资产支付的现金,"67,657,211.66","135,109,563.74","257,921,650.69","200,861,199.79","250,217,367.36","36,215,026.92","80,697,961.36","106,026,446.23","128,662,505.65","35,130,552.98","85,018,372.97","139,423,209.37","209,258,627.75","53,352,924.05","318,091,594.42","427,464,109.20","538,776,023.82","53,222,579.07"
期初现金及现金等价物余额,"93,371,299.21","73,347,428.04","151,136,074.54","113,711,145.50","113,711,145.50","200,442,999.45","200,442,999.45","200,442,999.45","200,442,999.45","513,970,166.92","513,970,166.92","513,970,166.92","513,970,166.92","563,326,577.96","563,326,577.96","563,326,577.96","563,326,577.96","432,046,118.69"
投资支付的现金,"225,000,000.00",,"13,000,000.00","34,700,000.00","34,700,000.00","45,000,000.00","960,300,000.00","1,180,300,000.00","1,720,300,000.00","495,000,000.00","1,773,000,000.00","2,723,000,000.00","3,818,000,000.00","725,000,000.00","1,813,000,000.00","2,658,000,000.00","3,848,000,000.00","215,000,000.00"
期末现金及现金等价物余额,"73,347,428.04","151,136,074.54","113,711,145.50","170,691,128.10","200,442,999.45","1,090,817,442.56","227,105,414.36","357,850,080.62","513,970,166.92","804,858,302.74","264,368,000.85","391,542,017.78","563,326,577.96","656,807,371.28","168,093,794.69","370,575,327.34","432,046,118.69","1,387,953,543.89"
