科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月
支付给职工以及为职工支付的现金,"14,634,677.26","37,689,297.86","58,294,117.37","105,584,444.80","20,441,227.26","48,984,579.28","76,576,987.62","109,158,597.99","21,412,924.75","41,845,845.10","64,140,160.67","103,407,173.33","23,608,666.13","50,212,729.10","72,014,087.55","110,695,035.18","20,764,924.50","52,093,260.30","76,903,729.11","109,445,815.83","23,458,824.54","69,775,093.68","97,963,317.56","144,159,074.27","26,765,288.54","54,693,054.03","88,258,204.04","121,583,858.86","39,058,775.44","63,234,913.87","99,611,182.43","142,722,120.02","29,165,251.84","52,955,811.37","81,521,936.59","119,164,595.83","27,398,658.69","174,878,072.68","414,643,512.04","681,863,058.95","723,008,086.91","968,221,304.00"
取得借款收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,650,000,000.00","2,050,000,000.00","300,000,000.00","600,000,000.00"
支付的各项税费,"65,763,998.44","107,742,387.39","144,298,670.67","180,742,786.63","81,045,659.20","118,468,373.62","152,572,582.45","206,868,538.41","101,515,217.27","143,055,888.69","175,317,660.23","255,162,915.92","124,783,531.79","172,676,837.72","212,446,667.09","283,693,595.26","160,947,954.65","211,787,147.53","263,893,970.25","341,654,575.37","184,723,641.86","240,528,137.02","292,316,004.06","349,496,313.13","150,175,396.80","207,754,585.70","244,283,404.51","298,398,382.94","89,165,323.74","131,075,756.32","164,652,819.23","224,909,249.41","78,393,727.24","112,531,792.89","144,234,839.81","175,280,382.10","67,489,328.63","313,152,296.89","490,539,469.05","606,483,823.09","231,064,504.65","440,269,451.90"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,400,000,000.00"
支付其他与经营活动有关的现金,"19,271,520.55","94,350,880.96","127,146,863.12","154,812,616.84","49,246,770.87","90,983,756.68","151,617,045.94","199,056,275.02","40,800,248.19","87,580,800.75","137,474,315.98","188,275,273.89","66,092,140.53","413,210,986.27","461,790,461.32","517,689,193.44","55,002,870.59","108,919,064.27","204,380,880.00","320,617,004.33","125,924,616.79","129,934,795.70","186,005,036.51","317,698,575.51","94,206,350.10","146,534,530.74","172,552,044.51","324,248,436.60","90,592,699.52","169,554,420.56","300,141,555.07","354,072,206.39","47,053,574.87","126,549,263.71","198,360,934.40","230,470,986.89","75,287,566.20","6,150,533,740.60","7,725,554,768.74","5,615,425,755.67","3,307,395,296.29","3,172,096,232.83"
筹资活动现金流入小计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,952,887,608.25","9,952,887,608.25","13,117,887,608.25","13,571,152,608.25","300,000,000.00","7,312,710,000.00"
经营活动现金流出小计,"635,964,302.05","1,235,702,189.38","1,737,372,214.51","2,481,244,067.50","948,795,265.96","1,567,547,142.44","2,239,802,960.02","2,951,396,232.34","905,820,065.59","1,619,484,543.05","2,228,709,688.62","3,222,766,660.52","1,079,075,703.30","2,184,832,668.28","2,962,145,281.26","3,951,641,140.20","1,469,116,424.97","2,423,211,417.44","3,420,967,583.77","4,653,966,741.99","1,521,759,261.31","2,605,001,469.23","3,632,643,108.16","4,960,256,830.90","1,470,566,838.01","2,472,481,249.49","3,377,699,590.20","4,476,601,861.94","1,208,778,896.41","2,076,853,880.57","2,920,569,477.26","3,707,158,665.33","893,860,661.15","1,602,769,211.20","2,301,073,221.01","2,987,541,133.10","895,715,976.43","9,286,954,024.82","16,214,157,169.41","18,202,613,935.28","9,879,438,310.92","16,038,822,855.26"
偿还债务支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,980,000.00","47,980,000.00","1,247,980,000.00","2,716,000,000.00","4,462,540,000.00"
经营活动产生的现金流量净额,"111,153,331.49","34,646,717.00","220,536,183.03","333,975,496.62","71,238,050.50","35,476,756.88","134,106,913.59","315,224,316.43","35,133,127.01","29,297,153.65","296,878,037.72","439,969,415.40","164,334,486.35","-167,179,561.20","173,602,762.92","457,760,864.21","-7,340,976.70","-29,361,970.52","338,983,650.29","727,269,677.40","-126,444,037.07","-201,557,355.08","153,577,771.80","418,446,234.71","-46,931,153.91","-102,291,050.18","61,708,880.50","319,575,440.11","-174,122,605.17","-227,048,622.47","-175,531,291.02","56,818,303.26","-82,227,779.65","-140,100,793.47","-52,284,867.76","106,071,799.56","-74,795,200.22","-5,215,748,585.57","-5,900,699,688.06","-5,835,727,710.32","-1,196,576,521.49","-4,304,457,634.29"
分配股利、利润或偿还利息支付的现金,,"31,084,559.98","31,084,559.98","64,612,459.49",,,"88,543,000.02","88,543,000.02",,"56,988,360.00","56,988,360.00","118,456,175.31",,"51,807,600.00","107,687,432.10","107,687,432.10",,,"143,583,242.80","143,583,242.80",,"86,346,000.00","179,479,053.50","179,479,053.50",,"86,346,000.00","179,479,053.50","179,479,053.50",,,"179,479,053.50","179,479,053.50",,"179,479,053.50","179,479,053.50","179,479,053.50",,"553,243,124.09","661,877,461.71","771,076,492.51","216,136,639.68","703,038,329.83"
收回投资收到的现金,,,,"19,200,000.00",,"106,530.00","106,530.00","106,530.00",,,,,,,,,,,,"1,462,000,000.00","750,000,000.00","1,037,000,000.00","1,737,000,000.00","2,537,000,000.00","100,000,000.00","700,000,000.00","770,000,000.00","1,419,880,000.00","400,000,000.00","500,000,000.00","849,650,000.00","2,289,650,000.00","200,000,000.00","1,040,000,000.00","2,430,000,000.00","3,980,000,000.00","970,000,000.00","932,042,919.97",,"1,071,881,322.25","1,239,020,790.74","595,466,524.99"
支付其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"267,054,092.55","282,069,092.49",,"505,876,892.15"
取得投资收益收到的现金,,"20,000.00","3,920,000.00","6,696,202.30",,"7,844,882.43","7,844,882.43","9,664,324.14",,,,"90,000.00",,,,,,,,"4,956,958.90","6,234,547.94","7,176,361.64","24,069,498.47","43,282,375.18","2,293,150.68","9,725,104.05","10,505,120.49","40,358,345.94","3,372,532.89","4,851,984.95","15,389,154.32","66,115,178.65","2,563,150.68","18,944,958.91","33,513,739.64","82,464,815.60","7,830,634.25","79,033,979.76","234,784,778.11","349,671,731.96","168,979,934.27","360,055,694.69"
筹资活动现金流出小计,,"31,084,559.98","31,084,559.98","64,612,459.49",,,"88,543,000.02","88,543,000.02",,"56,988,360.00","56,988,360.00","118,456,175.31",,"51,807,600.00","107,687,432.10","107,687,432.10",,,"143,583,242.80","143,583,242.80",,"86,346,000.00","179,479,053.50","179,479,053.50",,"86,346,000.00","179,479,053.50","179,479,053.50",,,"179,479,053.50","179,479,053.50",,"179,479,053.50","179,479,053.50","179,479,053.50",,"571,223,124.09","976,911,554.26","2,301,125,585.00","2,932,136,639.68","5,671,455,221.98"
处置固定资产、无形资产和其他长期资产收回的现金净额,"6,580.00","16,080.00","17,080.00","19,700.00","5,000.00","95,000.00","97,460.00","101,460.00","464,875.00","1,441,916.00","1,045,554.73","2,480,108.92",,"47,208.64","360,337.43","15,390,701.58","1,200.00","-1,730,107.15","-1,677,877.15",,980.00,,,,"60,895.72","62,618.15","131,434.47","179,047.56","1,750.00","142,628.11","144,398.10","167,418.02","8,900.00","12,047.97","16,821.63","30,545.37","13,563.17","616,154.71","88,678.10","36,744.55","30,336.46","33,385.70"
筹资活动产生的现金流量净额,,"-31,084,559.98","-31,084,559.98","-64,612,459.49",,,"-88,543,000.02","-88,543,000.02",,"-56,988,360.00","-56,988,360.00","-118,456,175.31",,"-51,807,600.00","-107,687,432.10","-107,687,432.10",,,"-143,583,242.80","-143,583,242.80",,"-86,346,000.00","-179,479,053.50","-179,479,053.50",,"-86,346,000.00","-179,479,053.50","-179,479,053.50",,,"-179,479,053.50","-179,479,053.50",,"-179,479,053.50","-179,479,053.50","-179,479,053.50","9,952,887,608.25","9,381,664,484.16","12,140,976,053.99","11,270,027,023.25","-2,632,136,639.68","1,641,254,778.02"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200,000,000.00",,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,203,941.13","1,536,994.07","3,705,197.01","-313,400.36","-1,290,859.93"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,646,886,408.54","7,449,776,408.54",,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"6,580.00","36,080.00","3,937,080.00","25,915,902.30","5,000.00","8,046,412.43","8,048,872.43","9,872,314.14","464,875.00","1,441,916.00","1,045,554.73","2,570,108.92",,"47,208.64","360,337.43","15,390,701.58","1,200.00","-1,730,107.15","-1,677,877.15","1,466,956,958.90","756,235,527.94","1,044,176,361.64","1,761,069,498.47","2,580,282,375.18","102,354,046.40","709,787,722.20","780,636,554.96","1,460,417,393.50","403,374,282.89","504,994,613.06","865,183,552.42","2,355,932,596.67","202,572,050.68","1,058,957,006.88","2,463,530,561.27","4,062,495,360.97","977,844,197.42","8,658,579,462.98","7,684,649,864.75","1,621,589,798.76","1,408,031,061.47","955,555,605.38"
五、现金及现金等价物净增加额,"110,175,810.49","1,401,566.92","189,403,135.25","289,890,893.48","70,789,020.50","41,904,775.91","50,806,850.70","223,356,421.31","34,609,837.93","-27,635,512.43","238,225,598.39","320,984,271.79","-147,532,076.53","-221,617,682.54","36,103,946.16","310,549,037.20","-7,550,293.82","-33,415,261.20","190,050,435.36","253,191,329.47","-428,331,508.29","-789,708,012.08","-460,836,189.79","406,941,992.20","-696,241,855.45","-685,677,035.26","-925,618,224.68","-358,918,363.97","-471,496,981.75","-529,531,337.32","-786,094,967.08","-1,108,460,769.19","-95,964,186.93","77,524,917.42","-312,914,816.16","-243,814,248.55","1,176,053,905.45","12,805,854,312.88","13,450,708,264.52","14,157,366,701.93","-2,440,757,501.48","-3,020,890,521.25"
购建固定资产、无形资产和其他长期资产支付的现金,"984,101.00","2,196,670.10","3,985,567.80","5,388,045.95","454,030.00","1,618,393.40","2,805,935.30","13,197,209.24","988,164.08","1,386,222.08","2,709,634.06","3,099,077.22","311,866,562.88","2,677,729.98","30,171,722.09","54,915,096.49","210,517.12","2,323,183.53","3,672,094.98","33,791,071.92","8,122,999.16","8,962,735.66","8,986,665.66","25,302,544.80","1,664,747.94","6,947,707.28","18,604,606.64","39,552,144.08","1,098,659.47","7,827,327.91","6,618,174.98","202,082,615.62","66,308,457.96","71,752,242.49","156,581,456.17","134,370,355.58",,"19,844,989.82","41,773,591.53","106,612,015.31","19,762,001.42","61,952,410.43"
期初现金及现金等价物余额,"917,859,550.88","917,859,550.88","917,859,550.88","917,859,550.88","1,207,750,444.36","1,207,750,444.36","1,207,750,444.36","1,207,750,444.36","1,431,106,865.67","1,431,106,865.67","1,431,106,865.67","1,431,106,865.67","1,752,091,137.46","1,752,091,137.46","1,752,091,137.46","1,752,091,137.46","2,062,640,174.66","2,062,640,174.66","2,062,640,174.66","2,062,640,174.66","2,315,831,504.13","2,315,831,504.13","2,315,831,504.13","2,315,831,504.13","2,722,773,496.31","2,722,773,496.33","2,722,773,496.33","2,722,773,496.33","2,363,855,132.36","2,363,855,132.36","2,363,855,132.36","2,363,855,132.36","1,255,394,363.17","1,255,394,363.17","1,255,394,363.17","1,255,394,363.17","1,011,580,114.62","1,011,580,114.62","1,011,580,114.62","1,011,580,114.62","15,168,946,816.55","15,168,946,816.55"
投资支付的现金,,,,,,,,,,,,,,,,,,,,"1,762,000,000.00",,"1,537,000,000.00","2,187,000,000.00","2,387,000,000.00","750,000,000.00","1,199,880,000.00","1,569,880,000.00","1,919,880,000.00","699,650,000.00","799,650,000.00","1,289,650,000.00","3,139,650,000.00","150,000,000.00","590,100,000.00","2,388,100,000.00","4,098,532,000.00","850,000,000.00",,"355,452,520.25",,,"1,250,000,000.00"
期末现金及现金等价物余额,"1,028,035,361.37","919,261,117.80","1,107,262,686.13","1,207,750,444.36","1,278,539,464.86","1,249,655,220.27","1,258,557,295.06","1,431,106,865.67","1,465,716,703.60","1,403,471,353.24","1,669,332,464.06","1,752,091,137.46","1,604,559,060.93","1,530,473,454.92","1,788,195,083.62","2,062,640,174.66","2,055,089,880.84","2,029,224,913.46","2,252,690,610.02","2,315,831,504.13","1,887,499,995.84","1,526,123,492.05","1,854,995,314.34","2,722,773,496.33","2,026,531,640.86","2,037,096,461.07","1,797,155,271.65","2,363,855,132.36","1,892,358,150.61","1,834,323,795.04","1,577,760,165.28","1,255,394,363.17","1,159,430,176.24","1,332,919,280.59","942,479,547.01","1,011,580,114.62","2,187,634,020.07","13,817,434,427.50","14,462,288,379.14","15,168,946,816.55","12,728,189,315.07","12,148,056,295.30"
