科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付给职工以及为职工支付的现金,"218,372,719.43","260,545,262.04","288,279,751.03","182,191,842.19","251,263,604.13","317,789,736.48","91,432,695.94","173,352,420.57","247,342,394.42","323,764,474.75","97,504,637.21","195,705,862.18","298,627,467.33","413,840,381.52","131,766,671.82","246,202,915.80","368,997,083.08","499,503,027.62","142,028,374.33","264,367,806.59","382,561,331.81","529,846,716.81","174,450,753.71","319,689,164.29","472,110,770.83","642,671,132.11"
取得借款收到的现金,"2,644,000,000.00","1,081,000,000.00",,,,,,,,,,,"3,572,626.00","3,572,626.00","2,454,988.14","8,576,816.72","8,576,816.72","62,626,816.72","33,850,000.00","85,458,689.64","111,094,646.25","138,067,359.00","3,669,881.44","63,163,322.36","70,541,943.83","83,435,515.17"
支付的各项税费,"230,230,042.91","241,998,659.97","260,567,115.23","175,264,240.33","249,184,369.37","346,186,159.59","67,359,293.55","176,684,121.09","242,320,249.17","338,185,908.32","53,722,765.06","154,547,716.22","242,467,144.28","338,919,312.12","45,802,851.89","159,940,555.19","215,191,406.49","321,569,175.99","85,479,817.28","212,331,754.95","307,666,811.11","444,123,617.58","51,841,654.92","165,834,983.92","256,137,393.57","382,154,921.05"
收到其他与筹资活动有关的现金,"61,135,241.65","798,996.70","80,000,000.00","24,206,271.01","64,587,063.87","22,996,271.01","160,070,485.20","165,070,485.20","165,070,485.20","76,807,563.14","14,425,231.85","14,425,231.85","35,874,766.19","53,647,497.99","6,852,768.34","29,367,199.44","29,642,485.69","213,292,485.69","11,725,957.61","347,274,164.19","347,274,164.19","342,866,449.90","739,736,568.04","739,736,568.04","739,736,568.04","702,295,596.93"
支付其他与经营活动有关的现金,"234,099,250.58","216,860,814.09","225,139,804.90","128,798,117.99","245,476,412.67","267,655,380.53","99,531,423.08","150,286,102.66","233,754,859.88","252,792,842.17","136,951,288.26","97,557,797.09","180,802,936.11","268,157,949.43","74,959,861.58","122,649,052.83","198,757,459.39","268,509,468.68","167,686,090.58","124,749,675.74","223,496,048.96","331,774,137.98","125,637,749.75","175,372,276.58","283,808,962.71","370,045,678.11"
筹资活动现金流入小计,"2,705,135,241.65","1,089,638,996.70","111,360,000.00","24,206,271.01","565,287,063.87","523,696,271.01","160,070,485.20","165,070,485.20","165,070,485.20","90,807,563.14","17,925,231.85","17,925,231.85","84,010,537.99","120,856,801.76","21,557,756.48","51,628,101.02","99,512,078.59","347,887,456.80","45,575,957.61","447,732,853.83","538,977,593.54","566,086,631.95","744,060,030.92","804,172,173.28","811,550,794.75","816,403,394.98"
经营活动现金流出小计,"3,853,308,992.63","4,948,466,591.95","6,166,363,296.28","3,124,281,410.83","4,596,623,066.07","6,088,083,728.80","1,647,277,095.97","3,134,687,245.53","4,667,966,702.16","6,124,288,931.85","1,433,791,384.04","2,793,732,518.53","4,355,561,021.39","5,845,658,619.25","1,382,322,774.79","2,751,032,419.60","4,375,087,891.27","6,092,640,559.05","1,891,341,988.56","3,591,041,140.19","5,444,398,793.16","7,571,706,978.50","1,989,345,208.50","4,334,198,060.74","6,618,930,526.36","9,431,470,350.84"
偿还债务支付的现金,"2,638,500,000.00","2,469,000,000.00",,,,,,,,,,,,,,,"53,000,000.00","123,294,103.86","41,810,054.85","97,488,129.16","157,652,393.58","207,821,495.23","21,996,922.53","51,478,479.02","103,892,543.43","131,631,270.88"
经营活动产生的现金流量净额,"699,244,230.82","520,708,833.18","479,184,534.11","24,623,717.19","214,851,881.28","484,058,698.92","60,852,221.64","378,912,485.60","525,288,456.21","543,808,053.91","-18,295,458.24","312,015,518.24","586,961,412.42","733,564,383.39","40,897,553.72","374,829,371.03","502,554,309.90","1,023,575,586.02","162,695,987.10","477,220,631.42","655,230,488.31","1,273,632,652.85","316,288,240.98","271,548,007.24","480,733,890.87","1,169,219,267.37"
分配股利、利润或偿还利息支付的现金,"1,980,875.33","2,704,633.35",,"45,017,593.60","45,017,593.60","45,220,000.00",,"146,402,524.06","146,419,000.05","146,419,000.05","8,160,000.00","172,264,362.17","172,264,362.17","174,559,999.99","83,929.28","180,710,414.97","190,630,970.28","192,487,010.30","808,163.84","175,891,401.12","176,205,986.04","178,111,560.79","3,824,796.69","440,820,362.90","468,503,947.66","445,543,357.40"
收回投资收到的现金,"400,000.00",,,,,,"200,000,000.00","300,000,000.00","400,008,500.00","1,020,254,196.00","1,311,274,215.00","3,562,069,845.00","5,392,027,383.00","8,944,046,179.00","3,469,565,856.00","7,274,640,972.00","10,173,311,538.00","11,969,548,738.00","1,276,256,154.12","3,275,309,881.74","5,802,826,925.76","8,764,853,928.13","3,468,070,957.31","6,799,859,297.26","8,790,268,858.26","12,434,799,991.84"
支付其他与筹资活动有关的现金,"798,996.70","80,000,000.00","22,996,271.01","40,380,000.00","101,711,757.84","173,688,724.94","172,052,103.30","197,744,610.34","111,640,440.67","54,064,695.75","615,210.00","46,069,577.41","46,069,577.41","87,345,007.05","91,347,910.47","97,167,566.98","162,204,216.59","576,101,750.82","3,056,923.30","391,185,231.79","237,432,976.09","770,241,754.59","527,026,605.11","564,762,252.41","380,066,991.63","743,614,793.49"
取得投资收益收到的现金,"-2,109,403.33","11,778,566.95","25,678,600.12","7,434,199.94","7,734,674.40","8,371,674.33","3,417,534.23","9,153,534.24","18,334,471.08","25,700,993.89","7,055,517.00","15,001,798.91","28,055,030.93","38,498,554.82","12,636,055.24","24,092,215.19","34,901,431.90","44,965,590.27","2,048,063.25","7,510,251.90","12,633,673.53","26,403,202.70","7,308,095.68","10,772,282.27","12,720,013.12","25,230,738.39"
筹资活动现金流出小计,"2,641,279,872.03","2,551,704,633.35","22,996,271.01","85,397,593.60","146,729,351.44","218,908,724.94","172,052,103.30","344,147,134.40","258,059,440.72","200,483,695.80","8,775,210.00","218,333,939.58","218,333,939.58","261,905,007.04","91,431,839.75","277,877,981.95","405,835,186.87","891,882,864.98","45,675,141.99","664,564,762.07","571,291,355.71","1,156,174,810.61","552,848,324.33","1,057,061,094.33","952,463,482.72","1,320,789,421.77"
处置固定资产、无形资产和其他长期资产收回的现金净额,"894,200.00","3,193,747.13","503,043.11","48,593.60","159,880.10","3,697,294.01","114,736.25","777,571.74","1,100,209.97","1,418,590.94","9,603.81","114,850.19","297,330.78","959,175.43","222,150.00","258,945.00","364,046.00","1,615,846.00","346,184.78","2,159,447.69","4,157,247.69","4,495,858.14","327,300.00","1,960,829.00","2,580,949.00","3,026,738.07"
筹资活动产生的现金流量净额,"63,855,369.62","-1,462,065,636.65","88,363,728.99","-61,191,322.59","418,557,712.43","304,787,546.07","-11,981,618.10","-179,076,649.20","-92,988,955.52","-109,676,132.66","9,150,021.85","-200,408,707.73","-134,323,401.59","-141,048,205.28","-69,874,083.27","-226,249,880.93","-306,323,108.28","-543,995,408.18","-99,184.38","-216,831,908.24","-32,313,762.17","-590,088,178.66","191,211,706.59","-252,888,921.05","-140,912,687.97","-504,386,026.79"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,"50,333,475.28","1,303,620.05",,"2,505,965.83","2,505,965.83","977,030.76",,"3,510,916.23","3,510,916.23","10,815,095.62"
四、汇率变动对现金的影响,"-102,380.94","-4,576,282.53","-5,193,561.16","5,088,844.84","6,545,113.82","3,798,512.26","-4,023,887.30","1,368,353.16","-1,590,361.72","-1,657,663.16","547,569.82","-49,772,819.10","-44,911,211.14","278,980.66","10,553,418.09","20,979,410.43","32,502,681.24","37,698,216.64","-1,593,486.83","13,596,596.76","19,868,998.76","45,199,726.99","-571,250.81","-13,458,671.23","-13,790,251.36","-49,162,569.17"
收到其他与投资活动有关的现金,"3,290,014,743.65","3,557,213,923.85",,,,,"108,400.00",,,,,,,,,,,,,,,,,,,"1,253,272.97"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"3,289,199,540.32","3,572,186,237.93","26,181,643.23","7,482,793.54","7,894,554.50","12,068,968.34","203,640,670.48","309,931,105.98","419,443,181.05","1,047,373,780.83","1,318,339,335.81","3,577,186,494.10","5,420,379,744.71","8,983,503,909.25","3,482,424,061.24","7,298,992,132.19","10,258,910,491.18","12,017,433,794.32","1,278,650,402.15","3,287,485,547.16","5,822,123,812.81","8,796,730,019.73","3,475,706,352.99","6,816,103,324.76","8,809,080,736.61","12,475,125,836.89"
五、现金及现金等价物净增加额,"14,146,059.06","275,182,317.69","169,140,391.27","-131,168,052.42","492,292,591.95","196,414,441.00","-158,756,002.40","-113,841,013.92","-6,196,042.60","43,304,030.83","-226,189,905.52","-39,981,870.79","-216,873,905.63","-268,146,689.83","-313,146,776.87","-125,538,834.83","-106,601,394.79","315,969,300.45","26,052,434.72","133,767,036.67","298,801,325.24","-104,476,303.62","888,570,190.81","548,629,393.12","-235,021,086.47","-256,027,557.07"
购建固定资产、无形资产和其他长期资产支付的现金,"184,884,757.81","404,333,609.64","419,395,953.90","107,172,085.40","155,556,670.08","208,299,284.59","157,243,389.12","164,976,309.46","225,663,882.64","306,289,812.09","44,657,159.76","94,712,491.30","243,711,637.03","387,362,878.85","111,369,070.65","199,095,530.55","280,276,113.10","343,671,707.30","95,485,526.82","193,008,000.74","301,848,766.60","474,620,131.29","162,850,668.04","301,396,676.70","443,223,848.64","630,286,575.63"
期初现金及现金等价物余额,"645,325,228.26","659,471,287.32","934,653,605.01","1,103,793,996.28","1,103,793,996.28","1,103,793,996.28","1,300,208,437.28","1,300,208,437.28","1,300,208,437.28","1,300,208,437.28","1,343,512,468.11","1,343,512,468.11","1,343,512,468.11","1,343,512,468.11","1,075,365,778.28","1,075,365,778.28","1,075,365,778.28","1,075,365,778.28","1,391,335,078.73","1,391,335,078.73","1,391,335,078.73","1,391,335,078.73","1,286,858,775.11","1,286,858,775.11","1,286,858,775.11","1,286,858,775.11"
投资支付的现金,,,,,,"400,000,000.00","250,000,000.00","460,000,000.00","630,684,479.98","1,130,254,196.00","1,491,274,215.00","3,584,289,865.00","5,801,268,813.00","9,457,082,879.00","3,665,778,656.00","7,394,994,337.00","10,313,969,655.73","11,745,099,079.00","1,317,905,849.00","3,228,324,695.50","5,864,259,445.87","9,147,330,393.24","2,750,805,820.00","5,790,879,348.80","8,680,270,604.88","12,537,147,144.76"
期末现金及现金等价物余额,"659,471,287.32","934,653,605.01","1,103,793,996.28","972,625,943.86","1,596,086,588.23","1,300,208,437.28","1,141,452,434.88","1,186,367,423.36","1,294,012,394.68","1,343,512,468.11","1,117,322,562.59","1,303,530,597.32","1,126,638,562.48","1,075,365,778.28","762,219,001.41","949,826,943.45","968,764,383.49","1,391,335,078.73","1,417,387,513.45","1,525,102,115.40","1,690,136,403.97","1,286,858,775.11","2,175,428,965.92","1,835,488,168.23","1,051,837,688.64","1,030,831,218.04"
