科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
收回投资收到的现金,,,,,,,,,,,,"34,500,623.12","1,000,000.00","1,000,000.00","1,000,000.00","1,033,928.76",,,,"23,050,000.00","280,000.00","280,000.00","280,000.00","280,000.00",,,,,,,,,,,,,,,,,,,,,,"5,454,975.68","9,580,000.00",,
支付其他与筹资活动有关的现金,,,,"3,511,215.44",,,,,"11,400,000.00","11,900,000.00",,,,,,,,,,"32,572,561.11","5,798,836.80","11,597,673.76","11,597,673.76","108,511,007.46","18,782,463.80","72,496,697.52","92,875,061.70","281,839,899.74","55,567,574.05","122,133,165.99","171,428,830.69","239,559,420.22","93,707,711.73","365,119,422.63","537,168,994.22","426,692,088.34","142,950,616.19","390,154,148.99","576,031,015.57","703,820,766.37","137,230,370.87","338,872,728.02","481,428,267.70","620,345,275.02","119,932,560.59","391,452,549.32","669,224,829.03","801,683,893.38","103,777,549.28"
取得投资收益收到的现金,,,,,,,,,,,,,,"33,928.76",,,,,,,,,,,,"894,444.00","894,444.00","894,444.00",,"1,400,000.00","1,400,000.00","1,400,000.00",,,"1,000,000.00","1,000,000.00",,"1,100,000.00","1,100,000.00","1,100,000.00",,,"1,000,000.00","1,000,000.00",,"1,000,000.00","1,000,000.00","1,000,000.00",
筹资活动现金流出小计,"61,140,767.46","93,980,141.32","258,978,603.11","452,125,233.87","85,645,042.47","231,404,543.53","453,859,300.18","627,289,739.63","124,339,784.55","487,280,324.51","587,799,541.99","1,044,631,579.16","60,597,771.95","395,656,032.81","546,842,460.66","947,765,429.38","182,319,617.08","571,618,608.49","927,758,929.69","1,227,305,950.58","289,404,357.16","518,798,457.85","968,783,029.14","1,805,996,093.91","451,616,305.66","1,071,946,431.56","1,565,364,088.85","3,007,213,419.17","551,478,696.90","1,269,000,438.53","2,237,763,955.83","3,167,353,771.80","528,359,462.97","1,448,489,062.55","2,046,965,925.59","2,914,255,164.68","782,831,121.88","1,766,846,008.22","2,663,000,461.04","3,648,987,197.35","520,600,406.01","1,667,653,161.67","2,106,650,248.38","3,010,637,910.73","635,390,269.25","1,869,215,930.53","2,631,957,938.74","3,317,397,487.78","835,225,668.80"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"7,010.00","7,010.00","829,610.00",,,,,"20,800.00","5,097,880.00","5,097,880.00","5,110,972.80",,"15,360.00","15,360.00","15,360.00",,"150,000.00","450,000.00","450,000.00",,,,,,,,,,,,,,,,,,,,"1,269,900.00",,,,"5,348,698.96",,"19,776.00","179,839.80","235,247.60",
筹资活动产生的现金流量净额,"18,859,232.54","160,619,858.68","193,671,396.89","28,924,766.13","-6,645,042.47","225,900,611.97","88,445,855.32","123,716,383.22","198,660,215.45","674,219,675.49","736,939,098.01","680,807,060.84","277,397,228.05","302,338,967.19","633,431,924.34","707,508,955.62","316,347,582.92","413,573,384.41","643,463,755.45","883,118,674.75","-27,404,357.16","30,801,542.15","4,088,210.86","1,703,906.09","-201,616,305.66","-44,946,431.56","-30,364,088.85","-215,113,419.17","-98,478,696.90","-127,800,438.53","-132,963,955.83","-252,553,771.80","36,140,537.03","-147,941,062.55","-249,785,925.59","-190,627,164.68","50,318,873.72","148,313,987.38","33,845,534.56","-418,325,701.75","49,074,593.99","-155,137,761.67","-228,044,848.38","-471,064,531.06","-22,836,408.25","-110,662,069.53","-562,404,077.74","-826,723,626.78","-169,635,250.30"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,"-13,614,743.97",,,,,,"19,770,710.81","19,787,387.62","19,789,437.65",,,,"654,249.00",,"1,526,581.00","1,526,581.00","1,526,581.00",,,,,,,,,"9,580,000.00",,,"4,125,024.32","170,845,258.33"
四、汇率变动对现金的影响,,,,"-1,475,666.84",,"-442,096.87","-442,096.87","-386,848.15","-26,888.45","-80,389.08","-108,036.34","4,720.10","-53,409.54","-381,820.90","-315,095.83","-693,526.69","26,432.91","-226,701.92","-226,701.92","-295,996.28","-27,126.09","54,572.85","85,841.30","-277,753.88","-481,871.97","-881,605.25","-1,315,354.38","-1,716,272.89","-110,466.02","326,458.89","264,390.61","413,081.18","406,452.39","864,213.29","1,133,642.23","1,188,636.18","-63,079.46","280,297.81","306,403.37","880,158.11","-113,132.37","-405,279.35","-581,770.63","-699,032.90","-285,781.96","-148,059.52","259,998.56","3,820,112.33","-355,939.89"
收到其他与投资活动有关的现金,,,,,,,,,,,"341,740,831.99","350,460,831.99","33,928.76",,"33,928.76","7,500,000.00",,,,,,,,,,,,"72,000,000.00",,,,,,,,"55,000,000.00",,,,"22,000,000.00","18,000,000.00","18,000,000.00","18,000,000.00","34,000,000.00",,"10,000,000.00","10,221,596.60","10,000,000.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"7,010.00","7,010.00","829,610.00",,,,,"20,800.00","5,097,880.00","346,838,711.99","390,072,427.91","1,033,928.76","1,049,288.76","1,049,288.76","8,549,288.76",,"150,000.00","450,000.00","9,885,256.03","280,000.00","280,000.00","280,000.00","280,000.00",,"20,665,154.81","20,681,831.62","92,683,881.65",,"1,400,000.00","1,400,000.00","2,054,249.00",,"1,526,581.00","2,526,581.00","57,526,581.00",,"1,100,000.00","1,100,000.00","24,369,900.00","18,000,000.00","18,000,000.00","19,000,000.00","40,348,698.96","9,580,000.00","16,474,751.68","20,981,436.40","15,360,271.92","170,845,258.33"
五、现金及现金等价物净增加额,"-19,253,493.64","129,221,895.32","187,040,940.25","-1,594,264.95","-20,546,008.35","105,323,232.51","14,985,806.32","17,527,592.96","140,550,518.11","497,859,655.52","714,360,302.57","517,538,555.37","103,237,204.43","-191,755,386.11","-144,160,690.46","-256,738,984.95","143,938,078.33","62,813,434.84","-65,513,272.50","-44,609,772.21","-131,008,480.80","-154,973,836.70","-115,624,114.45","-44,498,404.71","-226,276,662.24","-59,227,729.97","-102,556,871.42","-133,324,826.89","-67,515,261.05","-88,863,005.77","-34,956,158.24","-28,468,601.49","2,808,588.36","28,110,299.20","60,329,861.87","116,459,966.66","25,434,299.71","295,320,909.48","22,788,563.35","-127,890,351.87","152,295,497.89","35,943,530.74","24,541,664.89","33,987,447.28","115,152,928.23","53,770,921.86","31,067,404.50","6,327,681.33","176,216,279.76"
购建固定资产、无形资产和其他长期资产支付的现金,"47,275,661.48","42,610,269.45","60,111,789.28","123,080,592.03","17,916,999.10","81,722,784.76","92,832,087.83","136,850,608.00","25,191,254.49","88,540,649.51","322,739,534.14","539,518,133.36","158,215,977.16","510,738,997.10","785,735,458.42","1,003,540,469.19","135,660,524.51","342,772,962.50","628,752,734.65","900,515,156.24","82,835,507.36","213,375,691.08","91,514,239.31","56,018,077.87","18,452,551.14","45,741,587.39","55,865,249.11","102,051,106.08","5,417,207.22","9,709,017.36","13,162,674.46","10,663,473.99","33,578,051.29","33,836,527.39","31,041,591.95","37,456,950.82","1,520,660.89","1,702,802.49","5,749,108.10","16,718,283.52","10,416,577.62","10,752,234.27","13,484,588.03","159,156,321.45","3,536,335.05","17,468,114.02","22,343,032.06","34,299,722.36","910,356.96"
期初现金及现金等价物余额,"99,929,435.82","69,287,752.08","69,287,752.08","69,287,752.08","67,693,487.13","67,693,487.13","67,693,487.13","67,693,487.13","85,221,080.09","85,221,080.09","85,221,080.09","85,221,080.09","602,759,635.46","602,759,635.46","602,759,635.46","602,759,635.46","346,020,650.51","346,020,650.51","346,020,650.51","346,020,650.51","301,410,878.30","301,410,878.30","301,410,878.30","301,410,878.30","256,912,473.59","256,912,473.60","256,912,473.59","256,912,473.59","123,587,646.70","123,587,646.70","123,587,646.70","123,587,646.70","95,119,045.21","95,119,045.21","95,119,045.21","95,119,045.21","211,579,011.87","211,579,011.87","211,579,011.87","211,579,011.87","83,688,660.00","83,688,660.00","83,688,660.00","83,688,660.00","117,676,107.28","117,676,107.28","117,676,107.28","117,676,107.28","124,003,788.61"
投资支付的现金,,,,"600,000.00",,"75,000,000.00","75,000,000.00","75,000,000.00",,"50,000,000.00","9,800,000.00","59,800,000.00",,,"7,500,000.00",,,,"42,820,000.00","6,000,000.00",,,"10,000,000.00","10,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,
期末现金及现金等价物余额,"80,675,942.18","198,509,647.40","256,328,692.33","67,693,487.13","47,147,478.78","173,016,719.64","82,679,293.45","85,221,080.09","225,771,598.20","583,080,735.61","799,581,382.66","602,759,635.46","705,996,839.89","411,004,249.35","458,598,945.00","346,020,650.51","489,958,728.84","408,834,085.35","280,507,378.01","301,410,878.30","170,402,397.50","146,437,041.60","185,786,763.85","256,912,473.59","30,635,811.35","197,684,743.63","154,355,602.17","123,587,646.70","56,072,385.65","34,724,640.93","88,631,488.46","95,119,045.21","97,927,633.57","123,229,344.41","155,448,907.08","211,579,011.87","237,013,311.58","506,899,921.35","234,367,575.22","83,688,660.00","235,984,157.89","119,632,190.74","108,230,324.89","117,676,107.28","232,829,035.51","171,447,029.14","148,743,511.78","124,003,788.61","300,220,068.37"
