科目,2011年度,2012年度,2013年度,2014年1-6月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
取得借款收到的现金,,,,,,,,,"2,998,252,500.00",,,"500,000,000.00","500,000,000.00","2,100,000,000.00","3,400,000,000.00","4,000,000,000.00","4,600,000,000.00","1,500,000,000.00"
支付的各项税费,"273,039,209.17","411,949,843.98","600,090,673.79","381,337,670.55","780,420,877.84","178,029,868.94","471,991,768.33","767,293,044.60","986,034,814.47","352,037,819.76","583,358,319.37","895,828,182.16","1,062,942,976.45","313,035,963.91","715,238,569.73","1,086,806,792.07","1,182,865,242.12","368,869,007.17"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,"21,269.50",,,,,
支付其他与经营活动有关的现金,"198,550,826.43","209,204,670.23","287,271,507.70","150,981,718.36","354,775,306.34","101,815,451.26","160,652,893.44","310,722,888.94","451,454,888.23","121,359,187.68","184,518,142.10","458,915,845.48","602,958,800.34","143,946,855.59","470,805,470.36","506,307,933.38","849,047,576.93","217,799,807.33"
筹资活动现金流入小计,,,,,,"1,253,380,000.00","1,253,380,000.00","1,253,380,000.00","6,426,071,762.18",,,"500,000,000.00","500,021,269.50","2,100,000,000.00","3,400,000,000.00","4,000,000,000.00","4,617,950,000.00","1,500,000,000.00"
经营活动现金流出小计,"1,836,681,985.41","2,405,948,036.06","3,380,591,090.91","1,942,740,932.54","4,621,083,415.81","1,142,108,041.39","2,819,535,702.59","4,537,293,030.54","6,550,037,215.84","2,683,177,460.74","4,898,673,756.44","7,313,100,292.65","9,997,740,788.63","3,019,624,692.54","6,101,856,196.65","9,783,407,188.47","12,167,439,576.77","3,266,556,006.44"
偿还债务支付的现金,,,,,,,,,"1,940,790,008.34","653,118,400.00","682,758,076.48","682,758,076.48","713,294,735.33","792,053,791.09","959,311,742.80","1,364,068,495.15","1,728,273,044.82","1,335,000,000.00"
经营活动产生的现金流量净额,"433,633,179.57","910,194,871.38","1,018,587,206.92","768,946,606.70","1,261,361,268.08","612,939,408.56","893,762,089.85","1,087,283,496.88","2,089,100,632.33","664,552,297.25","1,080,805,033.24","1,509,390,429.58","1,927,538,218.52","726,690,936.53","886,854,060.79","1,402,323,192.79","1,988,083,198.62","863,517,612.75"
分配股利、利润或偿还利息支付的现金,"2,765,329.87","1,950,000.00","1,800,000.00","2,250,000.00","2,250,000.00",,"441,600,000.00","449,590,000.00","537,055,325.26","46,040,416.51","304,108,039.05","307,718,455.72","375,018,311.06","23,678,897.54","323,794,291.68","322,041,479.67","472,845,536.69","87,919,689.33"
收回投资收到的现金,,,,,,,,,,,"21,269.50",,"12,405,140.99",,"47,420,800.00","500,000,000.00","500,000,000.00",
支付其他与筹资活动有关的现金,,,,,,"5,446,698.00","5,696,698.00","5,696,698.00","5,696,698.00","7,800,000.00","2,055,127.60","2,055,127.60","10,775,521.90","1,234,391,575.81","1,182,490,224.83","1,229,816,173.14","1,243,610,644.03","424,597,330.28"
取得投资收益收到的现金,,,,,,,,,,,"4,817,493.74","23,434,995.09","21,631,954.20","4,596,136.77","10,090,105.81","26,065,719.32","26,942,870.53",
筹资活动现金流出小计,"2,765,329.87","1,950,000.00","1,800,000.00","2,250,000.00","2,250,000.00","5,446,698.00","447,296,698.00","455,286,698.00","2,483,542,031.60","706,958,816.51","988,921,243.13","992,531,659.80","1,099,088,568.29","2,050,124,264.44","2,465,596,259.31","2,915,926,147.96","3,444,729,225.54","1,847,517,019.61"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,457,395.99","1,982,756.10","145,483.95","640,846.14","729,154.61","18,000.00","138,665.07","291,024.47","1,275,924.49",,"613,738.22","925,738.22","1,817,306.44",,"2,737,025.00","2,737,025.00","49,358,259.95",
筹资活动产生的现金流量净额,"-2,765,329.87","-1,950,000.00","-1,800,000.00","-2,250,000.00","-2,250,000.00","1,247,933,302.00","806,083,302.00","798,093,302.00","3,942,529,730.58","-706,958,816.51","-988,921,243.13","-492,531,659.80","-599,067,298.79","49,875,735.56","934,403,740.69","1,084,073,852.04","1,173,220,774.46","-347,517,019.61"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,"37,462,607.74",
四、汇率变动对现金的影响,,,,,,,,,"20,381,571.14","17,645,006.41","21,783,143.42","20,293,941.63","29,242,439.82","22,547,516.94","13,743,860.49","12,505,066.68","-2,950,991.43","-14,588,930.57"
收到其他与投资活动有关的现金,,,,,,,,,,,,"50,000,000.00","60,000,000.00",,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,457,395.99","1,982,756.10","145,483.95","640,846.14","729,154.61","18,000.00","138,665.07","291,024.47","1,275,924.49",,"5,452,501.46","74,360,733.31","95,854,401.63","4,596,136.77","60,247,930.81","528,802,744.32","613,763,738.22",
五、现金及现金等价物净增加额,"-139,746,827.25","356,839,762.84","479,870,979.25","563,582,208.74","570,756,193.21","1,640,412,054.02","1,208,960,312.02","1,194,183,279.87","2,566,507,013.80","-1,311,130,469.76","-1,902,481,704.28","-2,747,175,879.74","-2,338,189,469.03","-312,357,245.17","131,153,684.98","415,843,536.56","876,817,547.53","-258,998,395.36"
购建固定资产、无形资产和其他长期资产支付的现金,"567,072,072.94","553,387,864.64","537,061,711.62","203,755,244.10","672,284,229.48","220,478,656.54","482,623,744.90","675,034,543.48","1,098,191,250.95","156,541,819.91","642,822,158.52","1,288,463,911.24","1,496,406,360.93","433,744,436.52","725,662,292.74","1,335,236,637.96","1,746,974,275.67","520,410,057.93"
期初现金及现金等价物余额,"478,266,515.46","338,519,688.21","695,359,451.05","1,175,230,430.30","1,175,230,430.30","1,745,986,623.51","1,745,986,623.51","1,745,986,623.51","1,745,986,623.51","4,312,493,637.31","4,312,493,637.31","4,312,493,637.31","4,312,493,637.31","1,974,304,168.28","1,974,304,168.28","1,974,304,168.28","1,974,304,168.28","2,851,121,715.81"
投资支付的现金,"5,000,000.00",,,,,,,"5,250,000.00","461,602,497.77","783,800,000.00","896,368,548.44","1,966,303,499.66","658,663,393.95","682,323,134.45","710,671,313.58","858,698,447.99","536,777,907.53","240,000,000.00"
期末现金及现金等价物余额,"338,519,688.21","695,359,451.05","1,175,230,430.30","1,738,812,639.04","1,745,986,623.51","3,386,398,677.53","2,954,946,935.53","2,940,169,903.38","4,312,493,637.31","3,001,363,167.55","2,410,011,933.03","1,565,317,757.57","1,974,304,168.28","1,661,946,923.11","2,105,457,853.26","2,390,147,704.84","2,851,121,715.81","2,592,123,320.45"
