科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
支付其他与经营活动有关的现金,"14,358,730.69","12,866,055.63","9,947,789.39","8,735,106.62",,"20,569,815.09","4,447,749.45","8,932,342.22","29,693,816.03","16,917,589.80","6,628,613.25"
筹资活动现金流入小计,"15,000,000.00",,,,,"182,681,600.00",,,,"5,000,000.00","12,616,500.00"
经营活动现金流出小计,"295,459,399.52","306,299,241.09","267,594,174.86","136,501,340.44",,"126,420,473.68","37,497,598.29","70,198,815.28","122,500,080.20","141,229,391.75","68,584,982.99"
偿还债务支付的现金,"55,000,000.00","15,000,000.00",,,,,,,,,
经营活动产生的现金流量净额,"124,528,344.88","69,518,378.11","100,767,597.41","59,102,538.74","80,106,100.00","97,134,993.85","23,604,500.66","37,414,469.84","67,342,881.51","165,474,115.86","10,723,338.68"
分配股利、利润或偿还利息支付的现金,"112,211,605.33","50,170,850.00","56,910,000.00","15,212,661.99",,"15,212,661.99",,"16,301,877.11","17,048,232.17","17,048,232.17",
收回投资收到的现金,,,,,,,,,,"20,000,000.00","69,813,526.07"
支付其他与筹资活动有关的现金,,,"2,866,948.52","1,034,706.05",,"4,265,499.71","6,581,719.90","6,581,719.90","6,581,719.90","7,682,402.42",
取得投资收益收到的现金,,"19,253,970.00","303,635.99","9,292,120.74",,"9,531,491.24",,"7,821,972.10","17,197,846.64","19,202,020.69","1,029,184.95"
筹资活动现金流出小计,"167,211,605.33","65,170,850.00","59,776,948.52","16,247,368.04",,"19,478,161.70","6,581,719.90","22,883,597.01","23,629,952.07","24,730,634.59",
处置固定资产、无形资产和其他长期资产收回的现金净额,"36,000.00","82,200.00","5,785,301.00","3,433,784.00",,"3,618,548.96","900,000.00","932,300.00","1,332,300.00","1,552,300.00","3,580,000.00"
筹资活动产生的现金流量净额,"-152,211,605.33","-65,170,850.00","-59,776,948.52","-16,247,368.04","-16,461,100.00","163,203,438.30","-6,581,719.90","-22,883,597.01","-23,629,952.07","-19,730,634.59","12,616,500.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,
收到其他与投资活动有关的现金,,,"96,000,000.00","45,344,972.86",,"55,344,972.86","120,646,028.28","165,000,000.00","293,000,000.00","501,000,000.00","115,064,656.17"
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"36,000.00","19,336,170.00","102,088,936.99","58,070,877.60",,"68,495,013.06","121,546,028.28","173,754,272.10","311,530,146.64","541,754,320.69","189,487,367.19"
五、现金及现金等价物净增加额,"-34,539,865.99","16,298,044.96","8,436,514.33","39,790,235.43","25,562,200.00","205,506,520.36","-142,887,590.96","-40,251,342.07","-121,099,346.63","-435,585.81","-17,974,110.03"
购建固定资产、无形资产和其他长期资产支付的现金,"6,892,605.54","7,385,653.15","3,343,071.55","481,812.87",,"2,537,788.60","456,400.00","9,905,487.00","46,011,422.71","98,634,592.71","20,801,315.90"
期初现金及现金等价物余额,"58,385,542.78","23,845,676.79","40,143,721.75","48,580,236.08",,"48,580,236.08","254,086,756.44","254,086,756.44","254,118,961.38","254,086,756.44","253,651,170.63"
投资支付的现金,,,,"50,654,000.00",,"50,654,000.00","1,000,000.00","8,631,000.00","118,331,000.00","13,631,000.00","4,000,000.00"
期末现金及现金等价物余额,"23,845,676.79","40,143,721.75","48,580,236.08","88,370,471.51",,"254,086,756.44","111,199,165.48","213,835,414.37","133,019,614.75","253,651,170.63","235,677,060.60"
