科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
偿还债务支付的现金,"80,492,660.00","93,005,583.76","100,778,645.00","56,257,750.00","87,953,900.00","45,000,000.00","45,000,000.00","45,000,000.00","45,000,000.00",,"30,000,000.00","30,000,000.00","30,000,000.00",,,,,,
经营活动产生的现金流量净额,"63,681,325.21","47,763,717.53","80,579,123.06","26,562,162.05","62,983,996.58","-12,789,674.04","53,741,528.14","88,778,562.76","112,524,812.41","30,917,991.29","55,900,558.61","67,293,164.77","99,781,684.11","18,946,075.50","65,853,433.93","48,629,221.59","85,226,166.83","-49,579,617.92","1,278,787.58"
分配股利、利润或偿还利息支付的现金,"66,392,376.64","8,934,438.20","23,310,522.48","30,171,318.84","30,893,268.39","363,127.87","23,381,573.74","23,383,075.97","22,365,835.56","228,611.49","50,290,590.25","50,290,590.25","50,270,984.19",,"60,000,000.00","60,000,000.00","60,004,585.74",,"44,890,999.96"
收回投资收到的现金,"67,200,000.00","25,000,000.00",,,,"27,500,000.00","241,500,000.00","416,500,000.00","576,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","180,000,000.00","50,000,000.00","110,000,000.00","110,000,000.00","620,000,000.00",,"300,000,000.00"
支付其他与筹资活动有关的现金,,,"187,695.00",,,"11,113,800.00","11,113,800.00","11,113,800.00","11,896,915.57",,,,"613,207.55",,,,,"750,000.00","3,100,000.00"
取得投资收益收到的现金,"9,364,547.72","1,663,403.15","3,487,877.01","2,076,042.55","1,538,696.05","152,267.12","1,331,301.37","2,387,082.19","4,902,356.42","1,420,164.38","1,018,014.38","1,420,164.38","3,675,123.28","818,219.18","1,779,808.91","1,779,808.91","2,207,362.74","123,616.44","414,575.35"
筹资活动现金流出小计,"146,885,036.64","101,940,021.96","124,276,862.48","86,429,068.84","118,847,168.39","56,476,927.87","79,495,373.74","79,496,875.97","79,262,751.13","228,611.49","80,290,590.25","80,290,590.25","80,884,191.74",,"60,000,000.00","60,000,000.00","60,004,585.74","750,000.00","47,990,999.96"
处置固定资产、无形资产和其他长期资产收回的现金净额,"16,564,150.63","109,852.34",,"82,871.90","82,871.90","67,900.00","70,500.00","70,500.00","413,447.03","7,580.00","152,895.00","154,906.00","1,405,198.37","13,100.00","93,241.20","121,072.00","245,072.00","87,000.00","28,993,500.00"
筹资活动产生的现金流量净额,"-1,849,406.64","-15,727,408.20","-46,823,312.48","-8,968,778.84","-16,380,478.39","179,023,072.13","156,004,626.26","156,003,124.03","156,237,248.87","29,771,388.51","-47,290,590.25","-44,290,590.25","-44,884,191.74",,"-60,000,000.00","-31,439,869.80","-31,444,455.54","-750,000.00","472,009,000.04"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-1,724,092.57","-351,253.46","-5,510,708.43","1,561,456.88","1,152,039.75","2,423,854.30","-1,760,657.85","5,112,002.07","9,768,640.92","-508,920.44","1,655,045.67","2,073,394.25","4,059,109.14","-92,876.46","3,935,021.41","4,402,389.64","-11,578,493.05","-1,256,931.64","1,145,983.68"
收到其他与投资活动有关的现金,,,,,"1,480,000.00",,,,,,,,"350,000.00",,,,"281,845,004.86",,"15,140,666.66"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"93,128,698.35","26,773,255.49","3,487,877.01","2,158,914.45","3,101,567.95","27,720,167.12","242,901,801.37","418,957,582.19","581,315,803.45","121,427,744.38","121,170,909.38","121,575,070.38","185,430,321.65","50,831,319.18","111,873,050.11","111,900,880.91","904,297,439.60","210,616.44","344,548,742.01"
五、现金及现金等价物净增加额,"33,961,273.80","-30,225,110.05","3,194,002.78","-1,806,538.29","20,956,253.44","95,937,808.51","97,451,023.92","39,867,415.58","74,824,178.23","114,027,255.92","50,278,094.63","-38,492,934.00","-25,074,853.74","49,034,068.80","71,020,915.35","53,610,189.91","58,222,801.22","-105,858,490.62","-51,794,065.77"
购建固定资产、无形资产和其他长期资产支付的现金,"31,472,058.25","63,024,184.41","28,538,976.38","23,120,292.83","29,900,872.45","2,939,611.00","6,936,274.00","28,576,827.88","47,140,559.45","31,076,707.96","44,653,588.92","98,639,733.29","121,546,076.90","20,650,449.42","50,640,590.10","79,882,432.43","82,568,985.10","54,482,557.50","80,776,579.08"
期初现金及现金等价物余额,"39,671,055.78","73,632,329.58","43,407,219.53","46,601,222.31","46,601,222.31","67,557,475.75","67,557,475.75","67,557,475.75","67,557,475.75","142,381,653.98","142,381,653.98","142,381,653.98","142,381,653.98","117,306,800.24","117,306,800.24","117,306,800.24","117,306,800.24","190,670,268.12","175,529,601.46"
投资支付的现金,"67,000,000.00","25,000,000.00",,,,"97,500,000.00","346,500,000.00","600,407,027.59","726,000,000.00","36,504,239.86","36,504,239.86","86,504,239.86","146,565,700.00",,,,"510,000,000.00",,"790,000,000.00"
期末现金及现金等价物余额,"73,632,329.58","43,407,219.53","46,601,222.31","44,794,684.02","67,557,475.75","163,495,284.26","165,008,499.67","107,424,891.33","142,381,653.98","256,408,909.90","192,659,748.61","103,888,719.98","117,306,800.24","166,340,869.04","188,327,715.59","170,916,990.15","175,529,601.46","84,811,777.50","123,735,535.69"
