科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"1,475,372.43","3,801,682.34","6,193,664.95","10,708,510.60","2,890,542.00","7,069,303.51","10,456,695.75","17,811,995.33","2,234,651.14","5,378,488.70","8,442,383.23","10,902,183.03","3,009,868.06","7,287,678.95","11,225,268.45","20,460,493.17","2,143,261.19","3,742,389.64","5,723,522.45","8,944,544.31","3,138,194.97","9,319,958.75","15,785,245.82","22,432,722.00","11,974,023.91","26,898,863.39","37,565,751.11","42,014,234.20","9,234,918.52","19,418,937.75","25,113,667.35","28,417,223.40","8,061,482.95","13,517,936.32","19,356,538.48","27,611,517.62","11,724,781.57","25,286,371.84","41,200,685.33","60,040,923.39","15,720,839.24","20,255,530.19"
三、利润总额,"38,793,693.21","72,314,135.25","94,742,087.91","119,629,938.25","41,143,517.84","64,927,960.34","85,197,178.67","100,156,168.55","21,407,000.47","34,517,809.56","51,871,352.00","102,783,100.82","14,204,471.22","37,472,347.64","52,216,087.52","142,852,107.17","40,867,169.71","91,753,980.88","119,244,911.98","161,404,597.20","49,721,597.72","92,374,135.62","95,651,453.85","216,000,700.22","47,192,682.68","70,560,744.57","206,823,156.40","352,395,854.68","47,323,117.60","104,415,891.54","111,629,236.50","182,777,217.56","61,170,949.89","193,118,153.24","195,246,993.11","123,831,616.77","153,001,263.12","161,173,009.92","155,755,789.71","176,120,324.22","13,628,342.33","83,606,580.73"
资产减值损失,"-77,170.00","8,538,381.57","7,108,170.47","6,482,449.23","181,440.00","491,067.61","-481,269.39","1,490,892.02","20,065.74","-2,549,436.89","3,526,326.95","-1,439,895.81",,"-507,128.83","-592,928.83","10,872,778.61",,"343,547.86","343,547.86","74,491,197.14","-175,849.98","-628,543.25","-3,896,156.81","-5,798,115.56",,"-6,407,493.16","-6,759,007.80","-1,863,434.58",,"-4,358,071.47","-5,387,940.69","-15,972,980.61",,"-80,000.00","-80,000.00","-80,000.00",,,,"1,035,416.99",,"-509,147.21"
减:所得税,"3,319,189.36","8,310,290.30","9,649,653.94","16,040,144.13","902,996.67","3,621,845.46","4,903,400.08","6,967,991.85","1,592,922.82","2,482,883.61","2,925,097.22","8,570,420.54","1,429,335.21","5,324,478.90","9,513,937.88","36,413,068.71","9,069,754.02","17,955,098.82","22,909,658.94","24,042,279.13","4,852,588.99","9,620,668.46","7,209,277.24","34,711,061.46","3,667,155.96","6,940,734.52","23,909,126.86","56,432,462.36","4,613,613.91","16,163,308.04","17,212,745.92","30,567,987.97","14,265,236.55","43,676,619.25","21,907,364.11","11,030,035.70","39,060,348.57","30,425,067.31","29,819,897.08","45,292,965.69","7,224,157.09","34,447,117.84"
加:公允价值变动净收益,"1,447,900.00",,"647,173.30","2,401,680.00","-4,161,345.50","-5,114,690.50","-3,957,150.00","-5,160,741.27","802,170.00","1,581,690.00","2,247,240.00","2,515,061.27","-23,920.00","-231,840.00","244,000.00","244,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,"-17,357,393.93"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"36,047,268.08","92,074,729.72","131,707,885.75","150,966,754.69","16,229,833.37","25,695,991.53","28,058,412.08","41,649,018.33","26,537,462.64","27,950,491.92","40,627,131.83","51,525,819.35","-190,043.61","19,435,408.76","15,665,919.56","24,715,485.41","12,455,993.57","17,593,365.64","14,036,512.16","25,720,116.38","26,136,620.39","32,766,101.65","36,717,030.11","38,325,184.08","6,670,282.26","9,616,917.83","16,302,160.03","25,091,607.78","1,869,092.81","-409,607.59","3,321,752.74","24,552,248.36","3,184,329.32","36,001,161.89","47,027,284.43","67,149,910.57","8,978,319.39","21,586,539.56","33,469,045.42","43,890,009.31","9,700,764.27","47,673,530.68"
四、净利润,"35,474,503.85","64,003,844.95","85,092,433.97","103,589,794.12","40,240,521.17","61,306,114.88","80,293,778.59","93,188,176.70","19,814,077.65","32,034,925.95","48,946,254.78","94,212,680.28","12,775,136.01","32,147,868.74","42,702,149.64","106,439,038.46","31,797,415.69","73,798,882.06","96,335,253.04","137,362,318.07","44,869,008.73","82,753,467.16","88,442,176.61","181,289,638.76","43,525,526.72","63,620,010.05","182,914,029.54","295,963,392.32","42,709,503.69","88,252,583.50","94,416,490.58","152,209,229.59","46,905,713.34","149,441,533.99","173,339,629.00","112,801,581.07","113,940,914.55","130,747,942.61","125,935,892.63","130,827,358.53","6,404,185.24","49,159,462.89"
其中:对联营企业和合营企业的投资权益,"4,223,471.53","7,191,021.45","8,582,853.01","15,763,942.50","2,984,832.25","11,636,404.88","16,605,515.48","13,998,082.47","1,639,154.42","6,787,069.21","19,579,152.35","26,726,739.49","-584,939.74","18,499,437.62","15,023,819.89","24,075,484.83","5,691,249.02","10,717,211.41","7,160,358.84","20,059,852.00","26,136,620.39","32,645,407.83","36,596,336.29","38,193,863.17","6,187,272.24","9,440,519.17","16,125,761.37","24,345,773.32","1,869,092.81","-409,607.59","3,117,501.66","18,794,169.05",,"35,778,342.53","46,804,465.07","62,390,291.69","8,978,319.39","21,586,539.56","33,469,045.42","43,890,009.31","9,700,764.27","19,905,678.80"
归属于母公司所有者的净利润,"34,104,434.35","64,370,517.85","85,061,075.46","95,289,671.52","40,043,001.14","60,124,774.07","78,562,330.38","96,653,427.94","22,723,151.36","36,450,229.28","55,062,487.77","101,396,408.84","14,057,973.33","33,813,204.47","44,560,113.58","112,669,298.45","32,615,067.60","75,778,839.92","99,394,663.44","136,355,904.31","45,340,076.21","83,778,917.87","89,860,430.32","183,042,841.66","43,586,441.62","63,680,924.95","182,974,944.44","296,024,307.22","42,709,503.69","88,252,583.50","94,416,490.58","154,744,885.52","49,981,361.56","156,906,492.65","185,707,948.40","130,387,303.66","119,825,176.71","142,223,120.15","143,178,330.23","154,215,505.27","10,692,739.56","67,651,785.02"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"1,370,069.50","-366,672.90","31,358.51","8,300,122.60","197,520.03","1,181,340.81","1,731,448.21","-3,465,251.24","-2,909,073.71","-4,415,303.33","-6,116,232.99","-7,183,728.56","-1,282,837.32","-1,665,335.73","-1,857,963.94","-6,230,259.99","-817,651.91","-1,979,957.86","-3,059,410.40","1,006,413.76","-471,067.48","-1,025,450.71","-1,418,253.71","-1,753,202.90","-60,914.90","-60,914.90","-60,914.90","-60,914.90",,,,"-2,535,655.93","-3,075,648.22","-7,464,958.66","-12,368,319.40","-17,585,722.59","-5,884,262.16","-11,475,177.54","-17,242,437.60","-23,388,146.74","-4,288,554.32","-18,492,322.13"
