科目,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
固定资产,"1,744,772,271.33","1,739,119,825.16","1,729,095,952.35","1,777,756,812.93","1,782,259,013.51","1,764,270,514.76","1,790,540,953.35","1,782,196,336.87","1,765,076,979.15","1,748,836,864.81","1,881,461,950.21","1,888,144,088.88","1,879,922,338.87","1,837,455,458.21","1,811,648,380.01","1,810,038,022.18","1,813,782,647.60","1,784,022,333.72","1,780,231,272.80","1,766,460,593.26","1,740,659,945.16","1,716,768,071.81","1,689,503,840.89","1,648,203,111.67","1,625,460,799.35","1,609,408,395.21","1,582,080,129.38","1,550,590,073.76","1,534,147,087.20","1,510,290,006.16","1,481,661,085.82","1,456,254,172.36","1,432,889,546.44","1,403,943,092.85"
递延所得税负债,,,,,,,,,,,,,,,,"948,518.38","948,518.38",,,"950,509.47","950,509.47","950,509.47","950,509.47","939,239.57","939,239.57","939,239.57","939,239.57","723,401.78","723,401.78","723,401.78","723,401.78","725,375.27","725,375.27","725,375.27"
在建工程,,,"195,285.60",,,,"200,000.00",,"12,295.96","750,000.00",,"23,164,650.00","23,264,650.00","24,088,850.00","25,088,850.00","439,000.00","439,000.00","856,959.00","1,421,399.48","15,590,418.52","15,610,478.52","14,196,713.12","32,167,335.55","38,730,447.75","48,484,597.81","49,729,076.81","49,866,216.81","9,986,870.00","570,000.00","830,354.00","830,354.00",,,
其他非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"127,500,000.00","127,500,000.00","127,500,000.00","127,500,000.00","127,500,000.00","127,500,000.00","127,500,000.00","127,500,000.00","127,500,000.00","127,500,000.00","505,680,000.00","505,680,000.00","505,680,000.00","505,680,000.00","532,680,000.00","27,948,518.38","27,948,518.38","49,500,000.00","49,500,000.00","27,034,915.47","43,234,915.47","43,234,915.47","41,754,915.47","25,543,645.57","50,543,645.57","50,543,645.57","55,543,645.57","25,740,065.99","25,740,065.99","3,124,983.30","3,023,608.30","2,951,118.33","2,929,329.33","2,909,208.33"
固定资产清理,,,,,,,,,"1,060.00",,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"790,691,703.67","770,783,129.62","760,324,570.23","340,427,430.13","364,331,536.13","368,741,493.47","364,573,591.18","363,827,924.43","370,474,628.88","367,164,723.39","770,161,856.32","1,076,345,708.64","1,025,489,138.88","991,872,954.72","1,019,238,710.95","769,049,931.61","787,723,059.86","880,630,641.06","874,143,461.36","704,266,733.62","793,780,103.75","933,017,056.58","1,010,839,366.86","1,087,726,445.17","1,205,422,738.64","1,310,982,956.65","1,420,378,507.98","1,630,300,822.23","1,735,978,944.85","1,824,774,513.71","1,958,189,545.18","795,035,544.36","759,565,517.97","830,935,402.35"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"1,213,200,000.00","1,213,200,000.00","1,213,200,000.00","1,213,200,000.00","1,213,200,000.00","1,213,200,000.00","1,213,200,000.00","1,213,200,000.00","1,213,200,000.00","1,213,200,000.00","1,213,200,000.00","1,213,200,000.00","1,213,200,000.00","1,213,200,000.00","1,213,200,000.00","1,315,878,571.00","1,315,878,571.00","1,315,878,571.00","1,315,878,571.00","1,315,878,571.00","1,315,878,571.00","1,315,878,571.00","1,315,878,571.00","1,315,878,571.00","1,315,878,571.00","1,315,878,571.00","1,315,878,571.00","1,315,878,571.00","1,315,878,571.00","1,315,878,571.00","1,315,878,571.00","1,315,878,571.00","1,315,878,571.00","1,315,878,571.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"1,099,405,064.30","1,099,405,061.30","1,099,405,064.30","1,099,405,064.30","1,099,405,064.30","1,099,405,064.30","1,099,405,064.30","1,100,405,064.30","1,100,405,064.30","1,100,405,064.30","1,100,405,064.30","1,100,405,064.30","1,100,405,064.30","1,100,405,064.30","1,100,405,064.30","1,262,332,152.91","1,262,332,152.91","1,262,332,152.91","1,262,332,152.91","1,221,677,852.74","1,221,677,852.74","1,221,677,852.74","1,221,677,852.74","1,221,677,852.74","1,221,677,852.74","1,221,677,852.74","1,221,677,852.74","1,221,677,852.74","1,221,677,852.74","1,221,677,852.74","1,221,677,852.74","1,221,677,852.74","1,221,677,852.74","1,221,677,852.74"
无形资产,"5,251,811.26","5,217,610.43","5,172,507.31","45,328,535.08","44,358,618.41","42,870,178.82","41,601,626.40","79,507,265.14","76,934,233.72","74,333,077.30","71,745,983.38","69,047,137.20","66,459,105.78","63,809,573.23","61,189,676.60","69,142,386.65","82,477,450.08","80,433,773.00","86,211,101.86","88,033,174.33","100,411,729.71","100,806,045.92","96,401,522.07","92,026,998.19","87,451,411.46","82,940,837.51","78,437,757.87","56,511,934.83","52,052,737.25","47,598,870.32","43,145,225.76","38,732,661.38","34,341,627.86","29,934,288.84"
盈余公积,,,,"8,761,756.66","8,761,756.66","8,761,756.66","8,761,756.66","11,622,990.12","11,622,990.12","11,622,990.12","11,622,990.12","18,183,856.33","18,183,856.33","18,183,856.33","18,183,856.33","49,528,191.93","49,528,191.93","49,528,191.93","49,528,191.93","68,171,081.95","68,171,081.95","68,171,081.95","68,171,081.95","85,619,766.18","85,619,766.18","85,619,766.18","85,619,766.18","96,624,905.54","96,624,905.54","96,624,905.54","96,624,905.54","134,987,161.20","134,987,161.20","134,987,161.20"
开发支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未分配利润,"7,915,428.20","43,464,233.17","87,703,477.67","85,484,296.86","107,744,982.58","129,772,404.06","174,262,797.13","190,965,944.30","224,592,671.22","256,849,342.86","279,415,970.04","295,298,211.36","324,228,924.79","351,312,547.33","399,097,078.86","573,774,442.70","652,447,283.36","716,620,523.55","814,822,643.74","753,159,551.82","817,476,877.95","803,111,734.34","873,320,333.94","919,656,693.42","993,706,431.82","1,002,863,066.79","1,096,885,331.51","1,114,878,048.54","1,190,639,425.22","1,209,255,726.53","1,307,955,457.45","1,349,205,170.33","1,432,336,055.58","1,404,362,471.19"
长期待摊费用,"33,008.72","24,815.44","11,238.56","1,179,690.06","380,211.79","3,309.52",,"15,000.00",,"13,125.00","10,583,020.83",,,,,,,,"6,220,499.96","11,904,004.50","11,837,467.74","11,270,931.00","10,954,394.25","10,637,857.46","10,321,320.71","10,004,783.96","9,688,247.21","9,371,710.42","9,055,173.67","8,738,636.92","8,422,100.17","8,105,563.38","7,789,026.63","7,472,489.88"
少数股东权益,"159,385.35","159,385.35","159,385.35","11,159,385.35","11,178,802.66","11,365,391.08","11,537,218.75","55,029,088.96","54,700,246.35","54,382,885.94","54,066,737.77","53,244,244.03","52,795,256.13","52,417,308.77","51,416,824.10","48,248,462.12","47,452,395.92","44,831,963.14","43,365,354.25","45,263,746.87","44,478,697.71","44,411,239.41","43,576,549.38","40,395,226.83","39,861,189.41","38,505,449.22","35,839,214.07","31,706,606.40","30,724,721.91","30,412,410.88","26,818,391.40","69,727,862.18","73,193,992.64","77,724,222.24"
递延所得税资产,"4,289,016.08","4,289,016.08","4,289,016.08","341,143.95","341,143.95","341,143.95","341,143.95","882,005.12","882,005.12","882,005.12","882,005.12","566,938.15","566,938.15","567,646.54","567,646.54","595,097.19","595,097.19","595,097.19","595,097.19","3,481,193.97","3,481,191.97","3,481,193.97","3,481,193.97","4,898,218.41","4,898,218.41","4,898,218.41","4,898,218.41","8,034,933.80","8,034,933.80","8,034,933.80","8,034,933.80","8,515,065.92","8,515,065.92","8,515,065.92"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"2,485,115,838.81","2,482,917,612.20","2,488,803,412.12","1,841,662,890.20","1,841,667,225.84","1,852,341,784.26","1,971,034,736.17","2,201,362,418.06","2,178,841,276.94","2,161,152,131.59","2,300,394,654.27","2,644,894,974.82","2,633,619,164.56","2,590,808,348.94","2,563,590,872.86","2,802,157,131.35","2,869,408,795.93","2,877,457,998.69","2,896,507,213.08","2,815,284,790.90","2,818,433,210.45","2,834,854,714.05","2,847,721,426.36","2,832,154,003.88","2,844,942,388.18","2,873,926,852.40","2,870,790,312.78","2,807,685,378.34","2,813,164,346.70","2,837,108,668.56","2,807,515,154.93","2,755,238,859.13","2,761,379,329.60","2,775,450,909.01"
所有者权益(或股东权益)合计,"2,320,679,877.85","2,356,228,679.82","2,400,467,927.32","2,418,010,503.17","2,440,290,606.20","2,462,504,616.10","2,507,166,836.84","2,571,223,087.68","2,604,520,971.99","2,636,460,283.22","2,658,710,762.23","2,680,331,376.02","2,708,813,101.55","2,735,518,776.73","2,782,302,823.59","3,249,761,820.66","3,327,638,595.12","3,389,191,402.53","3,485,926,913.83","3,437,792,709.00","3,501,450,603.52","3,487,331,693.96","3,555,911,003.63","3,635,389,495.88","3,708,905,196.86","3,716,609,452.58","3,807,951,571.69","3,788,458,651.96","3,863,137,428.42","3,881,372,224.48","3,977,706,991.48","4,078,597,213.58","4,165,153,457.33","4,141,688,386.10"
资产总计,"3,111,371,581.52","3,127,011,809.44","3,160,792,497.55","2,758,437,933.30","2,804,622,142.33","2,831,246,109.57","2,871,740,428.02","2,935,051,012.11","2,974,995,600.87","3,003,625,006.61","3,428,872,618.55","3,756,677,084.66","3,734,302,240.43","3,727,391,731.45","3,801,541,534.54","4,018,811,752.27","4,115,361,654.98","4,269,822,043.59","4,360,070,375.19","4,142,059,442.62","4,295,230,707.27","4,420,348,750.54","4,566,750,370.49","4,723,115,941.05","4,914,327,935.50","5,027,592,409.23","5,228,330,079.67","5,418,759,474.19","5,599,116,373.27","5,706,146,738.19","5,935,896,536.66","4,873,632,757.94","4,924,718,975.30","4,972,623,788.45"
负债和所有者(或股东权益)合计,"3,111,371,581.52","3,127,011,809.44","3,160,792,497.55","2,758,437,933.30","2,804,622,142.33","2,831,246,109.57","2,871,740,428.02","2,935,051,012.11","2,974,995,600.87","3,003,625,006.61","3,428,872,618.55","3,756,677,084.66","3,734,302,240.43","3,727,391,731.45","3,801,541,534.54","4,018,811,752.27","4,115,361,654.98","4,269,822,043.59","4,360,070,375.19","4,142,059,442.62","4,295,230,707.27","4,420,348,750.54","4,566,750,370.49","4,723,115,941.05","4,914,327,935.50","5,027,592,409.23","5,228,330,079.67","5,418,759,474.19","5,599,116,373.27","5,706,146,738.19","5,935,896,536.66","4,873,632,757.94","4,924,718,975.30","4,972,623,788.45"
