科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付的各项税费,"44,145,356.01","38,372,047.02","41,720,174.43",,"21,859,229.92","35,227,927.60","37,323,633.70","11,953,495.55","24,234,820.92","35,405,511.34","40,599,388.67","11,520,402.36","22,386,943.56","25,813,436.22","41,721,339.75"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"28,699,522.05","25,045,157.45","29,239,064.67",,"32,281,426.58","50,763,460.29","39,085,938.75","69,284,608.93","26,082,424.13","51,563,441.39","37,040,461.74","54,716,962.23","50,914,193.85","32,662,949.26","43,373,109.57"
筹资活动现金流入小计,"44,250,000.00","44,250,000.00","73,250,000.00",,"288,383,980.00","288,383,980.00","288,383,980.00",,,,,"10,000,000.00",,"20,000,000.00","70,000,000.00"
经营活动现金流出小计,"384,909,848.93","432,244,653.95","521,459,926.72",,"276,015,657.07","436,123,613.78","524,389,060.50","193,918,848.47","258,407,553.06","405,592,822.50","540,800,032.51","189,360,570.52","388,610,937.84","565,215,148.25","649,991,408.37"
偿还债务支付的现金,"50,730,819.99","45,844,046.67","45,951,648.94",,"56,143,426.35","99,854,498.57","100,323,703.13","475,567.38","957,583.82","1,446,821.47","1,942,523.42","10,501,799.14","11,016,015.69","11,183,964.14","11,180,478.94"
经营活动产生的现金流量净额,"34,731,991.74","27,319,568.61","38,913,417.04","-23,952,386.06","16,964,422.06","6,524,936.09","52,455,698.18","1,237,735.42","3,888,268.05","9,056,856.61","-10,098,709.98","-36,787,107.97","-62,056,588.69","-46,054,585.42","-38,879,458.59"
分配股利、利润或偿还利息支付的现金,"3,730,871.85","3,121,686.38","11,191,149.40",,"1,898,722.77","2,259,202.86","2,887,217.55","40,026.88","9,304,320.58","9,329,758.72","9,877,557.43","53,500.76","341,439.49","8,281,537.83","9,335,559.70"
收回投资收到的现金,,,,,,,"247,000,000.00","126,040,000.00","278,000,000.00","424,000,000.00","604,000,000.00","223,000,000.00","305,033,979.45","345,033,979.45","455,000,000.00"
支付其他与筹资活动有关的现金,,,,,,,"9,600,680.00",,,,,,,,
取得投资收益收到的现金,,,,,,,"1,634,317.89","797,380.14","1,659,765.53","3,037,155.94","3,740,353.20","1,669,608.22","2,011,542.47","2,416,542.47","3,146,322.11"
筹资活动现金流出小计,"54,461,691.84","48,965,733.05","57,142,798.34",,"58,042,149.12","102,113,701.43","112,811,600.68","515,594.26","10,261,904.40","10,776,580.19","11,820,080.85","10,555,299.90","11,357,455.18","19,465,501.97","20,516,038.64"
处置固定资产、无形资产和其他长期资产收回的现金净额,"786,903.30","95,103.42",,,,,,,,"313,000.00","428,842.20",,"80,500.00","80,500.00","97,137.68"
筹资活动产生的现金流量净额,"-10,211,691.84","-4,715,733.05","16,107,201.66","4,861,358.24","230,341,830.88","186,270,278.57","175,572,379.32","-515,594.26","-10,261,904.40","-10,776,580.19","-11,820,080.85","-555,299.90","-11,357,455.18","534,498.03","49,483,961.36"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,"-74,339.32","43,666.26","1,174,503.07","-27,898.07","155,768.25","143,035.04","1,484,048.20","-49,266.96","-171,986.77","-258,866.49","-697,014.01"
收到其他与投资活动有关的现金,,,,,,,"4,380,000.00",,,,"3,620,000.00","639,000.00","639,000.00","639,000.00","2,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,
投资活动现金流入小计,"786,903.30","95,103.42",,,,,"253,014,317.89","126,837,380.14","279,659,765.53","427,350,155.94","611,789,195.40","225,308,608.22","307,765,021.92","348,170,021.92","460,243,459.79"
五、现金及现金等价物净增加额,"-28,630,764.18","2,364,767.62","3,665,612.97","-27,815,072.64","229,357,847.77","38,055,652.85","119,270,361.11","-90,375,149.12","-105,750,445.25","-113,396,073.39","-119,054,294.80","-53,737.21","1,458,900.90","-12,857,499.38","-16,060,152.90"
购建固定资产、无形资产和其他长期资产支付的现金,"53,937,967.38","20,334,171.36","51,355,005.73",,"17,874,065.85","24,783,228.07","32,946,537.35","16,906,772.35","28,192,342.68","42,155,302.76","59,408,747.57","20,905,560.60","17,694,920.99","23,806,973.55","47,211,101.45"
期初现金及现金等价物余额,"83,818,199.07","55,187,434.89","57,552,202.51",,"61,217,815.48","61,217,815.48","61,217,815.48","180,488,176.58","180,488,176.59","180,488,176.59","179,738,176.59","60,683,881.79","60,683,881.79","60,683,881.79","60,683,881.79"
投资支付的现金,,,,,,"130,000,000.00","330,000,000.00","201,000,000.00","351,000,000.00","497,000,000.00","651,000,000.00","167,065,110.00","215,000,000.00","291,416,424.48","439,000,000.00"
期末现金及现金等价物余额,"55,187,434.89","57,552,202.51","61,217,815.48",,"290,575,663.25","99,273,468.33","180,488,176.59","90,113,027.46","74,737,731.34","67,092,103.20","60,683,881.79","60,630,144.58","62,142,782.69","47,826,382.41","44,623,728.89"
