科目,2011年度,2012年度,2013年1-9月,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
堪探费用,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,
财务费用,"10,890,349.64","23,309,217.45","15,002,342.74","22,411,614.94","16,440,643.94","27,126,072.50","42,043,383.93","16,829,317.88","24,712,133.93","39,903,232.17","55,134,658.28","6,354,764.23","8,080,900.25","13,696,461.87","21,599,686.73","2,572,085.29","503,631.69","4,254,410.66","9,406,341.61","4,159,325.82"
三、利润总额,"275,004,994.24","361,113,365.09","308,097,643.04","425,438,777.95","204,078,910.22","338,858,314.39","432,318,140.56","37,638,480.32","187,617,040.30","254,128,950.64","310,105,656.17","19,429,901.21","19,041,160.33","21,650,646.42","-96,026,825.95","-54,752,125.97","-41,325,910.16","3,401,014.30","50,654,702.23","-34,296,604.39"
资产减值损失,"5,152,802.95","22,339,916.16","14,125,479.15","12,280,696.46","16,700,177.49","24,034,589.49","41,630,232.28",,"29,142,244.56","29,142,244.56","38,846,727.65",,"28,406,682.72","28,406,682.72","73,473,770.59",,"37,861,136.69","37,861,136.69","42,402,194.74",
减:所得税,"44,275,987.11","61,036,197.62","47,021,989.99","68,280,407.28","32,770,817.27","52,219,038.66","68,627,354.20","5,572,432.02","25,962,825.87","37,163,090.46","47,443,276.18","2,946,044.54","4,642,431.99","3,520,185.11","-4,712,635.11","2,629,946.37","-2,019,998.59","2,319,659.50","12,197,009.22","1,687,550.94"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,"1,782,000.00","8,767,778.08","16,091,695.89","21,669,479.45","3,723,041.10","7,401,123.29","10,475,328.50","14,072,252.76","2,488,627.55","5,948,823.98","9,807,960.71","13,735,073.66","4,166,451.28"
四、净利润,"230,729,007.13","300,077,167.47","261,075,653.05","357,158,370.67","171,308,092.95","286,639,275.73","363,690,786.36","32,066,048.30","161,654,214.43","216,965,860.18","262,662,379.99","16,483,856.67","14,398,728.34","18,130,461.31","-91,314,190.84","-57,382,072.34","-39,305,911.57","1,081,354.80","38,457,693.01","-35,984,155.33"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"226,970,961.46","299,256,650.83","261,261,109.01","357,101,318.69","171,292,177.53","286,558,680.31","363,623,065.00","31,958,330.91","160,811,359.98","215,540,460.66","260,678,406.34","15,948,191.88","13,093,045.28","16,209,833.69","-91,896,026.46","-57,433,426.34","-39,468,072.51","773,374.91","37,686,988.05","-36,080,829.33"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,
少数股东损益,"3,758,045.67","820,516.64","-185,455.96","57,051.98","15,915.42","80,595.42","67,721.36","107,717.39","842,854.45","1,425,399.52","1,983,973.65","535,664.79","1,305,683.06","1,920,627.62","581,835.62","51,354.00","162,160.94","307,979.89","770,704.96","96,674.00"
