科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付给职工以及为职工支付的现金,"192,883,683.54","378,984,511.76","536,228,087.06","796,413,725.14","321,809,104.36","478,534,392.86","722,972,309.84","1,162,727,006.70","186,636,039.73","364,125,327.73","583,005,198.64","208,522,317.10","425,689,002.30","704,419,441.49","1,080,297,159.17","270,759,077.03","532,687,495.66","780,318,538.62","1,099,385,204.82","516,188,400.02","922,144,353.43","1,381,179,326.80","1,963,628,622.93","557,491,177.39","988,645,167.10","1,434,953,462.46","2,067,416,837.34","563,680,897.15","1,084,169,543.63","1,460,090,657.84","2,061,121,051.85","610,128,829.33","1,058,786,083.23","1,498,748,175.18","2,080,195,436.06","529,627,450.43","932,794,230.74","1,303,203,125.03","1,806,018,733.79","501,252,301.56","902,130,614.86","1,265,774,347.66","1,782,379,492.80","462,234,381.73","833,066,736.99","1,246,809,719.61","1,704,755,599.55","525,860,430.78"
取得借款收到的现金,"1,300,000,000.00","1,303,500,000.00","1,346,500,000.00","1,366,500,000.00",,"215,000,000.00","315,000,000.00","1,120,000,000.00",,,,,,,"14,000,000.00",,,,,"7,000,000.00","13,000,000.00","21,300,000.00","162,600,000.00","14,500,000.00","34,900,000.00","34,900,000.00","98,900,000.00","15,000,000.00",,,,,,"30,000,000.00","58,000,000.00",,,,,"14,000,000.00","14,000,000.00","114,000,000.00","114,000,000.00","14,000,000.00","14,000,000.00","114,000,000.00","114,000,000.00","114,000,000.00"
支付的各项税费,"108,143,521.52","284,161,841.29","426,127,982.94","561,636,270.73","200,176,324.71","442,448,764.36","601,541,117.43","803,358,878.32","262,809,958.83","549,826,961.64","711,983,868.26","266,839,970.82","540,608,988.63","741,507,016.84","922,310,067.79","284,851,098.89","489,597,942.25","664,949,763.94","840,796,346.09","420,002,601.30","905,291,529.79","1,272,128,873.37","1,719,236,103.27","388,576,574.15","761,738,056.17","1,038,878,169.14","1,285,595,282.15","451,413,569.87","809,003,865.90","1,063,446,773.31","1,382,524,664.15","305,430,447.74","622,932,290.04","855,487,038.90","1,122,801,994.46","288,035,475.45","631,674,948.09","846,808,385.05","1,115,285,238.26","279,369,526.08","626,830,153.39","873,771,675.82","1,094,857,191.72","240,299,118.95","518,700,872.76","678,910,993.86","838,411,101.80","157,892,761.74"
收到其他与筹资活动有关的现金,,"4,900,000.00","4,900,000.00","18,291,248.00","297,470,000.00","21,259,662.00","17,477,829.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"287,557,752.17","543,652,963.57","905,646,345.61","1,309,064,629.18","327,801,128.79","666,895,301.30","957,350,139.90","1,137,315,447.73","286,539,155.30","528,899,050.70","789,101,788.94","403,442,234.36","712,662,419.84","1,060,099,651.02","1,232,996,835.82","481,627,906.97","875,388,928.03","1,276,407,426.12","1,452,386,772.05","672,373,368.65","978,065,407.62","1,935,788,727.42","2,806,357,977.55","572,701,558.55","1,258,517,516.92","2,024,461,237.71","2,951,524,039.10","620,890,803.49","1,337,027,986.59","2,211,180,280.17","2,847,566,391.69","496,257,043.15","1,306,309,748.66","1,394,103,401.76","1,424,405,889.05","493,573,205.65","749,299,139.41","800,051,315.46","1,244,375,082.99","478,982,513.93","494,886,620.72","861,948,596.13","904,321,772.16","228,309,098.40","549,327,372.07","826,226,150.16","996,860,073.53","283,570,931.46"
筹资活动现金流入小计,"1,300,000,000.00","1,308,400,000.00","1,351,400,000.00","1,384,791,248.00","297,470,000.00","236,259,662.00","332,477,829.87","1,120,000,000.00",,,,,,,"14,000,000.00",,,,,"7,000,000.00","30,000,000.00","38,300,000.00","179,600,000.00","14,500,000.00","35,080,000.00","35,080,000.00","99,080,000.00","15,000,000.00",,,,,,"30,000,000.00","58,000,000.00",,,,"211,525,400.00","14,000,000.00","14,000,000.00","114,000,000.00","140,941,350.00","14,000,000.00","14,000,000.00","114,000,000.00","114,980,000.00","114,000,000.00"
经营活动现金流出小计,"1,780,945,815.33","3,665,589,129.90","5,536,590,169.81","6,840,044,808.23","2,294,465,152.89","4,273,436,468.84","6,108,553,943.46","7,784,513,987.97","2,103,361,701.85","4,132,051,714.95","6,143,052,980.49","2,916,031,840.59","5,682,896,035.15","8,612,185,103.75","11,017,014,616.58","3,424,235,153.06","6,702,589,088.08","10,026,171,493.75","11,607,482,222.61","3,699,967,500.78","8,525,835,936.58","11,398,389,709.83","16,450,742,159.83","3,846,076,347.20","7,824,163,767.55","11,581,488,603.72","15,965,572,029.10","4,127,931,594.04","7,580,860,676.99","10,945,100,480.82","15,244,167,589.19","3,825,732,840.96","7,778,465,694.16","10,352,984,648.63","13,317,266,304.38","3,259,852,677.73","6,394,506,304.54","9,056,923,635.01","12,015,577,325.43","3,331,669,620.38","6,014,872,839.85","8,879,866,023.50","11,813,041,806.74","2,766,697,567.29","5,568,860,657.16","8,208,548,745.28","10,814,640,765.62","2,783,914,747.29"
偿还债务支付的现金,"765,045,780.00","825,000,000.00","825,000,000.00","825,000,000.00","1,300,000,000.00","1,360,000,000.00","1,360,000,000.00","1,680,000,000.00",,,"7,000,000.00",,,"318,200.00","16,021,185.90",,"873,181.37","873,181.37","873,181.37","120,998,216.00","134,460,100.00","137,513,500.00","342,026,600.00","110,840,000.00","121,340,000.00","121,340,000.00","237,415,226.61","624,133.34","5,318,200.00","5,318,200.00","9,027,630.90",,,,"24,005,502.35",,,,"14,000,000.00",,"629,754.78","629,754.78","1,551,175.71","14,533,600.00","22,770,869.70","122,770,869.70","125,758,285.29","14,000,000.00"
经营活动产生的现金流量净额,"-45,570,987.41","375,408,819.55","663,785,848.47","650,162,694.70","-73,839,826.90","100,430,684.39","298,474,537.19","578,587,263.11","556,318,146.39","1,101,471,572.35","1,641,669,555.63","448,376,855.76","1,003,620,335.67","1,230,559,614.87","1,152,668,548.04","-32,720,299.33","106,759,432.97","-32,404,028.21","-31,563,924.79","583,618,163.78","756,165,540.90","625,157,265.81","557,829,737.86","108,292,541.85","691,024,943.43","432,137,792.67","141,639,697.13","-42,188,167.64","691,223,027.54","1,005,019,794.71","1,136,099,588.38","-233,730,990.46","53,531,998.87","767,818,991.61","1,660,015,400.12","1,034,909,621.37","1,946,294,165.63","2,286,385,513.89","2,778,011,578.93","89,497,959.12","278,503,103.77","106,469,128.97","149,221,463.37","142,521,739.09","93,699,107.55","153,760,407.12","692,724,935.55","-178,093,682.78"
分配股利、利润或偿还利息支付的现金,"54,576,675.67","58,159,394.99","55,930,855.44","58,275,641.54","53,518.13","5,257,679.44","85,345,263.05","96,616,265.13","255,035.94","328,388,763.48","757,185,668.75","283,078.82","377,814,174.47","376,269,742.22","589,680,148.74","175,140.00","354,172.00","761,488,745.55","762,166,191.37","3,218,397.41","11,475,096.05","20,198,812.19","25,226,779.27","2,542,527.78","4,955,462.23","6,206,170.02","8,246,528.89","143,538.89","498,166.67","90,998,582.83","144,379,362.25","55,411.40","460,987.24","658,209.46","1,924,576,842.91","152,250.00","380,581.19","80,569,009.67","83,525,008.67","1,430,536.11","1,358,511,537.05","1,365,875,624.55","1,345,983,509.51","1,183,683.34","1,346,591,977.44","1,349,938,164.38","1,350,879,767.62","1,286,447.77"
收回投资收到的现金,"182,027,416.14",,,,,,,,"270,000,000.00","270,500,000.00","347,000,000.00","280,000,000.00","590,000,000.00","759,000,000.00","1,069,000,000.00","609,000,000.00","929,000,000.00","1,116,000,000.00","1,256,000,000.00","515,900.00","515,900.00","515,900.00","150,515,900.00","250,000,000.00","350,000,000.00","350,000,000.00","350,000,000.00",,,,,,,,,"28,638,963.36","28,638,963.36","28,638,963.36",,,"30,000,000.00","30,000,000.00","30,000,000.00",,,,,
支付其他与筹资活动有关的现金,"5,200,000.00","5,200,000.00","5,200,000.00","9,430,000.00","100,000.00","6,400,000.00","6,400,000.00","10,900,000.00",,,"1,300,000.00",,,"300,000.00","800,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"192,300.00",,,,"65,898,561.00"
取得投资收益收到的现金,,,,"19,228,014.65",,,,"11,598,750.50","2,380,328.76","88,211,082.46","88,224,191.33","322,043.85","79,264,602.04","80,413,100.60","81,373,723.95","922,180.80","58,379,850.02","59,192,481.66","59,480,594.06",,,"2,785,486.54","5,491,650.51","616,438.00","1,773,698.00","1,773,698.00","1,773,698.00","158,905.32","158,905.32","158,905.32","158,905.32",,"190,448.29","190,448.29","190,448.29",,"315,512.92","348,308.07","242,815.06","930,961.11","644,486.13","2,006,277.79","491,221.00",,,"696,086.36","796,698.24",
筹资活动现金流出小计,"824,822,455.67","888,359,394.99","886,130,855.44","892,705,641.54","1,300,153,518.13","1,371,657,679.44","1,451,745,263.05","1,787,516,265.13","255,035.94","328,388,763.48","765,485,668.75","283,078.82","377,814,174.47","376,887,942.22","606,501,334.64","175,140.00","1,227,353.37","762,361,926.92","763,039,372.74","124,216,613.41","145,935,196.05","157,712,312.19","367,253,379.27","113,382,527.78","126,295,462.23","127,546,170.02","245,661,755.50","767,672.23","5,816,366.67","96,316,782.83","153,406,993.15","55,411.40","460,987.24","658,209.46","1,948,582,345.26","152,250.00","380,581.19","80,569,009.67","97,525,008.67","1,430,536.11","1,359,141,291.83","1,366,505,379.33","1,347,534,685.22","15,909,583.34","1,369,362,847.14","1,472,709,034.08","1,476,638,052.91","81,185,008.77"
处置固定资产、无形资产和其他长期资产收回的现金净额,"706,535.00","5,689,991.30","10,600,411.30","13,460,002.48","1,292,369.58","2,398,705.00","3,418,549.00","18,850,139.33","385,394.00","1,144,018.60","2,216,956.73","160,000.00","1,321,013.13","2,561,963.13","4,596,415.13","87,162.00","3,221,621.15","3,302,587.15","6,735,994.18","227,900.00","385,720.00","160,519,158.46","111,522,174.66","362,433.00","534,279.00","554,499.00","4,381,479.00","10,271,348.71","11,966,047.71","12,403,404.71","1,573,263.77","99,000.00","3,756,574.00","4,892,959.53","6,123,281.89","793,209.00","1,400,154.00","4,151,815.00","3,902,226.24","139,000.00","862,531.97","951,172.97","3,536,020.61","80,500.03","682,657.40","1,103,306.40","1,552,741.20","12,000.00"
筹资活动产生的现金流量净额,"475,177,544.33","420,040,605.01","465,269,144.56","492,085,606.46","-1,002,683,518.13","-1,135,398,017.44","-1,119,267,433.18","-667,516,265.13","-255,035.94","-328,388,763.48","-765,485,668.75","-283,078.82","-377,814,174.47","-376,887,942.22","-592,501,334.64","-175,140.00","-1,227,353.37","-762,361,926.92","-763,039,372.74","-117,216,613.41","-115,935,196.05","-119,412,312.19","-187,653,379.27","-98,882,527.78","-91,215,462.23","-92,466,170.02","-146,581,755.50","14,232,327.77","-5,816,366.67","-96,316,782.83","-153,406,993.15","-55,411.40","-460,987.24","29,341,790.54","-1,890,582,345.26","-152,250.00","-380,581.19","-80,569,009.67","114,000,391.33","12,569,463.89","-1,345,141,291.83","-1,252,505,379.33","-1,206,593,335.22","-1,909,583.34","-1,355,362,847.14","-1,358,709,034.08","-1,361,658,052.91","32,814,991.23"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,003,518.85",,"-15,687,924.47","-15,687,924.47",,,,,,,,,"28,638,963.36",,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,"171,502,760.93",,,,,,,,,,,,,,,,,,,,,,,,,,,"400,000.00",,,,,,"21,075,030.50"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"182,733,951.14","5,689,991.30","10,600,411.30","32,688,017.13","1,292,369.58","2,398,705.00","3,418,549.00","30,448,889.83","272,765,722.76","359,855,101.06","437,441,148.06","280,482,043.85","670,585,615.17","841,975,063.73","1,326,472,900.01","610,009,342.80","990,601,471.17","1,178,495,068.81","1,322,216,588.24","743,800.00","901,620.00","163,820,545.00","267,529,725.17","250,978,871.00","352,307,977.00","352,328,197.00","359,158,695.85","10,430,254.03","-3,562,971.44","-3,125,614.44","1,732,169.09","99,000.00","3,947,022.29","5,083,407.82","6,313,730.18","29,432,172.36","30,354,630.28","33,139,086.43","32,784,004.66","1,069,961.11","31,507,018.10","33,357,450.76","34,027,241.61","80,500.03","682,657.40","1,799,392.76","2,349,439.44","21,087,030.50"
五、现金及现金等价物净增加额,"156,174,550.53","500,686,619.58","785,083,909.58","763,304,114.17","-1,100,694,278.94","-1,098,066,132.67","-918,554,967.13","-546,389,442.09","788,764,485.77","1,038,713,147.09","1,115,780,090.10","216,197,590.24","481,883,557.03","617,647,077.95","508,063,565.23","-61,363,388.32","98,213,536.29","-932,434,184.17","-922,005,973.56","414,298,584.62","443,381,860.73","212,962,963.14","60,521,779.30","100,496,370.10","560,064,089.24","167,399,859.62","-302,531,121.30","-123,118,854.08","499,191,125.11","646,458,729.27","597,830,670.87","-314,056,684.37","-88,996,886.03","585,444,469.46","-515,005,495.27","1,033,329,265.68","1,914,643,061.74","2,154,989,533.17","2,815,646,084.29","92,763,040.27","-1,067,371,990.78","-1,169,009,059.74","-1,125,354,191.60","132,101,526.90","-1,292,445,663.47","-1,243,312,642.67","-1,473,043,927.37","-1,484,862,512.30"
购建固定资产、无形资产和其他长期资产支付的现金,"37,124,464.51","63,438,719.40","117,557,417.87","174,996,242.43","25,463,303.49","60,254,904.62","95,938,020.14","143,086,729.90","40,064,347.44","94,224,762.84","187,844,944.84","37,253,465.79","129,383,454.58","212,874,893.67","299,194,663.42","49,477,291.79","106,920,014.48","160,500,292.38","233,627,458.80","52,846,759.75","196,447,198.45","305,299,629.81","275,781,398.79","59,892,514.97","177,696,540.71","273,521,194.93","369,897,509.23","105,593,268.24","182,652,564.32","259,118,668.17","375,371,508.98","80,369,282.51","146,014,919.95","216,799,720.51","290,752,280.31","29,165,774.76","59,930,649.69","82,271,554.19","107,455,387.34","10,374,343.85","32,240,820.82","56,330,260.14","102,009,561.36","8,591,128.88","31,464,581.28","40,163,408.47","114,110,249.45","4,358,931.25"
期初现金及现金等价物余额,"1,346,752,426.36","1,346,752,426.36","1,346,752,426.36","1,346,752,426.36","2,110,056,540.53","2,110,056,540.53","2,110,056,540.53","2,110,056,540.53","1,563,667,098.44","1,563,667,098.44","1,563,667,098.44","1,979,258,134.70","1,979,258,134.70","1,979,258,134.70","1,979,258,134.70","2,491,578,819.93","2,487,321,699.93","2,487,321,699.93","2,491,578,819.93","1,956,284,689.31","1,956,284,689.31","1,956,284,689.31","1,956,284,695.31","2,016,806,474.61","2,016,806,474.61","2,016,806,474.61","2,016,806,474.61","1,764,640,567.12","1,714,275,353.31","1,764,640,567.12","1,714,275,353.31","2,334,452,484.17","2,312,106,024.18","2,334,452,484.17","2,312,106,024.18","1,819,769,267.93","1,797,100,528.91","1,819,769,267.93","1,797,100,528.91","4,635,677,212.02","4,612,746,613.20","4,635,677,212.02","4,612,746,613.20","3,510,520,867.35","3,487,392,421.60","3,487,392,421.60","3,487,392,421.60","2,047,809,592.61"
投资支付的现金,,,,"100,000.00",,"5,242,600.00","5,242,600.00","344,822,600.00",,,"10,000,000.00","480,000,000.00","690,000,000.00","870,000,000.00","1,080,000,000.00","589,000,000.00","891,000,000.00","1,156,000,000.00","1,216,000,000.00",6.00,6.00,"150,000,006.00","300,100,006.00","100,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00",,,,,,,,,,,,,,,,,,,,"692,350,000.00","1,356,311,920.00"
期末现金及现金等价物余额,"1,502,926,976.89","1,847,439,045.94","2,131,836,335.94","2,110,056,540.53","1,009,362,261.59","1,011,990,407.86","1,191,501,573.40","1,563,667,098.44","2,352,431,584.21","2,602,380,245.53","2,679,447,188.54","2,195,455,724.94","2,461,141,691.73","2,596,905,212.65","2,487,321,699.93","2,430,215,431.61","2,585,535,236.22","1,554,887,515.76","1,569,572,846.37","2,370,583,273.93","2,399,666,550.04","2,169,247,652.45","2,016,806,474.61","2,117,302,844.71","2,576,870,563.85","2,184,206,334.23","1,714,275,353.31","1,641,521,713.04","2,213,466,478.42","2,411,099,296.39","2,312,106,024.18","2,020,395,799.80","2,223,109,138.15","2,919,896,953.63","1,797,100,528.91","2,853,098,533.61","3,711,743,590.65","3,974,758,801.10","4,612,746,613.20","4,728,440,252.29","3,545,374,622.42","3,466,668,152.28","3,487,392,421.60","3,642,622,394.25","2,194,946,758.13","2,244,079,778.93","2,014,348,494.23","562,947,080.31"
