科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"206,886.48","188,233.79","103,443.24","51,721.62","1,167,883.02","134,729.51","89,819.67",,,,
一年内到期的非流动负债,"12,000,000.00",,,,"30,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00"
其他流动资产,,,,,,,,,,,,,,,,,,,,,"290,000,000.00",,"100,000,000.00","100,000,000.00","70,741,581.61","87,769,361.44","90,748,241.51","143,428,376.29","121,818,287.01","84,727,476.31","97,352,287.34","76,077,717.31","127,779,250.59","130,160,948.82","39,340,589.94","39,885,414.32","76,350,879.01","36,672,809.64","39,236,512.99"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,"5,762,310.00","3,946,732.50","2,631,155.00","1,315,577.50","5,762,310.00","4,446,732.50","2,881,155.00","1,440,577.50","6,382,970.43","4,743,340.58","3,527,738.16","1,447,272.53","5,766,826.13","4,324,977.49","2,885,404.66"
流动资产合计,"370,189,545.92","433,455,573.46","475,500,990.11","532,367,134.85","511,378,981.14","1,181,485,326.13","1,093,294,068.92","976,391,591.34","1,145,608,830.12","1,176,481,035.56","1,122,692,368.88","1,223,558,062.98","1,172,523,939.23","1,314,036,112.29","1,874,162,889.38","1,856,750,098.94","1,736,969,918.87","1,951,929,480.07","1,805,065,322.38","1,895,781,822.61","1,760,804,439.32","1,920,906,170.84","1,700,201,569.12","1,580,480,905.74","1,678,118,891.01","1,778,297,494.46","1,756,251,672.19","1,596,254,609.90","1,720,878,543.59","1,904,794,872.60","1,736,193,840.83","1,680,594,366.48","2,201,808,152.62","2,354,622,110.79","2,115,569,564.63","2,298,963,996.13","2,359,373,561.66","2,497,407,540.56","3,268,074,473.79"
流动负债合计,"282,030,531.58","331,206,969.45","344,352,649.18","401,985,443.84","426,886,606.68","423,063,157.72","441,197,291.84","401,053,543.52","591,800,379.68","674,546,702.52","682,734,222.99","805,718,555.26","803,645,143.50","989,354,713.04","959,574,412.85","958,197,819.09","816,943,371.31","1,023,702,258.50","870,121,497.13","1,038,151,514.56","928,029,187.49","1,126,979,351.08","917,245,438.48","786,728,291.88","912,572,447.96","1,013,030,836.43","986,527,401.77","1,105,323,490.79","1,154,482,823.91","1,296,345,369.61","1,172,033,572.16","1,336,835,083.23","1,673,432,413.30","1,582,647,821.76","1,516,237,390.88","1,661,301,663.39","1,726,651,689.29","1,804,563,112.60","1,658,970,396.54"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,"3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","81,500,000.00","81,500,000.00","82,500,000.00","82,500,000.00","284,645,761.90","284,645,761.90","284,943,498.90","285,338,928.90","285,744,914.90"
长期借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"137,000,000.00","337,000,000.00","337,000,000.00","337,000,000.00","317,000,000.00","317,000,000.00","317,000,000.00"
