科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,000,000.00",
支付其他与筹资活动有关的现金,,,,,,,"5,260,100.00","5,642,910.28","5,864,556.97","5,933,852.80","471,283.71","1,074,233.31","1,781,436.94","464,546.52","1,016,702.98","2,093,691.88","2,414,914.16","4,194,052.06","9,611,523.00",,"-203,373.18","2,470,011.00",,"494,250.00","1,318,175.59","11,418,317.53",,"243,356.09","1,252,574.15","6,304,000.00",,,,,,"45,821,351.41","60,289,081.41","96,825,428.39",
取得投资收益收到的现金,,,,"1,262,579.29","1,262,579.29","1,262,579.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,000,000.00"
筹资活动现金流出小计,"100,498,921.71","171,224,979.44","108,312,663.09","97,127,171.21","108,677,545.91","195,727,359.51","228,672,900.38","242,807,208.39","253,246,666.84","290,343,680.01","42,125,014.57","73,926,728.50","127,181,989.45","188,462,931.80","33,118,299.11","96,887,592.94","146,425,547.90","316,903,275.43","162,598,032.31","272,465,906.53","379,873,178.26","573,481,949.16","151,553,749.38","366,463,209.95","617,754,628.22","831,868,173.95","176,760,472.51","276,587,255.94","505,696,414.23","750,060,010.60","183,394,070.34","298,838,582.78","434,002,542.73","585,009,195.92","158,403,993.05","396,557,072.60","616,384,861.19","823,997,349.49","99,953,016.35"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,"12,700.00","12,700.00","18,400.00","6,320.00","21,968.08","42,668.08","42,668.08",175.00,175.00,"1,475.00","6,675.00","1,538.46","2,196.58","3,871.58","3,983.46",,"45,431,933.00","10,687.00","37,625.30","-2,621,456.73","2,016.22","2,313.02","4,043.02",,"1,660.00","6,550.00","6,550.00",,"8,045.00","35,629.00","257,079.64","139,800.74","1,447,845.82","3,230,558.06","9,411,462.40","14,435,020.60"
筹资活动产生的现金流量净额,"63,749,307.12","-6,336,468.97","-55,307,042.29","17,122,828.79","17,372,454.09","67,106,960.49","160,651,060.36","190,765,496.16","277,604,701.97","293,307,666.14","-19,125,014.57","4,463,568.98","-17,730,374.95","48,337,068.20","74,881,700.89","99,559,825.64","135,021,870.68","198,176,563.15","53,681,221.69","101,771,153.95","182,633,289.65","163,234,255.35","-47,053,749.38","-102,410,840.72","-154,963,754.76","-50,587,440.73","-9,269,529.07","-15,062,344.26","-110,941,273.36","-220,325,439.95","-58,066,280.49","-76,228,132.98","-116,867,936.48","-71,437,730.94","31,596,006.95","-196,557,072.60","-107,761,745.86","-124,422,097.08","-28,718,341.35"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,655,779.62"
四、汇率变动对现金的影响,"-1,384,236.45","728,141.05","-36,366.25","-104,168.26","-183,682.47","93,410.63","456,974.84","578,171.96","778,500.15","1,029,470.62","411,207.53","611,813.06","857,460.64","-341,805.61","-565,841.05","-1,606,728.65","-2,152,496.67","-2,775,723.73","-269,230.30","435,212.41","435,728.20","331,457.32","654,638.56","1,326,569.57","3,042,497.97","4,033,429.75","-508,078.48","110,689.76","457,068.09","1,735,964.15","-340,876.20","-452,902.29","-1,519,533.03","-1,801,366.56","-1,719,026.82","-282,543.53","3,113,104.32","726,210.64","-1,142,521.53"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,,"1,275,279.29","1,275,279.29","1,280,979.29","6,320.00","21,968.08","42,668.08","42,668.08",175.00,175.00,"1,475.00","6,675.00","1,538.46","2,196.58","3,871.58","3,983.46",,"45,431,933.00","10,687.00","37,625.30","-2,621,456.73","2,016.22","2,313.02","4,043.02",,"1,660.00","6,550.00","6,550.00",,"8,045.00","35,629.00","257,079.64","139,800.74","1,447,845.82","3,230,558.06","29,411,462.40","80,090,800.22"
五、现金及现金等价物净增加额,"10,333,780.96","14,560,924.49","5,436,254.75","2,203,071.42","-22,277,732.03","12,728,482.64","90,633,103.54","38,122,638.92","82,621,200.45","71,937,546.15","-26,252,514.40","2,646,489.42","-75,377,116.31","-61,710,636.67","30,995,037.13","41,254,061.40","11,827,064.68","51,799,659.67","-40,500,903.58","-40,488,369.62","-39,887,657.70","-53,339,721.93","-19,436,145.65","14,520,805.38","-3,923,234.00","84,308,477.19","-8,001,401.97","-56,654,817.12","-53,281,954.99","-61,190,393.16","53,026,512.42","160,346,246.68","545,716,852.70","734,462,853.98","106,121,202.78","-297,324,127.97","-366,736,266.18","-483,592,545.08","-55,014,876.06"
购建固定资产、无形资产和其他长期资产支付的现金,"82,061,356.88","20,053,813.51","32,539,439.09","33,971,070.99","61,925,197.79","105,116,318.01","66,525,040.87","142,819,391.43","193,185,923.43","249,848,730.88","24,667,096.32","68,061,045.33","148,697,589.12","204,685,937.04","72,468,830.66","183,847,935.52","240,182,418.88","330,452,099.33","80,595,786.13","190,096,981.40","264,115,089.27","274,734,996.60","25,122,343.17","63,976,945.53","98,323,369.99","137,047,893.80","33,881,317.29","50,091,683.03","85,052,987.01","95,823,738.46","15,226,794.36","47,865,672.25","110,724,010.52","176,895,283.03","58,989,682.07","155,004,178.45","234,203,989.16","296,475,399.89","42,206,045.86"
期初现金及现金等价物余额,"11,193,495.73","21,527,276.69","36,088,201.18","41,524,455.93","41,524,455.93","41,524,455.93","54,252,938.57","54,252,938.57","54,252,938.57","54,252,938.57","126,190,484.72","126,190,484.72","126,190,484.72","126,190,484.72","64,479,848.05","64,479,848.05","64,479,848.05","64,479,848.05","116,279,507.72","116,279,507.72","116,279,507.72","116,279,507.72","62,939,785.79","62,939,785.79","62,939,785.79","62,939,785.79","147,248,262.98","147,248,262.98","147,248,262.98","147,248,262.98","86,057,869.82","86,057,869.82","86,057,869.82","86,057,869.82","814,019,843.35","820,520,723.80","820,520,723.80","820,520,723.80","336,928,178.72"
投资支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,000,000.00","30,000,000.00","40,000,000.00",
期末现金及现金等价物余额,"21,527,276.69","36,088,201.18","41,524,455.93","43,727,527.35","19,246,723.90","54,252,938.57","144,886,042.11","92,375,577.49","136,874,139.02","126,190,484.72","99,937,970.32","128,836,974.14","50,813,368.41","64,479,848.05","95,474,885.18","105,733,909.45","76,306,912.73","116,279,507.72","75,778,604.14","75,791,138.10","76,391,850.02","62,939,785.79","43,503,640.14","77,460,591.17","59,016,551.79","147,248,262.98","139,246,861.01","90,593,445.86","93,966,307.99","86,057,869.82","139,084,382.24","246,404,116.50","631,774,722.52","820,520,723.80","920,141,046.13","523,196,595.83","453,784,457.62","336,928,178.72","281,913,302.66"
