科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-83,017.40","104,404.50","497,257.88","-72,048.15","-135,137.63","-78,405.01","-7,442.21","-54,634.29","-120,910.26","291,172.54","580,912.17","1,244,197.45","251,920.43","43,149.19","182,547.49","91,709.47","-525,367.43","-427,375.10","-945,063.47","-1,412,542.03"
收到其他与投资活动有关的现金,,,,,"843,728.00",,,,,"1,066,300.00","559,300.00","347,600.00",,,"804,000.00","418,500.00","632,000.00","605,200.00","601,600.00","716,300.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"2,746,734.60","132,669.07","22,649.00",,"1,130,083.99",,"8,000.00","53,554.62","53,554.62","1,420,705.12","914,226.37","796,831.12","469,863.69",,"804,000.00","1,260,019.23","1,509,619.23","860,472.42","1,389,948.78","2,186,089.51"
五、现金及现金等价物净增加额,"6,774,682.49","26,625,440.77","-1,786,504.44","-5,529,005.91","-2,467,652.35","234,294,088.96","150,044,454.48","125,210,431.61","126,803,525.68","-66,099,944.87","70,543,182.39","151,271,285.10","-16,937,448.33","-21,087,061.55","-34,173,919.75","-51,775,418.43","-20,349,962.69","-63,292,456.49","-21,054,561.92","-69,590,047.81"
购建固定资产、无形资产和其他长期资产支付的现金,"101,912,768.60","62,920,120.41","104,173,255.56","28,855,813.84","120,413,199.89","24,261,185.69","47,154,315.64","74,456,622.31","127,219,725.14","25,791,286.21","55,266,379.30","76,605,719.71","89,422,513.92","18,090,415.12","54,143,706.52","131,004,115.72","153,741,629.63","27,417,159.20","43,679,338.56","70,002,843.44"
期初现金及现金等价物余额,"7,980,330.20","14,755,012.69","41,380,453.46","39,593,949.02","39,593,949.02","37,126,296.67","37,126,296.67","37,126,296.67","37,126,296.67","163,929,822.35","163,929,822.35","163,929,822.35","163,929,822.35","146,992,374.02","146,992,374.02","146,992,374.02","146,992,374.02","126,642,411.33","126,642,411.33","126,642,411.33"
投资支付的现金,"32,310.27",,,,,,,,,,,,,"2,000,000.00",,"2,000,000.00","7,000,000.00",,"87,610,000.00","87,610,000.00"
期末现金及现金等价物余额,"14,755,012.69","41,380,453.46","39,593,949.02","34,064,943.11","37,126,296.67","271,420,385.63","187,170,751.15","162,336,728.28","163,929,822.35","97,829,877.48","234,473,004.74","315,201,107.45","146,992,374.02","125,905,312.47","112,818,454.27","95,216,955.59","126,642,411.33","63,349,954.84","105,587,849.41","57,052,363.52"
