科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
经营活动现金流出小计,"528,434,853.29","632,919,647.35","879,373,841.02","265,330,204.98","467,971,268.08","820,102,303.23","1,126,256,466.18","268,019,733.05","570,076,230.12","858,487,106.00","1,418,711,681.84","458,697,915.87"
偿还债务支付的现金,"94,174,387.80","183,135,520.41","272,769,607.91","11,742,612.39","83,605,293.50","185,291,286.12","236,948,188.88","15,052,648.89","15,792,552.89","16,544,283.31","17,051,993.94","130,000,000.00"
经营活动产生的现金流量净额,"-13,242,419.36","126,622,045.60","312,291,387.82","22,041,368.67","-108,202,302.59","-231,211,911.96","-74,248,842.73","35,613,522.73","91,991,037.68","108,459,917.98","170,590,587.25","73,351,941.91"
分配股利、利润或偿还利息支付的现金,"25,670,550.52","7,004,961.98","30,493,318.44","3,124,272.31","76,150,638.85","77,820,392.81","78,439,553.16","429,540.92","44,032,637.36","45,893,205.95","48,488,979.79","2,665,266.20"
收回投资收到的现金,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"6,038,692.39","300,000.00","1,605,000.00","1,558,149.64","11,824,288.96","11,824,288.96","11,311,479.41",,,,,
取得投资收益收到的现金,,,,,,"2,958,992.30","6,213,365.84","2,326,223.97","4,968,184.94","6,776,416.67","8,274,444.07","857,050.23"
筹资活动现金流出小计,"125,883,630.71","190,440,482.39","304,867,926.35","16,425,034.34","171,580,221.31","274,935,967.89","326,699,221.45","15,482,189.81","59,825,190.25","62,437,489.26","65,540,973.73","132,665,266.20"
处置固定资产、无形资产和其他长期资产收回的现金净额,"258,192.20","611,366.44","430,000.00","211,725.07","1,683,973.63","1,881,973.63","496,000.00","119,557.00","119,557.00","119,557.00","119,557.00","225,521.37"
筹资活动产生的现金流量净额,"45,087,870.25","47,352,336.41","183,158,169.65","1,247,904,965.66","1,092,749,778.69","989,394,032.11","943,436,515.29","102,998,810.19","97,475,809.75","124,863,510.74","143,279,026.27","-2,665,266.20"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,
四、汇率变动对现金的影响,"-172,079.83","-150,408.45","113,613.95","-22,081.19","-30,760.36","-44,300.16","-36,143.43","-95,375.20","-126,602.29","459,852.88","-69,928.61","-262,079.79"
收到其他与投资活动有关的现金,,,,,,"450,000,000.00","1,022,000,000.00","306,000,000.00","764,000,000.00","954,000,000.00","1,134,000,000.00","110,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"258,192.20","611,366.44","430,000.00","211,725.07","1,683,973.63","454,840,965.93","1,028,709,365.84","308,445,780.97","769,087,741.94","960,895,973.67","1,142,394,001.07","111,082,571.60"
五、现金及现金等价物净增加额,"-19,719,229.77","14,165,684.39","170,563,892.26","1,128,626,188.33","333,473,837.02","-5,509,227.62","-5,524,688.87","-118,952,165.80","-73,413,224.41","-70,877,608.51","-59,156,533.84","-3,959,356.66"
购建固定资产、无形资产和其他长期资产支付的现金,"51,650,793.03","135,269,655.61","323,152,722.03","141,509,789.88","320,280,601.35","418,041,762.54","632,939,332.84","219,914,904.49","335,841,211.49","399,556,863.78","519,350,219.82","116,266,524.18"
期初现金及现金等价物余额,"32,998,585.99","13,279,356.22","27,445,040.61","198,008,932.87","198,008,932.87","198,008,932.87","198,008,932.87","192,484,244.00","192,484,244.00","192,484,244.00","192,484,244.00","133,327,710.16"
投资支付的现金,,,,,,,,,,,,"1,200,000.00"
期末现金及现金等价物余额,"13,279,356.22","27,445,040.61","198,008,932.87","1,326,635,121.20","531,482,769.89","192,499,705.25","192,484,244.00","73,532,078.20","119,071,019.59","121,606,635.49","133,327,710.16","129,368,353.50"
