科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"251,692,097.49","129,352,002.23","162,093,325.38","146,962,691.92","805,496,276.18","778,358,583.86","724,675,724.05","735,057,930.53","750,235,167.94","740,745,457.27","730,798,844.58","742,718,363.45","747,757,071.72","735,101,689.39","772,967,897.97","793,041,598.76","596,724,931.95","576,602,752.38","508,749,738.94","459,647,744.19","476,548,600.34","536,890,574.48","572,046,170.82","681,444,767.51","1,516,598,145.20","1,689,963,104.09","1,772,505,198.79","2,024,460,705.21","2,169,386,286.31","2,257,399,854.64","2,408,914,828.21","4,420,590,351.33","4,386,768,836.86","4,245,573,469.64","4,601,647,523.20","4,439,606,284.23","4,172,282,643.37","3,991,751,314.09"
流动负债合计,"229,709,177.69","128,922,805.05","116,388,924.08","81,825,614.36","92,677,200.32","55,525,012.38","30,572,612.38","37,096,740.74","52,935,491.47","35,242,707.61","58,062,538.92","57,472,519.32","58,279,784.02","46,716,334.08","69,228,779.69","114,418,818.97","187,015,918.41","184,583,681.69","241,713,852.59","229,634,784.55","295,302,305.71","379,222,794.19","455,798,895.22","569,058,427.90","1,187,761,244.89","1,298,148,504.70","1,326,709,923.80","1,503,782,803.72","1,729,221,508.48","1,798,036,234.08","2,078,156,435.92","1,739,381,772.84","1,763,425,423.95","1,661,865,839.21","2,904,862,256.78","2,714,208,511.72","2,960,222,889.17","2,810,444,070.40"
可供出售金融资产,,,,,,"29,567.42","29,567.42","29,567.42","29,567.42","29,567.42","29,567.42","38,927.96","107,783.06","119,498.61","106,505.00","87,121.09","96,493.53","86,056.04","77,748.65","95,854.50","145,059.81","132,492.22","130,575.13","219,826.32","217,270.20","309,716.54","301,835.17","221,317.39","277,765.04","217,270.20","218,974.28","229,411.77","244,961.50","235,376.05","216,631.17","217,483.21","172,325.09","171,899.07"
长期借款,,,,,,,,,,,,,,,,,"70,000,000.00","93,500,000.00","93,500,000.00","93,500,000.00","82,500,000.00","82,500,000.00","71,500,000.00","71,500,000.00","130,500,000.00","130,500,000.00","102,000,000.00","73,959,600.00","38,500,000.00","38,500,000.00","27,500,000.00","4,247,396.26","2,571,222.66","2,571,222.66","2,571,222.66","1,832,720.72",,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,"9,175,380.82","7,994,609.68","6,777,267.19",,"4,407,629.96","2,809,654.82","1,347,631.90",,,,,,,,"42,956,395.82","35,935,322.87","34,135,201.01","27,865,200.98"
长期股权投资,,,,,,,,,,,,,,,"17,500,000.00","17,727,373.93","18,172,912.68","18,332,226.29","18,773,511.26","19,104,904.59","19,458,975.83","22,265,356.51","27,177,714.43","28,071,628.08","29,186,268.63","79,178,661.12","49,984,006.40","49,701,747.84","52,695,838.80","132,093,677.99","191,424,057.30","210,320,794.12","259,561,936.72","287,467,297.55","336,285,461.66","326,126,702.65","273,282,780.87","275,969,570.96"
