科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2013年1-3月,2013年1-6月,2013年1-9月,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付给职工以及为职工支付的现金,"173,479,951.54","199,784,771.04","263,106,540.00","171,077,591.98","258,601,755.64","351,807,399.54","116,621,498.79","219,196,517.28","316,022,993.29","124,132,847.30","225,066,502.61","326,168,968.36","132,092,487.61","237,480,866.92","338,369,740.57","456,533,307.49","135,375,099.62","254,370,814.78","365,178,012.39","480,354,749.71","147,894,443.56","273,535,108.34","394,815,232.71","532,003,899.80","154,754,792.46","284,075,272.18","400,480,159.86","529,911,797.84","169,404,114.82","299,525,486.50"
取得借款收到的现金,"265,300,000.00","30,000,000.00","36,800,000.00","45,200,000.00","45,200,000.00","45,200,000.00",,,,,,,,,,,,"570,625,000.00","570,625,000.00","598,938,622.10","1,738,307.63",,,,,,,,,
支付的各项税费,"156,991,573.94","153,337,636.57","251,800,869.53","148,734,760.17","199,236,806.39","301,006,139.91","105,888,717.74","216,763,231.69","284,504,297.54","106,827,007.25","250,689,378.98","327,801,908.71","98,414,758.07","207,469,678.12","280,280,698.51","371,477,115.00","86,756,017.97","184,765,583.10","240,088,523.71","348,533,027.93","79,719,770.98","150,133,303.64","213,250,338.87","295,480,335.16","84,167,368.91","178,426,196.35","238,727,623.27","346,734,749.73","110,394,927.11","233,805,942.99"
收到其他与筹资活动有关的现金,"41,985,260.64","43,812,742.00","78,881,523.56","63,309,892.54","79,841,892.54","108,433,892.54","31,120,000.00","58,719,000.00","73,715,000.00","13,882,000.00","13,669,544.78","35,044,772.39","12,324,000.00","20,344,000.00","26,870,000.00","31,088,000.00","11,630,000.00","27,434,000.00","33,091,993.39","38,717,993.39","19,624,000.00","136,262,230.44","140,424,230.44","155,758,665.90","11,000,462.70","30,173,938.22","41,785,938.22","63,927,455.61","43,331,000.00","41,613,000.00"
支付其他与经营活动有关的现金,"402,683,808.22","359,617,877.75","446,667,771.52","187,213,304.58","273,142,189.40","373,722,863.82","65,509,697.11","168,281,396.50","287,890,521.90","79,176,662.31","184,202,965.49","289,963,481.66","75,016,200.70","181,841,623.98","284,614,059.63","428,449,810.56","79,789,411.02","150,209,478.70","264,364,680.37","359,489,132.74","95,244,886.54","188,718,383.17","295,175,162.52","415,747,140.06","96,788,743.92","201,155,121.67","320,093,702.40","450,888,054.08","105,593,157.06","238,672,436.14"
筹资活动现金流入小计,"307,285,260.64","91,418,742.00","140,692,714.56","2,669,230,692.54","2,685,762,692.54","2,714,354,696.72","31,120,000.00","114,504,850.00","129,500,850.00","18,352,000.00","18,139,544.78","39,514,772.39","12,324,000.00","20,344,000.00","26,870,000.00","31,088,000.00","11,630,000.00","598,059,000.00","608,706,993.39","642,646,615.49","21,362,307.63","136,262,230.44","339,224,230.44","354,558,665.90","11,000,462.70","30,173,938.22","41,785,938.22","63,927,455.61","43,331,000.00","41,613,000.00"
经营活动现金流出小计,"1,341,526,399.83","1,334,933,849.49","1,701,605,027.23","1,047,592,692.22","1,568,609,247.82","2,274,376,715.26","654,910,690.95","1,227,160,397.49","1,761,311,279.65","559,589,270.49","1,189,348,351.21","1,741,217,138.44","522,175,562.61","1,081,886,072.77","1,575,687,155.96","2,102,732,884.16","503,824,678.94","1,023,679,070.60","1,531,211,825.29","2,106,317,814.38","553,508,666.60","1,085,014,475.82","1,630,627,851.36","2,278,580,437.69","601,285,754.49","1,203,900,108.08","1,807,061,370.19","2,484,154,841.60","690,138,634.77","1,323,923,102.66"
偿还债务支付的现金,"412,000,000.00","133,300,000.00",,"36,800,000.00","70,000,000.00","82,000,000.00",,,,,,,,,,,,,"150,000,000.00","250,000,000.00",,"343,234,466.09","367,740,504.04","367,348,639.30",,,,,,
经营活动产生的现金流量净额,"328,742,884.15","367,279,810.47","181,558,007.59","95,734,567.39","238,830,210.99","335,052,620.25","126,424,558.71","172,804,044.43","307,581,116.76","192,431,491.67","215,970,982.88","366,790,748.30","175,969,512.13","182,266,708.16","274,349,359.86","473,586,366.71","252,143,729.27","306,924,636.07","409,591,188.17","540,058,342.37","179,108,291.43","199,199,676.94","252,166,668.28","447,262,194.40","212,256,536.42","198,942,911.61","281,592,600.49","496,421,030.27","214,974,396.03","222,044,989.66"
分配股利、利润或偿还利息支付的现金,"15,154,784.59","1,630,055.48","116,118,680.66",,,"1,220,811.67",,"343,758,000.00","343,758,000.00",,"101,878,350.00","405,065,850.00",,"180,481,250.46","404,923,610.00","404,923,610.00",,"574,956,962.50","577,976,587.50","578,595,895.74",,"291,614,341.75","291,614,341.75","291,758,716.88",,"574,637,150.00","582,037,150.00","582,037,150.00",,"494,767,150.00"
收回投资收到的现金,,,"106,000,000.00","93,100,000.00","167,100,000.00","352,600,000.00","60,000,000.00","276,500,000.00","306,500,000.00","360,000,000.00","1,469,300,000.00","1,906,100,000.00","903,600,000.00","2,103,100,000.00","3,382,699,000.00","4,849,674,000.00","900,050,184.02","2,708,645,131.34","3,815,696,417.15","5,246,903,619.16","690,621,303.27","1,390,140,732.32","2,020,123,169.56","2,707,026,680.75","684,247,511.32","1,745,006,425.19","2,697,170,827.14","2,580,048,045.03","793,803,002.41","1,925,294,475.53"
支付其他与筹资活动有关的现金,"58,521,260.64","48,102,546.46","100,477,318.64","44,486,867.97","69,654,867.97","109,563,867.97","16,546,000.00","37,616,000.00","57,386,000.00","8,380,772.39","20,514,772.39","39,530,702.39","7,226,000.00","12,290,000.00","61,627,401.00","74,791,401.00","6,188,000.00","107,281,500.00","138,424,543.91","148,236,223.83","3,018,000.00","13,864,000.00","24,968,000.00","51,599,883.68","14,500,000.00","28,029,990.00","48,151,990.00","74,422,437.39","14,556,000.00","29,848,000.00"
取得投资收益收到的现金,,"112,136.43","303,654.30","370,189.97","589,804.92","1,739,910.83","831,111.11","3,758,662.80","4,543,649.11","2,389,662.16","10,431,660.88","14,044,540.70","13,698,626.83","30,001,829.80","54,093,731.64","72,423,974.60","12,880,140.20","48,512,357.40","25,621,686.63","70,996,828.09","3,182,262.50","32,652,172.12","78,732,087.19","91,983,339.64","14,570,221.41","49,320,255.12","71,264,650.56","125,781,024.11","16,084,178.30","46,482,765.78"
筹资活动现金流出小计,"485,676,045.23","183,032,601.94","216,595,999.30","81,286,867.97","139,654,867.97","192,784,679.64","16,546,000.00","381,374,000.00","401,144,000.00","8,380,772.39","122,393,122.39","444,596,552.39","7,226,000.00","192,771,250.46","466,551,011.00","479,715,011.00","6,188,000.00","682,238,462.50","866,401,131.41","976,832,119.57","3,018,000.00","648,712,807.84","684,322,845.79","710,707,239.86","14,500,000.00","602,667,140.00","630,189,140.00","656,459,587.39","14,556,000.00","524,615,150.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"15,049,169.78","276,680.00","422,580.00","737,000.86",,,"1,080.00",706.00,"1,206.00","49,583.94",,"-17,766.15","1,949,233.85","1,949,233.85",,"3,000.00","3,000.00","3,000.00","25,000.00","25,000.00","216,100.00","226,100.00",,"95,116.25","609,703.66","48,792.77","3,550.00","13,139,140.00"
筹资活动产生的现金流量净额,"-178,390,784.59","-91,613,859.94","-75,903,284.74","2,587,943,824.57","2,546,107,824.57","2,521,570,017.08","14,574,000.00","-266,869,150.00","-271,643,150.00","9,971,227.61","-104,253,577.61","-405,081,780.00","5,098,000.00","-172,427,250.46","-439,681,011.00","-448,627,011.00","5,442,000.00","-84,179,462.50","-257,694,138.02","-334,185,504.08","18,344,307.63","-512,450,577.40","-345,098,615.35","-356,148,573.96","-3,499,537.30","-572,493,201.78","-588,403,201.78","-592,532,131.78","28,775,000.00","-483,002,150.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,"-669,134.37","-737,601.51","-780,322.12",-568.98,"25,035.88","38,323.39","-17,262.95","-75,264.06","-94,541.16","36,052.92","39,716.80","35,310.16","14,146.08","16,771.94","-8,606,046.29","7,428,672.71","9,484,878.31","-1,053,957.70","4,131,685.63","7,276,493.20","14,333,888.44","-1,225,502.38","-5,194,325.22","-8,555,191.45","-13,210,443.85","-7,771,099.73","3,487,108.99"
收到其他与投资活动有关的现金,"11,305,467.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,897,456.88"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"11,305,467.99","112,136.43","121,352,824.08","93,746,869.97","168,112,384.92","355,076,911.69","60,831,111.11","280,258,662.80","311,044,729.11","362,390,368.16","1,479,732,866.88","1,920,194,124.64","917,298,626.83","2,133,084,063.65","3,438,741,965.49","4,924,047,208.45","912,930,324.22","2,757,160,488.74","3,841,321,103.78","5,317,903,447.25","693,828,565.77","1,422,817,904.44","2,099,071,356.75","2,799,236,120.39","698,817,732.73","1,794,421,796.56","2,769,045,181.36","2,705,877,861.91","809,890,730.71","1,996,813,838.19"
五、现金及现金等价物净增加额,"69,558,715.84","155,650,571.09","-87,050,467.72","2,428,340,547.46","2,376,996,538.41","2,345,323,722.10","151,333,260.92","-62,419,517.52","15,110,311.24","-383,872,936.47","-280,684,178.37","-686,829,219.01","137,179,119.66","-60,676,883.04","-824,381,732.53","-852,298,711.92","129,260,764.93","274,709,864.03","88,180,932.35","-12,543,486.99","2,283,624.59","-142,138,057.13","-13,550,387.67","-327,744,893.90","6,215,052.10","-45,267,915.88","-60,519,295.53","-61,792,505.87","90,285,499.17","190,369,054.39"
购建固定资产、无形资产和其他长期资产支付的现金,"92,098,851.71","96,202,078.69","216,258,014.65","189,369,006.39","253,269,706.85","302,548,931.09","15,495,839.92","90,638,110.63","135,910,708.02","26,048,760.96","54,659,186.46","88,137,770.79","21,123,072.22","23,940,121.19","29,138,337.08","35,124,053.65","17,005,625.50","33,712,240.89","57,024,807.79","84,033,485.39","5,526,477.50","8,170,231.42","15,373,333.62","55,501,664.82","6,744,788.34","15,077,705.62","23,398,156.64","56,508,296.08","3,250,602.60","9,933,951.65"
期初现金及现金等价物余额,"26,934,667.08","96,493,382.92","252,143,954.01","165,093,486.29","165,093,486.29","165,093,486.29","2,510,417,208.39","2,510,417,208.39","2,510,417,208.39","2,576,952,943.69","2,576,952,943.69","2,576,952,943.69","1,587,195,425.32","1,587,195,425.32","1,587,195,425.32","1,587,195,425.32","734,896,713.40","734,896,713.40","734,896,713.40","734,896,713.40","722,353,226.41","722,353,226.41","722,353,226.41","722,353,226.41","394,608,332.51","394,608,332.51","394,608,332.51","394,608,332.51","332,815,826.64","332,815,826.64"
投资支付的现金,,"23,000,000.00","97,800,000.00","92,300,000.00","255,300,000.00","563,046,573.71","35,000,000.00","158,000,000.00","196,000,000.00","922,600,000.00","1,817,400,000.00","2,480,500,000.00","940,100,000.00","2,179,700,000.00","4,068,689,019.96","5,766,195,368.51","1,024,266,435.00","2,662,877,511.10","3,855,441,086.50","5,461,771,165.45","882,417,105.04","1,247,666,515.32","2,011,592,956.93","3,176,926,858.35","893,389,389.03","1,445,867,391.43","2,490,800,527.51","2,601,404,187.05","952,332,925.24","1,539,040,780.80"
期末现金及现金等价物余额,"96,493,382.92","252,143,954.01","165,093,486.29","2,593,434,033.75","2,542,090,024.70","2,510,417,208.39","2,661,750,469.31","2,447,997,690.87","2,525,527,519.63","2,193,080,007.22","2,296,268,765.32","1,890,123,724.68","1,724,374,544.98","1,526,518,542.28","762,813,692.79","734,896,713.40","864,157,478.33","1,009,606,577.43","823,077,645.75","722,353,226.41","724,636,851.00","580,215,169.28","708,802,838.74","394,608,332.51","400,823,384.61","349,340,416.63","334,089,036.98","332,815,826.64","423,101,325.81","523,184,881.03"
