科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"15,795,568.52","17,826,043.36","5,361,313.06","10,247,973.30","6,925,929.79","8,999,509.45","10,195,093.57","763,963.65","2,372,633.56","4,666,180.91","6,959,002.70","1,741,452.49","4,705,075.02","6,608,283.18","8,762,289.36","2,349,728.62","5,453,546.98","9,041,108.68","14,504,897.06","6,334,486.43","10,485,676.01","19,830,646.11","29,303,811.57","13,175,417.89","24,175,572.61","28,498,489.57","38,581,980.59","13,412,427.38","25,291,850.15","40,100,763.38","52,858,892.33","15,222,104.88","32,620,157.74","52,034,960.65","70,181,122.46","23,676,637.72"
三、利润总额,"57,588,471.98","54,472,413.38","24,174,299.24","62,288,594.87","71,034,214.27","98,000,609.80","127,546,512.40","42,361,076.81","84,599,871.79","118,888,999.27","170,514,817.49","34,006,567.05","72,690,482.56","108,992,514.97","134,491,944.68","33,187,125.98","70,327,350.52","98,858,831.15","124,491,132.54","38,754,943.26","76,716,411.71","103,918,185.55","153,599,851.45","68,627,156.52","141,609,710.57","207,886,768.22","289,173,526.58","94,372,767.06","203,704,320.30","316,428,364.86","408,507,623.54","106,304,115.56","230,153,522.82","299,450,144.25","283,723,400.04","57,877,535.52"
资产减值损失,"-570,886.93","2,828,009.53",,"7,712,737.57","2,651,128.20","3,048,308.02","9,934,788.45","2,191,785.88","1,343,951.59","1,870,548.29","-182,470.68","65,131.31","912,425.12","1,253,571.80","10,689,238.50","-383,799.50","1,507,304.30","1,507,304.30","12,299,700.19","2,191,999.30","3,053,069.18","-4,096,987.26","2,847,946.44","542,308.39","3,417,283.12","2,382,782.60","18,292,488.33","999,042.93","2,964,863.93","2,267,311.34","32,248,698.18","-571,075.21","-3,895,932.43","-8,491,354.42","113,447,452.41","2,238,500.00"
减:所得税,"15,428,294.52","9,890,545.00","4,668,076.42","8,412,278.26","11,424,552.02","15,119,890.95","19,649,612.83","6,128,342.76","11,613,227.84","17,429,591.03","28,276,528.20","5,988,419.02","12,636,029.97","18,024,903.59","22,824,004.65","5,877,412.65","12,641,297.35","17,775,811.05","21,913,894.35","7,377,856.64","11,985,966.02","14,982,699.17","18,882,534.96","12,913,112.53","21,203,479.64","30,256,926.08","43,128,351.30","14,291,396.70","30,247,691.64","49,748,670.87","54,148,313.05","16,520,213.13","34,090,225.58","46,223,142.12","65,629,803.56","11,551,089.99"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,297,423.25","-10,904,718.79","-35,723,541.60","-14,480,000.00"
四、净利润,"42,160,177.46","44,581,868.38","19,506,222.82","53,876,316.61","59,609,662.25","82,880,718.85","107,896,899.57","36,232,734.05","72,986,643.95","101,459,408.24","142,238,289.29","28,018,148.03","60,054,452.59","90,967,611.38","111,667,940.03","27,309,713.33","57,686,053.17","81,083,020.10","102,577,238.19","31,377,086.62","64,730,445.69","88,935,486.38","134,717,316.49","55,714,043.99","120,406,230.93","177,629,842.14","246,045,175.28","80,081,370.36","173,456,628.66","266,679,693.99","354,359,310.49","89,783,902.43","196,063,297.24","253,227,002.13","218,093,596.48","46,326,445.53"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-9,912,000.00","-35,723,541.60","-14,480,000.00"
归属于母公司所有者的净利润,"39,805,216.92","42,650,538.56","18,638,148.97","51,755,435.90","57,322,017.08","79,331,210.16","104,133,075.38","34,463,477.73","70,112,988.58","97,146,506.06","136,048,289.18","27,042,660.66","57,331,666.43","87,301,157.85","109,866,472.02","27,112,797.73","57,740,911.91","81,688,912.48","102,641,046.48","31,312,903.04","64,342,199.77","88,328,991.26","132,957,341.69","55,294,038.19","119,473,179.65","176,013,184.85","243,347,385.99","78,528,127.14","164,103,847.42","243,276,295.07","326,753,130.69","89,828,761.39","172,575,459.71","223,909,868.59","182,168,680.79","45,973,909.36"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"2,354,960.54","1,931,329.82","868,073.85","2,120,880.71","2,287,645.17","3,549,508.69","3,763,824.19","1,769,256.32","2,873,655.37","4,312,902.18","6,190,000.11","975,487.37","2,722,786.16","3,666,453.53","1,801,468.01","196,915.60","-54,858.74","-605,892.38","-63,808.29","64,183.58","388,245.92","606,495.12","1,759,974.80","420,005.80","933,051.28","1,616,657.29","2,697,789.29","1,553,243.22","9,352,781.24","23,403,398.92","27,606,179.80","-44,858.96","23,487,837.53","29,317,133.54","35,924,915.69","352,536.17"
