科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付给职工以及为职工支付的现金,"38,547,887.36","60,012,853.88","66,639,090.01","64,335,269.08","87,910,562.01","34,298,164.25","70,312,257.98","106,185,229.36","149,913,101.00","53,236,548.75","103,350,879.13","154,166,231.74","216,943,675.48","67,149,062.69","130,888,871.90","190,075,069.64","256,711,505.02","97,880,475.93","190,784,080.30","287,053,733.00","418,627,552.47","112,356,300.90","267,066,594.46","404,821,286.83","574,770,822.84","137,997,412.47","275,130,578.54","411,216,859.10","585,330,033.50","168,378,463.65","325,395,370.47","469,578,366.15","636,227,517.42","168,969,894.25","322,806,278.37"
取得借款收到的现金,"156,700,000.00","870,988,400.00","1,135,400,000.00","914,260,000.00","1,209,260,000.00","258,910,000.00","748,910,000.00","1,011,910,000.00","1,261,910,000.00","204,000,000.00","618,000,000.00","973,000,000.00","1,073,000,000.00","310,000,000.00","570,000,000.00","840,000,000.00","970,000,000.00","972,666,840.00","1,259,969,049.01","1,674,848,361.01","2,232,115,201.01","1,348,972,266.99","2,421,300,000.00","3,214,000,000.00","4,080,160,000.00","1,421,510,000.00","2,323,925,717.70","3,273,040,000.00","2,082,090,000.00","1,652,988,750.00","2,981,992,611.23","4,068,002,611.23","3,192,891,361.23","1,855,300,000.00","3,354,050,000.00"
支付的各项税费,"38,151,762.85","95,419,702.61","49,434,654.54","27,613,800.81","45,079,745.04","25,614,540.89","61,136,346.47","99,268,720.08","112,671,036.92","27,815,751.35","81,031,197.93","92,734,679.03","96,354,649.05","37,663,287.10","90,325,501.38","118,870,466.32","129,719,514.55","24,379,854.38","114,090,888.70","135,443,413.30","157,587,664.44","50,789,196.24","124,943,855.88","181,004,774.12","255,114,737.09","63,419,547.75","174,669,394.43","260,552,933.21","372,368,649.00","90,060,601.26","237,217,951.96","289,472,235.64","341,207,887.02","64,751,068.72","188,504,683.55"
收到其他与筹资活动有关的现金,,,"145,648,000.00",,,"16,080,000.00",,,"35,000,000.00",,"32,000,000.00","32,000,000.00","32,000,000.00",,,,"331,460,878.13","40,000,000.00","187,310,760.00","317,016,043.33",,,"50,000,000.00",,"75,000,000.00","10,000,000.00","30,000,000.00","30,000,000.00","142,610,000.00",,"30,000,000.00","30,000,000.00","429,700,000.00",,"130,000,000.00"
支付其他与经营活动有关的现金,"256,411,043.05","129,385,087.73","34,242,054.66","109,258,895.41","116,038,142.01","65,611,324.67","53,331,998.73","122,506,753.04","117,283,316.43","115,839,399.79","144,785,462.27","209,833,110.31","162,131,396.40","58,494,714.76","109,215,799.20","205,332,713.33","190,493,924.42","40,572,339.72","115,162,219.95","140,031,793.74","336,388,932.10","46,175,492.85","142,712,273.87","211,776,480.44","314,955,749.26","59,327,925.49","157,243,498.20","216,123,337.31","310,370,419.61","73,827,285.30","160,644,243.64","214,288,501.07","412,582,479.93","59,943,454.87","153,661,096.64"
筹资活动现金流入小计,"161,600,000.00","920,988,399.97","1,281,048,000.00","919,160,000.00","1,214,160,000.00","1,647,272,485.68","2,135,181,200.00","2,398,181,200.00","2,687,181,200.00","1,004,000,000.00","1,442,600,000.00","1,797,655,915.20","1,897,656,915.74","310,400,000.00","570,400,000.00","840,400,000.00","1,301,860,878.13","1,012,666,840.00","1,447,279,809.01","1,993,864,404.34","2,236,115,201.01","1,348,972,266.99","2,471,300,000.00","4,320,160,000.00","5,261,560,000.00","1,431,510,000.00","2,353,925,717.70","3,310,040,000.00","2,531,780,000.00","1,652,988,750.00","3,311,992,611.23","4,398,002,611.23","4,125,976,452.55","1,855,300,000.00","3,884,050,000.00"
经营活动现金流出小计,"1,207,452,906.11","1,514,644,724.22","1,436,143,002.15","1,093,212,669.91","1,841,109,399.79","624,334,865.47","1,459,027,965.91","2,227,805,368.71","2,591,116,257.28","710,820,952.56","1,699,565,160.64","2,312,082,430.32","2,791,231,535.86","664,594,161.94","1,334,144,862.74","1,888,774,603.36","2,688,558,375.77","809,880,971.81","1,578,147,116.09","2,416,844,194.14","2,921,387,780.76","1,006,958,530.14","1,525,049,598.71","2,696,247,286.09","3,713,050,552.61","1,152,514,681.74","2,263,710,744.95","2,929,312,773.18","3,887,902,390.38","1,030,685,488.07","2,404,060,502.25","3,576,447,162.90","4,306,983,644.53","882,511,824.45","2,062,959,151.41"
偿还债务支付的现金,"115,800,000.00","444,970,646.00","1,335,310,000.00","674,330,000.00","974,340,000.00","141,110,000.00","510,110,000.00","746,191,561.05","1,031,191,561.05","397,110,000.00","741,888,438.95","1,060,888,438.95","1,458,888,438.95","326,000,000.00","326,000,000.00","686,250,000.00","756,000,000.00","420,000,000.00","530,000,000.00","940,000,000.00","1,258,719,049.01","762,313,616.67","1,075,750,000.00","2,518,050,000.00","3,575,388,852.00","781,400,000.00","1,388,050,000.00","2,695,750,000.00","1,690,700,000.00","1,627,361,363.21","2,992,027,500.00","4,200,271,361.23","3,846,641,361.23","1,580,240,000.00","3,040,140,000.00"
经营活动产生的现金流量净额,"45,293,126.50","104,236,698.07","229,425,835.89","8,130,221.65","-44,203,060.34","-128,996,244.84","105,806,466.67","170,776,149.48","194,945,261.96","103,038,026.17","-100,329,168.40","-120,965,888.48","-7,070,137.21","78,855,078.97","-42,180,694.08","101,515,625.91","290,527,276.30","-186,726,613.73","-272,927,102.93","-171,876,693.85","251,206,536.44","63,693,709.27","-162,040,120.73","-117,365,440.96","236,914,459.45","17,873,669.38","51,541,761.53","218,897,759.17","637,209,143.36","159,406,788.61","36,269,731.77","690,557,864.76","1,071,034,146.90","-75,714,664.99","60,708,925.60"
分配股利、利润或偿还利息支付的现金,"11,977,468.20","35,493,449.14","102,705,769.23","74,876,312.36","83,221,711.78","10,692,039.99","75,954,973.77","110,034,640.38","105,524,521.00","15,916,284.14","122,926,871.70","139,092,510.47","150,063,741.72","65,844,077.79","151,796,700.85","186,387,429.74","207,106,900.98","73,022,598.21","160,217,773.21","183,257,916.09","214,436,775.03","88,341,101.10","155,099,136.68","223,926,675.11","278,678,529.97","84,583,232.68","183,815,354.50","217,404,380.27","306,004,507.39","82,652,889.72","141,465,031.79","254,725,157.94","311,036,602.46","26,909,551.77","162,631,347.53"
收回投资收到的现金,"721,580.03","1,560,833.98","10,435,043.75","7,662,983.21","7,912,212.79",,,,,,,,,,,,"149,999,499.60",,,,,,,,,,,,,,,,,"475,000.00",
支付其他与筹资活动有关的现金,,"203,448,000.00",,"65,005,000.00","12,200,000.00",,"80,063,900.45","55,000,000.00","6,768,030.48","43,000,000.00",,,,,"79,000,000.00","79,000,000.00","316,343,842.17","49,971,940.00","24,409,000.00","30,098,240.00","5,800,000.00","310,675,233.33","720,049,999.99","452,000,000.00","617,411,118.67","506,958,448.57","670,986,550.00","496,787,450.00","538,986,550.00","51,207,460.62","207,868,000.00","345,816,696.10","305,077,710.60","354,714,285.64","577,224,000.00"
取得投资收益收到的现金,,,,,"646,509.11","51,030.00","51,030.00","51,030.00","51,030.00",,,,,,,,"145,988.71",,,,,,,,,,,"249,136.38","249,136.38",,,,,,
筹资活动现金流出小计,"127,777,468.20","683,912,095.14","1,438,015,769.23","814,211,312.36","1,069,761,711.78","151,802,039.99","666,128,874.22","911,226,201.43","1,143,484,112.53","456,026,284.14","864,815,310.65","1,199,980,949.42","1,608,952,180.67","391,844,077.79","556,796,700.85","951,637,429.74","1,279,450,743.15","542,994,538.21","714,626,773.21","1,153,356,156.09","1,478,955,824.04","1,161,329,951.10","1,950,899,136.67","3,193,976,675.11","4,471,478,500.64","1,372,941,681.25","2,242,851,904.50","3,409,941,830.27","2,535,691,057.39","1,761,221,713.55","3,341,360,531.79","4,800,813,215.27","4,462,755,674.29","1,961,863,837.41","3,779,995,347.53"
处置固定资产、无形资产和其他长期资产收回的现金净额,"817,701.86","1,844,367.79","2,620,827.01","2,168,224.36","4,427,267.01","498,910.95","782,781.75","1,408,442.55","2,340,001.96","1,509,721.82","3,248,613.92","3,849,941.93","4,785,793.92","221,604.80","17,404,080.00","18,334,407.40","18,829,342.60","101,133.40","480,113.88","908,377.88","1,059,837.44","41,271.00","96,855.40","1,256,413.90","1,243,226.41",200.00,"231,432.00","378,653.40","2,281,892.32","393,386.00","620,547.09","647,457.09","993,472.09","87,540.51","681,365.28"
筹资活动产生的现金流量净额,"33,822,531.80","237,076,304.83","-156,967,769.23","104,948,687.64","144,398,288.22","1,495,470,445.69","1,469,052,325.78","1,486,954,998.57","1,543,697,087.47","547,973,715.86","577,784,689.35","597,674,965.78","288,704,735.07","-81,444,077.79","13,603,299.15","-111,237,429.74","22,410,134.98","469,672,301.79","732,653,035.80","840,508,248.25","757,159,376.97","187,642,315.89","520,400,863.33","1,126,183,324.89","790,081,499.36","58,568,318.75","111,073,813.20","-99,901,830.27","-3,911,057.39","-108,232,963.55","-29,367,920.56","-402,810,604.04","-336,779,221.74","-106,563,837.41","104,054,652.47"
处置子公司及其他营业单位收到的现金净额,,"6,172,558.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,500,000.00","8,500,000.00","8,418,123.14",,"500,000.00"
四、汇率变动对现金的影响,,,,,,,,,,,,,"-7,086.85","-26,248.11","-50,388.25","-18,556.19","7,141.92","3,287.42","-20,098.78","-53,404.25","-569,665.23","-12,991.09","-28,389.64","-64,803.29","-45,551.22","6,743.38","3,426.74","26,696.48","117,611.86","78,513.09","53,815.91","50,264.56","44,222.01","-17,971.75","-13,769.87"
收到其他与投资活动有关的现金,,,,,,"5,106,514.86","10,140,033.38","10,140,033.38","10,140,033.38",,,,"5,600,000.00",,"10,000,000.00","14,470,000.00","47,064,300.00",,"8,498,700.00","19,158,700.00","20,238,400.00",,"20,309,521.04","20,309,521.04","33,129,600.00",,,,"450,000.00",,"36,471,792.00","36,471,792.00","43,972,892.00",,"210,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,539,281.89","9,577,760.60","13,055,870.76","9,831,207.57","12,985,988.91","5,656,455.81","10,973,845.13","11,599,505.93","12,531,065.34","1,509,721.82","3,248,613.92","3,849,941.93","10,385,793.92","221,604.80","27,404,080.00","32,804,407.40","216,039,130.91","101,133.40","8,978,813.88","20,067,077.88","21,298,237.44","41,271.00","20,406,376.44","21,565,934.94","34,372,826.41",200.00,"231,432.00","627,789.78","2,981,028.70","393,386.00","45,592,339.09","45,619,249.09","53,384,487.23","562,540.51","1,391,365.28"
五、现金及现金等价物净增加额,"-36,995,504.93","81,341,576.69","-21,270,143.68","19,292,733.02","-44,281,620.71","1,207,980,419.69","1,173,362,205.15","925,259,979.32","737,969,997.15","394,677,396.12","-87,403,539.26","-129,651,409.43","-348,614,166.04","-124,345,880.58","-199,918,672.78","-279,025,465.52","-245,513,677.01","24,443,371.79","25,199,086.19","142,655,229.56","-70,580,663.78","-13,283,559.21","84,036,334.19","367,939,894.52","128,763,906.66","47,860,416.93","85,423,372.90","-483,531.13","25,737,150.69","3,338,735.29","-30,476,351.53","231,540,120.04","220,492,098.19","-203,961,563.56","111,126,638.60"
购建固定资产、无形资产和其他长期资产支付的现金,"109,127,919.11","192,332,536.94","96,618,396.65","91,977,915.05","150,815,616.71","164,150,236.97","412,470,432.43","738,070,674.66","1,013,203,417.62","257,143,303.78","568,107,674.13","607,894,551.05","640,627,470.97","116,900,050.45","193,694,969.60","297,089,512.90","604,497,861.52","137,767,411.58","336,467,361.78","433,590,498.47","971,188,771.73","245,329,764.28","282,202,395.21","393,990,290.14","855,887,490.78","26,088,514.58","74,927,060.57","117,633,946.29","609,239,079.75","34,001,388.86","75,180,717.74","94,033,054.33","559,347,936.21","22,227,629.92","55,014,534.88"
期初现金及现金等价物余额,"66,056,445.20","29,060,940.27","110,402,516.96","89,132,373.28","89,132,373.28","44,850,752.57","44,850,752.57","44,850,752.57","44,850,752.57","782,258,221.63","782,820,749.72","782,820,749.72","782,820,749.72","434,206,583.68","434,206,583.68","434,206,583.68","436,616,551.81","212,990,399.03","191,102,874.80","191,786,070.11","191,654,840.52","123,817,870.97","121,074,176.74","121,074,176.74","121,074,176.74","249,957,067.35","249,838,083.40","249,838,083.40","249,838,083.40","275,575,234.09","275,575,234.09","275,575,234.09","275,575,234.09","496,067,332.28","496,067,332.28"
投资支付的现金,"8,522,526.01","14,030,000.00","10,165,684.45","11,639,468.79","6,647,220.79",,,,,,,,,"5,000,000.00","5,000,000.00","5,000,000.00","149,999,499.60",,,,,,"12,500,000.00","41,114,701.57","41,060,735.00",,"2,500,000.00","2,500,000.00","170,000.00","8,305,600.00","7,843,600.00","7,843,600.00","7,843,600.00",,
期末现金及现金等价物余额,"29,060,940.27","110,402,516.96","89,132,373.28","108,425,106.30","44,850,752.57","1,252,831,172.26","1,218,212,957.72","970,110,731.89","782,820,749.72","1,176,935,617.75","695,417,210.46","653,169,340.29","434,206,583.68","309,860,703.10","234,287,910.90","155,181,118.16","191,102,874.80","237,433,770.82","216,301,960.99","334,441,299.67","121,074,176.74","110,534,311.76","205,110,510.93","489,014,071.26","249,838,083.40","297,817,484.28","335,261,456.30","249,354,552.27","275,575,234.09","278,913,969.38","245,098,882.56","507,115,354.13","496,067,332.28","292,105,768.72","607,193,970.88"
