科目,2009年度,2010年度,2011年度,2012年1-6月,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付给职工以及为职工支付的现金,"21,038,346.42","38,215,650.42","66,304,518.69","40,333,929.62","84,079,131.84","105,319,013.29","114,917,379.61",,"52,189,907.76","77,084,910.02","102,969,896.72","28,879,146.07","59,465,007.59","94,052,473.44","135,314,362.20","37,793,901.54","78,482,877.64","112,529,287.81","161,837,450.67","47,943,432.21","87,569,357.18"
取得借款收到的现金,"13,000,000.00","61,600,000.00","144,800,000.00","80,400,000.00","208,600,000.00","207,000,000.00","233,800,000.00",,"143,300,000.00","143,300,000.00","183,300,000.00","30,000,000.00","69,800,000.00","69,800,000.00","30,000,000.00","20,000,000.00","159,950,000.00","259,950,000.00","259,950,000.00",,"50,000,000.00"
支付的各项税费,"9,710,987.63","36,438,420.60","48,872,577.74","24,882,806.92","43,470,938.50","50,863,803.90","57,261,801.34",,"35,597,907.99","38,944,045.25","48,230,188.24","7,393,689.67","27,701,040.21","46,185,301.18","57,996,315.66","21,612,418.67","39,286,571.53","54,958,871.28","76,041,938.78","42,266,168.90","58,853,656.25"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,"38,485,549.72",,,,"7,930,000.00",,
支付其他与经营活动有关的现金,"15,060,149.80","36,935,881.60","42,626,583.47","50,621,098.74","64,797,489.85","32,233,453.58","27,875,831.62",,"14,038,575.40","23,015,088.46","29,799,081.48","14,140,309.66","22,941,720.44","36,894,125.94","45,239,213.66","13,784,428.21","26,281,928.70","45,113,011.42","64,161,787.70","23,971,676.22","37,649,133.60"
筹资活动现金流入小计,"17,500,000.00","74,600,000.00","199,800,000.00","80,400,000.00","208,600,000.00","207,490,000.00","262,420,000.00",,"364,885,206.30","358,085,206.30","412,600,000.00","30,000,000.00","69,800,000.00","69,800,000.00","68,485,549.72","20,000,000.00","159,950,000.00","259,950,000.00","267,978,000.00","380,539,464.15","430,898,490.57"
经营活动现金流出小计,"215,156,571.33","382,520,944.59","545,469,860.91","411,650,768.87","768,998,994.47","984,299,280.94","968,202,284.60",,"1,022,189,591.06","1,639,227,867.10","1,838,150,909.97","382,648,165.92","865,263,004.78","1,342,829,626.73","2,430,600,171.84","680,936,835.02","1,604,757,017.79","3,025,794,563.84","4,170,929,107.67","1,220,709,386.12","2,651,211,767.52"
偿还债务支付的现金,,"19,580,000.00","76,976,996.22","24,907,000.00","154,357,000.00","180,135,000.00","234,900,000.00",,"130,200,000.00","293,500,000.00","333,500,000.00","20,000,000.00","30,000,000.00","70,000,000.00","85,000,000.00","15,000,000.00","64,750,000.00","84,750,000.00","114,750,000.00","20,000,000.00","100,000,000.00"
经营活动产生的现金流量净额,"7,886,120.54","26,667,943.87","65,991,622.35","10,677,688.28","107,355,187.99","77,019,814.54","104,517,269.63","8,048,800.00","35,757,196.93","34,836,909.49","149,319,210.50","-7,173,394.74","45,263,028.13","90,995,518.53","95,064,076.30","57,461,303.96","71,753,126.33","80,455,907.24","218,854,717.92","-5,748,083.82","-91,422,785.47"
分配股利、利润或偿还利息支付的现金,"94,842.46","1,708,659.35","4,444,801.11","7,141,009.39","15,344,915.62","11,372,990.39","44,408,812.34",,"7,142,723.27","9,294,595.61","10,271,278.11","842,177.50","10,825,282.75","11,878,921.12","10,695,422.23","312,909.47","1,089,139.40","15,232,296.33","23,891,626.01","2,334,405.32","21,068,338.31"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,"2,110,000,000.00","836,000,000.00","1,424,001,224.40"
支付其他与筹资活动有关的现金,,,,,,,,,,,"10,064,793.70",,,,"1,314,450.28",,,,"29,654.65",,
取得投资收益收到的现金,,,,,,,,,,,"384,056.92","313,525.60","567,121.22","705,469.70","910,651.88","383,795.28","637,648.59","976,765.70","1,805,012.92","681,263.93","1,127,673.72"
筹资活动现金流出小计,"94,842.46","21,288,659.35","81,421,797.33","32,048,009.39","169,701,915.62","191,507,990.39","279,308,812.34",,"137,342,723.27","302,794,595.61","353,836,071.81","20,842,177.50","40,825,282.75","81,878,921.12","97,009,872.51","15,312,909.47","65,839,139.40","99,982,296.33","138,671,280.66","22,334,405.32","121,068,338.31"
处置固定资产、无形资产和其他长期资产收回的现金净额,"8,377,000.00","4,150,000.00","1,810,000.00","140,000.00","1,347,000.00","90,000.00","3,780,000.00",,"1,090,637.78","1,171,850.30","5,760,189.54","656,085.19","1,579,000.00","4,232,350.00","5,173,564.10","737,000.00","2,241,000.00","5,039,000.00","15,445,123.73","1,515,291.17","19,981,613.78"
筹资活动产生的现金流量净额,"17,405,157.54","53,311,340.65","118,378,202.67","48,351,990.61","38,898,084.38","15,982,009.61","-16,888,812.34","4,757,100.00","227,542,483.03","55,290,610.69","58,763,928.19","9,157,822.50","28,974,717.25","-12,078,921.12","-28,524,322.79","4,687,090.53","94,110,860.60","159,967,703.67","129,306,719.34","358,205,058.83","309,830,152.26"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,"2,244.55",,,,"-5,647.93",,,,"-43,966.06",,
收到其他与投资活动有关的现金,,,"7,850,000.00",,"19,270,000.00","4,190,000.00","3,430,000.00",,"4,003,900.00","4,003,900.00","757,018,900.00","233,780,000.00","406,760,000.00","564,760,000.00","898,236,500.00","436,427,148.36","901,930,000.00","1,302,930,000.00",,"1,000,000.00","1,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"8,377,000.00","4,150,000.00","9,660,000.00","140,000.00","20,617,000.00","4,280,000.00","7,210,000.00",,"5,094,537.78","5,175,750.30","763,163,146.46","234,749,610.79","408,906,121.22","569,697,819.70","904,320,715.98","437,547,943.64","904,808,648.59","1,308,945,765.70","2,127,250,136.65","839,196,555.10","1,446,110,511.90"
五、现金及现金等价物净增加额,"2,784,518.67","-1,756,588.94","31,111,459.58","-3,385,266.38","5,887,355.94","-684,840.51","8,450,999.27","-16,218,500.00","209,838,800.11","-8,510,900.88","47,567,722.35","-11,724,198.08","10,580,250.01","-57,537,976.33","-90,434,609.24","57,224,873.25","44,384,700.51","104,284,997.76","168,347,602.81","332,916,577.70","-65,795,948.06"
购建固定资产、无形资产和其他长期资产支付的现金,"30,883,759.41","85,885,873.46","145,082,842.47","50,698,645.27","149,126,616.43","97,966,664.66","86,387,458.02",,"52,055,417.63","103,814,171.36","176,160,807.35","17,158,236.63","66,403,616.59","110,992,393.44","164,129,430.80","6,471,464.88","132,287,935.01","122,084,378.85","197,020,005.04","22,736,952.41","140,572,381.65"
期初现金及现金等价物余额,"7,590,662.52","10,375,181.19","8,618,592.25","39,730,051.83","39,730,051.83","45,617,407.77","44,932,567.26",,"53,383,566.53","53,383,566.53","53,383,566.53","100,951,288.88","100,951,288.88","100,951,288.88","100,951,288.88","10,516,679.64","10,516,679.64","10,516,679.64","10,516,679.64","178,864,282.45","178,864,282.45"
投资支付的现金,,,"17,835,522.97","11,856,300.00","11,856,300.00",,,,"6,500,000.00",,"4,000,000.00",,,,"8,000,000.00",,,,"2,110,000,000.00","836,000,000.00","1,588,501,224.40"
期末现金及现金等价物余额,"10,375,181.19","8,618,592.25","39,730,051.83","36,344,785.45","45,617,407.77","44,932,567.26","53,383,566.53",,"263,222,366.64","44,872,665.65","100,951,288.88","89,227,090.80","111,531,538.89","43,413,312.55","10,516,679.64","67,741,552.89","54,901,380.15","114,801,677.40","178,864,282.45","511,780,860.15","113,068,334.39"
