科目,2008年度,2009年度,2010年度,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
支付给职工以及为职工支付的现金,"5,710,337.62","13,426,899.18","29,003,299.26","33,836,719.99","41,739,285.24","16,601,479.12","24,360,544.39","30,749,272.48","38,497,971.91","11,232,553.38","16,699,511.55","22,920,457.21","29,224,356.47","11,501,971.76","17,829,172.66","23,635,705.35","41,651,225.88","16,892,866.72","33,199,373.33","50,993,050.93","78,276,853.82","34,436,142.09","62,481,353.31","89,582,246.77","121,395,068.64","44,334,179.34","80,241,395.73","119,400,112.27"
取得借款收到的现金,"108,000,000.00","165,000,000.00","63,000,000.00","20,000,000.00","20,000,000.00",,,,,,,,,,,,,,,"7,800,000.00","44,000,000.00","15,080,000.00","25,080,000.00","25,080,000.00","125,080,000.00","9,080,000.00","21,080,000.00","21,080,000.00"
支付的各项税费,"10,542,686.74","22,423,580.05","55,447,788.20","120,263,829.24","164,205,106.57","32,686,048.85","54,479,703.29","71,447,714.86","83,757,168.78","8,549,299.98","19,202,473.45","27,747,164.42","31,017,386.71","6,214,434.87","11,508,720.77","20,538,259.17","34,766,973.59","4,885,387.86","10,727,588.09","32,134,662.91","56,866,689.95","26,832,973.08","46,420,219.01","81,904,655.25","117,327,073.57","52,803,475.56","93,870,107.36","168,522,174.31"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,"4,405,226.71",,,,,,,
支付其他与经营活动有关的现金,"15,137,142.83","39,832,756.69","38,712,665.14","37,853,315.62","63,242,287.15","17,593,183.03","38,251,835.00","58,047,764.62","28,371,059.41","6,995,112.67","27,141,263.32","37,234,176.58","33,179,203.30","15,374,992.71","16,347,927.00","22,713,387.65","29,816,934.62","9,220,648.38","25,737,542.36","32,519,848.71","61,130,947.26","16,927,207.38","35,646,022.54","61,502,389.50","60,700,405.22","57,621,965.19","84,905,356.84","147,440,001.96"
筹资活动现金流入小计,"108,000,000.00","165,000,000.00","63,000,000.00","20,000,000.00","20,000,000.00",,"1,045,022,500.00","1,045,022,500.00","1,045,022,500.00",,"10,000,000.00","10,000,000.00","14,900,000.00",,"10,000,000.00","10,000,000.00","30,000,000.00",,"26,618,812.76","41,405,697.50","98,004,876.47","75,080,000.00","94,978,508.50","94,978,508.50","1,494,678,508.50","9,080,000.00","21,080,000.00","21,080,000.00"
经营活动现金流出小计,"141,868,779.21","171,214,482.77","458,503,717.02","783,739,676.69","924,380,640.92","120,060,947.53","193,891,151.51","258,741,984.50","268,178,456.00","57,698,417.44","112,410,491.79","147,308,884.33","181,722,230.51","82,436,622.14","138,781,017.16","225,326,047.89","260,350,040.46","88,043,910.43","272,456,418.25","388,621,945.18","528,980,360.22","191,145,086.63","350,275,922.77","530,831,340.14","852,015,389.63","317,044,734.08","613,335,468.16","1,007,001,609.00"
偿还债务支付的现金,"87,000,000.00","176,000,000.00","55,000,000.00","38,000,000.00","38,000,000.00",,,,,,,,,,,,,,,"31,612,457.16","62,733,667.08","20,986,091.09","17,805,907.51","22,165,993.09","117,627,432.02","6,529,009.59","18,484,878.76","18,484,878.76"
经营活动产生的现金流量净额,"79,972,645.39","49,778,465.37","128,999,079.11","96,157,881.83","91,015,279.61","-15,481,440.02","-29,342,084.53","-51,978,269.13","-28,721,097.09","12,144,427.02","81,738,295.86","87,241,237.80","104,626,964.84","48,217.01","33,422,511.80","25,722,788.82","133,766,322.16","-32,304,410.33","-64,777,487.39","-78,664,740.92","-94,020,736.60","-10,253,917.48","-36,635,208.81","45,228,241.48","-66,135,192.73","-87,340,578.03","-72,408,660.80","10,869,823.61"
分配股利、利润或偿还利息支付的现金,"4,506,964.39","5,218,665.50","60,369,223.26","7,911,317.31","7,843,356.50",,,"65,118,352.10","66,675,000.00",,"39,039,341.98","40,179,855.84","40,005,000.00",,"26,670,000.00","26,670,000.00","26,670,000.00",,"40,005,000.00","42,222,598.28","44,461,738.15","1,756,108.62","58,164,770.39","58,945,593.96","59,175,103.51","1,493,077.00","55,551,594.07","76,770,398.53"
收回投资收到的现金,,,,,,,,,,,,,"247,800,000.00","199,000,000.00","408,000,000.00","493,000,000.00","593,000,000.00","222,000,000.00","297,000,000.00","563,000,000.00","578,000,000.00","50,000,000.00","115,000,000.00","115,000,000.00","157,000,000.00","421,000,000.00","836,000,000.00","1,097,000,000.00"
支付其他与筹资活动有关的现金,,,,,,,"7,496,863.20","7,496,863.20","9,496,863.20",,,,,,,,,,,"487,500.00",,,"1,450,005.48","1,470,719.84","2,560,005.48","1,335,238.30","2,039,095.67","2,161,005.85"
取得投资收益收到的现金,,,,,,,,,,,,,"1,588,412.86","1,682,569.85","2,580,109.57","2,893,665.74","3,365,238.34","1,125,610.95","1,707,967.11","2,412,484.92","2,473,363.00","47,945.24","2,227,158.94","2,227,158.94","3,186,196.04","2,941,799.76","8,436,916.11","10,842,872.52"
筹资活动现金流出小计,"91,506,964.39","181,218,665.50","115,369,223.26","45,911,317.31","45,843,356.50",,"7,496,863.20","72,615,215.30","76,171,863.20",,"39,039,341.98","40,179,855.84","40,005,000.00",,"26,670,000.00","26,670,000.00","26,670,000.00",,"40,005,000.00","74,322,555.44","107,195,405.23","22,742,199.71","77,420,683.38","82,582,306.89","179,362,541.01","9,357,324.89","76,075,568.50","97,416,283.14"
处置固定资产、无形资产和其他长期资产收回的现金净额,"4,713.80","6,840.55","169,059.33","156,968.02","206,006.48","258,390.00","258,390.00","373,395.23","551,075.37",,,635.18,"8,462.86",,"6,604.12","8,604.12","16,651.48","261,333.31","1,745,761.79","1,771,903.70","3,847,827.61","210,024.45","275,232.21","364,010.51","1,338,101.70","1,966,433.13","2,310,967.97","2,744,615.37"
筹资活动产生的现金流量净额,"16,493,035.61","-16,218,665.50","-52,369,223.26","-25,911,317.31","-25,843,356.50",,"1,037,525,636.80","972,407,284.70","968,850,636.80",,"-29,039,341.98","-30,179,855.84","-25,105,000.00",,"-16,670,000.00","-16,670,000.00","3,330,000.00",,"-13,386,187.24","-32,916,857.94","-9,190,528.76","52,337,800.29","17,557,825.12","12,396,201.61","1,315,315,967.49","-277,324.89","-54,995,568.50","-76,336,283.14"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,"3,426,529.36","3,426,529.36","3,426,529.36","3,426,529.36",,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,914.57"
收到其他与投资活动有关的现金,"1,813,430.42","162,736.20","284,127.00","613,328.18","916,811.92","277,545.90","1,124,644.33","1,611,859.41",,,,"509,722.46",,,,,,,,,"20,000,000.00",,,,"44,793,571.00",,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,818,144.22","169,576.75","453,186.33","770,296.20","1,122,818.40","535,935.90","1,383,034.33","1,985,254.64","551,075.37",,,"510,357.64","249,396,875.72","200,682,569.85","410,586,713.69","495,902,269.86","596,381,889.82","223,386,944.26","300,453,728.90","567,184,388.62","604,321,190.61","53,684,499.05","120,928,920.51","121,017,698.81","209,744,398.10","425,908,232.89","846,747,884.08","1,110,587,487.89"
五、现金及现金等价物净增加额,"18,641,848.78","11,955,926.94","57,433,219.35","37,887,704.81","30,041,107.34","-18,018,720.61","1,005,129,234.64","913,378,911.12","927,865,543.32","11,981,731.02","21,195,921.81","-85,130,796.66","-71,255,905.26","-61,675,051.20","3,412,026.95","-153,365,392.67","-254,634,560.45","-59,605,246.56","-89,187,365.43","-449,314,932.16","-487,934,501.79","-19,609,265.98","-18,453,615.94","-31,084,742.90","765,403,835.43","-28,394,024.69","-386,625,781.42","-358,524,636.50"
购建固定资产、无形资产和其他长期资产支付的现金,"79,641,976.44","21,773,449.68","19,649,822.83","33,129,155.91","36,253,634.17","3,073,216.49","4,437,351.96","9,035,359.09","12,815,071.76","162,696.00","503,032.07","37,102,536.26","42,831,937.82","23,405,838.06","59,927,198.54","222,320,451.35","369,112,772.43","47,687,780.49","59,161,502.17","179,827,524.30","249,869,946.11","25,377,647.84","30,005,152.76","89,426,884.80","93,221,337.43","49,684,354.66","81,969,436.20","130,684,579.43"
期初现金及现金等价物余额,"2,152,607.20","20,794,455.98","32,750,382.92","90,183,602.27","90,183,602.27","120,224,709.61","120,224,709.61","120,224,709.61","120,224,709.61","1,048,090,252.93","1,048,090,252.93","1,048,090,252.93","1,048,090,252.93","976,834,347.67","976,834,347.67","976,834,347.67","976,834,347.67","722,199,787.22","722,199,787.22","722,199,787.22","722,199,787.22","234,265,285.43","234,265,285.43","234,265,285.43","234,265,285.43","999,669,120.86","999,669,120.86","999,669,120.86"
投资支付的现金,,,,,,,,,,,"31,000,000.00","105,600,000.00","334,800,000.00","239,000,000.00","364,000,000.00","436,000,000.00","619,000,000.00","203,000,000.00","203,000,000.00","593,000,000.00","571,000,000.00","90,000,000.00","90,300,000.00","120,300,000.00","600,300,000.00","317,000,000.00","1,024,000,000.00","1,273,000,000.00"
期末现金及现金等价物余额,"20,794,455.98","32,750,382.92","90,183,602.27","128,071,307.08","120,224,709.61","102,205,989.00","1,125,353,944.25","1,033,603,620.73","1,048,090,252.93","1,060,071,983.95","1,069,286,174.74","962,959,456.27","976,834,347.67","915,159,296.47","980,246,374.62","823,468,955.00","722,199,787.22","662,594,540.66","633,012,421.79","272,884,855.06","234,265,285.43","214,656,019.45","215,811,669.49","203,180,542.53","999,669,120.86","971,275,096.17","613,043,339.44","641,144,484.36"
