科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付给职工以及为职工支付的现金,"43,841,414.18","38,318,143.28","46,055,885.71","24,702,283.76","38,014,412.28","53,294,037.92","11,792,139.73","25,660,396.84","43,164,069.24","58,222,656.92","13,123,209.93","28,832,836.18","46,773,362.37","66,420,229.76","19,144,738.98","42,983,489.88","71,227,423.46","96,526,704.58","30,070,798.49","59,127,655.77","88,910,859.59","118,887,676.81","33,831,421.37"
取得借款收到的现金,"15,000,000.00","24,000,000.00","9,500,000.00",,,,,,,,,,,,,,,,,,"20,000,000.00","20,000,000.00",
支付的各项税费,"22,639,298.32","25,618,757.77","20,166,404.38","11,706,955.42","21,730,978.25","25,710,343.15","5,564,251.21","11,712,680.62","20,879,600.81","27,821,447.04","1,661,185.91","7,472,201.81","16,327,761.71","27,604,979.05","7,894,279.99","20,545,842.80","32,329,229.46","45,240,741.09","11,424,169.14","29,168,389.40","43,104,876.70","53,178,702.03","4,549,697.39"
收到其他与筹资活动有关的现金,"6,003,660.00",,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"22,756,450.95","18,037,092.68","19,501,648.75","13,107,013.15","22,920,792.98","29,311,706.77","5,797,331.63","14,693,472.50","21,639,320.17","29,420,401.14","7,911,912.73","17,008,548.58","26,131,044.44","32,068,391.66","11,302,999.63","22,403,573.76","34,655,277.11","45,567,445.51","18,729,304.09","37,765,879.11","51,175,964.58","57,656,728.38","21,280,566.04"
筹资活动现金流入小计,"21,003,660.00","24,000,000.00","9,500,000.00",,"152,000,000.00","130,200,000.00",,,,,,,,,,,,,"23,460,000.00","23,460,000.00","43,460,000.00","45,540,800.00","3,699,200.00"
经营活动现金流出小计,"243,673,068.97","213,066,427.70","248,815,762.36","136,581,022.69","215,357,193.35","286,861,176.14","63,540,573.61","128,783,862.62","199,396,248.09","233,389,300.34","54,177,862.93","126,225,673.89","206,775,596.69","291,690,950.51","83,676,579.17","179,128,741.07","306,619,203.37","425,939,738.42","140,826,052.22","258,337,277.74","395,353,060.73","518,190,407.26","130,034,463.78"
偿还债务支付的现金,"6,000,000.00","35,000,000.00","24,000,000.00","9,500,000.00","9,500,000.00","9,500,000.00",,,,,,,,,,,,,,,,,
经营活动产生的现金流量净额,"19,256,018.50","22,200,587.91","34,762,865.13","12,766,845.77","19,228,187.14","31,215,156.73","8,689,811.38","18,564,516.01","32,183,608.42","49,782,475.31","4,229,139.34","17,499,760.12","8,514,171.96","26,341,914.53","26,986,159.48","58,157,499.44","51,085,465.01","65,865,484.57","15,688,859.68","45,558,950.64","46,527,564.52","122,104,664.45","3,575,709.52"
分配股利、利润或偿还利息支付的现金,"11,097,402.50","2,241,671.32","10,484,466.78","140,916.66","140,916.66","140,916.66",,"8,000,000.00","8,000,000.00","8,000,000.00",,"6,000,000.00","6,000,000.00","6,000,000.00",,"15,000,000.00","15,000,000.00","15,000,000.00",,,,"354,666.67","285,000.01"
收回投资收到的现金,,,,,,,,,"5,000,000.00","5,000,000.00",,,,,,,,,,"16,000,000.00","238,000,000.00","442,270,000.00","201,030,000.00"
支付其他与筹资活动有关的现金,"2,550,000.00","506,992.05","471,698.10","330,188.67","22,585,041.03","6,222,129.30","541,352.81","541,352.81","562,185.81","699,843.38",,,,,,,,,,,,"564,400.00","39,775,992.97"
取得投资收益收到的现金,,,,,,,"80,821.91","206,849.30",,,,,,,,,,,,"9,424.66","661,647.95","1,789,782.21","1,285,091.33"
筹资活动现金流出小计,"19,647,402.50","37,748,663.37","34,956,164.88","9,971,105.33","32,225,957.69","15,863,045.96","541,352.81","8,541,352.81","8,562,185.81","8,699,843.38",,"6,000,000.00","6,000,000.00","6,000,000.00",,"15,000,000.00","15,000,000.00","15,000,000.00",,,,"919,066.67","40,060,992.98"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"303,000.00","56,000.00",,,,,"64,000.00","153,000.00","160,000.00",,"26,800.00","130,600.00","131,100.00",,,,,,"70,000.00","70,000.00","97,198.00",
筹资活动产生的现金流量净额,"1,356,257.50","-13,748,663.37","-25,456,164.88","-9,971,105.33","119,774,042.31","114,336,954.04","-541,352.81","-8,541,352.81","-8,562,185.81","-8,699,843.38",,"-6,000,000.00","-6,000,000.00","-6,000,000.00",,"-15,000,000.00","-15,000,000.00","-15,000,000.00","23,460,000.00","23,460,000.00","43,460,000.00","44,621,733.33","-36,361,792.98"
处置子公司及其他营业单位收到的现金净额,,,"12,565,732.15",,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-393,249.51","-69,170.40","-434,099.02","169,749.37","116,886.49","71,259.20","36,415.97","144,412.36","1,009,353.51","437,709.18","-74,440.40","265,887.34","385,228.13","1,203,346.31","-139,774.96","-891,771.76","-1,955,560.54","-2,563,019.79","-1,488,799.57","-40,423.51","-741,351.62","-825,051.71","-74,423.26"
收到其他与投资活动有关的现金,,,,,,,,,"247,945.19","247,945.19",,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"303,000.00","12,621,732.15",,,,"80,821.91","270,849.30","5,400,945.19","5,407,945.19",,"26,800.00","130,600.00","131,100.00",,,,,,"16,079,424.66","238,731,647.95","444,156,980.21","202,315,091.33"
五、现金及现金等价物净增加额,"-2,840,211.84","-8,448,349.73","14,041,884.10","-757,524.35","135,051,121.02","133,748,859.27","-2,010,947.51","-644,402.34","17,239,394.29","31,629,678.95","1,368,912.30","6,382,334.72","-6,381,358.32","1,601,399.39","13,860,736.50","-2,074,053.71","-15,624,425.45","-43,164,114.50","-6,639,165.60","-97,386,233.32","-115,464,367.01","-126,778,124.32","-14,286,340.01"
购建固定资产、无形资产和其他长期资产支付的现金,"23,059,238.33","17,134,103.87","5,300,680.45","3,723,014.16","4,067,994.92","11,874,510.70","5,276,643.96","6,082,827.20","7,792,327.02","10,298,607.35","2,785,786.64","5,410,112.74","9,411,358.41","20,074,961.45","12,985,648.02","44,339,781.39","47,754,329.92","89,466,579.28","44,299,225.71","81,444,185.11","99,172,227.86","127,536,450.60","11,120,924.62"
期初现金及现金等价物余额,"50,305,779.68","47,465,567.84","39,017,218.11","53,059,102.21","53,059,102.21","53,059,102.21","186,807,961.48","186,807,961.48","186,807,961.48","186,807,961.48","218,437,640.43","218,437,640.43","218,437,640.43","218,437,640.43","220,039,063.94","220,039,039.82","220,039,039.82","220,039,039.82","176,874,925.32","176,874,925.32","176,874,925.32","176,874,925.32","50,096,801.00"
投资支付的现金,,,"1,457,471.50",,,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,,,"2,000,000.00","2,000,000.00",,,,"609,300,000.00","172,620,000.00"
期末现金及现金等价物余额,"47,465,567.84","39,017,218.11","53,059,102.21","52,301,577.86","188,110,223.23","186,807,961.48","184,797,013.97","186,163,559.14","204,047,355.77","218,437,640.43","219,806,552.73","224,819,975.15","212,056,282.11","220,039,039.82","233,899,800.44","217,964,986.11","204,414,614.37","176,874,925.32","170,235,759.72","79,488,692.00","61,410,558.31","50,096,801.00","35,810,460.99"
