科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付其他与筹资活动有关的现金,"17,837,673.22","6,043,171.56","5,192,710.71","4,351,024.88","9,020,814.29","5,560,000.00","5,325,000.00","2,720,000.00",,,,,,,,,,,,,,"1,150,000.00",,,,
取得投资收益收到的现金,,,"40,000.00",,,,,,,,,,"40,000.00","40,000.00",,,,,,,,"86,180.00","45,095.07","306,842.20","533,570.52","850,399.20"
筹资活动现金流出小计,"100,111,354.25","169,318,781.44","147,395,390.92","44,582,971.70","49,252,761.11","83,015,946.82","35,531,888.89","104,283,364.54","167,095,364.53","171,211,169.76","8,891,726.64","78,233,033.54","110,769,955.43","131,878,193.24","18,132,151.58","90,243,334.97","133,759,026.35","160,851,123.09","22,615,685.24","108,930,445.01","166,148,593.23","182,772,667.99","51,077,031.73","161,720,356.78","208,634,632.38","244,934,647.45"
处置固定资产、无形资产和其他长期资产收回的现金净额,"267,000.00","3,621,811.10","653,290.62",,,,,,,,,,,"44,947.98",,"85,796.88","85,796.88","85,796.88","2,912.62","2,912.62","2,912.62","2,912.62",,,,"51,970.87"
筹资活动产生的现金流量净额,"-12,643,198.93","25,745,989.14","-19,093,480.02","-44,582,971.70","329,998,438.89","332,515,253.18","28,111.11","-36,723,364.54","-31,154,758.30","-31,479,535.53","3,218,605.82","-38,727,917.72","-47,276,579.42","-50,306,347.31","2,845,975.44","-34,433,233.05","-48,075,343.53","-48,965,611.02","-2,977,118.04","160,773,645.93","160,744,150.71","188,613,392.67","-69,704.73","-65,919,254.78","-20,646,505.32","47,553,877.29"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,-0.25,"-2,180.77","-12,457.52","-18,760.85","1,716.07","-33,361.72",-708.89,"7,475.14","13,258.60","-8,465.39","-3,077.20","-103,370.54","-133,367.39","-171,984.45","-52,624.38","3,843.05","1,920.99","-577,747.34","-102,600.96","441,549.75","441,549.75","1,677,385.27","-59,920.64","-1,313,436.88","-2,757,960.09","-3,625,768.46"
收到其他与投资活动有关的现金,,"9,095,650.30",,,,,,,,,,,,,,,,,,,,"7,000,000.00",,,,"76,994,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"3,432,009.13","49,944,017.59","693,290.62",,,,,,,,,,"40,000.00","84,947.98",,"85,796.88","85,796.88","85,796.88","2,912.62","2,912.62","2,912.62","7,089,092.62","45,095.07","306,842.20","533,570.52","77,896,370.07"
五、现金及现金等价物净增加额,"10,170,756.98","25,831,855.94","-29,477,606.29","-1,702,607.82","363,880,062.11","389,315,692.91","-4,474,786.94","-18,978,015.41","-6,246,065.95","-35,317,187.40","-1,785,017.35","516,962.59","-9,351,732.19","-5,685,294.12","-92,346,848.58","-188,532,226.88","-185,891,262.02","-166,439,085.47","-29,708,546.58","201,675,211.76","134,297,004.83","159,591,282.19","-32,466,736.19","-27,481,052.47","-22,244,150.66","-27,069,950.02"
购建固定资产、无形资产和其他长期资产支付的现金,"18,124,748.53","58,944,234.92","29,048,250.54","8,255,189.88","15,169,344.87","24,633,953.68","13,774,486.36","17,674,863.37","27,301,190.51","37,282,149.49","10,184,066.40","38,468,014.37","48,758,392.92","58,486,060.07","16,911,863.80","35,006,895.63","42,908,906.66","51,312,483.99","16,125,809.21","20,800,709.97","26,300,848.50","41,780,621.58","12,143,921.94","56,400,197.69","88,215,873.14","100,242,267.66"
期初现金及现金等价物余额,"4,640,254.48","14,811,011.46","40,642,867.40","11,165,261.11","11,165,261.11","11,165,261.11","400,480,954.02","400,480,954.02","400,480,954.02","400,480,954.02","365,163,766.62","365,163,766.62","365,163,766.62","365,163,766.62","359,478,472.50","359,478,472.50","359,478,472.50","359,478,472.50","193,039,387.03","193,039,387.03","193,039,387.03","193,039,387.03","352,630,669.22","352,630,669.22","352,630,669.22","352,630,669.22"
投资支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,"33,500,000.00"
期末现金及现金等价物余额,"14,811,011.46","40,642,867.40","11,165,261.11","9,462,653.29","375,045,323.22","400,480,954.02","396,006,167.08","381,502,938.61","394,234,888.07","365,163,766.62","363,378,749.27","365,680,729.21","355,812,034.43","359,478,472.50","267,131,623.92","170,946,245.62","173,587,210.48","193,039,387.03","163,330,840.45","394,714,598.79","327,336,391.86","352,630,669.22","320,163,933.03","325,149,616.75","330,386,518.56","325,560,719.20"
