科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月
经营活动产生的现金流量净额,"18,554,334.43","76,486,035.45","112,751,204.87","124,644,620.24","13,030,170.65","-60,449,754.42","-194,385,012.84","138,007,439.28","29,609,821.20","-20,828,627.00","-71,177,101.61","19,974,182.23","16,173,424.13","59,491,292.77","55,118,484.16","66,499,336.43","15,451,454.87","15,970,384.13","24,655,133.34","50,692,452.26","-82,072,257.05","-122,681,035.75","-28,288,199.74","10,382,986.95","-161,094,071.15"
分配股利、利润或偿还利息支付的现金,"10,097,157.18","25,881,650.73","37,416,331.49","77,595,137.48","18,273,168.56","36,573,421.69","55,802,039.79","75,552,741.04","10,913,126.55","16,999,651.76","30,640,511.77","46,954,644.90","11,474,522.12","22,231,958.93","34,336,345.36","54,318,852.63","16,473,622.94","34,371,507.83","52,626,394.19","80,578,234.34","21,776,607.35","48,031,660.31","75,947,497.98","95,128,940.85","25,036,523.93"
收回投资收到的现金,,,"20,000,000.00","20,000,000.00",,,,,,,,,,,,"41,000,000.00",,,,,,,,,
支付其他与筹资活动有关的现金,"50,000,000.00","133,908,072.65","225,900,000.00",,,"62,667,090.41","108,016,493.98","386,311,142.40","13,479,661.41","26,965,801.71","57,185,451.25","526,941,165.75","185,699,595.84","318,150,516.69","340,276,218.00","54,395,816.59","214,595,000.00","313,667,050.38","575,605,118.80","377,726,175.35","206,000,000.00","44,962,382.11","348,678,724.69","389,894,448.42","79,310,414.00"
取得投资收益收到的现金,,,,,,,,,,,,,,"18,675.00","18,675.00","328,057.07",,,,,,,,,
筹资活动现金流出小计,"375,147,157.18","627,169,723.38","816,566,331.49","1,008,565,137.48","465,273,168.56","682,240,512.10","838,818,533.77","1,568,183,883.44","712,862,787.96","794,193,453.47","988,053,963.02","1,684,593,810.65","619,454,117.96","872,662,475.62","996,892,563.36","936,464,669.22","546,068,622.94","903,038,558.21","1,253,231,512.99","1,475,774,409.69","513,496,607.35","889,959,236.44","1,339,146,222.67","1,583,163,389.27","590,286,937.93"
处置固定资产、无形资产和其他长期资产收回的现金净额,"81,500.00","81,500.00","91,500.00","130,445.88","3,100.00","14,600.00","17,310.11","7,906,770.91","15,931.50","46,512.50","46,512.50","126,737.95","30,000.00","30,000.00","30,000.00","47,776.50",,"81,000.00","151,315.76","2,989,600.99",,,"3,950,000.00","3,982,000.00",
筹资活动产生的现金流量净额,"147,259,564.37","103,913,203.17","19,703,668.51","109,874,862.52","11,981,544.62","51,594,281.21","158,217,440.64","-244,225,883.44","72,299,162.74","94,087,424.11","121,312,522.28","-16,877,051.45","26,752,509.07","-45,022,508.05","-45,418,276.62","70,755,330.78","-72,736,614.47","-35,297,588.53","-101,322,944.13","-41,054,409.69","148,187,362.21","183,402,781.71","34,275,036.37","138,352,761.22","127,939,607.04"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,"-267,813.97",,,,"-85,767.85",,,,"-30,546.32",,,,"-130,278.28",,,,"-241,462.84",,"86,779.36","86,779.36","-123,298.56",
收到其他与投资活动有关的现金,,,,,,,,,"50,000.00",,,,,,,,,,,"1,322,454.41","318,646.30",,,"15,923,800.00","5,054.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"81,500.00","81,500.00","20,091,500.00","20,130,445.88","3,100.00","14,600.00","17,310.11","7,906,770.91","65,931.50","46,512.50","46,512.50","126,737.95","30,000.00","48,675.00","48,675.00","41,375,833.57",,"81,000.00","151,315.76","4,312,055.40","318,646.30",,"3,950,000.00","19,905,800.00","5,054.00"
五、现金及现金等价物净增加额,"109,090,712.45","82,627,685.69","37,830,104.20","55,643,430.68","20,293,016.28","-16,700,388.57","-50,529,698.75","-149,662,014.97","98,873,472.03","69,437,925.21","45,576,271.22","-19,158,806.34","41,431,110.03","9,020,812.87","-3,799,063.39","87,375,626.77","-73,513,645.33","-40,979,841.42","-137,068,921.13","-73,265,418.18","51,004,607.64","40,818,765.83","-26,312,962.51","88,373,033.99","-54,379,185.77"
购建固定资产、无形资产和其他长期资产支付的现金,"56,804,686.35","97,853,052.93","114,716,269.18","198,738,683.99","4,721,798.99","7,859,515.36","8,189,436.66","48,574,573.87","2,501,443.41","3,267,384.40","4,005,661.95","5,752,128.75","1,524,823.17","5,496,646.85","13,547,945.93","45,755,015.47","16,228,485.73","21,733,637.02","60,552,426.10","67,976,863.48","15,429,143.82","19,989,759.49","36,336,578.50","80,145,215.62","21,229,775.66"
期初现金及现金等价物余额,"228,585,505.87","228,585,505.87","228,585,505.87","228,585,505.87","284,228,936.55","284,228,936.55","284,228,936.55","284,228,936.55","134,566,921.58","134,566,921.58","134,566,921.58","134,566,921.58","115,408,115.24","115,408,115.24","115,408,115.24","115,408,115.24","202,783,742.01","202,783,742.01","202,783,742.01","202,783,742.01","129,518,323.83","129,518,323.83","129,518,323.83","129,518,323.83","217,891,357.82"
投资支付的现金,,,,,,,,,,,,,,,,"41,000,000.00",,,,"3,000,000.00",,,,,
期末现金及现金等价物余额,"337,676,218.32","311,213,191.56","266,415,610.07","284,228,936.55","304,521,952.83","267,528,547.98","233,699,237.80","134,566,921.58","233,440,393.61","204,004,846.79","180,143,192.80","115,408,115.24","156,839,225.27","124,428,928.11","111,609,051.85","202,783,742.01","129,270,096.68","161,803,900.59","65,714,820.88","129,518,323.83","180,522,931.47","170,337,089.66","103,205,361.32","217,891,357.82","163,512,172.05"
