科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
经营活动产生的现金流量净额,"23,559,507.88","-11,236,660.55","-41,920,593.31","-1,294,809.05","22,174,189.86","45,334,991.21","-79,281,145.84","-75,250,347.04","-27,206,608.32","-23,849,907.93","-5,910,749.57","23,649,036.62","29,843,403.45","80,183,675.29","-57,356,751.61","-15,067,777.26","-53,627,386.01","-35,676,705.36","-61,090,452.04","-86,913,547.36"
分配股利、利润或偿还利息支付的现金,"6,339,120.20","13,338,162.09","13,439,883.52","7,998,070.75","11,728,804.85","14,558,751.73","1,725,476.84","4,492,587.98","25,630,645.23","27,893,074.91","14,800,286.57","39,226,838.34","42,790,649.56","42,979,664.13","241,520.97","23,072,252.34","24,017,372.76","24,800,410.66","1,254,808.31","25,267,231.96"
收回投资收到的现金,,,,,,,,"20,000,000.00","50,000,000.00","130,000,000.00","40,000,000.00","60,000,000.00","80,000,000.00","288,000,000.00","232,340,653.34","268,500,000.00","421,500,000.00","813,000,000.00","165,994,003.60","284,094,003.60"
支付其他与筹资活动有关的现金,"523,580.00",,"754,716.98","754,716.98","754,716.98","8,943,033.14",,,,"1,037,735.84","914,787.74","914,787.74","914,787.72","1,433,655.64","1,132,075.46","1,132,075.46","1,132,075.46","1,132,075.49",,"17,367,797.60"
取得投资收益收到的现金,,,,,,,,"1,048,850.68","1,048,850.68","3,317,446.00","324,598.63","637,256.16","786,263.01","1,916,576.77","1,398,159.40","2,379,986.95","5,500,922.68","11,343,020.00","1,307,574.72","3,594,452.29"
筹资活动现金流出小计,"100,862,700.20","257,838,162.09","256,194,600.50","205,928,725.31","329,659,459.41","503,677,722.45","102,725,476.84","244,332,587.98","449,470,645.23","577,770,810.75","138,615,074.31","190,041,626.08","343,605,437.28","611,313,319.77","1,373,596.43","39,204,327.80","50,149,448.22","65,932,486.15","57,751,673.31","139,131,894.56"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"191,020.34",,"4,100.00","4,100.00","880,250.00","12,000.00","12,000.00","12,000.00","189,450.00",,,"24,500.00","1,116.21",,"7,000.00","10,585.00","471,053.85",,"707,000.00"
筹资活动产生的现金流量净额,"71,937,299.80","57,661,837.91","2,987,276.25","-19,934,664.48","-35,665,398.58","47,716,338.38","70,114,523.16","83,507,412.02","22,369,354.77","27,069,189.25","16,284,925.69","61,858,373.92","631,294,547.04","423,586,664.55","18,626,403.57","795,672.20","56,347,416.78","55,064,378.85","20,025,606.69","131,087,685.44"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,-447.37,"42,004.74","-4,280.77","-55,893.03","-56,045.84","-57,146.61",19.88,501.69,"1,225.69","1,122.81","-18,383.35","-8,937.49","-10,278.75","35,918.24","-15,092.20","-23,846.95","-82,770.78","-132,009.34","-143,208.30","23,895.92"
收到其他与投资活动有关的现金,"1,208,090.80","2,445,272.16","1,408,523.54","836,569.44","961,898.23","1,265,829.22","251,779.34","567,287.88","792,271.55","1,051,956.38","146,009.13","6,782,799.48","6,996,626.76","876,252.81","103,539.70","181,481.44","271,747.35","665,649.95","77,191.29","172,535.15"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,208,090.80","2,636,292.50","1,408,523.54","840,669.44","965,998.23","2,146,079.22","263,779.34","21,628,138.56","51,853,122.23","134,558,852.38","40,470,607.76","67,420,055.64","87,807,389.77","290,793,945.79","233,842,352.44","271,068,468.39","427,283,255.03","825,479,723.80","167,378,769.61","288,567,991.04"
五、现金及现金等价物净增加额,"56,380,423.94","33,525,516.62","-62,659,610.95","-26,264,610.07","-20,355,996.56","7,773,413.12","-9,313,238.85","28,443,331.22","-7,192,943.26","7,105,619.42","8,314,661.72","19,693,305.60","548,363,165.17","-3,902,974.84","-4,481,393.68","-37,640,253.14","-31,983,557.78","-41,972,492.21","1,763,351.55","55,931,941.46"
购建固定资产、无形资产和其他长期资产支付的现金,"40,324,027.17","15,577,957.98","25,130,536.66","5,819,912.95","7,774,740.23","7,366,849.08","410,415.39","1,442,374.01","4,210,037.63","20,673,637.09","22,511,738.81","34,879,223.09","82,225,896.34","94,989,367.56","8,278,305.88","13,912,769.52","18,404,072.80","30,799,580.16","3,907,364.41","17,234,083.58"
期初现金及现金等价物余额,"20,047,243.43","76,427,667.37","109,953,183.99","47,293,573.04","38,297,861.74","47,293,573.04","55,066,986.16","55,066,986.16","55,066,986.16","55,066,986.16","69,086,269.80","62,172,605.58","62,172,605.58","62,172,605.58","58,269,630.74","58,269,630.74","58,269,630.74","58,269,630.74","18,474,157.95","18,474,157.95"
投资支付的现金,,,,,,"80,000,000.00",,,"50,000,000.00","110,000,000.00","20,000,000.00","98,346,000.00","118,346,000.00","479,000,000.00","191,300,000.00","280,500,000.00","443,500,000.00","818,000,000.00","120,500,000.00","259,600,000.00"
期末现金及现金等价物余额,"76,427,667.37","109,953,183.99","47,293,573.04","21,028,962.97","17,941,865.18","55,066,986.16","45,753,747.31","83,510,317.38","47,874,042.90","62,172,605.58","77,400,931.52","81,865,911.18","610,535,770.75","58,269,630.74","53,788,237.06","20,629,377.60","26,286,072.96","16,297,138.53","20,237,509.50","74,406,099.41"
