科目,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
三、利润总额,"55,580,612.13","23,396,766.18","41,059,791.38","53,503,049.29","3,060,612.32","33,631,408.18","60,935,787.05","89,906,305.82","2,678,044.08","43,548,647.90","89,647,066.78","120,847,132.62","711,375.23","51,060,753.50","76,912,769.60","117,103,609.72","-7,013,393.51","70,488,175.01","134,663,158.20","222,636,355.56","10,872,317.14","115,210,766.81","278,022,401.78","443,816,731.01","73,278,653.08","266,826,987.69","482,604,587.59","651,465,586.69","57,273,886.38","323,448,782.51","533,833,312.62","837,234,762.93","71,437,121.18","418,896,280.13","843,197,938.51","1,156,851,322.40","95,967,151.22","557,534,172.99","1,003,947,156.59","1,436,705,576.95","119,824,751.38","707,980,133.74"
资产减值损失,"4,838,650.56","6,067,875.50","6,805,336.33","11,102,081.46","-391,104.59","1,436,134.14","3,388,877.57","5,331,784.73",,"13,025,801.88","10,903,556.49","17,207,636.07","290,091.98","2,851,189.52","4,400,215.85","19,538,979.23","3,300,089.82","-879,554.42","21,192,560.60","30,554,476.70","-1,445,241.72","31,192,155.58","27,413,518.24","32,777,638.38","-1,166,264.54","61,015,033.61","61,015,033.61","44,560,258.12","-22,848,444.36","18,224,595.87","40,230,408.28","68,542,940.79","-4,415,483.80","42,331,859.14","94,413,388.21","118,492,645.51","-10,717,939.12","44,639,018.67","97,691,644.00","131,774,754.52","-287,992.87","109,777,826.11"
减:所得税,"18,272,658.77","5,801,308.02","10,383,492.64","8,205,166.21","1,004,579.03","6,793,318.87","11,877,720.33","15,875,466.44","1,402,713.51","7,202,091.51","15,139,624.55","13,717,250.58","-236,141.37","5,253,019.75","5,499,431.05","12,944,536.14","827,332.40","12,672,893.80","15,181,720.00","31,340,217.82","7,345,833.14","16,182,144.13","41,642,111.80","73,645,893.14","16,418,021.05","39,334,946.16","48,924,805.87","68,892,644.60","12,111,802.44","35,866,011.94","70,093,805.74","108,420,129.04","16,328,721.10","56,290,422.42","123,850,616.43","130,528,616.97","18,397,813.85","65,941,552.79","116,121,953.45","194,570,906.50","22,005,090.90","90,719,685.21"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67,380.00",,"24,420.00",,"-27,600.00","-1,189,260.00","-1,960,680.00","-1,951,500.00",,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"-3,277,126.92",,,,,,,,,,,,,,,,,,,,"3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","4,500,000.00","4,500,000.00","4,500,000.00","3,947,862.76",,"899,050.94","910,732.41","636,494.00","98,581.32","-1,944,339.38","-2,253,779.11","23,151,884.31",,,,,,
四、净利润,"37,307,953.36","17,595,458.16","30,676,298.74","45,297,883.08","2,056,033.29","26,838,089.31","49,058,066.72","74,030,839.38","1,275,330.57","36,346,556.39","74,507,442.23","107,129,882.04","947,516.60","45,807,733.75","71,413,338.55","104,159,073.58","-7,840,725.91","57,815,281.21","119,481,438.20","191,296,137.74","3,526,484.00","99,028,622.68","236,380,289.98","370,170,837.87","56,860,632.03","227,492,041.53","433,679,781.72","582,572,942.09","45,162,083.94","287,582,770.57","463,739,506.88","728,814,633.89","55,108,400.08","362,605,857.71","719,347,322.08","1,026,322,705.43","77,569,337.37","491,592,620.20","887,825,203.14","1,242,134,670.45","97,819,660.48","617,260,448.53"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"35,928,763.14","18,048,103.34","30,266,466.95","44,123,873.17","2,309,902.87","26,801,992.96","48,635,074.21","73,185,563.78","1,234,749.82","34,779,357.28","71,904,051.91","103,840,020.63","1,706,908.45","46,400,426.69","72,079,493.85","104,530,225.89","-7,653,029.67","57,137,817.82","117,179,526.65","188,662,710.95","3,115,154.61","97,319,520.39","232,006,776.23","363,706,631.32","56,108,046.25","224,238,237.68","428,893,251.18","576,550,564.08","44,183,051.38","284,052,032.60","464,062,909.68","729,715,166.83","55,932,590.76","364,391,830.85","720,696,429.94","1,028,709,692.11","78,758,604.36","493,718,902.54","868,731,699.81","1,238,836,792.54","98,857,595.45","618,414,793.65"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"1,379,190.22","-452,645.18","409,831.79","1,174,009.91","-253,869.58","36,096.35","422,992.51","845,275.60","40,580.75","1,567,199.11","2,603,390.32","3,289,861.41","-759,391.85","-592,692.94","-666,155.30","-371,152.31","-187,696.24","677,463.39","2,301,911.55","2,633,426.79","411,329.39","1,709,102.29","4,373,513.75","6,464,206.55","752,585.78","3,253,803.85","4,786,530.54","6,022,378.01","979,032.56","3,530,737.97","-323,402.80","-900,532.94","-824,190.68","-1,785,973.14","-1,349,107.86","-2,386,986.68","-1,189,266.99","-2,126,282.34","19,093,503.33","3,297,877.91","-1,037,934.97","-1,154,345.12"
