科目,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
收回投资收到的现金,"1,146,015,550.00","318,919,620.00","396,157,000.00","1,411,211,000.00","380,141,000.00","259,638,000.00","360,213,000.00","1,129,782,000.00","261,868,000.00","526,662,000.00","662,127,000.00","903,346,000.00","40,946,000.00","84,959,000.00","152,729,000.00","1,581,016,000.00","48,824,000.00","1,363,581,000.00","1,365,098,000.00","1,685,739,000.00",,"10,134,000.00","99,632,000.00","60,086,000.00","458,446,000.00","18,313,000.00","74,435,000.00","210,982,000.00","702,554,000.00","1,472,609,000.00","3,396,185,000.00","1,785,510,000.00",,,"41,600,000.00","38,438,000.00","11,134,000.00","37,507,000.00","40,840,000.00","77,338,000.00","703,853,000.00"
支付其他与筹资活动有关的现金,"2,793,325,290.00","3,271,224,380.00","3,275,769,000.00","1,594,825,000.00","287,362,000.00","692,589,000.00","1,129,120,000.00","928,260,000.00","452,950,000.00","654,000.00","883,000.00","337,712,000.00","544,089,000.00","365,189,000.00","436,893,000.00","22,949,000.00","8,840,000.00","128,926,000.00","250,697,000.00","159,024,000.00","414,360,000.00","1,040,709,000.00","1,178,753,000.00","742,251,000.00",,"47,665,000.00","75,933,000.00","272,809,000.00",,"81,355,000.00","81,357,000.00","1,556,268,000.00",,"158,231,000.00","361,500,000.00","1,300,645,000.00","202,648,000.00","695,296,000.00","2,509,179,000.00","9,473,746,000.00","523,346,000.00"
取得投资收益收到的现金,"173,183,020.00","49,508,900.00","79,392,000.00","79,537,000.00","12,895,000.00","16,480,000.00","51,061,000.00","98,572,000.00","68,235,000.00","30,075,000.00","34,375,000.00","174,644,000.00","9,482,000.00","23,720,000.00","31,786,000.00","105,286,000.00","16,516,000.00","61,664,000.00","76,587,000.00","269,501,000.00","49,236,000.00","6,117,000.00","6,117,000.00","86,932,000.00","113,817,000.00","168,872,000.00","148,307,000.00","243,575,000.00","19,345,000.00","99,959,000.00","139,712,000.00","526,629,000.00","11,699,000.00","28,127,000.00","73,850,000.00","129,347,000.00","16,670,000.00","61,509,000.00","74,303,000.00","228,007,000.00","70,226,000.00"
筹资活动现金流出小计,"42,706,615,550.00","35,342,668,980.00","51,309,382,000.00","87,397,218,000.00","14,393,636,000.00","30,138,040,000.00","61,184,102,000.00","85,430,926,000.00","9,116,800,000.00","27,601,347,000.00","52,415,593,000.00","77,697,255,000.00","21,642,617,000.00","44,208,639,000.00","75,208,120,000.00","100,764,596,000.00","19,102,095,000.00","56,547,922,000.00","87,392,850,000.00","119,954,994,000.00","24,852,149,000.00","51,553,887,000.00","85,963,862,000.00","123,619,115,000.00","16,177,865,000.00","42,713,678,000.00","79,913,574,000.00","120,602,977,000.00","19,907,786,000.00","44,037,464,000.00","70,100,591,000.00","110,632,341,000.00","17,889,011,000.00","42,205,379,000.00","75,297,143,000.00","97,190,340,000.00","26,288,159,000.00","55,958,044,000.00","95,231,819,000.00","129,078,825,000.00","28,478,282,000.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"133,603,800.00","78,292,710.00","90,476,000.00","245,276,000.00","29,063,000.00","87,075,000.00","98,842,000.00","205,011,000.00","24,868,000.00","174,481,000.00","175,806,000.00","487,915,000.00","204,411,000.00","157,856,000.00","238,897,000.00","368,868,000.00","120,253,000.00","279,463,000.00","350,157,000.00","660,283,000.00","18,378,000.00","147,658,000.00","180,593,000.00","351,934,000.00","17,120,000.00","51,039,000.00","101,360,000.00","374,609,000.00","14,412,000.00","121,627,000.00","152,197,000.00","282,763,000.00","27,724,000.00","106,002,000.00","143,217,000.00","230,743,000.00","9,246,000.00","71,844,000.00","92,448,000.00","403,612,000.00","9,694,000.00"
筹资活动产生的现金流量净额,"13,043,108,830.00","12,000,577,440.00","51,482,922,000.00","41,043,580,000.00","9,862,803,000.00","17,507,852,000.00","21,990,520,000.00","31,177,684,000.00","17,711,034,000.00","15,267,128,000.00","15,713,828,000.00","23,988,752,000.00","1,091,293,000.00","2,505,191,000.00","1,996,815,000.00","-10,113,290,000.00","-1,966,377,000.00","-6,947,466,000.00","-6,070,494,000.00","-21,153,008,000.00","-1,394,827,000.00","-1,113,595,000.00","1,014,771,000.00","-14,431,574,000.00","3,141,507,000.00","2,101,512,000.00","1,323,719,000.00","-9,719,382,000.00","7,172,636,000.00","5,964,191,000.00","1,199,937,000.00","-5,597,927,000.00","14,705,049,000.00","14,877,788,000.00","10,920,053,000.00","-2,100,336,000.00","10,568,895,000.00","16,732,486,000.00","11,090,666,000.00","-5,930,183,000.00","9,244,494,000.00"
处置子公司及其他营业单位收到的现金净额,"10,542,420.00","477,760.00","478,000.00","477,000.00",,,,"57,325,000.00",,,,"794,558,000.00",,,,"141,050,000.00","25,174,000.00","414,627,000.00","416,995,000.00","753,945,000.00","3,403,000.00",,"3,601,000.00","8,851,000.00","434,639,000.00",,,"3,500,000.00","143,000,000.00",,,"33,147,000.00",,,,"29,078,000.00","239,377,000.00","41,452,000.00","41,452,000.00","40,679,000.00",
四、汇率变动对现金的影响,"-318,028,210.00","-45,389,240.00","-39,523,000.00","18,994,000.00","-29,649,000.00","-123,620,000.00","-50,612,000.00","-160,684,000.00","30,577,000.00","8,060,000.00","36,030,000.00","-64,261,000.00","-8,582,000.00","-8,727,000.00","-9,683,000.00","-21,056,000.00","-9,683,000.00","-77,716,000.00","-89,933,000.00","-115,851,000.00","7,085,000.00","53,256,000.00","-8,901,000.00","-3,858,000.00","-10,286,000.00","-16,379,000.00","-37,084,000.00","129,797,000.00","28,534,000.00","71,348,000.00","71,447,000.00","206,882,000.00","545,000.00","-94,660,000.00","-109,665,000.00","-283,325,000.00","-104,225,000.00","37,733,000.00","-43,093,000.00","304,528,000.00","6,979,000.00"
收到其他与投资活动有关的现金,"11,175,170.00",,,"46,798,000.00",,"87,042,000.00","108,463,000.00","635,289,000.00",,"165,383,000.00","168,698,000.00","778,996,000.00",,"74,826,000.00","82,662,000.00","166,300,000.00","859,823,000.00","790,906,000.00","830,023,000.00","989,899,000.00","188,475,000.00","61,568,000.00","191,564,000.00","344,977,000.00","88,347,000.00","53,504,000.00","168,730,000.00","208,179,000.00","8,635,000.00","117,738,000.00","272,583,000.00","373,343,000.00","6,243,000.00","148,870,000.00","237,107,000.00","365,362,000.00","941,250,000.00","1,068,770,000.00","1,488,742,000.00","1,266,874,000.00","85,116,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,474,519,960.00","447,198,990.00","566,503,000.00","1,783,299,000.00","422,099,000.00","450,235,000.00","618,579,000.00","2,125,979,000.00","354,971,000.00","896,601,000.00","1,041,006,000.00","3,139,459,000.00","254,839,000.00","341,361,000.00","506,074,000.00","2,362,520,000.00","1,070,590,000.00","2,910,241,000.00","3,038,860,000.00","4,359,367,000.00","259,492,000.00","225,477,000.00","481,507,000.00","852,780,000.00","1,112,369,000.00","291,728,000.00","492,832,000.00","1,040,845,000.00","887,946,000.00","1,811,933,000.00","3,960,677,000.00","3,001,392,000.00","45,666,000.00","282,999,000.00","495,774,000.00","792,968,000.00","1,217,677,000.00","1,281,082,000.00","1,737,785,000.00","2,016,510,000.00","868,889,000.00"
五、现金及现金等价物净增加额,"2,259,141,540.00","851,998,300.00","35,890,886,000.00","18,543,072,000.00","2,285,921,000.00","1,730,842,000.00","-3,877,492,000.00","-5,438,285,000.00","3,910,600,000.00","-2,398,307,000.00","-2,170,026,000.00","3,418,546,000.00","-10,380,858,000.00","-9,114,809,000.00","-11,634,898,000.00","-10,636,264,000.00","-7,861,176,000.00","-9,580,887,000.00","-6,775,771,000.00","-841,621,000.00","-10,247,500,000.00","-7,733,574,000.00","-6,448,695,000.00","-2,671,377,000.00","-2,705,017,000.00","-4,120,355,000.00","-3,803,798,000.00","165,201,000.00","-289,014,000.00","1,991,411,000.00","-3,857,865,000.00","9,975,533,000.00","-4,956,533,000.00","-3,291,620,000.00","-9,250,963,000.00","-2,247,777,000.00","-4,624,475,000.00","2,303,802,000.00","-5,763,217,000.00","-3,313,132,000.00","-6,880,142,000.00"
购建固定资产、无形资产和其他长期资产支付的现金,"15,111,682,830.00","5,109,847,660.00","8,420,691,000.00","12,328,717,000.00","2,485,433,000.00","4,486,228,000.00","6,106,598,000.00","11,081,546,000.00","1,193,974,000.00","4,132,000,000.00","5,799,975,000.00","10,049,784,000.00","1,424,929,000.00","2,583,092,000.00","3,300,845,000.00","5,680,718,000.00","340,291,000.00","1,308,897,000.00","1,750,615,000.00","3,260,275,000.00","447,595,000.00","963,515,000.00","1,753,262,000.00","2,760,049,000.00","1,063,271,000.00","1,370,674,000.00","1,881,072,000.00","3,356,884,000.00","369,084,000.00","1,354,545,000.00","1,791,876,000.00","3,114,962,000.00","787,447,000.00","1,850,874,000.00","2,397,819,000.00","4,079,368,000.00","332,771,000.00","2,695,714,000.00","3,073,422,000.00","5,595,208,000.00","349,358,000.00"
