科目,2007-06-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
递延所得税资产,"12,889.72","12,227.03","12,227.03","86,513.36","86,513.36",,,,,"13,353,869.59","11,493,893.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"452,672,503.76","449,296,538.13"
少数股东权益,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,857,811.48","84,623,502.56","595,798,256.47","780,593,119.59","638,566,944.51","1,559,989,347.77","1,897,436,582.55","571,288,977.34","552,469,856.31","542,305,797.35","584,806,827.94","777,083,945.60","850,392,945.53","385,175,200.63","382,715,359.89","349,871,878.34","341,566,372.89","334,601,484.57","329,701,801.33","313,173,748.11","260,826,463.72"
其他资产,"29,570,121.72","25,939,910.25","24,458,491.02","30,100,001.88","56,071,237.11","22,895,147.77","24,273,981.72","22,677,573.91","23,139,611.64","17,812,470.05","19,424,717.62","18,930,581.89","21,462,092.41","20,950,092.19","21,226,676.91","19,890,744.39","22,775,527.66","17,681,249.51","20,852,982.07","18,655,975.66","21,330,691.45","22,209,183.46","41,073,836.10","44,386,388.96","46,194,396.03","41,433,703.07","88,360,078.92","281,888,922.33","1,036,560,134.85","2,319,078,081.68","3,633,454,899.63","7,135,581,615.02","2,743,675,205.58","3,181,756,966.34","2,423,702,855.86","2,235,332,400.71","2,249,416,101.73","2,501,107,529.32","292,497,035.77","276,509,065.41","376,315,326.31","229,793,210.46","338,854,430.71","255,185,133.64","237,881,483.08","324,953,439.95","24,052,344,229.04"
外币报表折算差额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资产总计,"4,316,201,778.52","4,933,250,813.42","4,301,781,694.16","3,922,499,809.60","3,301,315,816.21","3,492,845,915.47","4,642,359,702.10","4,327,159,272.22","5,318,200,005.26","5,959,466,546.96","5,132,081,689.55","4,748,824,699.97","4,810,291,737.74","5,855,582,104.61","6,001,009,985.57","4,743,882,160.41","5,428,678,467.00","4,940,487,952.79","5,372,111,768.69","5,139,184,453.91","4,568,497,444.01","4,480,114,719.55","4,491,810,824.26","4,382,688,020.78","4,824,362,825.61","4,629,900,363.61","5,333,021,556.25","9,970,605,551.62","10,793,770,204.95","14,189,769,317.75","18,700,275,487.96","36,855,088,207.05","32,489,524,766.01","34,092,164,140.60","39,190,721,509.75","36,419,027,891.32","39,626,825,200.19","40,364,697,117.58","41,342,996,933.97","39,490,152,958.83","43,394,412,593.08","47,042,486,252.85","47,917,258,761.12","41,131,176,909.70","39,425,571,602.53","42,396,997,675.84","42,552,811,779.55"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,153,832,204.02","2,080,012,962.56","2,249,825,842.94","2,459,520,621.47","2,791,694,070.26","2,718,630,015.59","2,611,532,222.43","2,283,420,173.75","2,352,064,869.88"
向中央银行借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
所有者权益（或股东权益）合计,"1,670,406,775.96","2,025,093,442.61","1,774,864,020.01","1,577,877,732.50","1,489,413,322.56","1,379,841,360.67","1,492,270,018.75","1,585,989,458.90","1,680,182,552.32","1,785,190,719.54","1,856,610,479.97","1,811,476,043.89","1,903,951,488.26","1,958,896,078.74","2,051,267,169.63","2,094,138,309.42","2,080,958,852.50","2,115,576,879.69","2,131,930,494.51","2,186,644,590.04","2,071,783,757.59","2,134,981,813.62","2,153,232,174.08","2,153,832,431.57","2,187,419,528.25","2,183,364,630.18","2,250,462,909.52","6,081,253,356.50","6,800,427,220.92","7,182,702,551.24","7,158,859,662.25","8,753,885,279.62","8,868,353,928.18","7,973,709,435.13","11,828,735,128.31","11,958,101,608.81","12,220,452,847.91","12,594,260,679.99","12,585,130,675.27","11,867,323,107.97","12,090,384,728.24","12,079,985,763.92","12,139,853,774.71","11,887,638,639.14","11,583,511,452.22","10,603,338,893.75","10,519,544,081.15"
同业及其他金融机构存放款项,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债和所有者权益（或股东权益）总计,"4,316,201,778.52","4,933,250,813.42","4,301,781,694.16","3,922,499,809.60","3,301,315,816.21","3,492,845,915.47","4,642,359,702.10","4,327,159,272.22","5,318,200,005.26","5,959,466,546.96","5,132,081,689.55","4,748,824,699.97","4,810,291,737.74","5,855,582,104.61","6,001,009,985.57","4,743,882,160.41","5,428,678,467.00","4,940,487,952.79","5,372,111,768.69","5,139,184,453.91","4,568,497,444.01","4,480,114,719.55","4,491,810,824.26","4,382,688,020.78","4,824,362,825.61","4,629,900,363.61","5,333,021,556.25","9,970,605,551.62","10,793,770,204.95","14,189,769,317.75","18,700,275,487.96","36,855,088,207.05","32,489,524,766.01","34,092,164,140.60","39,190,721,509.75","36,419,027,891.32","39,626,825,200.19","40,364,697,117.58","41,342,996,933.97","39,490,152,958.83","43,394,412,593.08","47,042,486,252.85","47,917,258,761.12","41,131,176,909.70","39,425,571,602.53","42,396,997,675.84","42,552,811,779.55"
