科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,,,,,,,"65,000,000.00","40,000,000.00","60,000,000.00","60,000,000.00","128,190,544.92","141,512,441.84","276,121,410.14","315,045,898.64","396,745,270.79","403,109,249.34","433,514,289.98","263,828,944.96","187,619,163.90","181,826,006.59","38,345,098.74","95,935,934.08","45,342,976.45","46,329,737.58","91,869,944.61","46,752,029.09","28,913,514.94","106,916,812.74","127,085,428.52","161,902,479.38","137,604,627.43","104,551,277.41","131,459,985.84","123,371,720.49","188,320,055.85","116,450,651.74"
其他流动负债,,,,,,,,,,,,,,"79,671.00","79,671.00","79,311.00",,"80,000.00","80,000.00","78,560.00",,"280,000.00","180,000.00","130,000.00",,,,,,,,"240,576.92",,"390,000.00","953,226.00","1,192,636.23",,,"484,300.00","484,300.00",,"338,393.10"
流动资产合计,"619,811,827.86","656,714,584.40","543,828,897.22","579,977,389.15","532,150,535.41","1,344,473,288.54","1,312,880,448.20","1,332,700,527.14","1,314,455,597.81","1,324,881,416.14","1,314,048,137.54","1,335,232,492.10","1,288,659,706.03","1,322,560,156.99","1,253,136,028.85","1,339,499,523.47","1,362,084,611.16","1,333,750,351.89","1,441,886,065.01","1,469,699,530.83","1,508,208,014.30","1,541,787,299.61","1,511,790,434.87","1,540,718,634.19","1,395,028,616.33","1,197,631,574.12","1,109,716,812.75","1,129,130,648.76","1,098,702,866.50","1,078,842,080.95","1,124,915,206.36","1,191,165,567.41","1,229,630,168.21","1,310,552,727.93","1,276,163,355.03","1,274,490,101.81","1,260,213,483.21","1,227,044,543.85","1,231,923,126.82","1,199,282,665.97","1,168,416,561.38","1,179,568,652.75"
流动负债合计,"522,375,499.59","601,461,173.61","431,268,224.77","417,271,169.22","428,375,639.63","320,045,090.56","328,710,159.09","331,274,164.35","328,407,189.71","337,128,890.87","352,255,338.19","377,097,299.90","324,695,226.74","347,285,487.97","289,156,516.18","367,080,769.27","407,917,069.84","377,270,868.46","492,782,241.52","501,833,302.69","472,981,894.17","489,488,237.74","486,529,158.50","494,085,121.72","411,497,444.58","399,333,001.74","332,101,958.22","334,423,351.28","338,735,315.77","300,831,650.19","312,680,126.65","363,282,326.52","356,350,723.84","422,966,677.27","374,201,974.46","351,036,134.18","298,750,306.29","277,821,949.07","297,504,902.46","281,986,814.85","220,382,390.98","262,958,650.40"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,578.88",,"1,521,800.00","1,521,800.00","1,521,800.00","1,521,800.00","1,521,800.00","1,521,800.00","1,521,800.00","1,559,378.88","1,559,378.88","1,559,378.88","1,559,378.88","1,559,378.88","1,559,378.88","1,559,378.88"
长期借款,,,"50,000,000.00","90,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
