科目,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
收到原保险合同保费取得的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到再保业务现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吸收投资收到的现金,,"57,180,000,000.00","57,119,000,000.00","2,056,000,000.00",,,,,,,,,,,"61,159,000,000.00",,,,,,,,,,,,,,,,,,,,,,,"106,000,000.00","13,000,000.00",,,,"3,569,000,000.00",,
保户储金及投资款净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
发行债券收到的现金,,,,,,"2,789,000,000.00","2,852,000,000.00","39,931,000,000.00","39,931,000,000.00","59,903,000,000.00","79,880,000,000.00",,,,,,,,"39,945,000,000.00",,"993,000,000.00","993,000,000.00","41,951,000,000.00",,,,"1,997,000,000.00",,"13,830,000,000.00","28,292,000,000.00","42,238,000,000.00",,"21,086,000,000.00","21,086,000,000.00","55,053,000,000.00",,"7,009,000,000.00","9,549,000,000.00","16,522,000,000.00",,"16,949,000,000.00","16,949,000,000.00","34,989,000,000.00","1,251,000,000.00","18,585,000,000.00"
收到其他与经营活动有关的现金,"45,339,000,000.00","46,785,000,000.00","118,218,000,000.00","15,250,000,000.00","89,379,000,000.00","9,318,000,000.00","31,394,000,000.00","20,132,000,000.00","21,607,000,000.00","38,268,000,000.00","44,525,000,000.00","68,148,000,000.00","340,171,000,000.00","243,970,000,000.00","430,857,000,000.00","5,491,000,000.00","16,413,000,000.00","185,343,000,000.00","81,309,000,000.00","60,686,000,000.00","79,631,000,000.00","238,411,000,000.00","110,220,000,000.00","74,474,000,000.00","84,797,000,000.00","389,072,000,000.00","590,416,000,000.00","129,106,000,000.00","210,940,000,000.00","251,524,000,000.00","274,301,000,000.00","78,648,000,000.00","289,616,000,000.00","329,049,000,000.00","423,194,000,000.00","-66,551,000,000.00","306,355,000,000.00","470,196,000,000.00","362,501,000,000.00","185,964,000,000.00","155,039,000,000.00","372,680,000,000.00","362,086,000,000.00","174,748,000,000.00","176,661,000,000.00"
取得借款收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
经营活动现金流入小计,"779,933,000,000.00","1,097,832,000,000.00","1,366,620,000,000.00","411,425,000,000.00","743,052,000,000.00","1,048,284,000,000.00","1,367,857,000,000.00","1,159,471,000,000.00","1,694,154,000,000.00","2,035,600,000,000.00","2,370,967,000,000.00","615,679,000,000.00","1,091,147,000,000.00","1,441,648,000,000.00","1,885,586,000,000.00","569,393,000,000.00","1,120,354,000,000.00","1,391,192,000,000.00","1,845,128,000,000.00","1,090,503,000,000.00","1,426,962,000,000.00","1,540,681,000,000.00","2,173,073,000,000.00","804,969,000,000.00","1,135,867,000,000.00","1,588,533,000,000.00","2,015,987,000,000.00","1,058,172,000,000.00","1,426,146,000,000.00","1,963,423,000,000.00","2,071,964,000,000.00","1,149,003,000,000.00","2,254,952,000,000.00","2,501,103,000,000.00","2,470,494,000,000.00","-466,821,000,000.00","2,059,705,000,000.00","3,030,405,000,000.00","3,429,047,000,000.00","1,218,582,000,000.00","1,402,939,000,000.00","2,027,902,000,000.00","2,263,285,000,000.00","1,128,964,000,000.00","1,590,082,000,000.00"
收到其他与筹资活动有关的现金,,,,,,,,,,,,"47,000,000.00","256,000,000.00","278,000,000.00","440,000,000.00","106,000,000.00","353,000,000.00","686,000,000.00","750,000,000.00","88,000,000.00","186,000,000.00","3,136,000,000.00","3,332,000,000.00",,"49,000,000.00","49,000,000.00","51,000,000.00","111,000,000.00","293,000,000.00","293,000,000.00","130,000,000.00",,"238,000,000.00","238,000,000.00","19,801,000,000.00",,"38,000,000.00",,,,"3,571,000,000.00","3,571,000,000.00","59,977,000,000.00",,
