科目,2008年度,2009年1-6月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付给职工以及为职工支付的现金,"1,552,758,856.12","697,150,012.31","1,623,467,954.99","450,076,368.47","837,563,917.51","1,301,979,127.87","1,916,162,789.60","833,017,604.37","1,633,311,441.10","2,477,778,006.02","4,067,166,381.19","1,225,060,897.67","2,334,757,502.14","3,549,828,366.34","4,797,703,858.79","1,191,185,274.05","2,185,903,061.12","3,477,513,925.41","4,854,809,498.32","1,373,565,198.71","2,640,532,395.97","4,050,047,301.43","5,668,047,668.88","1,619,347,021.10","3,014,506,860.54","4,463,686,272.02","5,996,449,183.52","1,635,514,992.17","2,709,500,002.27","3,725,550,682.96","5,150,303,392.87","1,194,730,941.04","2,245,047,294.69","3,226,822,096.93","4,535,546,599.06","1,139,165,072.19","2,264,405,170.01"
取得借款收到的现金,"2,570,500,000.00","3,734,800,000.00","4,553,950,000.00","1,028,700,000.00","1,874,000,000.00","1,930,760,000.00","2,895,060,000.00","5,061,426,108.00","7,481,681,098.00","15,659,789,581.50","23,935,200,690.50","4,589,252,376.00","11,019,062,058.00","16,378,421,368.00","36,570,728,004.00","10,336,098,438.40","19,052,759,518.07","32,920,693,180.27","49,325,964,671.46","11,442,337,075.32","31,672,765,050.29","45,172,380,133.55","58,260,581,801.09","11,836,732,601.29","27,742,442,133.11","38,647,461,178.70","47,854,826,877.45","10,319,009,466.41","22,425,194,330.26","33,073,152,362.64","41,299,290,783.60","8,794,178,832.25","18,809,452,840.16","32,039,158,935.67","36,774,955,914.20","4,009,628,384.26","9,028,786,420.67"
支付的各项税费,"1,235,120,314.28","647,379,290.27","1,336,382,219.32","357,596,530.24","848,611,544.82","1,162,697,920.05","1,419,337,743.06","822,163,915.86","1,617,639,762.06","2,127,804,857.67","2,662,526,687.34","419,497,536.27","1,239,585,613.53","1,765,653,612.05","2,084,818,048.62","435,524,500.01","876,375,149.03","1,097,616,052.33","1,521,414,498.70","566,391,438.06","1,332,068,607.51","2,007,662,052.31","2,488,969,980.31","615,066,468.87","1,008,204,217.78","1,381,978,525.88","1,720,896,914.93","570,317,488.97","869,238,495.76","1,067,502,193.09","1,206,653,773.72","471,124,468.09","806,891,884.75","1,069,215,345.62","1,182,357,212.26","473,132,740.73","867,029,785.44"
收到其他与筹资活动有关的现金,,,,"6,027,387.78",,,,"20,314,975.07",,,"788,783,075.54","44,469,486.97","2,106,520,011.25","2,204,187,875.57","3,083,700,000.00","92,949,827.17","2,059,436,303.95","2,060,082,634.23","4,042,300,265.99","25,436,388.48","9,696,019,933.02","9,732,220,787.36","11,889,918,162.50","5,875,923.65",,,"2,395,363,535.93","122,458,006.87","1,401,366,211.26","1,407,043,399.68","2,498,921,841.44","435,519.50","453,611,365.59","453,611,365.59","1,406,302,529.32","101,000,000.00","436,427,653.52"
支付其他与经营活动有关的现金,"486,592,847.74","231,450,954.46","601,027,014.84","264,199,594.82","247,609,960.99","274,513,119.83","558,357,255.83","329,916,701.86","1,240,758,057.18","2,260,990,609.58","1,191,421,798.88","813,814,331.54","1,397,835,291.60","1,781,435,339.24","1,581,280,851.97","709,846,094.10","1,620,731,045.79","3,722,678,412.08","1,822,595,138.06","672,990,150.81","1,642,534,444.67","5,214,502,736.69","2,980,544,177.41","712,650,781.00","2,026,607,402.80","3,028,822,384.29","2,611,812,670.35","734,894,498.75","1,347,483,844.40","3,001,879,840.39","2,166,816,569.52","1,006,245,047.88","1,941,690,690.94","4,291,307,451.80","2,760,678,336.59","1,325,942,272.03","1,710,224,830.51"
筹资活动现金流入小计,"3,974,400,000.00","3,734,800,000.00","18,941,752,000.00","1,034,727,387.78","1,893,511,100.00","1,950,271,100.00","3,183,371,100.00","5,085,535,502.87","7,481,681,098.00","15,659,789,581.50","24,806,283,766.04","4,773,283,796.15","21,176,580,119.25","26,664,957,293.57","39,890,876,033.51","10,506,390,987.46","21,212,845,822.02","35,081,425,814.50","53,869,913,516.56","19,787,773,463.60","49,693,045,444.11","62,824,600,920.71","78,276,499,963.39","11,854,208,524.94","27,742,442,133.11","38,647,461,178.70","50,299,190,413.38","10,491,467,473.28","23,941,560,541.52","34,595,195,762.32","43,933,212,625.04","8,794,614,351.75","23,158,064,193.81","51,354,940,289.32","57,008,258,131.58","4,110,628,384.26","9,465,214,074.19"
经营活动现金流出小计,"15,658,314,623.66","6,084,853,099.99","13,039,985,619.45","3,517,586,235.24","7,195,107,399.85","10,935,862,064.40","15,566,404,728.69","14,289,610,997.20","29,050,969,312.85","42,002,901,590.58","56,801,469,013.70","12,302,504,358.22","25,658,985,450.39","38,974,604,474.91","48,522,235,505.02","10,823,356,548.51","23,194,330,111.99","36,470,499,449.88","47,757,698,400.54","12,495,040,559.76","31,001,298,804.25","48,626,170,761.22","58,022,369,025.89","13,676,498,873.98","29,466,264,590.30","45,896,141,833.05","59,532,352,371.98","13,111,281,211.15","23,851,745,954.09","33,990,181,323.06","43,872,371,929.71","8,680,720,613.97","22,688,198,989.99","33,003,041,752.42","42,937,935,810.11","9,576,219,500.64","19,812,735,697.75"
偿还债务支付的现金,"1,970,560,000.00","1,091,931,838.50","2,056,600,000.00","1,702,700,000.00","2,364,500,000.00","2,771,182,183.33","3,254,750,000.00","3,066,395,198.00","3,717,410,325.60","10,249,532,651.17","14,380,805,413.30","2,984,974,220.00","7,385,313,742.22","13,485,973,474.43","22,274,651,720.00","8,831,881,759.29","16,909,512,216.18","30,847,729,642.31","46,478,775,124.94","11,064,297,443.04","23,855,543,513.09","40,371,777,374.90","59,390,462,732.88","12,963,460,765.74","24,485,568,450.52","34,253,914,755.20","45,036,061,817.46","15,030,415,843.89","25,697,435,374.54","34,978,948,565.18","41,095,429,491.33","6,669,237,061.40","16,646,315,032.88","28,693,257,014.00","41,855,520,915.16","2,721,200,817.52","8,903,293,158.94"
经营活动产生的现金流量净额,"2,825,308,792.31","-315,387,784.38","-720,249,903.70","-949,550,437.62","-1,479,992,635.29","-1,294,417,060.70","-1,124,472,744.05","-3,029,425,747.04","-3,967,027,886.62","-5,045,757,549.35","-9,875,174,175.88","-4,325,443,028.22","-5,944,859,226.83","-9,095,265,859.73","-7,166,270,836.28","-2,580,537,621.98","-4,569,446,326.30","-3,596,871,587.56","-1,327,947,730.55","-2,666,740,231.56","-190,148,938.68","-2,788,971,115.71","1,889,679,841.12","1,745,573,346.19","-2,340,569,320.86","-3,680,261,264.39","-611,647,168.20","-3,398,673,846.13","-2,366,669,412.25","-2,802,546,987.60","-3,123,207,327.44","-1,324,947,622.37","231,669,573.34","882,640,091.95","-1,415,766,040.22","-196,727,894.61","355,835,724.18"
分配股利、利润或偿还利息支付的现金,"260,061,794.04","482,908,298.10","420,615,609.48","54,536,822.53","110,278,607.34","460,709,202.82","527,845,290.76","610,353,625.22","2,108,971,858.05","2,179,283,290.04","3,089,348,836.25","602,350,334.13","1,607,817,970.48","1,607,817,970.48","3,190,299,287.81","531,056,488.71","1,103,753,845.55","2,495,234,993.49","3,054,196,254.26","754,276,751.39","1,975,957,660.85","2,593,277,259.31","3,392,994,610.20","517,105,717.33","1,075,953,687.65","2,339,339,647.67","3,130,342,095.19","421,982,573.13","780,108,422.83","1,167,147,193.86","1,949,780,885.74","431,777,277.24","981,299,228.61","1,405,402,316.59","1,879,180,766.06","134,838,453.92","566,045,700.39"
收回投资收到的现金,,,"6,148,187.31",,,,,,,,"967,580.93","23,465,800.00",,,"32,274,562.55",,,"14,708.40",,"620,000.00","4,165,065.63","12,145,065.63","5,577,254.53","7,807,110.00","18,366,242.48","24,266,242.48","590,471,365.49","41,503,017.22",,,"3,172,100.00",,,"13,354,110,090.35","16,210,810,090.35","3,000,000.00","416,085,300.00"
支付其他与筹资活动有关的现金,"1,266,800,000.00","2,730,000.00","31,322,600.00","10,642,638.32","14,993,647.92","16,998,655.32","15,158,647.92",,"1,181,108,775.32","1,181,108,775.32","3,157,384,457.93","30,124,715.42","4,013,601,704.28","4,534,826,721.35","3,884,947,047.83","8,324,250.53","12,589,624.94","14,090,489.64","1,087,557,252.15","2,248,365,476.67","3,281,070,515.28","3,921,896,655.17","4,054,147,079.37","21,320,178.95","82,629,773.92","82,629,773.92","139,826,821.31","68,500,821.21","160,956,176.56","356,671,836.33","1,982,513,839.01","56,158,497.41","846,435,895.34","1,269,753,818.97","1,874,459,372.39","41,810,534.22","17,002,539.50"
取得投资收益收到的现金,"30,329,200.58","41,716,672.73","45,147,437.85","283,960.78","7,358,500.00","25,101,236.08","26,186,735.00","11,764,005.00","51,783,254.45","70,832,476.19","75,771,862.67","4,686,847.73","47,131,652.68","77,418,608.24","87,884,180.66","208,866.54","51,891,154.14","69,259,123.57","77,717,291.79","469,053.54","18,449,784.25","109,298,027.83","112,278,180.43","775,842.50","19,018,724.74","38,711,154.34","432,843,848.68","8,690,222.00","26,046,978.65","142,790,397.10","132,646,106.01","77,063,472.41","173,675,813.91","1,795,379,532.26","2,242,212,380.82","5,272,971.56","97,712,286.63"
筹资活动现金流出小计,"3,497,421,794.04","1,577,570,136.60","2,508,538,209.48","1,767,879,460.85","2,489,772,255.26","3,248,890,041.47","3,797,753,938.68","3,676,748,823.22","7,007,490,958.97","13,609,924,716.53","20,627,538,707.48","3,617,449,269.55","13,006,733,416.98","19,628,618,166.26","29,349,898,055.64","9,371,262,498.53","18,025,855,686.67","33,357,055,125.44","50,620,528,631.35","14,066,939,671.10","29,112,571,689.22","46,886,951,289.38","66,837,604,422.45","13,501,886,662.02","25,644,151,912.09","36,675,884,176.79","48,306,230,733.96","15,520,899,238.23","26,638,499,973.93","36,502,767,595.37","45,027,724,216.08","7,157,172,836.05","18,474,050,156.83","31,368,413,149.56","45,609,161,053.61","2,897,849,805.66","9,486,341,398.83"
处置固定资产、无形资产和其他长期资产收回的现金净额,"17,202,779.74","9,880,872.45","19,216,648.29","574,560.85","1,832,192.73","2,253,073.39","10,658,788.71","1,969,919.50","5,538,059.15","9,190,119.63","19,831,926.31","1,625,824.69","8,076,473.25","10,241,599.48","30,983,427.88","319,732.21","3,064,075.76","4,063,330.93","11,716,780.90","580,594.62","3,600,785.95","4,403,374.80","39,222,989.31","7,709,024.19","8,110,393.03","62,118,856.00","14,487,372.21","1,259,625.12","2,815,487.65","3,947,398.65","5,294,504.04","1,625,587.00","1,626,777.00","401,860,408.57","754,472,193.57","4,410,048.72","5,036,338.72"
筹资活动产生的现金流量净额,"476,978,205.96","2,157,229,863.40","16,433,213,790.52","-733,152,073.07","-596,261,155.26","-1,298,618,941.47","-614,382,838.68","1,408,786,679.65","474,190,139.03","2,049,864,864.97","4,178,745,058.56","1,155,834,526.60","8,169,846,702.27","7,036,339,127.31","10,540,977,977.87","1,135,128,488.93","3,186,990,135.35","1,724,370,689.06","3,249,384,885.21","5,720,833,792.50","20,580,473,754.89","15,937,649,631.33","11,438,895,540.94","-1,647,678,137.08","2,098,290,221.02","1,971,577,001.91","1,992,959,679.42","-5,029,431,764.95","-2,696,939,432.41","-1,907,571,833.05","-1,094,511,591.04","1,637,441,515.70","4,684,014,036.98","19,986,527,139.76","11,399,097,077.97","1,212,778,578.60","-21,127,324.64"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,"769,694.56",,,,,,,,,,,,,,,,"2,763,766.06",,,"788,099,322.04","308,100,996.34",,
四、汇率变动对现金的影响,,,,"-3,073,081.73",,,,"17,298,212.10","-22,930,610.57","165,486,051.62","-46,907,512.79","949,549.36","11,078,302.50","16,858,115.66","-5,638,584.87","-6,347,252.37","-43,425,759.87","-61,198,789.63","-135,679,826.54","30,615,221.36","41,848,368.68","77,855,348.41","19,390,798.68","8,813,658.91","-28,669,345.40","244,187,631.44","279,531,494.56","-66,622,994.11","-13,225,259.19","-60,602,421.43","-4,751,937.49","-21,704,100.79","-135,686,907.51","-268,805,480.40","-414,396,694.52","-340,139,548.30","184,630,744.07"
收到其他与投资活动有关的现金,"406,126,665.99","276,872,246.12","466,232,176.28","16,996,996.72","263,938,099.60","314,371,363.21","662,251,475.10",,"46,521,923.45","89,800,926.64","206,361,362.23","75,354,670.87","343,477,922.63","429,900,765.12","623,931,662.96","101,379,976.49","285,413,340.72","402,586,569.60","525,350,792.31","333,268,776.68","444,339,538.58","809,093,598.41","704,769,236.91","91,913,049.22","213,121,868.27","322,926,229.73","312,346,606.78","220,162,453.58","5,284,340,263.06","5,324,840,263.06","3,388,274,855.79","162,932,122.85","1,201,182,129.56","685,527,738.42","587,049,212.37","201,173,082.00","302,197,466.62"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"453,658,646.31","328,469,791.30","536,744,449.73","17,855,518.35","273,128,792.33","341,725,672.68","699,096,998.81","13,733,924.50","103,843,237.05","169,823,522.46","302,932,732.14","105,133,143.29","398,686,048.56","517,560,972.84","775,843,528.61","101,908,575.24","340,368,570.62","475,923,732.50","614,784,865.00","334,938,424.84","470,555,174.41","934,940,066.67","861,847,661.18","108,205,025.91","258,617,228.52","448,022,482.55","1,350,149,193.16","271,615,317.92","5,313,202,729.36","5,471,578,058.81","3,532,151,331.90","241,621,182.26","1,376,484,720.47","17,024,977,091.64","20,102,644,873.45","213,856,102.28","821,031,391.97"
五、现金及现金等价物净增加额,"1,288,946,733.07","1,381,883,294.57","14,233,922,437.88","-2,216,811,752.77","-2,321,455,297.11","-3,182,668,244.34","-2,531,318,419.18","-2,385,713,360.72","-5,256,866,489.41","-5,743,635,813.99","-9,554,053,818.32","-5,702,879,397.05","1,038,100,928.85","-4,048,725,853.34","519,981,411.52","-1,951,980,976.82","-2,480,767,465.33","-3,545,597,621.89","-491,182,753.50","2,640,057,855.82","18,974,323,871.57","11,264,391,055.97","10,645,766,854.60","-675,652,743.84","-1,051,230,184.18","-2,660,404,924.46","-26,926,153,379.87","-9,083,577,302.70","-4,931,075,837.78","-5,895,751,990.40","-8,641,317,730.92","203,173,555.45","2,427,026,105.18","16,454,642,684.86","5,964,465,921.78","680,833,306.42","-507,081,766.86"
购建固定资产、无形资产和其他长期资产支付的现金,"2,392,129,070.95","778,991,953.24","1,990,430,097.16","329,512,423.93","513,822,709.42","898,478,022.87","1,468,799,497.43","747,034,441.21","1,773,931,668.69","2,979,030,192.27","4,028,175,770.57","745,108,545.08","1,514,886,783.00","2,383,124,905.20","3,498,422,538.64","557,691,453.82","1,279,253,535.75","1,936,990,419.25","2,808,858,463.96","732,159,479.23","1,722,489,498.80","2,489,303,214.30","3,471,329,143.63","653,015,081.54","1,023,996,452.43","1,627,093,379.17","2,277,606,834.63","451,745,405.01","743,038,287.59","1,002,934,478.80","1,285,399,072.54","312,948,050.29","886,381,356.72","986,942,399.40","1,455,234,604.21","168,077,283.37","597,562,302.44"
期初现金及现金等价物余额,"5,766,049,023.10","7,054,995,756.17","7,054,995,756.17","21,288,918,194.05","21,288,918,194.05","21,288,918,194.05","21,288,918,194.05","53,014,753,765.94","53,523,057,239.94","53,523,057,239.94","53,523,057,239.94","45,767,980,552.53","46,626,191,563.74","46,626,191,563.74","46,418,425,588.82","46,938,407,000.34","46,938,407,000.34","46,938,407,000.34","46,938,407,000.34","55,473,094,514.15","55,473,094,514.15","55,473,094,514.15","55,482,998,297.34","66,128,765,151.94","66,153,405,102.49","66,153,405,102.49","66,137,128,935.64","39,210,975,555.77","39,210,975,555.77","39,210,975,555.77","39,210,975,555.77","30,569,657,824.85","30,569,657,824.85","30,569,657,824.85","30,569,657,824.85","36,534,123,746.63","36,534,123,746.63"
投资支付的现金,"23,203,820.00","2,000,000.00","6,000,000.00","3,600,000.00",,,"7,000,000.00","35,000,000.00","65,000,000.00","65,000,000.00","65,460,800.00","1,851,543,602.02",,"4,500,000.00","26,049,400.00",,,"985,430.40","33,620,000.00","45,500,000.00","156,227,634.00","188,875,235.35",,"222,651,887.00",,,"3,380,000.00","65,890,833.30","92,252,500.00","92,252,500.00","243,288,574.00",,,"19,671,357,595.00","22,197,747,926.47","2,570,000.00","1,249,890,000.00"
期末现金及现金等价物余额,"7,054,995,756.17","8,436,879,050.74","21,288,918,194.05","19,072,106,441.28","18,967,462,896.94","18,106,249,949.71","18,757,599,774.87","50,629,040,405.22","48,266,190,750.53","47,779,421,425.95","43,969,003,421.62","40,065,101,155.48","47,664,292,492.59","42,577,465,710.40","46,938,407,000.34","44,986,426,023.52","44,457,639,535.01","43,392,809,378.45","46,447,224,246.84","58,113,152,369.97","74,447,418,385.72","66,737,485,570.12","66,128,765,151.94","65,453,112,408.10","65,102,174,918.31","63,493,000,178.03","39,210,975,555.77","30,127,398,253.07","34,279,899,717.99","33,315,223,565.37","30,569,657,824.85","30,772,831,380.30","32,996,683,930.03","47,024,300,509.71","36,534,123,746.63","37,214,957,053.05","36,027,041,979.77"
