科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
收回投资收到的现金,,,"50,110,000.00",,,,,"32,500,000.00","162,450,000.00",,,
支付其他与筹资活动有关的现金,"1,141,200.00","820,566.67","790,225.20",,"6,981,250.00","7,143,886.62",,,,,,
取得投资收益收到的现金,,,"17,392.43",,,,,"332,226.95","1,847,540.36",,,
筹资活动现金流出小计,"145,698,983.46","253,575,921.88","233,726,068.32","110,115,566.62","160,467,380.39","336,419,034.90","52,259,053.47","82,455,759.94","176,347,927.29","287,829,134.60","103,708,465.87","179,928,047.36"
处置固定资产、无形资产和其他长期资产收回的现金净额,,250.00,,,,,,,,,,
筹资活动产生的现金流量净额,"-5,698,983.46","6,314,078.12","21,897,998.68","149,981,977.65","455,856,884.81","289,905,230.30","125,910,923.32","184,914,216.85","221,022,049.50","224,000,704.42","-24,273,999.13","-17,976,735.82"
处置子公司及其他营业单位收到的现金净额,"-664,781.90",,,,,,,,,,,
四、汇率变动对现金的影响,"-581,556.94","-80,291.78","-700,971.26","53,673.66","72,438.19","185,570.91","-16,453.26","-55,996.68","-100,684.29","-136,258.20","-86,139.38","28,852.10"
收到其他与投资活动有关的现金,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"-664,781.90",250.00,"50,127,392.43",,,,,"32,832,226.95","164,297,540.36",,,
五、现金及现金等价物净增加额,"-1,061,421.42","-15,657,396.36","90,085,921.27","-133,158,072.10","103,249,344.04","211,049,023.23","-144,359,617.30","-235,959,766.30","-120,719,921.03","-93,452,174.34","-185,342,973.11","-22,465,072.67"
购建固定资产、无形资产和其他长期资产支付的现金,"2,303,635.32","2,484,125.57","4,243,361.68","435,543.70","1,234,308.70","2,223,063.97","762,178.37","1,529,937.37","15,609,262.37","64,787,558.78","3,251,855.55","10,475,979.05"
期初现金及现金等价物余额,"150,445,927.82","149,384,506.40","133,727,110.04","223,813,031.31","226,261,227.85","223,813,031.31","436,839,633.03","434,862,054.54","434,862,054.54","434,862,054.54","341,409,880.20","341,409,880.20"
投资支付的现金,,"50,110,000.00",,,,,,"162,400,000.00","168,450,000.00","114,000,000.00",,
期末现金及现金等价物余额,"149,384,506.40","133,727,110.04","223,813,031.31","90,654,959.21","329,510,571.89","434,862,054.54","292,480,015.73","198,902,288.24","314,142,133.51","341,409,880.20","156,066,907.09","318,944,807.53"
