科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
固定资产,"112,230,095.02","111,860,157.62","107,543,196.74","106,502,239.89","105,292,801.72","114,109,891.07","113,927,833.77","112,981,533.25","116,533,096.21","114,902,802.04","114,407,227.69","112,899,371.75","245,727,838.14"
递延所得税负债,,,,,,,,,,,,,"10,314,421.13"
在建工程,,"3,671,431.00","8,581,219.19","14,606,216.90","14,040,446.90","4,612,261.85","9,031,068.95","12,643,508.21","25,066,841.16","48,778,395.05","70,637,021.40","118,869,393.60","34,984,862.95"
其他非流动负债,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,
非流动负债合计,"4,357,500.00","4,459,166.67","1,894,166.67","1,252,916.67","611,666.67","178,750.00","162,500.00","146,250.00","1,730,000.00","1,713,750.00","1,697,500.00","1,681,250.00","11,979,421.13"
固定资产清理,,,,,,,,,,,,,
负债合计,"160,664,563.81","170,127,244.53","145,235,589.29","131,889,455.32","184,376,015.69","213,705,788.78","231,178,942.20","274,450,590.58","338,181,894.76","411,046,358.87","346,570,556.79","317,220,007.82","401,845,858.37"
生产性生物资产,,,,,,,,,,,,,
实收资本(或股本),"155,100,000.00","155,100,000.00","155,100,000.00","155,100,000.00","206,800,000.00","206,800,000.00","206,800,000.00","206,800,000.00","210,246,250.00","210,246,250.00","210,246,250.00","210,821,250.00","210,821,250.00"
油气资产,,,,,,,,,,,,,
资本公积,"69,302,701.05","69,302,701.05","69,302,701.05","69,302,701.05","482,642,701.05","482,642,701.05","486,116,467.32","486,116,467.32","547,053,825.66","554,219,153.79","561,332,502.74","567,128,502.74","576,133,927.95"
无形资产,"22,641,381.42","22,052,897.48","53,128,117.62","21,525,958.25","59,777,681.34","75,858,152.05","75,417,103.99","75,133,248.68","74,786,697.24","75,467,257.38","76,684,651.51","76,052,569.96","113,805,341.53"
盈余公积,"11,806,790.93","15,178,941.47","22,975,960.92","22,975,960.92","22,975,960.92","22,975,960.92","28,447,279.02","28,447,279.02","28,447,279.02","28,447,279.02","36,112,471.47","36,112,471.47","36,112,471.47"
开发支出,,,,,,,,,,,,,
减:库存股,,,,,,,,,"54,209,512.50","54,209,512.50","54,209,512.50","60,580,512.50","44,600,798.75"
商誉,,,,,,,,,,,,,
未分配利润,"255,360,732.79","380,744,966.24","465,905,963.28","494,019,131.02","515,744,620.26","548,152,802.66","584,877,779.74","625,084,581.30","616,204,085.61","663,419,161.30","711,553,027.49","739,835,822.82","755,342,981.60"
长期待摊费用,,,,,,,"2,068,934.97","1,820,662.77","1,572,390.57","1,324,118.37","1,075,846.17","827,573.97","579,301.77"
少数股东权益,,,,,,,,,,,,,
递延所得税资产,"1,271,061.28","1,369,656.35","1,134,039.36","1,025,888.37","910,701.17","889,074.30","827,370.70","875,046.45","2,267,929.03","3,396,589.49","4,702,705.99","4,468,015.51","3,347,310.44"
外币报表折算价差,,,,,,,,,,,,,
其他非流动资产,,,"33,369,940.00","37,052,440.00","15,200,000.00",,,,,"71,514,300.00","143,028,600.00","176,728,600.00","146,359,895.25"
非正常经营项目收益调整,,,,,,,,,,,,,
非流动资产合计,"136,142,537.72","138,954,142.45","203,756,512.91","180,712,743.41","195,221,631.13","195,469,379.27","201,272,312.38","203,453,999.36","220,226,954.21","315,383,462.33","410,536,052.76","489,845,524.79","544,804,550.08"
所有者权益(或股东权益)合计,"491,752,990.76","621,514,727.75","715,832,836.76","743,911,028.03","1,231,723,137.59","1,264,487,500.33","1,310,436,517.67","1,350,497,886.32","1,351,207,731.18","1,404,889,539.66","1,467,847,515.41","1,495,229,349.60","1,537,091,938.81"
资产总计,"652,417,554.57","791,641,972.28","861,068,426.05","875,800,483.35","1,416,099,153.28","1,478,193,289.11","1,541,615,459.87","1,624,948,476.90","1,689,389,625.94","1,815,935,898.53","1,814,418,072.20","1,812,449,357.42","1,938,937,797.18"
负债和所有者(或股东权益)合计,"652,417,554.57","791,641,972.28","861,068,426.05","875,800,483.35","1,416,099,153.28","1,478,193,289.11","1,541,615,459.87","1,624,948,476.90","1,689,389,625.94","1,815,935,898.53","1,814,418,072.20","1,812,449,357.42","1,938,937,797.18"
