科目,2011年度,2012年度,2013年1-9月,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
支付的各项税费,"260,817,372.41","279,838,447.75",,"360,680,873.40","200,860,292.47",,"393,042,787.15","136,154,095.16","237,938,611.96","331,881,186.16","429,822,739.53","173,145,153.85","337,870,226.89","403,944,565.81","500,818,976.89","181,750,676.73","334,289,210.79","438,983,463.33","582,545,946.88","200,687,397.34"
收到其他与筹资活动有关的现金,"68,320,000.00","192,197.90",,"7,740,000.00",,,,,,,"11,324,101.10","66,972,533.70","67,052,533.70","175,668,269.01","42,720,000.00","65,465,214.12","65,465,214.12","132,180,153.59","8,437,000.00",
支付其他与经营活动有关的现金,"481,030,660.27","577,825,901.86",,"832,947,400.65","475,209,759.72",,"1,007,920,332.03","253,328,970.04","569,926,858.56","823,876,070.09","1,298,260,484.14","240,955,145.63","591,602,712.59","860,927,175.72","1,268,200,847.47","321,278,215.11","700,199,137.54","1,054,561,930.63","1,379,985,383.46","318,488,658.43"
筹资活动现金流入小计,"786,920,000.00","674,192,197.90",,"616,107,080.00","335,000,000.00",,"1,965,677,750.00",,"35,638,318.59","165,638,318.59","223,081,059.69","66,972,533.70","199,252,533.70","387,868,269.01","375,920,000.00","65,465,214.12","130,465,214.12","287,180,153.59","223,437,000.00","70,000,000.00"
经营活动现金流出小计,"1,610,127,227.27","1,755,775,823.61",,"2,275,961,892.99","1,259,577,651.58",,"2,728,607,549.53","708,260,359.62","1,536,863,661.20","2,314,972,764.10","3,403,695,026.54","852,646,076.89","1,820,512,764.03","2,622,877,790.13","3,613,295,283.67","990,608,899.07","2,051,816,009.58","3,080,322,145.43","3,839,171,984.50","1,101,379,436.87"
偿还债务支付的现金,"518,078,400.00","671,945,600.00",,"641,263,545.00","317,996,740.00",,"639,760,285.00","130,000,000.00","743,927,140.00","873,927,140.00","799,190,686.00","4,000,000.00","138,000,000.00","223,000,000.00","203,264,545.00",,"133,400,000.00","223,400,000.00","448,663,545.00","40,000,000.00"
经营活动产生的现金流量净额,"257,602,550.09","327,310,490.33","140,381,100.00","293,341,828.62","280,507,349.01","272,184,600.00","403,225,247.89","184,233,843.18","259,168,608.28","80,057,638.78","125,840,223.36","151,665,222.08","21,934,507.17","-116,358,456.06","341,231,457.68","39,984,749.86","205,096,823.63","32,197,115.10","558,770,770.99","161,914,470.05"
分配股利、利润或偿还利息支付的现金,"144,769,674.55","93,450,278.35",,"210,316,478.68","197,144,052.04",,"231,005,884.54","10,698,664.97","94,328,240.22","102,637,159.06","82,023,088.65","2,346,788.76","27,489,998.06","115,805,082.21","125,213,933.42","3,581,744.10","111,187,761.20","115,142,651.12","129,452,395.17","6,354,924.07"
收回投资收到的现金,,,,,,,,,"40,000,000.00","80,000,000.00","401,100,000.00",,,,"2,000,000.00","4,000,000.00","766,000,000.00","766,000,000.00","4,000,000.00",
支付其他与筹资活动有关的现金,"79,673,767.82","4,308,552.28",,,,,,"6,544,502.30",,,"62,922,950.40",,,,"43,000,000.00",,,,"40,328,120.00",
取得投资收益收到的现金,"151,700.00","210,000.00",,"201,250.00","227,500.00",,"227,500.00","22,500.00","492,985.16","962,985.16","8,521,084.48","280,000.00","1,298,630.14","2,964,054.80","4,601,698.64","1,930,010.96","3,738,630.13","5,657,211.12","7,500,934.93","1,961,019.18"
筹资活动现金流出小计,"742,521,842.37","769,704,430.63",,"851,580,023.68","515,140,792.04",,"870,766,169.54","147,243,167.27","838,255,380.22","976,564,299.06","944,136,725.05","6,346,788.76","165,489,998.06","338,805,082.21","371,478,478.42","3,581,744.10","244,587,761.20","338,542,651.12","618,444,060.17","46,354,924.07"
处置固定资产、无形资产和其他长期资产收回的现金净额,"247,189.25","1,952,686.22",,"357,217.20","566,055.69",,"883,837.78","58,800.12","49,520.12","49,520.12","705,785.02","98,169.00","262,169.00","290,169.00","555,730.15","56,442.00","585,342.98","20,668,148.44","33,307,783.86","33,002,100.00"
筹资活动产生的现金流量净额,"44,398,157.63","-95,512,232.73","-195,636,500.00","-235,472,943.68","-180,140,792.04","-122,272,300.00","1,094,911,580.46","-147,243,167.27","-802,617,061.63","-810,925,980.47","-721,055,665.36","60,625,744.94","33,762,535.64","49,063,186.80","4,441,521.58","61,883,470.02","-114,122,547.08","-51,362,497.53","-395,007,060.17","23,645,075.93"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,"392,699.37","-37,773.51","-153,298.35","-284,353.41","-401,936.68","-258,245.24"
收到其他与投资活动有关的现金,,"11,230,670.00",,"89,110,824.44","41,842,173.00",,"54,079,695.00","17,174.01","150,264.08","150,263.75","33,175,826.00","4,374,900.00","37,190,000.00","37,190,000.00","38,684,832.70",,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"398,889.25","13,393,356.22",,"89,669,291.64","42,635,728.69",,"55,191,032.78","98,474.13","40,692,769.36","81,162,769.03","443,502,695.50","4,753,069.00","38,750,799.14","40,444,223.80","45,842,261.49","5,986,452.96","770,323,973.11","792,325,359.56","44,808,718.79","34,963,119.18"
五、现金及现金等价物净增加额,"103,302,944.26","129,958,961.59","-103,543,700.00","-46,900,477.55","49,099,217.26","53,663,000.00","1,353,528,038.81","-20,730,288.13","-985,434,517.05","-1,320,865,782.86","-853,819,111.16","166,553,371.97","-275,796,446.14","-431,579,035.88","-28,251,928.74","-15,374,831.18","162,140,421.81","-213,065,132.73","9,502,060.47","165,578,964.17"
购建固定资产、无形资产和其他长期资产支付的现金,"199,096,652.71","114,217,652.23",,"194,438,654.13","93,903,068.40",,"197,710,692.30","57,793,541.25","82,678,833.06","132,490,462.20","177,315,747.02","50,490,664.05","67,244,288.09","101,727,990.42","159,489,868.86","74,875,530.51","102,360,209.50","135,296,436.45","156,883,914.42","30,077,455.75"
期初现金及现金等价物余额,"230,472,035.15","333,774,979.41",,"463,733,941.00","416,833,463.45",,"416,833,463.45","1,770,361,502.26","1,770,361,502.26","1,805,857,885.45","1,770,361,502.26","920,848,456.75","916,542,391.10","916,542,391.10","916,542,391.10","888,290,462.36","888,290,462.36","889,613,358.10","888,290,462.36","897,792,522.83"
投资支付的现金,,,,,,,,,"400,000,000.00","538,669,748.00","428,677,132.00",,"303,000,000.00","303,000,000.00","260,000,000.00",,"557,859,801.96","811,859,801.96",,"24,608,000.00"
期末现金及现金等价物余额,"333,774,979.41","463,733,941.00","360,190,200.00","416,833,463.45","465,932,680.71","470,496,400.00","1,770,361,502.26","1,749,631,214.13","784,926,985.21","484,992,102.59","916,542,391.10","1,087,401,828.72","640,745,944.96","484,963,355.22","888,290,462.36","872,915,631.18","1,050,430,884.17","676,548,225.37","897,792,522.83","1,063,371,487.00"
