科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30
实收资本(或股本),"922,273,092.00","922,273,092.00","922,273,092.00","922,273,092.00","922,273,092.00","922,273,092.00","922,273,092.00","922,273,092.00","922,273,092.00","922,273,092.00","922,273,092.00","922,273,092.00","922,273,092.00","922,273,092.00","922,273,092.00","922,273,092.00","922,273,092.00","922,273,092.00","922,273,092.00"
油气资产,,,,,,,,,,,,,,,,,,,
资本公积,"1,362,173,741.28","1,361,987,577.48","1,361,987,577.48","1,371,982,382.78","1,371,982,382.78","1,371,982,382.78","1,371,982,382.78","1,374,982,382.78","1,389,982,382.78","1,374,982,382.78","1,374,982,382.78","1,374,982,382.78","1,374,982,382.78","1,374,958,830.94","1,374,958,830.94","1,396,358,830.94","1,396,358,830.94","1,396,358,830.94","1,396,358,830.94"
无形资产,"2,775,000.00","2,760,000.00","2,745,000.00","2,730,000.00","2,710,000.00","2,700,000.00",,"5,010,000.00","4,935,000.00","4,860,000.00","4,785,000.00","26,004,386.70","25,821,293.37","25,638,200.04","25,455,106.71","25,806,578.60","25,620,715.49","25,434,852.38","141,895,867.42"
盈余公积,"914,918,571.83","903,320,012.38","898,291,253.13","975,533,490.32","975,533,490.32","975,533,490.32","975,533,490.32","991,900,682.91","993,850,682.91","995,800,682.91","997,736,447.05","990,301,040.80","990,301,040.80","990,301,040.80","990,301,040.80","1,018,232,226.73","1,018,232,226.73","1,018,232,226.73","1,018,232,226.73"
开发支出,,,,,,,"2,685,000.00",,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,,,,,
未分配利润,"2,529,270,992.73","2,456,597,668.61","2,716,862,802.16","2,964,794,108.47","3,245,130,783.08","3,053,825,557.70","3,279,117,789.10","2,647,721,026.25","2,062,134,313.93","1,907,954,367.37","2,332,991,692.16","2,606,764,234.12","2,738,694,838.44","2,823,126,105.51","2,590,108,902.30","2,632,672,005.64","2,657,613,879.83","2,775,433,803.82","2,826,609,152.86"
长期待摊费用,,,,,,,,,,,,,,,,,,,
少数股东权益,"72,332,855.32","24,454,121.00","24,123,974.02","22,235,293.35","25,620,004.90","25,237,668.38","22,749,724.41","27,976,087.68","27,528,341.96","23,062,656.67","22,269,366.71","22,285,966.19","22,546,308.44","18,290,043.15","18,521,450.55","18,325,991.60","18,256,910.64","18,039,060.55","17,260,536.87"
递延所得税资产,"37,616,378.72","40,137,242.26","64,944,441.02","46,349,853.10","46,349,853.10","42,219,774.42","42,219,774.42","107,284,670.09","107,284,670.09","107,267,936.43","107,267,936.43","35,781,193.07","35,781,193.07","40,538,596.36","38,695,329.22","34,659,229.15","34,659,229.15","34,665,023.35","37,308,868.22"
外币报表折算价差,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,,,,,,,
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,
非流动资产合计,"10,265,185,230.16","10,317,860,360.77","10,489,165,925.33","10,675,175,364.46","10,666,466,180.25","10,842,158,713.55","11,281,371,128.67","11,441,448,264.37","11,368,557,658.09","11,281,303,040.43","11,669,728,789.97","11,588,240,485.78","11,402,123,819.00","11,248,557,236.63","11,167,422,829.63","11,070,498,612.93","10,907,217,929.25","10,741,521,026.27","10,888,781,245.16"
所有者权益(或股东权益)合计,"5,800,969,253.16","5,668,632,471.47","5,923,538,698.79","6,256,818,366.92","6,540,539,753.08","6,348,852,191.18","6,571,656,478.61","5,964,853,271.62","5,395,768,813.58","5,224,073,181.73","5,650,252,980.70","5,923,988,210.50","6,057,396,881.22","6,138,754,142.81","5,907,356,504.68","5,994,384,136.02","6,020,845,878.34","6,140,155,335.93","6,192,129,392.37"
资产总计,"15,995,959,403.30","15,503,780,230.78","16,192,216,315.05","17,398,334,852.59","20,045,698,369.68","19,103,607,976.21","20,309,543,226.56","17,474,836,820.19","16,691,312,770.73","15,743,347,369.86","16,241,160,964.41","16,165,281,136.08","16,519,046,714.41","17,180,312,190.92","16,979,628,656.70","16,797,844,693.27","16,537,342,602.66","16,782,312,883.66","16,549,475,092.70"
负债和所有者(或股东权益)合计,"15,995,959,403.30","15,503,780,230.78","16,192,216,315.05","17,398,334,852.59","20,045,698,369.68","19,103,607,976.21","20,309,543,226.56","17,474,836,820.19","16,691,312,770.73","15,743,347,369.86","16,241,160,964.41","16,165,281,136.08","16,519,046,714.41","17,180,312,190.92","16,979,628,656.70","16,797,844,693.27","16,537,342,602.66","16,782,312,883.66","16,549,475,092.70"
