科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,"363,333.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"2,676,293.76",,,"44,600,000.00","44,600,000.00","15,000,000.00",,,,,,,,,,"14,000,000.00","14,000,000.00","34,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,,"3,100,000.00","3,100,000.00","3,100,000.00",,,,,,"22,300,000.00",,,,,,,,,,,
其他流动资产,"113,889.50","608,737.92","524,055.20",,,"199,805.67","135,397.54",,"6,731.84","113,275.67",,,,,,,,,,"11,571,480.61","13,085,387.59","10,322,942.86","10,505,196.65","16,478,463.64","18,965,803.92","22,765,849.52","478,847,456.09","552,503,364.83","39,553,442.93","209,019,589.09","396,114,411.41","136,045,186.11","126,297,998.83","45,417,968.04","183,292,315.87","754,913,011.20","923,272,330.10","844,831,539.20","870,389,879.15","653,878,553.92","208,610,409.00","296,410,081.24","535,716,976.01"
其他流动负债,"35,000.00","35,000.00",,"8,000,000.00","8,000,000.00","8,015,868.34","8,015,868.34","8,852,874.55","8,868,742.89","8,868,742.89","8,868,742.89","9,652,283.09","9,652,283.09","9,652,283.09","9,662,492.69","13,700,000.00","13,700,000.00","13,866,209.60","13,910,209.60",,,,"1,000,000.00",,,"152,100,000.00","154,200,000.00","150,000,000.00","152,100,000.00",,,,,,,,,,,,,,
流动资产合计,"881,219,523.83","868,588,440.58","773,238,300.62","727,201,809.37","707,317,376.35","741,139,831.25","758,882,232.46","714,969,940.81","728,497,418.60","775,216,312.31","784,902,719.69","810,097,962.39","870,798,593.07","871,098,491.96","913,150,314.19","979,149,245.10","1,065,637,311.13","1,019,249,766.09","1,059,677,536.48","1,143,497,742.31","1,216,754,405.40","1,210,327,240.96","1,323,544,166.17","1,518,092,919.86","1,718,960,277.83","1,673,925,744.44","2,182,070,446.17","2,058,405,346.78","2,243,024,705.54","2,006,695,953.18","2,027,449,103.92","1,902,420,568.38","1,990,674,114.25","2,061,311,506.89","2,072,417,381.75","3,000,385,462.28","3,100,627,360.22","2,998,161,456.58","3,089,380,635.34","3,359,986,371.29","3,310,340,951.94","3,322,292,921.34","3,412,876,347.56"
流动负债合计,"645,824,046.20","614,387,403.62","547,421,189.60","554,482,813.51","524,010,811.20","538,656,776.68","514,734,496.51","472,484,811.25","478,349,472.00","485,684,080.23","469,745,779.81","471,630,425.01","518,566,917.33","509,507,009.42","519,100,715.51","575,752,752.36","646,446,824.84","642,111,385.27","641,371,072.06","693,797,934.47","734,198,923.03","737,000,177.06","815,589,751.29","1,050,121,186.78","1,205,938,719.05","1,196,837,785.18","1,031,502,611.85","973,133,431.90","1,117,486,299.52","923,395,470.04","882,632,092.99","908,779,247.45","1,001,256,635.56","945,058,774.58","1,169,450,156.85","1,163,232,538.35","1,269,329,580.37","1,133,905,244.46","1,156,372,010.72","1,352,199,780.03","1,295,856,589.19","1,390,875,775.49","1,516,211,927.32"
可供出售金融资产,"439,450.00","439,450.00","439,450.00","576,390.00","126,420.00","126,420.00","126,420.00","126,420.00",,"126,420.00","126,420.00","1,182,027.00","1,182,027.00","1,182,027.00","1,182,027.00","692,781.60","692,781.60","692,781.60","692,781.60","622,997.76","622,997.76","622,997.76","622,997.76","686,966.28","686,966.28","686,966.28","686,966.28","533,998.08","533,998.08","533,998.08","533,998.08","146,045,621.60","146,045,621.60","137,330,221.60","197,373,011.60","544,938,349.28","551,938,349.28","528,601,349.28","510,601,349.28","525,316,572.74","568,451,172.74","574,045,494.74","555,045,494.74"
长期借款,"60,135,000.00","60,100,000.00","50,100,000.00","500,000.00","500,000.00",,"34,000,000.00","14,000,000.00","14,000,000.00","34,000,000.00","34,000,000.00","34,000,000.00","34,000,000.00","34,000,000.00","34,000,000.00","20,000,000.00","20,000,000.00",,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","21,900,000.00","21,900,000.00","21,900,000.00",,,"25,000,000.00","25,000,000.00","24,500,000.00",,,,,,,,,,,,"40,500,000.00"
