科目,2007-12-31,2008-12-31,2009-12-31,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
应付职工薪酬,"3,728,175.63","3,770,031.03","4,609,477.78","4,558,879.09","5,802,947.44","2,835,251.62","4,183,366.93","5,697,515.97","4,581,892.88","2,348,212.58","3,288,140.04","4,684,460.55","6,401,024.41","8,653,199.84","5,985,520.59","9,495,573.90","14,156,922.44","8,634,595.99","7,088,157.77","9,334,545.43","10,244,919.92","4,036,513.86","6,060,855.01","8,615,803.70"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"13,237,894.15","14,333,764.78","9,932,243.02","13,167,586.46","13,122,819.55","9,176,541.26","15,955,043.83","13,571,871.61","21,353,340.35","12,234,769.21","10,136,816.96","15,403,077.74","18,895,192.73","14,042,234.17","7,975,245.95","18,172,356.82","35,048,069.04","9,472,778.49","2,694,382.76","8,920,842.85","18,445,606.30","14,840,811.52","18,082,873.97","10,238,491.31"
应收利息,,,,,,,"6,177,013.84","16,476,206.62","21,389,433.54","29,585,426.07","32,686,604.55","40,835,969.51","18,468,965.35","23,927,367.01","6,128,281.23","14,434,250.14","11,800,732.28","17,084,232.89","7,968,152.83","7,968,152.83","9,462,259.48","13,539,973.95","8,537,389.44","11,898,837.22"
应付利息,,"276,155.00","98,750.00","85,550.00","85,550.00",,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,"117,613.20",,,,,,,,,,,,,,,,,
存货,"60,202,581.69","80,804,245.17","65,621,809.59","61,821,141.31","76,513,921.02","90,301,626.83","89,384,896.75","86,449,112.76","106,060,301.23","118,430,420.32","113,462,307.99","109,637,372.79","108,059,655.63","123,746,262.04","134,399,895.39","117,969,247.91","137,325,151.78","159,812,424.79","203,714,520.78","191,724,547.67","223,133,435.56","254,178,130.30","294,728,706.56","267,076,324.63"
其他应付款,"113,603,491.72","9,299,036.06","4,243,507.08","11,266,993.16","5,076,245.81","7,183,221.90","8,524,373.53","9,234,280.86","8,525,409.83","10,706,268.23","14,077,847.02","17,663,813.71","8,212,890.69","15,617,803.89","15,654,894.16","21,031,346.73","15,639,986.86","22,185,703.73","26,243,637.73","26,016,591.23","14,677,903.23","14,371,148.50","13,880,344.74","18,085,794.96"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,"10,560,000.00","10,560,000.00",,,"10,560,000.00","10,560,000.00","10,560,000.00","10,560,000.00"
其他流动资产,,,,,,,"383,970.00","311,151.67",,"65,000.02","81,500.03","1,291,683.44","7,335,674.02","5,169,303.94","3,224,247.12","5,072,649.42","111,532,402.99","11,808,343.88","13,771,888.63","15,368,144.11","21,295,712.22","18,276,643.28","21,430,301.88","11,169,851.08"
其他流动负债,,,,,,"49,902.12","99,804.24","149,706.36",,,,,,,,,,,,,,,,
流动资产合计,"157,521,072.73","355,934,316.55","357,747,608.79","379,431,747.12","450,717,990.02","1,863,219,636.70","1,757,248,665.59","1,793,928,923.13","1,876,813,731.83","1,869,436,135.97","1,714,906,503.29","1,785,225,163.85","1,798,230,817.50","1,714,061,209.44","1,558,393,982.97","1,635,765,928.29","1,778,307,353.21","1,701,901,006.20","1,498,139,269.70","1,538,768,113.52","1,601,376,350.69","1,612,187,538.64","1,523,735,541.58","1,580,733,991.25"
流动负债合计,"205,398,798.20","247,352,780.49","171,857,940.88","149,800,236.07","177,393,586.11","146,018,869.56","96,955,427.89","91,183,701.87","119,619,262.28","84,530,370.13","75,039,089.97","100,945,141.93","100,977,222.18","106,033,233.40","80,652,227.23","118,969,733.49","206,870,173.27","137,563,103.53","117,141,555.45","149,212,153.82","186,253,092.86","163,441,698.51","193,114,652.97","199,853,698.22"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,"10,000.00","10,000.00","10,000.00",
长期借款,,,"20,000,000.00",,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,"21,120,000.00","21,120,000.00","21,120,000.00","21,120,000.00","15,110,000.00","15,110,000.00","4,550,000.00","4,550,000.00"
长期股权投资,,,,,,,,,,,,,,"10,000.00","10,000.00","10,000.00","10,000.00","10,000.00","10,000.00","10,000.00",,,,"10,000.00"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"139,250,280.37","144,834,107.26","178,310,505.13","183,152,803.93","226,705,295.91","224,742,045.99","220,975,329.52","217,820,156.24","232,210,922.79","227,942,683.40","243,837,806.02","242,968,850.52","236,957,026.99","262,994,301.18","260,458,190.65","280,329,713.50","339,213,763.78","418,568,778.55","430,138,963.26","431,641,826.46","539,662,428.10","527,110,168.57","525,860,347.17","539,037,128.31"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,
在建工程,"4,511,614.03","21,056,997.16","18,838,657.56","43,826,565.75","6,579,118.45","7,650,568.20","13,032,981.29","15,515,359.99","19,345,395.00","23,775,424.46","18,432,124.19","24,902,653.43","58,974,670.99","90,181,240.13","111,719,771.78","100,786,171.92","91,319,798.10","49,709,501.26","57,801,531.26","78,501,307.39","22,229,993.65","26,433,108.45","34,483,955.77","36,162,386.90"
其他非流动负债,"538,945.00","538,945.00","1,038,945.00","100,000.00","4,315,227.33","4,315,227.34","4,545,227.34","5,045,227.34","4,716,262.94","4,716,262.94","6,865,745.14","6,665,745.14","3,898,384.01","41,296,550.65","48,079,111.16","49,016,141.40","13,192,499.87","14,586,298.85","15,856,415.32","14,852,189.69",,,,
工程物资,,,,,,,,,,,"16,800.00",,,,,,,,,,,,,
非流动负债合计,"538,945.00","538,945.00","21,038,945.00","100,000.00","4,315,227.33","4,315,227.34","4,545,227.34","5,045,227.34","4,716,262.94","4,716,262.94","6,865,745.14","6,665,745.14","3,898,384.01","41,296,550.65","48,079,111.16","49,016,141.40","34,312,499.87","35,706,298.85","36,976,415.32","35,972,189.69","28,314,058.91","30,671,973.43","18,728,936.80","19,668,887.76"
固定资产清理,,,,,,"1,256.20","1,256.20","1,256.20",,,,"2,255.97",,,507.65,,,,,,,,,
负债合计,"205,937,743.20","247,891,725.49","192,896,885.88","149,900,236.07","181,708,813.44","150,334,096.90","101,500,655.23","96,228,929.21","124,335,525.22","89,246,633.07","81,904,835.11","107,610,887.07","104,875,606.19","147,329,784.05","128,731,338.39","167,985,874.89","241,182,673.14","173,269,402.38","154,117,970.77","185,184,343.51","214,567,151.77","194,113,671.94","211,843,589.77","219,522,585.98"
生产性生物资产,"6,265,700.86","5,963,476.44","3,924,113.82","3,726,875.29","3,658,860.02","3,379,488.67","3,416,937.88","3,625,176.23","3,513,531.15","3,534,051.30","3,468,088.35","3,438,251.96","3,509,649.92","3,673,582.61","3,606,121.74","3,663,785.35","3,586,025.92","4,209,014.60","4,833,911.77","5,181,907.56","14,236,013.26","13,754,707.86","12,326,384.82","12,245,196.28"
实收资本(或股本),"12,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","267,000,000.00","267,000,000.00","267,000,000.00","267,000,000.00","267,000,000.00","267,000,000.00","267,000,000.00","267,000,000.00","267,000,000.00","534,000,000.00","534,000,000.00","534,000,000.00","534,000,000.00","534,000,000.00","534,000,000.00","534,888,261.00","534,888,261.00","539,340,000.00","539,340,000.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"71,816,612.37","28,540,364.25","28,540,364.25","28,540,364.25","28,540,364.25","1,374,251,264.25","1,374,251,264.25","1,374,251,264.25","1,374,251,264.25","1,374,251,264.25","1,374,251,264.25","1,374,251,264.25","1,374,251,264.25","1,374,251,264.25","1,107,251,264.25","1,107,251,264.25","1,109,443,864.25","1,109,443,864.25","1,116,440,135.68","1,119,938,271.40","1,129,222,097.89","1,130,942,573.37","1,160,719,316.93","1,162,422,689.90"
无形资产,"35,071,674.58","35,131,030.36","48,233,282.92","46,340,048.52","46,032,413.49","45,467,198.24","44,916,980.87","44,366,763.50","43,816,546.13","53,432,376.43","52,605,912.19","57,589,747.95","59,237,250.84","72,923,893.25","71,486,150.01","70,780,512.61","77,856,738.84","79,566,298.59","78,882,508.83","80,500,417.95","76,114,977.52","74,731,211.89","83,319,798.24","81,644,710.12"
盈余公积,"5,284,077.82","4,577,599.68","12,417,470.07","12,417,470.07","19,782,778.78","19,782,778.78","19,782,778.78","19,782,778.78","32,229,518.46","32,229,518.46","32,229,518.46","32,229,518.46","52,322,379.70","52,322,379.70","52,322,379.70","52,322,379.70","74,137,386.38","74,137,386.38","74,137,386.38","74,137,386.38","88,083,026.53","88,083,026.53","88,083,026.53","88,083,026.53"
开发支出,,,,,,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,"121,678,794.66","121,678,794.66","121,678,794.66","122,007,198.32","122,007,198.32","122,007,198.32","122,007,198.32","122,007,198.32","122,007,198.32","122,007,198.32","122,007,198.32"
未分配利润,"49,475,900.57","86,091,235.81","174,433,709.14","268,220,684.20","305,181,292.32","334,507,694.59","279,650,488.08","320,945,904.50","379,501,235.63","417,443,705.24","279,846,554.61","335,664,387.19","380,112,367.73","426,404,283.96","312,742,798.94","366,728,381.37","436,326,340.11","469,525,978.68","302,571,562.26","336,656,529.37","373,163,529.33","422,760,513.80","271,781,387.22","332,724,969.89"
长期待摊费用,"1,189,753.00","839,691.37",,,,,,,,,,,"244,827.83","158,982.21","855,447.21","844,842.21","862,156.15","798,942.87","788,337.87","777,732.87","761,809.67","756,522.87","703,473.19","6,369,523.73"
少数股东权益,,,,,,,,,,,,,,"28,850,557.09","31,500,213.34","34,876,597.28","47,124,608.65","48,254,562.34","38,411,438.68","57,123,885.32","57,635,529.45","53,174,740.77","69,572,795.20","73,623,654.88"
递延所得税资产,"704,238.39","3,341,306.09","1,234,261.12","2,600,713.98","1,519,570.90","1,415,640.52","2,593,034.99","2,951,241.45","1,617,416.66","2,050,449.46","1,964,938.39","2,629,133.29","2,971,498.52","3,907,336.01","5,533,774.39","6,583,291.06","6,372,674.21","7,050,888.64","6,860,169.26","7,463,032.08","8,721,860.96","9,854,957.25","9,341,570.15","9,896,906.27"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,"18,435,875.28","26,568,929.56","32,805,253.56","42,721,457.89","22,679,164.00","24,809,565.00","20,216,603.50","42,188,879.83","12,438,963.80","37,117,373.56","29,551,846.41","27,609,886.00"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"186,993,261.23","211,166,608.68","250,540,820.55","279,647,007.47","284,495,258.77","282,656,197.82","284,936,520.75","284,279,953.61","300,503,811.73","310,734,985.05","320,325,669.14","331,530,893.12","380,330,800.37","582,097,059.61","608,154,011.65","627,398,569.20","663,907,519.32","706,730,187.83","721,539,224.07","768,272,302.46","796,183,245.28","811,775,248.77","817,604,574.07","834,982,935.93"
所有者权益(或股东权益)合计,"138,576,590.76","319,209,199.74","415,391,543.46","509,178,518.52","553,504,435.35","1,995,541,737.62","1,940,684,531.11","1,981,979,947.53","2,052,982,018.34","2,090,924,487.95","1,953,327,337.32","2,009,145,169.90","2,073,686,011.68","2,148,828,485.00","2,037,816,656.23","2,095,178,622.60","2,201,032,199.39","2,235,361,791.65","2,065,560,523.00","2,121,856,072.47","2,182,992,444.20","2,229,849,115.47","2,129,496,525.88","2,196,194,341.20"
资产总计,"344,514,333.96","567,100,925.23","608,288,429.34","659,078,754.59","735,213,248.79","2,145,875,834.52","2,042,185,186.34","2,078,208,876.74","2,177,317,543.56","2,180,171,121.02","2,035,232,172.43","2,116,756,056.97","2,178,561,617.87","2,296,158,269.05","2,166,547,994.62","2,263,164,497.49","2,442,214,872.53","2,408,631,194.03","2,219,678,493.77","2,307,040,415.98","2,397,559,595.97","2,423,962,787.41","2,341,340,115.65","2,415,716,927.18"
负债和所有者(或股东权益)合计,"344,514,333.96","567,100,925.23","608,288,429.34","659,078,754.59","735,213,248.79","2,145,875,834.52","2,042,185,186.34","2,078,208,876.74","2,177,317,543.56","2,180,171,121.02","2,035,232,172.43","2,116,756,056.97","2,178,561,617.87","2,296,158,269.05","2,166,547,994.62","2,263,164,497.49","2,442,214,872.53","2,408,631,194.03","2,219,678,493.77","2,307,040,415.98","2,397,559,595.97","2,423,962,787.41","2,341,340,115.65","2,415,716,927.18"
