科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
经营活动现金流出小计,"786,875,028.45","934,790,257.76","573,733,178.24","1,141,288,529.50","613,710,752.27","1,063,677,451.48","1,408,053,301.43","459,380,665.73","900,763,872.93","1,437,958,696.39","1,904,569,071.45","621,118,679.70","1,249,761,411.72","1,997,651,516.10","2,684,712,885.77","781,065,548.19","1,876,321,999.41","2,571,464,259.53","3,928,039,821.37","1,245,333,176.96","2,577,448,270.09","4,213,378,525.27","6,261,782,124.21","1,655,400,113.02","3,924,499,446.59","6,503,283,985.72","9,015,205,843.90","2,701,597,567.74","5,449,942,074.35","8,455,108,052.82","11,825,937,707.38","3,535,835,395.27","7,175,570,953.77","11,388,138,732.08","15,768,357,480.40","4,461,007,373.83","9,159,141,473.79","14,723,382,283.34","20,014,920,914.64","5,645,955,930.78"
偿还债务支付的现金,"45,000,000.00","106,000,000.00","23,000,000.00","63,000,000.00","60,600,000.00","133,600,000.00","133,600,000.00",,,"3,005,555.00","3,000,000.00",,,,,,,"20,500,000.00","31,000,000.00","2,940,032.00","102,157,000.00","102,157,000.00","102,157,000.00",,"861,000,000.00","1,080,000,000.00","1,625,000,000.00","563,000,000.00","1,174,000,000.00","1,713,000,000.00","2,153,000,000.00","397,109,777.08","886,991,400.00","1,613,459,540.11","2,106,600,000.00","408,083,737.50","1,127,189,877.50","2,145,849,417.61","2,933,459,540.11","1,052,200,000.00"
经营活动产生的现金流量净额,"-64,516,062.80","54,833,051.45","13,357,010.64","50,116,113.64","28,360,232.52","-23,919,488.01","-49,607,208.00","-139,026,495.03","-47,483,234.59","-94,203,174.46","48,574,610.42","-40,998,746.73","-11,715,217.01","-107,756,700.30","-36,890,771.70","-6,956,771.36","-31,446,277.74","-12,080,012.03","-312,394,792.11","-47,596,021.04","-131,808,089.02","-374,653,778.25","-764,459,266.51","43,615,540.86","-206,104,833.67","-482,651,802.46","-310,338,778.88","-284,775,663.26","-66,554,831.46","-41,411,440.08","116,304,013.56","-203,917,520.51","-288,300,760.35","320,156,377.58","-374,038,429.40","-534,629,181.86","-320,663,589.17","-432,721,801.24","-291,756,508.88","-50,182,482.22"
分配股利、利润或偿还利息支付的现金,"8,800,763.51","3,351,365.43","15,787,835.31","16,446,110.31","15,646,847.50","15,875,013.56","16,444,933.56",,,"32,863,976.85","34,254,662.79","63,912.24","34,992,792.20","34,992,792.20","36,042,000.00","1,228,620.79","28,931,338.95","27,618,658.21","32,823,753.07","3,868,998.00","53,465,909.97","72,549,821.03","108,984,950.42","15,683,911.11","61,669,170.44","82,737,532.74","109,696,297.36","17,863,145.03","126,761,156.50","142,035,329.17","163,660,847.73","18,252,577.40","77,771,684.72","119,087,214.53","329,095,012.40","39,981,471.32","137,692,595.36","235,193,283.99","295,787,695.84","34,791,015.81"
收回投资收到的现金,"16,233,929.62",,,"40,000,000.00",,,,,"110,733,500.00","110,733,500.00",,,,"2,000,000.00",,"6,387.53","6,387.53","7,099,130.55","39,451,204.80",,"8,478,834.08","8,478,834.08","145,229,851.13",,,,"165,966.45",,,,,,"35,000.00","35,000.00","35,000.00",,,,"1,996,576.00",
支付其他与筹资活动有关的现金,"94,171,296.63","600,000.00","3,300,000.00","3,300,000.00",,,"662,000.00",,,"9,600,000.00",,,,"11,950,000.00","14,700,000.00",,,"10,400.00","151,123.99",,,"31,308,345.32","36,081,166.67",,"21,190,266.68","46,341,786.88","34,068,127.97",,"12,922,673.24","12,922,673.24","52,705,494.00","5,211,910.24","23,020,243.04","23,020,243.04","145,691,109.90","6,930,918.38","19,259,366.65","22,540,755.54","36,579,068.62","10,356,905.50"
取得投资收益收到的现金,"194,369,567.57",,,"1,171,185.72","1,951,976.20","1,951,976.20","1,951,976.20",,,"1,951,976.20","1,951,976.20",,,"1,951,976.20","1,951,976.20",,,"1,463,982.15","1,463,982.15","137,299,753.13","136,789,947.29","136,789,947.29","4,486,419.77",,,,"1,401,253.48",,"209,890.64","513,353.13","1,788,113.19","465,122.09","1,267,644.55","1,710,078.13","10,533,152.72","751,998.75","1,078,339.24","1,078,339.24","582,870.64","5,589.04"
筹资活动现金流出小计,"147,972,060.14","109,951,365.43","42,087,835.31","82,746,110.31","76,246,847.50","149,475,013.56","150,706,933.56",,,"45,469,531.85","37,254,662.79","63,912.24","34,992,792.20","46,942,792.20","50,742,000.00","1,228,620.79","28,931,338.95","48,129,058.21","63,974,877.06","6,809,030.00","155,622,909.97","206,015,166.35","247,223,117.09","15,683,911.11","943,859,437.12","1,209,079,319.62","1,768,764,425.33","580,863,145.03","1,313,683,829.74","1,867,958,002.41","2,369,366,341.73","420,574,264.72","987,783,327.76","1,755,566,997.68","2,581,386,122.30","454,996,127.20","1,284,141,839.51","2,403,583,457.14","3,265,826,304.57","1,097,347,921.31"
处置固定资产、无形资产和其他长期资产收回的现金净额,"73,971.39","13,668,605.37","4,880,017.07","8,030,020.47","8,299,087.59","10,246,543.55","10,301,706.55","8,130.78","11,150.78","260,471.26","25,499,451.90",,"30,150.00","30,150.00","37,258.66",,"34,585,160.00","34,589,110.00","46,091,715.00",,"2,776.38","2,776.38","3,833.38","38,213.40","88,282.65","91,138.19","116,138.19","2,455.52","182,695.09","183,075.09","545,990.14","59,434.95","213,484.95","20,731.53","305,204.95","110,000.00","331,311.96","491,031.48","928,086.90","7,850.00"
筹资活动产生的现金流量净额,"-37,472,060.14","-16,451,365.43","-41,587,835.31","-9,146,110.31","-46,246,847.50","354,024,986.44","355,793,066.44",,"10,577,415.46","-25,969,531.85","-10,954,662.79","-63,912.24","-22,192,792.20","-34,142,792.20","-27,942,000.00","-1,228,620.79","48,468,661.05","11,850,941.79","151,215,122.94","3,222,437.97","393,724,090.03","783,156,261.15","998,033,882.91","69,416,088.89","349,481,573.49","873,550,680.38","606,945,574.67","304,152,845.18","470,502,234.78","355,464,553.07","315,928,495.95","366,310,735.28","317,866,672.24","275,642,542.43","704,983,417.81","533,956,636.70","669,118,160.49","692,076,542.86","286,933,695.43","516,658,426.68"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,"81,667,378.35",,,,,,,,"3,919,902.47","21,777,395.25","10,326,684.59","11,440,014.00",,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"11,897,052.48","64,523,300.00",,,,,,"18,834.20","69,388.12","69,388.12",,,,,,,,,,,,,,,,,"27,809,477.87",,,,"1,228,918.00",,,,,,,,"303,571.96",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"222,574,521.06","78,191,905.37","4,880,017.07","49,201,206.19","10,251,063.79","12,198,519.75","12,253,682.75","26,964.98","110,814,038.90","113,015,335.58","109,118,806.45",,"30,150.00","3,982,126.20","1,989,234.86","6,387.53","34,591,547.53","43,152,222.70","90,926,804.42","159,077,148.38","155,598,242.34","156,711,571.75","149,720,104.28","38,213.40","88,282.65","91,138.19","29,492,835.99","2,455.52","392,585.73","696,428.22","3,563,021.33","524,557.04","1,516,129.50","1,765,809.66","10,873,357.67","861,998.75","1,409,651.20","1,569,370.72","3,811,105.50","13,439.04"
五、现金及现金等价物净增加额,"36,187,685.48","89,356,290.94","-43,034,421.86","26,345,206.60","-41,000,470.97","296,341,166.47","253,014,326.36","-153,908,109.22","-3,850,291.06","-79,102,664.60","47,421,681.38","-53,537,705.10","-70,470,487.72","-188,377,945.95","-128,511,794.47","-13,877,469.32","13,675,290.32","10,038,079.34","-120,688,994.89","101,819,814.29","376,301,563.70","458,860,297.55","174,820,306.78","-408,723.12","18,980,549.91","197,586,845.84","98,671,473.59","9,429,959.78","278,695,307.81","186,013,401.04","258,818,882.47","160,629,153.13","-52,331,837.37","464,395,411.46","191,241,686.63","-4,324,624.76","321,059,271.53","228,719,176.88","-46,506,210.03","463,993,208.87"
购建固定资产、无形资产和其他长期资产支付的现金,"8,246,278.62","22,247,878.91","19,683,614.26","63,826,002.92","33,364,919.78","45,962,851.71","65,425,214.83","14,908,579.17","40,354,895.37","64,214,793.87","91,780,572.70","12,475,046.13","36,592,628.51","50,460,579.65","65,668,257.63","5,698,464.70","12,438,640.52","22,386,373.12","23,649,079.06","5,090,651.02","12,820,784.12","24,361,447.70","53,603,729.41","13,037,966.27","24,043,872.56","28,223,970.27","66,732,700.82","9,949,677.66","18,578,894.24","21,670,353.17","38,859,399.37","2,288,618.68","5,714,716.76","10,145,356.21","21,282,372.61","4,514,078.35","9,349,450.99","12,749,435.46","21,663,202.08","2,496,174.63"
期初现金及现金等价物余额,"60,604,299.50","96,791,984.98","176,142,127.66","186,148,275.92","212,493,482.52","171,493,011.55","212,493,482.52","465,507,808.88","471,696,552.01","441,696,552.01","465,507,808.88","512,929,490.26","512,929,490.26","512,929,490.26","512,929,490.26","384,417,695.79","384,417,695.79","384,417,695.79","384,417,695.79","303,396,258.58","263,728,700.90","263,728,700.90","263,728,700.90","438,549,007.68","438,549,007.68","438,549,007.68","438,549,007.68","537,220,481.27","537,220,481.27","537,220,481.27","537,220,481.27","796,039,363.74","796,039,363.74","796,039,363.74","796,039,363.74","1,124,313,551.36","987,281,050.37","987,281,050.37","987,281,050.37","940,774,840.34"
投资支付的现金,"6,602,381.42",,,,,,,,"37,348,615.46","7,633,500.00",,,,,,,"25,500,000.00","10,498,700.00",,"7,793,100.00",,,"10,850,000.00",,,,"155,967,800.00",,"107,065,787.00","107,065,787.00","138,117,249.00",,"77,699,162.00","123,023,962.00","69,141,115.60",,"19,455,500.00","19,455,500.00","23,831,300.00",
期末现金及现金等价物余额,"96,791,984.98","186,148,275.92","133,107,705.80","212,493,482.52","171,493,011.55","467,834,178.02","465,507,808.88","311,599,699.66","467,846,260.95","362,593,887.41","512,929,490.26","459,391,785.16","442,459,002.54","324,551,544.31","384,417,695.79","370,540,226.47","398,092,986.11","394,455,775.13","263,728,700.90","405,216,072.87","640,030,264.60","722,588,998.45","438,549,007.68","438,140,284.56","457,529,557.59","636,135,853.52","537,220,481.27","546,650,441.05","815,915,789.08","723,233,882.31","796,039,363.74","956,668,516.87","743,707,526.37","1,260,434,775.20","987,281,050.37","1,119,988,926.60","1,308,340,321.90","1,216,000,227.25","940,774,840.34","1,404,768,049.21"
