科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付给职工以及为职工支付的现金,"379,900,309.86","472,822,996.12","677,151,400.44","320,966,593.84","441,594,643.41","569,691,084.76","150,390,424.61","331,059,022.30","456,313,458.82","635,434,743.94","207,133,126.73","364,227,025.02","509,634,278.94","691,883,777.41","194,062,487.26","352,196,714.92","492,069,941.39","639,924,248.75","158,279,267.84","289,974,963.67","426,347,811.13","807,877,516.60","387,888,027.02","1,088,751,900.00","1,506,256,100.00","1,770,189,163.68"
取得借款收到的现金,"715,679,882.56","1,661,650,000.00","3,250,675,124.00","345,000,000.00","563,700,000.04","2,525,000,000.00",,"395,894,862.18","706,499,924.08","5,800,113,211.98","20,000,000.00","172,075,978.28","172,075,978.28","5,326,397,956.20","1,807,120,572.00","4,226,251,600.00","4,816,277,095.87","7,289,549,745.87","3,822,000,000.00","6,778,480,456.18","19,288,211,894.84","29,429,208,701.12","400,000,000.00","2,751,785,700.00","7,529,931,700.00","10,560,506,152.83"
支付的各项税费,"806,622,259.22","875,789,100.20","1,342,806,875.78","521,797,052.99","768,754,699.90","966,545,831.93","212,910,888.42","499,104,682.30","785,388,944.60","922,476,327.89","234,836,975.45","571,201,389.61","817,273,596.61","1,092,799,630.87","260,954,973.72","624,253,839.98","784,962,933.53","909,091,638.20","81,012,426.77","299,683,423.21","440,923,977.56","679,114,545.34","510,262,083.46","1,266,496,300.00","1,918,834,300.00","2,040,126,797.30"
收到其他与筹资活动有关的现金,,,,,"63,706.10",,"394,678,369.88","352,728,000.00","352,728,000.00","352,728,000.00","363,314,000.00","467,160,454.00","467,160,454.00","992,093,300.00","456,950,000.00","898,822,190.00","898,822,190.00","1,482,568,890.00","370,965,764.09","1,070,719,604.09","3,451,903,854.09","3,027,283,088.84","1,411,610,746.67","1,545,526,100.00","1,570,271,900.00","1,485,196,100.00"
支付其他与经营活动有关的现金,"215,696,122.70","146,472,909.37","130,265,117.62","115,534,604.10","147,814,596.73","188,579,244.31","34,042,227.49","44,739,251.75","80,862,010.94","214,915,838.49","39,590,046.86","71,484,394.43","129,707,911.27","187,257,901.17","41,098,846.47","46,465,927.03","160,923,290.58","320,302,856.46","61,516,383.44","116,878,527.93","177,421,900.82","396,778,870.84","212,565,893.24","524,588,900.00","825,319,900.00","1,273,702,376.44"
筹资活动现金流入小计,"725,679,882.56","1,842,130,000.00","3,250,675,124.00","345,000,000.00","3,133,763,706.14","3,095,000,000.00","394,678,369.88","748,622,862.18","1,059,227,924.08","6,152,841,211.98","383,314,000.00","639,236,432.28","639,236,432.28","6,318,491,256.20","2,264,070,572.00","5,125,073,790.00","5,715,099,285.87","8,772,118,635.87","4,192,965,764.09","7,849,200,060.27","22,740,115,748.93","32,456,491,789.96","1,811,610,746.67","4,297,311,800.00","30,146,193,600.00","29,904,334,916.13"
经营活动现金流出小计,"4,139,345,621.76","5,597,010,893.91","7,087,295,126.30","2,753,228,592.98","3,904,518,587.61","4,962,493,472.10","981,748,331.14","1,945,346,978.23","3,034,859,045.86","4,544,918,985.59","1,366,566,514.07","2,364,624,810.62","3,227,217,093.75","4,344,158,467.85","980,764,932.06","1,799,003,508.88","2,782,695,956.49","3,757,146,115.91","671,366,819.46","1,590,056,242.78","3,384,451,449.85","5,154,706,965.43","3,864,480,875.94","8,829,669,100.00","12,865,090,800.00","16,820,252,693.89"
偿还债务支付的现金,"662,437,941.28","1,199,404,623.56","1,683,050,000.00","2,308,675,124.00","2,884,875,124.00","2,879,275,124.00","20,300,000.00","40,300,000.00","659,643,000.00","660,000,000.00","356,963,220.00","356,963,220.00","858,675,923.31","628,820,161.77","989,540,000.00","744,382,000.00","2,849,834,476.04","4,285,424,431.32","1,693,598,442.29","4,610,042,895.86","7,574,102,160.13","5,186,639,691.64","1,781,473,831.77","3,258,558,000.00","9,054,510,300.00","11,038,950,687.84"
经营活动产生的现金流量净额,"533,536,759.34","60,599,949.36","1,028,148,666.05","803,330,659.34","992,627,965.69","1,606,167,150.09","370,174,721.45","1,063,821,457.28","1,100,412,457.06","1,371,714,375.80","497,770,618.07","1,244,030,571.91","1,808,261,613.41","3,635,047,137.17","-78,962,309.21","1,249,295,959.90","1,675,549,841.47","1,358,771,923.40","264,806,530.63","534,957,515.53","865,557,629.62","2,914,826,436.05","1,427,245,427.86","3,481,411,500.00","5,666,456,300.00","8,428,811,927.59"
分配股利、利润或偿还利息支付的现金,"930,266,169.77","490,072,904.82","2,070,843,724.65","118,230,273.13","119,697,983.95","458,689,181.23","118,932,785.74","571,503,419.04","698,530,958.78","854,729,859.54","38,950,755.03","766,647,783.24","905,515,906.24","974,258,892.86","58,788,255.15","98,153,903.31","1,252,998,094.68","1,333,347,656.71","40,440,333.29","86,500,966.26","681,936,832.53","1,108,374,156.14","775,806,935.06","1,515,942,000.00","2,177,216,100.00","2,147,305,447.60"
收回投资收到的现金,"14,855,260,000.00","5,318,726,610.19","7,160,384,340.51","2,331,005,406.59","2,506,391,923.25","7,005,092,483.35","570,000,000.00","1,400,016,888.25","2,200,016,888.25","4,980,406,928.42","605,748,404.57","1,154,184,735.00","1,306,802,414.25","4,668,357,974.57",,"3,640,000,000.00","7,778,054,584.77","12,223,309,959.59","1,695,000,000.00","2,545,372,773.25","3,345,372,773.25","3,335,928,536.55","500,000,000.00","1,190,370,600.00","2,267,317,400.00","2,002,812,919.34"
支付其他与筹资活动有关的现金,,,,,"2,444,002.30","11,853,300.29","98,407.31","10,514,045.18","86,607,059.95","1,353,186,087.58","49,247,173.03","37,847,187.08","92,577,563.77","426,161,875.11","9,896,775.42","511,982,417.11","539,613,651.83","1,079,148,360.53","974,980,688.69","982,780,688.69","2,374,393,912.91","2,170,787,930.78","457,457,006.76","498,486,200.00","1,646,220,300.00","9,346,042,795.06"
取得投资收益收到的现金,"77,843,835.95","77,248,362.20","57,797,843.69","120,000,000.00","132,994,184.81","157,165,921.03","9,943,960.01","141,000,000.00","265,453,262.31","430,012,687.91","22,232,655.23","172,000,056.90","252,082,511.90","292,301,129.18",,"122,891,000.41","191,831,336.79","250,866,836.77","139,847,319.47","169,950,889.87","303,666,715.36","270,861,902.66","5,165,545.58","209,215,500.00","219,925,200.00","93,330,802.88"
筹资活动现金流出小计,"1,592,704,111.05","1,689,477,528.38","3,753,893,724.65","2,426,905,397.13","3,007,017,110.25","3,349,817,605.52","139,331,193.05","622,317,464.22","1,444,781,018.73","2,867,915,947.12","445,161,148.06","1,161,458,190.32","1,856,769,393.32","2,029,240,929.74","1,058,225,030.57","1,354,518,320.42","4,642,446,222.55","6,697,920,448.56","2,709,019,464.27","5,679,324,550.81","10,630,432,905.57","8,465,801,778.56","3,014,737,773.59","5,272,986,200.00","12,877,946,700.00","22,532,298,930.50"
处置固定资产、无形资产和其他长期资产收回的现金净额,"9,557,868.40","1,805,900.19","2,516,265.39","502,760.66","546,905.49","816,784.27","13,000.00","13,000.00","13,000.00","3,261,701.50","52,000.00","5,688,681.45","75,897,741.45","73,233,797.38","30,000.00","3,561,335.18","3,772,922.18","12,518,392.27","9,250.79","174,040.06","247,254.82","29,299,477.76","334,527.70","334,000.00","496,200.00","26,990,397.07"
筹资活动产生的现金流量净额,"-867,024,228.49","152,652,471.62","-503,218,600.65","-2,081,905,397.13","126,746,595.89","-254,817,605.52","255,347,176.83","126,305,397.96","-385,553,094.65","3,284,925,264.86","-61,847,148.06","-522,221,758.04","-1,217,532,961.04","4,289,250,326.46","1,205,845,541.43","3,770,555,469.58","1,072,653,063.32","2,074,198,187.31","1,483,946,299.82","2,169,875,509.46","12,109,682,843.36","23,990,690,011.40","-1,203,127,026.92","-975,674,400.00","17,268,246,900.00","7,372,035,985.63"
处置子公司及其他营业单位收到的现金净额,,"95,346,727.58",,,,,,,,"186,832,429.95",,"398,415,393.06","648,415,393.06","814,373,425.01",,,"10,000.00","4,282.41",,,,,,,,
四、汇率变动对现金的影响,"494,477.48","-2,001,322.58","1,897,969.35","117,939.25","116,053.05","-54,198.69","-10,739.09","-68,899.81","-88,697.72","-5,340,750.27","5,675,067.68","7,402,893.47","3,910,460.27","-24,041,546.34","-716,852.96","-16,422,554.67","44,191,092.65","89,119,174.12","-8,422,550.67","16,419,977.39","66,690,324.23","180,520,047.75","92,147,612.55","-223,223,200.00","-158,630,500.00","-330,411,473.47"
收到其他与投资活动有关的现金,"6,576,400.00","42,000,000.00",,"30,000,000.00","31,541,551.76","38,750,000.00",,,,,"5,000,000.00","171,000,000.00","185,000,000.00","34,200,000.00",,,,"163,708,746.00",,,,,,"26,315,100.00","59,294,700.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"14,949,238,104.35","5,535,127,600.16","7,220,698,449.59","2,481,508,167.25","2,671,474,565.31","7,201,825,188.65","579,956,960.01","1,541,029,888.25","2,465,483,150.56","5,600,513,747.78","633,033,059.80","1,901,288,866.41","2,468,198,060.66","5,882,466,326.14","30,000.00","3,766,452,335.59","7,973,668,843.74","12,650,408,217.04","1,834,856,570.26","2,715,497,703.18","3,649,286,743.43","3,636,089,916.97","505,500,073.28","1,426,235,200.00","2,547,033,500.00","2,123,134,119.29"
五、现金及现金等价物净增加额,"277,126,608.34","14,698,385.94","-60,251,900.67","-1,316,333,902.36","1,107,471,944.77","-1,315,560,225.20","462,423,638.62","-210,173,552.70","-302,909,077.01","340,946,389.63","644,006,584.58","1,926,580,348.45","1,775,759,748.92","3,820,997,814.38","-346,022,695.22","-1,895,012,223.06","-559,569,688.85","3,356,581,257.59","3,038,088,546.18","3,361,524,592.19","2,614,537,731.15","-561,954,234.01","116,010,954.10","2,869,952,900.00","10,335,004,700.00","11,361,210,210.57"
购建固定资产、无形资产和其他长期资产支付的现金,"679,958,011.55","1,247,821,416.27","733,078,385.01","252,385,271.07","330,409,525.64","426,224,076.38","139,231,722.34","191,261,396.38","253,162,892.26","593,705,253.52","117,709,498.87","203,893,384.14","347,046,426.35","601,565,585.43","60,219,074.48","231,596,371.44","382,335,468.01","592,982,562.47","69,408,043.50","154,866,453.05","199,752,202.97","854,261,494.40","155,923,604.67","401,962,800.00","534,543,400.00","1,066,476,069.70"
期初现金及现金等价物余额,"2,547,623,972.29","2,824,750,580.63","2,839,448,966.57","2,779,197,065.90","2,779,197,065.90","2,779,197,065.90","1,463,636,840.70","1,463,636,840.70","1,463,636,840.70","1,463,636,840.70","1,804,583,230.33","1,804,583,230.33","1,804,583,230.33","1,804,583,230.33","5,625,581,044.71","5,625,581,044.71","5,625,581,044.71","5,625,581,044.71","8,982,162,302.30","8,982,162,302.30","8,982,162,302.30","8,982,162,302.30","8,420,208,068.29","8,420,208,100.00","8,420,208,100.00","8,420,208,068.29"
投资支付的现金,"13,547,360,492.79","4,153,254,628.03","7,074,700,000.00","2,267,000,000.00","2,352,962,238.89","9,442,456,683.35","600,000,000.00","2,750,000,000.00","2,980,000,000.00","4,345,000,000.00","310,490,402.76","500,000,000.00","940,000,000.00","9,229,000,000.00","1,412,000,000.00","10,433,116,300.92","10,943,116,300.92","12,122,847,408.83","467,690,260.36","1,919,822,496.70","2,614,189,221.99","1,416,192,938.05","636,705,900.00","353,966,000.00","14,128,213,000.00","4,834,287,613.77"
期末现金及现金等价物余额,"2,824,750,580.63","2,839,448,966.57","2,779,197,065.90","1,462,863,163.54","3,886,669,010.67","1,463,636,840.70","1,926,060,479.32","1,253,463,288.00","1,160,727,763.69","1,804,583,230.33","2,448,589,814.91","3,731,163,578.78","3,580,342,979.25","5,625,581,044.71","5,279,558,349.49","3,730,568,821.65","5,066,011,355.86","8,982,162,302.30","12,020,250,848.48","12,343,686,894.49","11,596,700,033.45","8,420,208,068.29","8,536,219,022.39","11,290,161,000.00","18,755,212,800.00","19,781,418,278.86"
