科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
财务费用,"4,116,301.55","4,854,930.40","8,236,290.30","5,075,635.49","12,344,314.29","2,324,711.58","1,179,939.70","1,206,822.20","2,922,459.27","2,293,829.58","6,582,085.77","9,789,353.49","10,190,588.59","2,318,869.76","3,465,329.88","7,370,942.63","8,992,012.91","3,118,932.96","4,166,509.28","6,825,956.43","9,238,673.14","2,918,954.06","4,097,265.00","5,991,674.29","8,015,369.79","3,759,965.33","8,006,464.81","13,728,345.89","20,530,209.48","8,709,000.85","9,613,228.53"
三、利润总额,"65,314,894.54","17,370,731.02","58,895,220.03","24,739,910.65","62,368,983.67","9,026,154.83","25,013,573.57","33,363,653.69","49,518,901.57","6,778,387.00","17,429,642.83","19,984,019.61","14,089,576.57","3,165,299.58","8,414,952.00","15,976,722.93","26,103,397.58","3,670,019.01","10,448,563.70","17,024,850.20","22,466,709.74","2,447,762.52","8,804,504.09","16,072,026.97","18,956,223.63","2,321,616.16","4,670,359.05","5,803,649.74","-179,611,907.40","-13,851,446.00","-11,368,753.17"
资产减值损失,"-286,597.69","759,984.15","885,927.68","1,817,586.28","1,488,181.78","724,023.10","2,818,019.78","3,215,173.00","3,457,455.77","-405,035.08","-491,618.91","-150,244.98","9,629,132.69","-138,609.05","747,610.37","1,623,976.70","6,921,469.57","-1,865,172.60","3,172,710.53","7,232,806.30","13,630,746.04","4,727,808.56","13,547,598.17","28,223,359.67","30,457,049.75","-1,350,795.29","9,034,684.02","17,145,393.63","174,694,744.05","2,787,573.83","8,296,704.80"
减:所得税,"16,454,761.88","1,995,974.85","8,400,907.11","2,975,489.13","8,893,347.16","1,005,587.75","3,016,618.37","4,033,152.00","5,933,018.45","1,042,793.46","1,811,001.42","1,896,176.12","-45,143.56","71,726.89","226,653.52","1,077,089.25","2,155,360.10","132,174.34","1,281,642.09","1,766,210.58","3,267,786.06","20,632.12","1,015,826.87","1,735,767.08","948,138.25","336,279.97","-54,078.94","-485,547.25","-4,693,440.53","646,571.07","760,105.13"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,"35,970.53","14,436.45","14,436.45","14,436.45","14,436.45",,"396,004.36","751,812.58","946,036.69","147,945.20","335,342.46","694,246.57","918,904.10","216,767.12","216,767.12","216,767.12","1,642,546.64",,,"1,018,161.32","1,351,309.97",,,"4,293.88","4,293.88",,
四、净利润,"48,860,132.66","15,374,756.17","50,494,312.92","21,764,421.52","53,475,636.51","8,020,567.08","21,996,955.20","29,330,501.69","43,585,883.12","5,735,593.54","15,618,641.41","18,087,843.49","14,134,720.13","3,093,572.69","8,188,298.48","14,899,633.68","23,948,037.48","3,537,844.67","9,166,921.61","15,258,639.62","19,198,923.68","2,427,130.40","7,788,677.22","14,336,259.89","18,008,085.38","1,985,336.19","4,724,437.99","6,289,196.99","-174,918,466.87","-14,498,017.07","-12,128,858.30"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"48,860,132.66","15,374,756.17","50,494,312.92","21,764,421.52","53,475,636.51","8,020,567.08","21,996,955.20","29,330,501.69","43,585,883.12","5,735,593.54","15,618,641.41","18,087,843.49","14,134,720.13","3,093,572.69","8,188,298.48","14,899,633.68","24,046,699.15","3,553,260.31","9,078,747.03","15,134,999.49","19,219,662.15","2,427,130.40","7,788,677.22","14,336,259.89","18,008,085.38","1,985,336.19","4,724,437.99","6,289,196.99","-174,918,466.87","-14,498,017.07","-12,128,858.30"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,,,,"-98,661.67","-15,415.64","88,174.58","123,640.13","-20,738.47",,,,,,,,,,
