科目,2010年度,2011年度,2012年度,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
收到其他与筹资活动有关的现金,,,,,,"221,766,400.00","222,515,948.72","222,664,049.36","222,737,144.84","21,542.18","240,032.39","7,638,610.58","346,977.83","2,001.90","124,909.35","381,748.30","417,389.42","87,952.76","285,758.10","398,888.55","416,201.58","6,864.96","124,026.64","225,000.93","266,446.33","7,479.12"
支付其他与经营活动有关的现金,"7,701,114.00","11,843,343.96","16,494,824.29","15,754,787.51","18,754,774.55","5,459,721.58","9,254,581.89","16,185,830.33","22,074,209.31","4,069,663.16","9,274,210.38","16,514,855.44","24,015,619.67","7,020,557.43","16,864,568.43","24,858,200.78","27,380,730.34","6,904,980.02","19,344,138.92","31,090,006.90","38,403,254.33","9,804,809.11","20,712,768.76","35,507,821.64","49,938,114.01","11,876,107.39"
筹资活动现金流入小计,"15,560,000.00","40,000,000.00","20,000,000.00",,,"439,332,800.00","440,082,348.72","440,230,449.36","440,303,544.84","21,542.18","240,032.39","7,638,610.58","346,977.83","2,001.90","124,909.35","381,748.30","417,389.42","87,952.76","285,758.10","398,888.55","416,201.58","6,864.96","25,770,877.64","25,871,851.93","25,913,297.33","7,479.12"
经营活动现金流出小计,"88,296,491.87","127,412,781.73","117,074,467.66","101,420,148.18","142,710,208.47","40,829,867.85","75,223,640.60","119,004,663.04","162,073,500.77","38,885,949.84","75,439,434.83","123,163,315.48","170,184,556.90","45,903,009.84","90,940,544.05","137,621,764.32","188,688,299.48","49,954,351.48","97,341,432.28","133,893,478.05","189,992,690.51","56,897,005.99","112,463,226.59","178,323,052.81","241,188,703.42","66,248,529.92"
偿还债务支付的现金,,"16,000,000.00","50,000,000.00",,,,,,,,,,,,,,,,,,,,,,,
经营活动产生的现金流量净额,"22,607,791.27","22,098,744.67","39,861,404.75","21,131,569.53","63,303,926.29","-9,280,120.21","-4,662,202.31","10,894,056.49","61,973,781.24","-7,068,661.76","-10,678,752.94","8,618,286.48","60,692,657.23","-12,224,193.70","-16,511,741.69","4,625,367.71","57,110,252.07","-18,047,247.72","-20,987,424.68","20,582,166.27","80,233,745.10","-3,503,539.51","-2,576,451.62","8,343,048.73","73,441,698.64","-6,282,726.25"
分配股利、利润或偿还利息支付的现金,"10,089,448.75","3,971,666.56","1,095,155.54",,"50,000,000.00",,"10,800,000.00","10,800,000.00","10,800,000.00",,"13,440,000.00","13,440,000.00","13,440,000.00",,"20,400,000.00","20,400,000.00","20,400,000.00",,"10,800,000.00","10,800,000.00","10,800,000.00",,"17,583,341.25","17,583,341.25","17,583,341.25",
收回投资收到的现金,"7,536,910.00",,,,,,,,"15,000,000.00",,,"20,000,000.00","40,600,000.00",,"45,000,000.00","45,000,000.00","65,000,000.00",,"70,000,000.00","70,000,000.00","90,000,000.00","40,000,000.00","120,000,000.00","200,000,000.00","200,000,000.00","60,000,000.00"
支付其他与筹资活动有关的现金,"937,500.00","500,000.00","500,000.00","210,000.00","960,000.00","226,509,400.00","226,509,400.00","227,383,924.23","227,465,616.91","33,250.17","46,247.10","350,832.65","356,919.23","2,851.05","3,244.95","368,465.60","394,832.00","69,643.75","88,813.46","387,903.72","432,755.81","49,784,494.09","49,788,149.58","49,995,346.70","50,036,035.87","17,848.11"
取得投资收益收到的现金,"10,838.36",,,,,,,,"320,876.54",,,"678,136.98","960,610.98",,"738,145.55","738,145.55","1,048,145.55",,"1,058,328.76","1,058,328.76","1,457,232.87","510,136.98","2,585,369.85","4,231,616.43","4,231,616.43","1,143,320.55"
筹资活动现金流出小计,"11,026,948.75","20,471,666.56","51,595,155.54","210,000.00","50,960,000.00","226,509,400.00","237,309,400.00","238,183,924.23","238,265,616.91","33,250.17","13,486,247.10","13,790,832.65","13,796,919.23","2,851.05","20,403,244.95","20,768,465.60","20,794,832.00","69,643.75","10,888,813.46","11,187,903.72","11,232,755.81","49,784,494.09","67,371,490.83","67,578,687.95","67,619,377.12","17,848.11"
处置固定资产、无形资产和其他长期资产收回的现金净额,"30,000.00",,"3,337,623.00",,"55,000.00",,,,,,,,"78,000.00","50,000.00","50,000.00","50,000.00","50,000.00",,"30,000.00","30,000.00","30,000.00",,"239,000.00","239,000.00","342,000.00",
筹资活动产生的现金流量净额,"4,533,051.25","19,528,333.44","-31,595,155.54","-210,000.00","-50,960,000.00","212,823,400.00","202,772,948.72","202,046,525.13","202,037,927.93","-11,707.99","-13,246,214.71","-6,152,222.07","-13,449,941.40",-849.15,"-20,278,335.60","-20,386,717.30","-20,377,442.58","18,309.01","-10,603,055.36","-10,789,015.17","-10,816,554.23","-49,777,629.13","-41,600,613.19","-41,706,836.02","-41,706,079.79","-10,368.99"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,"-7,412.80","-32,258.49","-59,643.11","-79,277.02","-56,953.47","-30,694.94","-9,783.67","-54,241.49","-23,123.80"
收到其他与投资活动有关的现金,,,,,,,,,,,,,"25,000,000.00",,,,"100,000,000.00",,"5,000,000.00","80,900,000.00","100,900,000.00",,"40,000,000.00","40,000,000.00","60,000,000.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"7,577,748.36",,"3,337,623.00",,"55,000.00",,,,"15,320,876.54",,,"20,678,136.98","66,638,610.98","50,000.00","45,788,145.55","45,788,145.55","166,098,145.55",,"76,088,328.76","151,988,328.76","192,387,232.87","40,510,136.98","162,824,369.85","244,470,616.43","264,573,616.43","61,143,320.55"
五、现金及现金等价物净增加额,"23,564,887.76","4,152,361.86","9,222,395.91","19,136,104.03","3,371,245.19","191,618,976.60","167,642,938.04","130,577,251.48","139,651,735.96","-54,249,834.86","-89,808,316.95","-81,106,257.27","-139,400,304.39","-14,970,622.37","-14,811,652.36","-16,017,303.21","-2,197,762.69","-21,220,072.07","3,210,556.08","55,138,922.28","32,016,095.92","-54,097,549.37","-22,690,270.66","-42,132,351.62","3,925,816.46","-50,151,171.71"
购建固定资产、无形资产和其他长期资产支付的现金,"6,153,703.12","37,474,716.25","2,381,476.30","1,785,465.50","9,027,681.10","11,924,303.19","29,612,325.37","66,507,847.14","98,825,366.75","27,169,465.11","45,883,349.30","63,650,458.66","67,681,631.20","2,795,579.52","3,809,720.62","6,044,099.17","14,128,717.73","3,183,720.56","1,255,034.15","6,582,914.47","9,709,050.80","1,269,564.24","41,306,880.76","73,229,397.09","92,329,177.33","14,978,273.22"
期初现金及现金等价物余额,"11,211,253.79","34,776,141.55","38,928,503.41","67,287,003.35","48,150,899.32","51,522,144.51","51,522,144.51","51,522,144.51","51,522,144.51","216,173,880.47","216,173,880.47","216,173,880.47","191,173,880.47","51,773,576.08","51,773,576.08","51,773,576.08","51,773,576.08","49,575,813.39","49,575,813.39","49,575,813.39","49,575,813.39","81,591,909.31","81,591,909.31","81,591,909.31","81,591,909.31","85,517,725.77"
投资支付的现金,"5,000,000.00",,,,,,,"15,000,000.00","15,000,000.00","20,000,000.00","20,000,000.00","40,600,000.00","85,600,000.00",,"20,000,000.00","40,000,000.00","90,000,000.00",,"40,000,000.00","100,000,000.00","160,000,000.00","40,000,000.00","100,000,000.00","180,000,000.00","180,000,000.00","90,000,000.00"
期末现金及现金等价物余额,"34,776,141.55","38,928,503.41","48,150,899.32","86,423,107.38","51,522,144.51","243,141,121.11","219,165,082.55","182,099,395.99","191,173,880.47","161,924,045.61","126,365,563.52","135,067,623.20","51,773,576.08","36,802,953.71","36,961,923.72","35,756,272.87","49,575,813.39","28,355,741.32","52,786,369.47","104,714,735.67","81,591,909.31","27,494,359.94","58,901,638.65","39,459,557.69","85,517,725.77","35,366,554.06"
