科目,2012年度,2013年度,2014年度,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
支付的各项税费,"146,602,051.67","171,673,606.65","177,304,828.57","164,366,955.28","238,417,282.19","45,296,253.43","102,439,055.27","185,380,012.52","272,334,284.32","32,351,548.29","82,379,166.67","173,879,369.84","258,210,862.65","50,576,325.95"
收到其他与筹资活动有关的现金,"199,796.10",,"723,257.63","2,419,117.60","1,941,943.87","188,757,082.46","203,904,672.56","203,431,604.46","205,400,300.46","131,269.39","52,480.15","141,942.08","35,732.65","10,212,664.91"
支付其他与经营活动有关的现金,"156,807,936.11","190,615,095.93","231,261,597.80","186,595,356.52","258,433,224.43","58,090,856.56","143,541,040.79","236,559,534.52","305,225,651.07","78,082,339.00","163,905,829.20","278,766,218.88","370,685,626.93","104,757,083.94"
筹资活动现金流入小计,"34,999,796.10","50,458,324.62","190,457,992.37","155,419,117.60","191,405,252.52","1,086,936,300.00","1,089,139,953.83","1,088,666,885.73","1,103,028,799.73","2,144,469.34","12,541,680.10","83,955,142.03","91,648,932.60","10,712,664.91"
经营活动现金流出小计,"1,272,009,261.22","1,436,696,610.21","1,784,937,715.01","1,410,077,868.83","1,970,042,817.90","445,058,842.97","1,017,179,166.30","1,701,908,849.65","2,416,094,042.12","596,419,796.01","1,209,250,421.68","2,310,260,019.30","3,010,186,061.28","775,157,187.61"
偿还债务支付的现金,"38,272,365.13","44,500,000.00","140,458,324.62","79,136,302.36","172,734,734.74","20,000,000.00","95,296,116.24","103,459,051.16","106,463,308.65",,,"70,000,000.00","70,000,000.00",
经营活动产生的现金流量净额,"125,713,378.54","158,269,489.69","33,904,373.72","-126,088,459.13","141,604,382.87","-98,124,418.19","-74,189,131.66","-95,626,478.40","237,563,776.46","-182,533,176.11","-222,135,743.82","-436,804,354.82","-44,242,246.78","-309,060,195.51"
分配股利、利润或偿还利息支付的现金,"3,170,849.09","1,941,643.21","4,829,366.26","5,492,904.97","7,496,148.32","1,236,847.23","34,435,668.27","34,399,962.17","34,505,374.61","175,659.16","54,570,000.00","54,875,391.67","54,877,703.73","6,346.69"
收回投资收到的现金,,,,,,,,,,"220,000,000.00","220,000,000.00","320,000,000.00",,"391,000,000.00"
支付其他与筹资活动有关的现金,"554,152.60","685,220.93","4,999,242.50","1,537,993.86","1,974,483.57","10,668,725.92","201,718,318.38","201,782,780.28","215,954,912.23","133,254.06","5,330,122.95","29,785,401.70","16,711,212.76","1,548,582.64"
取得投资收益收到的现金,,,,,,,,,"3,034,169.04","1,735,435.51","1,735,435.51","2,655,569.92","11,628,180.52","2,533,132.53"
筹资活动现金流出小计,"41,997,366.82","47,126,864.14","150,286,933.38","86,167,201.19","182,205,366.63","31,905,573.15","331,450,102.89","339,641,793.61","356,923,595.49","308,913.22","59,900,122.95","154,660,793.37","141,588,916.49","1,554,929.33"
处置固定资产、无形资产和其他长期资产收回的现金净额,"308,120.60","387,640.90","1,104,034.08","816,409.00","1,521,019.00","243,089.86","521,881.65","600,023.76","646,918.02",,"795,280.54","1,266,797.02","21,568,687.79","733,677.83"
筹资活动产生的现金流量净额,"-6,997,570.72","3,331,460.48","40,171,058.99","69,251,916.41","9,199,885.89","1,055,030,726.85","757,689,850.94","749,025,092.12","746,105,204.24","1,835,556.12","-47,358,442.85","-70,705,651.34","-49,939,983.89","9,157,735.58"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-26,351.09","-30,843.46","66,670.83","-62,669.59","24,765.34","13,076.44","55,442.10","-36,378.23","42,310.96","76,170.53","-176,577.30","-291,310.75","-556,256.91","292,537.69"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,
投资活动现金流入小计,"308,120.60","387,640.90","1,104,034.08","816,409.00","1,521,019.00","243,089.86","521,881.65","600,023.76","3,681,087.06","221,735,435.51","222,530,716.05","323,922,366.94","33,196,868.31","394,266,810.36"
五、现金及现金等价物净增加额,"38,255,310.97","85,818,293.68","-22,054,958.67","-121,644,449.04","54,026,787.14","939,576,835.27","423,541,396.72","348,418,832.92","621,078,139.67","6,439,665.50","-447,053,970.05","-650,385,258.71","-311,214,920.69","-304,408,798.92"
购建固定资产、无形资产和其他长期资产支付的现金,"68,742,268.45","76,139,453.93","97,301,096.29","65,561,645.73","98,323,265.96","17,585,639.69","40,536,646.31","85,543,426.33","113,788,191.77","32,898,740.55","70,298,211.01","131,549,244.66","153,813,671.10","28,275,002.04"
期初现金及现金等价物余额,"171,840,234.97","210,095,545.94","295,913,839.62","273,858,880.95","273,858,880.95","327,885,668.09","327,885,668.09","327,885,668.09","327,885,668.09","948,963,807.76","948,963,807.76","948,963,807.76","948,963,807.76","637,748,887.07"
投资支付的现金,,,,,,,"220,000,000.00","220,000,000.00","243,750,000.00","1,775,580.00","329,615,711.12","320,000,000.00","81,000,000.00","370,790,685.00"
期末现金及现金等价物余额,"210,095,545.94","295,913,839.62","273,858,880.95","152,214,431.91","327,885,668.09","1,267,462,503.36","751,427,064.81","676,304,501.01","948,963,807.76","955,403,473.26","501,909,837.71","298,578,549.05","637,748,887.07","333,340,088.15"
