科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30
其他应收款,"369,730,473.67","355,351,452.91","321,791,255.45","9,989,020.35","11,909,393.69","10,470,668.05","10,598,925.12","10,309,734.09","10,691,717.36","8,267,138.61","9,038,296.85","28,263,706.32","28,296,902.19","27,928,489.47","29,966,699.98","36,627,978.19","53,910,783.40","25,804,677.68","83,825,752.08","22,812,872.28","94,158,638.73","16,146,654.35","92,705,554.86","11,930,529.83","88,771,688.31","59,778,415.80","27,679,181.12","6,953,088.43","577,385,347.60","48,375,000.03","42,099,251.04","32,315,224.05","575,997,911.88","338,079,695.84","1,186,324,057.47","1,862,102,926.16","1,968,822,846.37","1,864,263,176.28","1,837,497,670.29","1,863,675,573.43","1,870,728,117.81","1,856,147,501.00","1,855,453,201.09","1,046,974,050.03","1,085,678,732.45","1,049,635,950.66","1,117,920,775.62"
应付职工薪酬,"10,260,000.10","10,580,641.33","12,323,534.38","627,511.78","638,474.88","657,161.53","567,675.30","645,205.38","589,709.62","588,639.07","591,362.98","562,213.87","565,653.65","425,968.31","422,251.19","426,424.76","424,747.30","425,429.18","483,036.70","782,538.59","649,242.42","651,551.32","652,871.81","575,696.31","515,453.75","485,882.22","1,526,210.68","3,305,753.40","3,265,678.10","2,293,525.53","2,632,741.84","3,746,264.03","4,893,868.58","3,194,560.05","2,907,800.98","3,724,613.24","4,880,677.05","4,010,636.41","2,889,133.70","6,212,499.13","8,218,864.52","9,172,583.89","13,912,966.50","19,223,443.06","21,703,113.32","25,493,807.10","29,261,391.67"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"5,727,510.55","4,658,572.10","2,443,482.20","1,942,353.89","1,671,507.23","1,548,479.82","1,486,261.70","1,206,197.81","1,074,478.82","1,143,618.06","1,019,957.94","1,035,939.38","999,569.25","1,079,676.23","1,035,303.08","2,375,756.42","2,126,380.67","2,398,012.40","2,355,199.17","2,350,954.96","2,381,800.02","2,379,525.04","1,913,292.78","3,263,293.12","3,250,970.94","2,295,876.09","154,059,574.53","156,898,004.92","109,173,198.34","134,474,545.20","141,416,587.02","177,895,099.56","148,928,595.27","192,724,160.98","211,518,370.23","121,038,229.04","107,519,985.41","109,859,895.61","94,623,169.91","106,365,580.93","107,052,071.89","107,116,849.90","107,424,461.85","109,414,216.14","109,669,453.03","110,027,656.67","110,035,430.72"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,275,000.00","3,900,000.00","630,827.57","2,121,636.26","20,894,310.17","23,189,201.90",,,"3,869,760.00","3,869,760.00","5,871,360.00","6,872,160.00",,"1,000,800.00","2,001,600.00",
应付利息,,"146,814,708.15","163,535,936.96","44,646,870.95","50,149,821.95","56,401,569.95","62,153,802.13",,"5,626,258.33","11,186,391.78","16,507,489.10","19,552,517.69","23,735,630.71","27,881,885.42","31,994,558.88",,"3,160,635.00","7,797,134.83","11,570,657.44","15,808,272.24","18,968,907.24","23,061,318.31","26,221,953.31","32,156,364.38","35,816,726.85","37,946,997.81",,,,,,"2,135,000.00","3,770,861.12",,,"18,549,856.82","20,343,093.87","13,345,687.80","44,342,520.47","82,767,392.74","112,746,008.86","143,207,433.13","175,764,460.68","222,387,678.58","258,588,354.62","301,013,120.41",
应收股利,,,,,,,,"6,711,606.65","6,711,606.65","6,711,606.65","6,711,606.65","6,360,806.46","6,360,806.46","6,360,806.46","6,360,806.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,"1,101,133.24",,,,"1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24","1,101,133.24",
存货,"19,074,027.20","17,414,284.99","16,855,511.38","16,271,080.57","15,979,253.96","14,940,477.92","14,971,361.92","15,123,406.12","15,078,865.80","15,128,680.70","15,087,995.20","10,356,131.60","10,357,236.08","10,369,281.60","10,370,731.84","8,597,345.44","8,620,837.14","6,188,629.86","7,399,765.50","4,762,124.24","4,762,124.24","3,471,409.13","3,471,409.13","1,947,087.88","1,947,087.88","1,947,087.88","412,569,775.27","471,910,895.07","507,563,617.20","722,548,989.62","648,646,060.16","500,631,834.36","760,207,450.55","584,176,433.12","573,202,984.68","222,529,395.92","218,183,603.73","221,380,387.12","228,086,753.44","112,895,957.42","114,815,557.03","122,335,280.45","128,559,913.91","65,446,079.81","71,916,961.31","65,402,836.49","70,526,798.69"
其他应付款,"8,470,097.36","4,398,385.43","4,304,701.24","21,507,579.20","21,375,078.63","20,855,195.07","21,115,687.36","21,127,346.65","21,191,099.94","33,866,203.59","35,619,505.95","40,952,866.24","45,302,188.83","44,045,231.00","45,880,474.96","22,986,447.83","22,716,688.95","23,546,050.83","25,624,205.67","54,545,900.93","59,558,488.59","60,371,508.31","68,388,279.36","62,697,202.11","59,363,735.01","13,850,327.93","48,706,136.88","11,924,000.72","99,076,606.55","26,346,100.14","122,499,101.81","13,775,589.28","170,384,075.86","165,908,324.30","68,842,699.71","50,509,509.01","52,378,941.15","69,078,262.95","65,229,383.20","64,507,640.14","74,786,446.90","80,835,460.99","85,911,175.86","124,731,677.70","131,135,730.84","129,304,832.43","478,161,768.05"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,"368,118.00",,"371,611.03",,,,,,"375,175.88",,,,,,"367,243.04",,"267,757.04",,"375,616.46",,,,,,"265,344.00","98,425.25","71,582.00","55,768.25","55,768.25",,,,,,,,,,,,,,,,
一年内到期的非流动负债,"101,999,906.00","101,999,906.00","1,043,616.87","47,227,679.80","47,137,679.80","47,047,679.80","46,987,679.80","42,499,906.00","42,469,906.00","42,499,906.00","43,538,062.00","42,499,906.00","42,499,906.00","42,499,906.00","42,499,906.00","42,499,906.00","42,499,906.00","42,499,906.00","44,254,246.00","42,499,906.00","42,499,906.00","42,499,906.00","42,499,906.00","42,499,906.00","42,499,906.00","42,499,906.00","8,000,000.00","28,000,000.00","28,000,000.00","18,000,000.00","18,000,000.00","10,000,000.00","10,055,768.25",,,"110,216,768.60","82,157,746.60","146,194,208.00","146,702,916.00","152,203,140.00","152,203,140.00","5,000,000.00","5,000,000.00","123,901,986.00","123,901,986.00","123,901,986.00","123,901,986.00"
其他流动资产,"330,274.25","143,227.54",,"762,910.02",,"717,144.45","420,856.84","823,910.24","428,127.64","324,197.60",,"796,466.72","504,821.21","321,593.55","395,340.62","753,870.37",,"451,005.03",,"718,880.84",,"200,701.41","135,524.91","804,861.48","513,907.18","271,286.96","900,000.00","600,000.00","600,000.00","3,408,754.72","3,408,754.72","300,034,197.42","303,019,509.60","894,268,068.99","989,268,068.99","692,413,544.57","579,789,879.69",,,"541,086.16","541,086.16",,,"15,302,142.68","15,302,142.68","15,237,033.30","15,175,604.00"
其他流动负债,"140,123,095.67","16,600,027.08","117,279,166.55","13,189,411.26","14,569,747.52","15,848,016.44","16,659,363.60","13,075,558.73","13,313,078.33","13,713,269.49","13,110,263.16","14,149,585.84","14,877,534.96","17,233,670.16","18,815,385.72","18,364,901.03","18,994,282.65","19,833,760.27","18,269,458.26","10,327,895.02","10,220,491.57","6,367,166.90","6,461,286.17","6,503,854.42","6,503,854.42","5,220,800.52",,,,,,,,,,,,,,,,,,,,,
流动资产合计,"413,882,155.08","407,304,707.75","374,024,939.11","56,127,816.37","52,577,482.82","52,737,425.19","45,243,420.13","54,230,970.99","49,417,082.76","46,284,995.71","45,002,233.79","59,461,763.20","60,307,101.90","57,410,465.73","57,186,799.95","110,666,680.00","96,714,706.47","106,834,390.57","106,466,877.65","103,329,675.95","105,203,314.20","94,338,839.28","102,186,728.96","98,934,676.58","94,277,828.39","65,418,789.88","2,408,633,461.64","2,764,095,256.71","3,359,968,444.15","3,466,128,914.24","3,992,848,238.60","3,555,862,740.84","4,251,202,257.73","5,714,681,876.94","5,509,100,441.61","4,688,735,348.75","4,656,453,437.88","3,612,260,695.99","3,461,481,363.58","3,101,091,615.63","3,127,702,312.59","3,099,784,457.04","3,099,855,690.64","1,144,401,466.63","1,190,044,729.61","1,148,417,842.31","1,218,959,240.00"
流动负债合计,"905,670,271.14","923,579,432.22","903,557,293.26","429,247,555.67","433,143,419.85","439,829,443.63","446,990,236.05","382,779,251.62","388,286,188.76","394,779,297.75","401,456,386.14","352,842,161.06","360,326,593.40","364,849,905.80","371,397,199.06","301,433,219.84","294,430,816.88","302,559,074.13","309,186,891.71","311,279,814.21","318,954,777.85","319,980,396.57","331,246,154.68","332,869,363.08","333,290,311.78","285,844,385.57","1,907,802,946.53","2,228,153,230.79","2,811,808,740.70","2,820,623,251.66","3,281,537,753.69","2,804,697,198.25","3,489,717,406.62","4,839,675,101.40","4,389,164,011.94","4,034,899,654.01","4,023,033,787.11","2,964,068,461.41","2,392,606,495.88","2,285,611,286.30","2,347,306,709.04","2,348,722,567.82","2,382,508,754.23","2,600,307,004.75","2,640,426,328.92","2,693,747,203.19","2,809,900,954.50"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,"16,500,000.00","16,500,000.00","16,500,000.00",,,,,,,,,,,,,,,,,,,,,,,,"48,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,,"238,750,400.00","140,592,837.40","140,592,837.40","184,924,124.73","639,921,486.00","671,341,486.00","671,341,486.00","671,341,486.00","671,341,486.00","511,569,500.00","511,569,500.00","511,569,500.00","511,569,500.00"
持有至到期投资,,"7,000,000.00","7,000,000.00","7,676,027.40","7,676,027.40","3,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","7,600,000.00","7,600,000.00","7,600,000.00","7,600,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,"4,757,773.80","4,757,773.80","4,757,773.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,"74,710,529.11","77,373,270.86","78,515,712.40","78,925,475.01","79,927,285.94","81,239,626.79","82,326,968.70","76,788,516.47","77,917,296.88","80,853,011.95","83,513,526.53","20,611,571.71","21,527,022.09","22,042,544.04","22,965,814.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,"6,621,521.50","6,581,738.00","6,541,954.50","6,502,171.00","6,502,171.00","6,422,604.00","6,382,820.50","6,343,037.00","6,303,253.50","6,263,470.00","6,223,686.50","6,183,903.00","6,144,119.50","6,104,336.00","6,064,552.50","6,024,769.00","6,024,769.00","5,945,202.00","5,905,418.50","5,865,635.00","5,825,851.50","5,786,068.00","5,746,284.50","5,706,501.00","5,666,717.50","5,626,934.00","5,626,934.00","5,626,934.00","5,626,934.00","5,626,934.00","5,626,934.00","5,626,934.00","5,626,934.00","5,626,934.00","5,626,934.00","5,626,934.00","5,626,934.00","5,626,934.00","5,626,934.00","5,626,934.00","5,626,934.00","5,626,934.00","5,626,934.00","5,626,934.00","5,626,934.00","5,626,934.00","5,626,934.00"
预计负债,,,,"6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00",,,,,,,,,,,,,,,,,,"40,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00"
固定资产,"336,058,996.88","318,152,854.46","302,864,398.86","254,927,842.45","242,956,913.19","231,901,495.70","220,763,102.66","207,681,072.20","197,675,084.60","189,303,998.57","178,441,404.38","170,997,334.47","160,050,508.05","149,645,431.79","139,067,533.68","111,134,808.42","104,110,847.43","96,062,734.14","88,034,685.88","81,389,541.79","73,302,345.41","66,091,586.31","59,395,162.54","53,478,933.02","49,251,361.76","32,990,555.99","475,747,382.46","458,595,801.11","447,950,031.04","439,833,866.90","430,906,100.04","418,175,762.86","409,270,493.58","398,755,181.73","394,435,376.97","359,997,044.54","355,662,427.59","351,332,240.40","346,352,061.48","341,608,010.43","340,641,851.11","329,135,357.00","322,591,940.26","392,227,871.03","385,969,041.93","379,137,917.38","372,959,471.81"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程,"14,993,863.54","16,524,608.84","17,756,070.39","7,353,752.92","8,569,071.56","9,449,320.34","11,432,248.00","14,677,760.21","14,000,439.79","10,894,266.21","11,189,617.50","7,796,247.30","8,553,334.78","9,125,253.84","10,133,982.34","319,503.00","86,922.00","172,033.00","234,083.00",,"12,160.00","380,997.00","449,810.00",,,"58,525.00","5,950,881.16","16,390,451.00","17,277,976.51","19,388,696.57","28,692,482.15","55,957,263.73","58,259,835.90","48,326,982.34","52,070,229.62","215,892,227.30","225,845,936.94","220,581,047.03","221,853,478.38","190,073,929.54","185,904,316.63","191,428,679.14","191,381,037.80","31,244,438.07","31,327,629.89","31,341,176.87","31,353,236.91"
其他非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工程物资,"27,576,130.43","30,748,310.07","31,111,675.93","22,100,532.09","21,636,818.77","23,411,553.89","23,962,613.71","21,514,102.19","22,526,609.48","23,695,561.73","23,426,316.61","17,848,839.56","18,151,359.55","18,474,689.90","18,345,498.38","16,330,644.69","16,454,673.93","1,662,567.12","1,692,567.12","1,247,537.72","1,230,577.72","1,003,130.77","1,224,210.77","358,947.06","381,037.06","534,902.66",,,,,,,,,,,,"6,789,729.11","6,957,710.05",,,"69,633.27","73,008.27",,,,
非流动负债合计,"21,257,773.80","21,257,773.80","21,257,773.80","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","6,502,171.00","48,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,,"238,750,400.00","140,592,837.40","140,592,837.40","184,924,124.73","639,921,486.00","671,341,486.00","671,341,486.00","671,341,486.00","671,341,486.00","551,569,500.00","551,569,500.00","551,569,500.00","551,569,500.00"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,"4,698,877.16",,,"1,120,115.68","1,120,115.68","1,120,115.68","380,420.26","380,420.26","380,420.26","380,527.76","380,420.26","380,420.26","280,320.99","695,094.08",,,"-200,407.57","-200,407.57",,,,
负债合计,"926,928,044.94","944,837,206.02","924,815,067.06","435,749,726.67","439,645,590.85","446,331,614.63","453,492,407.05","389,281,422.62","394,788,359.76","401,281,468.75","407,958,557.14","359,344,332.06","366,828,764.40","371,352,076.80","377,899,370.06","307,935,390.84","300,932,987.88","309,061,245.13","315,689,062.71","317,781,985.21","325,456,948.85","326,482,567.57","337,748,325.68","339,371,534.08","339,792,482.78","292,346,556.57","1,955,802,946.53","2,238,153,230.79","2,821,808,740.70","2,830,623,251.66","3,291,537,753.69","2,804,697,198.25","3,489,717,406.62","4,839,675,101.40","4,627,914,411.94","4,175,492,491.41","4,163,626,624.51","3,148,992,586.14","3,032,527,981.88","2,956,952,772.30","3,018,648,195.04","3,020,064,053.82","3,053,850,240.23","3,151,876,504.75","3,191,995,828.92","3,245,316,703.19","3,361,470,454.50"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"192,693,908.00","192,693,908.00","192,693,908.00","192,693,908.00","192,693,908.00","192,693,908.00","192,693,908.00","192,693,908.00","192,693,908.00","192,693,908.00","192,693,908.00","192,693,908.00","192,693,908.00","192,693,908.00","192,693,908.00","192,693,908.00","192,693,908.00","192,693,908.00","192,693,908.00","192,693,908.00","192,693,908.00","192,693,908.00","192,693,908.00","192,693,908.00","192,693,908.00","192,693,908.00","543,491,923.00","543,491,923.00","543,491,923.00","543,491,923.00","543,491,923.00","543,491,923.00","543,491,923.00","543,491,923.00","543,491,923.00","543,491,923.00","543,491,923.00","543,491,923.00","543,491,923.00","543,491,923.00","543,491,923.00","543,491,923.00","543,491,923.00","543,491,923.00","543,491,923.00","543,491,923.00","543,491,923.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"233,446,207.06","233,446,207.06","233,446,207.06","233,446,207.06","233,446,207.06","233,446,207.06","233,446,207.06","231,370,636.26","231,370,636.26","231,370,636.26","231,370,636.26","231,370,636.26","231,370,636.26","231,370,636.26","231,370,636.26","231,870,636.26","231,870,636.26","231,870,636.26","231,870,636.26","231,870,636.26","231,870,636.26","231,870,636.26","231,870,636.26","231,870,636.26","231,870,636.26","231,870,636.26","-30,732,595.27","-30,529,408.97","-30,529,408.97","-30,529,408.97","-30,528,797.60","-30,528,797.60","-30,528,797.60","-30,528,797.60","-30,528,797.60","-30,528,797.60","-30,528,797.60","-30,528,797.60","-30,528,797.60","-30,528,790.39","-30,528,790.39","-30,528,790.39","-30,528,790.39","-30,528,790.39","-30,528,790.39","-30,528,790.39","-30,528,790.39"
无形资产,"2,530.00",,,,,"11,190.00","11,190.00","9,325.00","9,325.00","7,087.00","159,888.66","150,769.65","141,650.64","185,698.29","173,829.27","162,333.25","680,249.89","495,899.86","311,549.83",,,,,,,,"129,587,209.33","126,404,451.80","124,347,698.92","122,497,610.78","119,876,186.13","117,195,622.71","116,919,412.26","116,643,201.81","116,539,949.70","116,263,614.27","115,987,278.84","115,710,943.41","115,434,607.98","115,158,272.55","114,886,687.44","114,605,601.69","114,356,325.44","114,052,930.83","113,776,595.40","113,630,365.23","113,549,875.54"
盈余公积,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,617,468.83","16,229,394.40","16,229,394.40","16,229,394.40","16,229,394.40","80,262,751.20","80,262,751.20","80,262,751.20","80,262,751.20","81,743,653.67","80,262,751.20","81,743,653.67","81,743,653.67","81,743,653.67","81,743,653.67","81,743,653.67","81,743,653.67","81,743,653.67","81,743,653.67","81,743,653.67","81,743,653.67"
开发支出,,,,,,,,,,,,,,,,,,,,,,,,,,,"553,685.00","429,564.20","553,629.20","832,138.90","1,517,057.72","8,510,430.64","9,431,655.09","12,822,948.80","12,836,718.28","12,179,398.62","12,133,958.24","11,822,616.11","11,648,605.02","11,648,605.02","11,648,605.02","11,648,605.02","11,648,605.02",,,,
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未分配利润,"-486,536,452.18","-517,971,380.83","-543,770,142.15","-436,462,285.47","-453,826,487.56","-472,011,954.49","-489,063,559.66","-432,929,751.00","-451,439,972.25","-468,210,493.06","-484,107,807.46","-499,846,048.11","-515,383,786.14","-531,675,645.55","-547,153,320.41","-491,996,911.96","-505,350,506.70","-525,776,123.21","-540,695,624.16","-552,655,372.14","-566,204,713.17","-583,039,424.23","-592,496,302.96","-604,140,382.49","-613,270,118.28","-606,070,720.39","531,882,623.08","587,064,905.93","584,547,114.07","656,364,920.38","715,774,667.13","735,285,982.32","728,103,816.24","826,013,245.04","831,455,991.29","593,197,742.28","573,109,361.54","542,694,859.66","505,234,868.23","188,952,394.73","148,336,739.05","114,076,881.45","73,457,834.65","-2,107,701,322.51","-2,108,775,603.38","-2,210,823,722.22","-2,262,824,908.03"
