科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月
筹资活动产生的现金流量净额,,,"370,000,000.00","358,875,486.10","-5,000.00","-252,312.87","-352,914.87","-106,694,978.36","-90,132,860.92","-71,793,360.92","70,507,795.83","68,737,795.83","-151,846,345.50","-3,081,324.00","-5,141,144.09","-6,661,932.04","-2,007,068.00","-4,502,734.67","-653,093,862.70","-1,102,467,111.12","-381,487,016.37","-627,448,778.84","-910,891,424.83","-1,194,543,598.67","-304,672,975.37"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,"-21,532,215.28","4,180,504.72","4,180,504.72",,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,"15,508.56","13,707.75","-205,415.85","-122,891.36","111,351.90","-275,349.41","137,232.47"
收到其他与投资活动有关的现金,,,"4,148,199.07","34,152,578.07","229,900.00","229,900.00","276,500.00","276,500.00","1,238.40","22,688.48","22,688.48","22,688.48",,,,,,,"17,343,465.32","21,222,468.47","218,325.35","144,275,583.76","144,275,583.76","54,000,000.00","1,800.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,"7,153,199.07","37,218,979.17","246,900.00","262,810.00","309,910.00","315,420.00","1,115,726.35","1,142,876.43","1,142,876.43","1,142,876.43",,,,,,"-21,532,215.28","91,454,115.36","96,105,285.81","24,378,749.84","177,588,242.94","388,079,127.74","265,148,967.64","65,515,633.34"
五、现金及现金等价物净增加额,"-3,201,612.62","-45,177,935.69","-215,736,039.82","-169,577,744.45","11,407,675.53","-12,774,865.89","142,315,813.73","159,170,413.27","-22,132,969.29","-12,296,857.26","8,267,412.09","31,379,608.63","-19,746,818.12","-20,467,417.44","49,355,411.43","98,160,793.72","-61,661,431.70","-62,969,044.82","525,096,060.59","223,204,488.52","24,655,184.74","-42,240,855.86","-544,791,826.46","-614,257,574.56","153,156,764.88"
购建固定资产、无形资产和其他长期资产支付的现金,"1,238,550.60","2,976,816.23","478,241,830.26","526,971,283.50","8,162,962.85","17,979,597.03","23,141,754.52","22,968,385.22","6,055,113.29","11,092,512.68","12,320,646.62","14,357,683.16","628,428.29","3,321,429.18","3,886,489.01","10,329,085.76","1,469,845.54","3,434,320.79","215,120,348.34","315,263,892.37","84,437,881.98","170,481,114.12","328,629,067.48","443,178,182.32","57,899,500.28"
期初现金及现金等价物余额,,"565,150,084.16","652,484,651.93","652,484,651.93","482,906,907.48","482,906,907.48","482,906,907.48","482,906,907.48","642,077,320.75","642,077,320.75","642,077,320.75","642,077,320.75","673,456,929.38","673,456,929.38","673,456,929.38","673,456,929.38","771,617,723.10","771,617,723.10","1,121,927,792.78","1,121,927,792.78","1,345,132,281.30","1,345,132,281.30","1,410,301,823.33","1,345,132,281.30","796,044,248.77"
投资支付的现金,,"56,430,000.00",,,,,,,,,,"399,383.77",,,,,,,"50,000,000.00",,,,,"144,000,000.00","50,000,000.00"
期末现金及现金等价物余额,"-3,201,612.62","519,972,148.47","436,748,612.11","482,906,907.48","494,314,583.01","470,132,041.59","625,222,721.21","642,077,320.75","619,944,351.46","629,780,463.49","650,344,732.84","673,456,929.38","653,710,111.26","652,989,511.94","722,812,340.81","771,617,723.10","709,956,291.40","708,648,678.28","1,647,023,853.37","1,345,132,281.30","1,369,787,466.04","1,302,891,425.44","865,509,996.87","730,874,706.74","949,201,013.65"
