科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
筹资活动现金流出小计,"188,750,000.00","85,884,614.21","144,000,000.00",,"157,539,183.00","157,539,183.00","160,391,000.00",,"178,800,000.00","178,800,000.00","178,800,000.00","201,150,000.00","201,150,000.00","201,150,000.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"51,500.00","81,598.00","380,763.00","13,900.00","208,852.00","228,446.00","239,264.87","34,220.00","82,700.00","97,700.00","131,014.27","101,350.00","113,650.00","126,650.00"
筹资活动产生的现金流量净额,"-188,750,000.00","-85,884,614.21","-144,000,000.00",,"369,130,817.00","369,130,817.00","366,279,000.00",,"-178,800,000.00","-178,800,000.00","-178,800,000.00","-201,150,000.00","-201,150,000.00","-201,150,000.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-126,451.96","8,580.90","2,687.45","2,917.06","-1,477.08","19,015.12","39,992.47",-178.03,"10,474.63","13,918.77","40,276.03","-2,156.07","-9,370.61","-18,453.99"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,
投资活动现金流入小计,"276,673,340.34","474,831.20","557,717.94","13,900.00","534,468.43","103,962,138.12","513,627,477.53","347,515,302.19","1,218,477,768.48","1,319,766,678.48","1,823,252,746.17","402,443,749.99","896,721,776.02","1,245,305,714.37"
五、现金及现金等价物净增加额,"-81,227,098.45","137,506,149.62","106,771,594.60","12,533,548.18","-76,558,572.57","-187,134,640.54","21,005,585.73","-181,632,508.09","-170,693,041.72","-122,034,363.51","-138,623,279.75","-91,889,028.80","-47,563,885.22","-48,597,298.99"
购建固定资产、无形资产和其他长期资产支付的现金,"169,650,787.03","10,672,349.30","4,910,212.60","11,427,373.76","14,074,659.76","18,793,477.56","22,001,746.81","1,399,215.92","3,323,337.05","8,719,217.75","9,975,166.21","1,316,587.80","2,979,464.40","16,140,389.57"
期初现金及现金等价物余额,"137,647,299.88","56,420,201.43","193,926,351.05","300,697,945.65","300,697,945.65","300,697,945.65","300,697,945.65","321,703,531.38","321,703,531.38","321,703,531.38","321,703,531.38","183,080,251.63","183,080,251.63","183,080,251.63"
投资支付的现金,"255,000,000.00",,,,"500,000,000.00","750,000,000.00","1,051,500,000.00","591,000,000.00","1,300,000,000.00","1,400,000,000.00","2,016,560,000.00","338,000,000.00","846,655,624.73","1,174,455,624.73"
期末现金及现金等价物余额,"56,420,201.43","193,926,351.05","300,697,945.65","313,231,493.83","224,139,373.08","113,563,305.11","321,703,531.38","140,071,023.29","151,010,489.66","199,669,167.87","183,080,251.63","91,191,222.83","135,516,366.41","134,482,952.64"
