科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付的各项税费,"16,141,639.14","28,048,109.00","36,260,921.24","26,170,260.29","44,270,719.21","22,544,742.41","28,651,685.92","44,775,491.81","57,301,584.98","10,732,455.36","31,429,473.80","51,564,926.57","52,549,158.08","21,277,276.68","62,575,600.86","74,781,175.86","64,618,935.22","28,441,710.54","84,970,585.94","60,011,343.33","74,584,356.18","11,674,189.95","38,872,448.88","53,170,124.37","79,341,492.84","30,188,170.91","51,577,063.58","63,509,789.37","70,311,287.27","12,057,951.04","36,567,629.93","61,066,136.24","73,382,631.96"
收到其他与筹资活动有关的现金,,,,"74,850,000.00",,,,,"35,140,000.00",,,"32,000,000.00","17,000,000.00",,,"40,820,000.00","55,820,000.00",,,,,"17,800,000.00","17,800,000.00","17,800,000.00","17,800,000.00",,,,"205,288.23",,,,
支付其他与经营活动有关的现金,"110,133,140.24","387,928,499.75","202,696,542.31","146,295,437.62","165,893,962.61","54,208,956.11","103,721,201.75","150,225,388.54","183,649,403.51","132,610,810.08","111,954,661.20","450,257,456.15","317,518,122.93","141,115,118.56","111,144,994.63","219,332,895.22","208,702,970.03","230,298,422.31","147,912,802.59","359,634,180.93","531,378,373.26","164,742,748.09","397,224,615.97","246,343,360.49","361,170,552.32","99,472,112.76","90,516,662.49","110,492,689.30","212,982,188.69","152,933,771.71","230,321,663.85","224,918,859.96","399,451,203.83"
筹资活动现金流入小计,"879,486,334.88","1,606,463,669.36","1,216,148,982.77","1,608,439,375.21","2,206,078,255.92","1,766,923,526.74","2,418,262,721.14","3,315,504,768.26","3,969,603,381.13","916,858,573.26","1,419,619,356.62","2,339,842,858.66","3,258,517,403.16","828,915,287.03","1,218,676,314.07","1,680,710,889.94","2,593,411,646.13","872,641,661.25","1,842,355,030.39","2,465,166,272.33","3,374,814,574.81","939,646,808.74","1,495,807,780.57","1,806,617,907.86","2,289,097,881.54","459,725,000.00","966,446,440.50","1,511,767,476.50","2,442,210,320.73","856,190,000.00","1,009,794,000.00","1,394,370,804.00","1,837,314,043.96"
经营活动现金流出小计,"4,825,919,175.53","4,717,102,475.30","3,981,871,382.96","4,177,944,294.15","6,139,677,319.30","1,830,571,663.36","4,471,832,617.80","7,736,733,245.83","10,223,420,732.96","3,114,388,168.29","5,733,680,487.13","8,703,988,676.74","10,721,846,324.66","3,514,562,244.81","6,280,365,045.13","8,559,666,748.51","10,161,122,115.44","2,759,324,701.41","4,594,256,154.29","7,566,764,348.09","9,756,074,514.84","2,466,498,839.03","5,246,185,050.19","7,671,868,359.15","9,639,358,666.31","2,171,167,313.28","5,136,439,547.54","7,883,720,781.35","10,996,523,993.88","3,441,193,587.55","7,780,640,708.62","11,462,744,813.68","15,857,968,728.98"
偿还债务支付的现金,"396,591,788.05","1,302,150,004.24","1,510,830,982.88","1,353,315,173.13","1,589,493,435.91","171,398,383.89","1,060,911,635.32","1,568,170,439.00","1,914,627,967.97","692,523,374.21","1,446,475,983.23","2,678,812,555.90","3,367,052,555.90","413,393,536.77","1,062,884,613.02","2,082,586,372.45","2,821,179,145.02","561,600,882.99","1,555,359,765.46","2,312,970,270.12","2,999,242,002.10","772,277,438.25","1,964,937,243.02","2,598,319,915.90","2,707,626,546.00","629,556,028.63","949,556,028.63","1,445,252,138.63","2,117,804,721.88","490,000,000.00","869,500,000.00","1,427,883,448.33","2,114,345,776.75"
经营活动产生的现金流量净额,"-327,501,640.04","28,699,180.29","429,942,437.97","37,035,280.97","-363,318,100.75","-396,159,782.36","-636,177,764.80","-1,049,926,000.72","-1,520,161,281.72","-35,484,567.69","277,518,513.68","753,730,577.06","1,041,806,369.19","-513,642,254.73","-289,141,239.05","372,231,682.03","686,200,544.95","-534,651,391.05","-126,441,147.82","59,163,522.17","58,836,189.33","-87,047,175.40","646,187,981.84","778,415,840.28","630,653,615.94","-16,443,507.29","8,059,115.93","-19,043,370.33","-155,269,561.17","-149,300,451.28","-172,386,782.06","-82,240,908.40","443,533,489.26"
分配股利、利润或偿还利息支付的现金,"41,541,845.85","198,662,289.30","45,961,260.71","58,931,490.20","72,278,717.13","20,884,245.99","72,170,848.21","96,772,279.85","126,794,739.58","34,766,310.53","102,574,258.91","152,089,185.08","197,344,850.48","26,201,571.13","67,415,597.18","129,184,721.68","213,549,820.87","26,760,612.92","66,228,245.22","135,366,753.14","176,722,065.69","26,678,137.14","63,400,928.29","138,596,523.29","171,195,091.03","17,027,356.65","33,840,406.01","100,854,066.21","142,920,775.76","25,021,661.40","45,448,964.57","121,805,456.04","163,985,565.74"
收回投资收到的现金,"9,885,430.23","6,660,000.00","3,000,000.00",,,,,,"29,700.00",,,,,"30,000,000.00","260,000,000.00","260,000,000.00","59,349,094.80",,"36,990,000.00","36,990,000.00","37,590,500.00","144,470,000.00","262,982,500.00","325,992,500.00","551,246,996.44","41,100,000.00","114,766,666.67","129,391,666.67","321,676,932.65","43,333,333.33","371,333,333.33","452,633,333.33","438,333,333.33"
支付其他与筹资活动有关的现金,"24,000,000.00","33,000,000.00","13,750,000.00",,"21,200,000.00","16,000,000.00","21,600,000.00","36,600,000.00","36,600,000.00",,,,,"15,000,000.00","15,000,000.00",,"2,924,214.24",,,,"3,897,939.50",,"80,000.00","14,868,712.00","35,970,122.00","70,000.00","14,770,576.63","14,062,976.63","15,029,476.63","3,157,500.00","1,284,600.00","4,827,094.00","10,992,993.11"
取得投资收益收到的现金,"6,787,324.95","6,460,000.00","2,031,306.07","7,048,275.81","7,048,275.81","2,000,000.00",,"4,053,114.47","9,708,341.43",,"9,944,068.68","20,232,484.23","45,909,226.72","23,035,878.42","43,980,872.39","84,290,976.69","128,247,038.81","36,240,019.07","71,710,201.71","101,803,708.24","142,509,502.94","18,972,845.83","61,484,502.31","115,996,624.52","142,636,462.73","6,792,820.05","40,785,507.07","48,076,944.63","68,035,215.17","22,211,359.15","39,269,924.15","50,841,267.35","92,812,213.99"
筹资活动现金流出小计,"462,133,633.90","1,533,812,293.54","1,570,542,243.59","1,412,246,663.33","1,682,972,153.04","208,282,629.88","1,154,682,483.53","1,701,542,718.85","2,078,022,707.55","727,289,684.74","1,549,050,242.14","2,830,901,740.98","3,564,397,406.38","454,595,107.90","1,145,300,210.20","2,211,771,094.13","3,037,653,180.13","588,361,495.91","1,621,588,010.68","2,448,337,023.26","3,179,862,007.29","798,955,575.39","2,028,418,171.31","2,751,785,151.19","2,914,791,759.03","646,653,385.28","998,167,011.27","1,560,169,181.47","2,275,754,974.27","518,179,161.40","916,233,564.57","1,554,515,998.37","2,289,324,335.60"
处置固定资产、无形资产和其他长期资产收回的现金净额,"108,546.40","1,319,893.12","11,109,812.15","454,927.20","10,062,548.00","28,950.00","170,320.00","170,400.00","558,745.65","146,100.00","157,690.00","293,790.13","2,924,667.15","43,700.00","183,400.00","183,400.00","13,489,737.65","274,904.00","278,104.00","1,441,104.00","17,483,306.38","150,593.69","567,877.69","2,132,043.82","3,866,356.18","3,000.00","173,752.00","9,943,009.62","17,422,158.56","213,000.00","221,827.04","689,183.52","11,530,916.43"
筹资活动产生的现金流量净额,"417,352,700.98","72,651,375.82","-354,393,260.82","196,192,711.88","523,106,102.88","1,558,640,896.86","1,263,580,237.61","1,613,962,049.41","1,891,580,673.58","189,568,888.52","-129,430,885.52","-491,058,882.32","-305,880,003.22","374,320,179.13","73,376,103.87","-531,060,204.19","-444,241,534.00","284,280,165.34","220,767,019.71","16,829,249.07","194,952,567.52","140,691,233.35","-532,610,390.74","-945,167,243.33","-625,693,877.49","-186,928,385.28","-31,720,570.77","-48,401,704.97","166,455,346.46","338,010,838.60","93,560,435.43","-160,145,194.37","-452,010,291.64"
处置子公司及其他营业单位收到的现金净额,"2,722,411.43",,,,,,,,,,,,,,,,"1,005,565.02",,"3,450,199.74","6,060,199.74","10,122,399.74",,"-27,298.94","-27,298.94",,,,,,,,,
四、汇率变动对现金的影响,"-297,802.18","-685,507.59","894,520.99","122,469.02","52,672.04","403,212.64","479,199.28","1,027,735.57","-1,303,942.83","40,441.67","169,829.51","97,986.77","-470,641.99","1,032,302.89","2,200,509.67","2,628,233.67","-2,801,843.60","-189,946.88","-9,567.50","-63,000.61","777,181.89","261,025.24","-1,199,872.73","510,098.11","-1,279,199.71","-623,201.30","-1,880,225.04","-1,995,902.61","3,049,771.08","107,930.57","1,034,322.52","2,438,857.47","-7,295,407.96"
收到其他与投资活动有关的现金,"113,870.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"19,617,583.24","14,439,893.12","16,141,118.22","7,503,203.01","17,110,823.81","2,028,950.00","170,320.00","4,223,514.47","10,296,787.08","146,100.00","10,101,758.68","20,526,274.36","48,833,893.87","53,079,578.42","304,164,272.39","344,474,376.69","202,091,436.28","36,514,923.07","112,428,505.45","146,295,011.98","207,705,709.06","163,593,439.52","325,007,581.06","444,093,869.40","697,749,815.35","47,895,820.05","155,725,925.74","187,411,620.92","407,134,306.38","65,757,692.48","410,825,084.52","504,163,784.20","542,676,463.75"
五、现金及现金等价物净增加额,"55,602,238.57","66,617,330.48","-20,611,819.05","187,920,874.09","116,498,908.22","1,159,457,178.11","615,795,109.94","524,531,273.30","282,280,999.16","135,224,311.20","-46,120,901.99","-160,362,508.81","-34,441,306.01","-123,183,223.51","-278,304,924.72","-365,130,627.31","-123,495,292.13","-259,114,250.23","-253,247,099.02","-264,537,785.74","-191,116,363.93","92,687,190.31","295,362,084.84","124,846,761.53","391,028,760.39","-164,130,192.23","69,878,973.37","-165,750,794.37","-119,208,179.88","219,019,480.05","202,428,309.36","-41,878,799.32","104,329,126.36"
购建固定资产、无形资产和其他长期资产支付的现金,"25,455,603.43","29,437,088.47","70,325,816.52","52,932,790.79","60,452,589.76","5,456,099.03","12,256,882.15","28,017,264.21","59,219,284.33","17,746,551.30","41,340,707.38","85,307,593.60","150,316,582.60","11,253,437.71","59,233,748.11","102,921,642.16","185,440,002.35","33,068,000.71","72,418,208.86","82,394,721.45","179,114,442.97","23,011,332.40","40,223,214.59","49,970,802.93","93,733,740.50","8,030,918.41","59,785,272.49","65,009,037.38","109,046,325.21","5,505,530.32","8,140,942.16","41,631,529.33","72,452,857.03"
期初现金及现金等价物余额,"119,194,073.48","174,796,312.05","241,413,642.53","220,801,823.48","220,801,823.48","337,300,731.70","337,300,731.70","337,300,731.70","337,300,731.70","619,581,730.86","619,581,730.86","606,804,810.53","666,884,491.85","632,443,185.84","632,443,185.84","632,443,185.84","632,443,185.84","508,947,893.71","508,947,893.71","508,947,893.71","508,947,893.71","317,831,529.78","317,831,529.78","317,831,529.78","317,831,529.78","708,860,290.17","708,860,290.17","708,860,290.17","708,860,290.17","589,652,110.29","589,652,110.29","589,652,110.29","589,652,110.29"
投资支付的现金,"28,113,000.00","16,000,000.00","39,230,000.00",,,,,,"22,336,191.40","1,300,000.00","111,300,000.00","306,511,460.12","585,132,707.18","19,145,891.51","303,230,070.01","443,714,935.18","378,052,019.18","12,000,000.00","387,292,500.00","403,952,246.90","474,273,568.76","101,800,000.00","101,800,000.00","103,035,000.00","216,667,853.20",,"520,000.00","218,520,000.00","430,965,434.80","30,000,000.00","97,000,000.00","239,000,000.00","318,718,374.60"
期末现金及现金等价物余额,"174,796,312.05","241,413,642.53","220,801,823.48","408,722,697.57","337,300,731.70","1,496,757,909.81","953,095,841.64","861,832,005.00","619,581,730.86","754,806,042.06","573,460,828.87","446,442,301.72","632,443,185.84","509,259,962.33","354,138,261.12","267,312,558.53","508,947,893.71","249,833,643.48","255,700,794.69","244,410,107.97","317,831,529.78","410,518,720.09","613,193,614.62","442,678,291.31","708,860,290.17","544,730,097.94","778,739,263.54","543,109,495.80","589,652,110.29","808,671,590.34","792,080,419.65","547,773,310.97","693,981,236.65"
