科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
资产减值损失,"2,194,443.97","1,628,175.05","9,511,754.80","886,635.35","2,626,697.67","3,523,684.97",,"4,167,148.88","4,167,148.88","8,176,437.48",,"-3,771,134.98","-3,771,134.98","8,569,414.21",,"4,825,679.30","4,825,679.30","48,810,344.50","-17,608,433.24","-25,058,713.81","-24,017,634.55","-7,531,338.00","-54,828.83","2,933,073.82","5,798,258.51"
减:所得税,"12,598,800.91","16,263,920.75","18,690,351.35","8,862,324.24","12,071,626.99","17,947,696.44","3,403,497.61","8,893,408.99","11,348,866.78","12,739,175.37","3,832,204.39","7,250,164.45","9,311,469.52","11,560,957.02",,"-857,486.80","-857,486.80","-7,405,257.09",,,,"6,505,729.02",,,
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,"-972,400.00","1,470,588.31","1,118,076.67","1,289,598.05"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"15,093.75","-9,245.05","17,110.21","22,927.58","22,927.58","2,032,295.10",,"31,640.05","31,640.05","69,361.09",,"31,640.05","31,640.05","-581,372.21","-717,916.84","-1,230,114.51","-1,411,365.03","-911,666.66","-127,471.27","13,969,743.09","13,831,444.05","15,542,134.04","292,722.63","156,736.58","1,369,696.75"
四、净利润,"76,297,520.17","91,498,361.61","123,574,072.74","70,726,562.13","91,128,840.05","99,850,047.39","19,286,486.45","50,395,984.28","64,310,245.07","75,611,448.04","21,325,340.10","40,549,785.25","52,130,317.24","55,537,202.68","-16,835,255.12","-30,299,663.05","-60,431,470.66","-186,949,758.08","-7,994,848.28","2,327,353.34","10,334,673.17","7,306,598.02","22,051,592.37","27,522,929.34","5,985,992.30"
其中:对联营企业和合营企业的投资权益,,,,,,"2,009,367.52",,,,"37,721.04",,,,"-613,012.26",,"-1,261,754.56",,"-159,259.87",,,,"1,042,134.04",,,
归属于母公司所有者的净利润,"76,297,520.17","91,498,361.61","123,574,072.74","70,726,562.13","91,128,840.05","99,850,047.39","19,286,486.45","50,395,984.28","64,310,245.07","75,647,152.80","21,364,388.57","40,603,233.25","52,193,784.91","55,622,008.51","-16,762,773.31","-30,199,439.78","-60,304,615.17","-186,790,317.71","-7,985,514.40","2,336,687.22","10,344,007.05","7,306,598.02","22,051,592.37","27,522,929.34","5,985,992.30"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,"-35,704.76","-39,048.47","-53,448.00","-63,467.67","-84,805.83","-72,481.81","-100,223.27","-126,855.49","-159,440.37","-9,333.88","-9,333.88","-9,333.88",,,,
