科目,2013年度,2014年度,2015年度,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
取得投资收益收到的现金,,,,,,,"2,081,206.47","3,642,302.37","6,336,831.22","1,979,383.84","5,791,875.86"
筹资活动现金流出小计,"80,735,000.00","120,420,250.67","175,151,259.31","72,833,636.72","77,576,664.32",,"158,776,573.95","162,000,000.00","169,349,056.59","1,063,237.70","313,949,404.79"
处置固定资产、无形资产和其他长期资产收回的现金净额,"366,964.47","2,683,279.65","3,920,740.52","259,365.05","573,330.48","313,698.62","171,132.77","1,005,785.66","2,019,797.57","367,945.25","377,535.04"
筹资活动产生的现金流量净额,"-50,575,000.00","-52,220,250.67","-175,151,259.31","-72,833,636.72","1,092,023,335.68",,"-158,776,573.95","-162,000,000.00","-166,949,056.59","94,766,762.30","-313,949,404.79"
处置子公司及其他营业单位收到的现金净额,,"57,599,168.64",,,,,,,,,
四、汇率变动对现金的影响,,,"375,923.13","188,699.34","449,233.83","-38,277.01","-165,092.80","-304,514.51","-411,786.44","-249,726.06","83,538.98"
收到其他与投资活动有关的现金,,"50,000,000.00",,,,,,,"4,750,000.00",,
四(2)、其他原因对现金的影响,,,,,,,,0.01,,,
投资活动现金流入小计,"1,191,830.37","110,282,448.29","3,920,740.52","259,365.05","573,330.48","848,767.11","392,252,339.24","584,648,088.03","923,106,629.79","361,247,329.09","1,304,369,410.90"
五、现金及现金等价物净增加额,"-54,112,834.67","131,980,189.65","18,277,405.73","601,141,908.02","1,563,940,111.46","378,114,953.38","93,412,495.39","210,061,090.93","102,528,406.38","-198,799,998.30","-637,203,036.29"
购建固定资产、无形资产和其他长期资产支付的现金,"413,892,158.42","333,288,850.62","235,036,922.65","180,426,584.97","289,582,056.30","33,790,804.59","79,444,207.29","150,148,419.04","402,651,864.93","155,245,828.28","281,610,238.97"
期初现金及现金等价物余额,"1,095,721,528.70","1,041,608,694.03","1,173,588,883.68","1,191,866,289.41","1,191,866,289.41","2,755,806,400.87","2,755,806,400.87","2,755,806,400.87","2,755,806,400.87","2,858,334,807.25","2,858,334,807.25"
投资支付的现金,"1,400,000.00","44,000,000.00","350,000.00",,,,"520,000,000.00","770,000,000.00","1,031,600,000.00","857,460,491.92","1,586,698,644.34"
期末现金及现金等价物余额,"1,041,608,694.03","1,173,588,883.68","1,191,866,289.41","1,793,008,197.43","2,755,806,400.87","3,133,921,354.25","2,849,218,896.26","2,965,867,491.80","2,858,334,807.25","2,659,534,808.95","2,221,131,770.96"
