科目,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付给职工以及为职工支付的现金,"16,725,150.00","12,316,986.85","19,617,084.90","31,333,424.12","10,383,340.10","24,512,594.84","41,673,760.08","65,975,516.61","22,500,108.84","57,253,306.34","79,375,114.74","135,164,602.19","38,273,766.36","92,099,908.09","133,398,205.02","205,925,451.52","62,547,254.32","125,058,792.18","172,294,213.47","230,695,851.63","70,820,675.98","154,818,806.12","227,716,933.59","319,443,324.02","91,626,065.51","187,194,457.67","294,539,285.61","380,607,875.95","115,554,474.50","283,064,763.68","410,971,206.62","557,684,286.83","140,905,875.80","396,501,809.11","569,197,283.09","778,700,290.03","242,484,658.91","615,189,772.44","855,773,208.13","1,035,389,699.65","310,953,929.81","640,210,869.36","1,066,970,574.59","1,379,162,419.00","477,578,439.42"
取得借款收到的现金,"64,000,000.00","35,000,000.00","151,500,000.00","135,500,000.00","180,000,000.00","180,000,000.00","273,000,000.00","392,500,000.00","220,000,000.00","441,500,000.00","689,500,000.00","1,000,000,000.00","300,000,000.00","546,500,000.00","810,230,000.00","1,055,230,000.00","536,830,000.00","683,330,000.00","910,530,000.00","1,177,529,198.90","326,330,000.00","586,330,000.00","801,330,000.00","1,173,330,000.00","345,000,000.00","717,810,000.00","822,810,000.00","1,394,070,000.00",,"96,460,000.00","821,659,573.07","850,446,141.58","355,000,000.00","1,162,324,654.03","1,427,899,719.52","1,833,348,705.00","522,449,985.94","1,659,178,437.25","1,919,424,167.52","2,052,655,957.21","619,034,437.50","2,165,239,748.88","3,239,906,049.17","3,927,706,815.45","810,603,585.03"
支付的各项税费,"38,696,842.59","26,830,305.68","30,596,610.63","45,174,815.66","6,722,967.71","17,547,812.95","28,487,545.20","43,816,565.64","18,715,672.63","43,115,565.39","74,898,455.96","97,578,803.72","54,693,683.21","69,943,546.34","102,191,895.00","144,481,918.36","56,413,691.48","75,666,868.58","98,916,264.91","167,496,026.58","74,839,366.45","108,155,257.99","175,009,413.48","245,198,937.40","141,182,759.05","210,873,098.75","299,280,078.60","399,569,486.34","156,697,117.01","236,695,439.62","384,042,489.30","517,388,148.78","173,689,282.18","294,731,853.94","432,815,441.19","652,694,193.73","217,811,903.10","376,724,966.30","730,705,760.70","780,205,189.56","311,828,650.08","709,289,677.64","852,925,683.11","1,127,258,491.29","424,356,563.02"
收到其他与筹资活动有关的现金,,,"2,051,374.46",,,"3,300,000.00","3,300,000.00",,,,,,"15,728.33","3,700,000.00","3,700,000.00","4,585,594.75",,,"151,554.49","3,110,966.58",,,"4,003,577.81","9,400,098.71",,"6,496,523.54","6,496,523.54","21,786,951.71","1,920,149.78","39,237,832.85","16,523,688.93","23,150,585.37","427,079.96","316,810.40",,"3,583,853.65","1,342,587.32","17,098,184.78","24,357,283.43","54,106,405.89","3,476,213.23","19,354,364.46","586,475,640.00","1,333,198,307.62","45,976,510.57"
支付其他与经营活动有关的现金,"95,490,557.55","55,440,247.82","220,491,037.27","144,970,160.87","102,385,165.95","142,613,379.72","228,347,863.57","159,331,716.86","94,151,198.98","114,034,255.00","230,361,455.69","320,922,596.94","75,673,944.54","195,218,610.36","261,824,186.81","350,671,317.95","96,928,213.84","184,855,320.67","371,329,937.88","376,973,892.98","82,845,419.15","252,258,407.36","407,011,629.34","524,258,887.41","159,886,989.91","316,014,308.07","597,092,592.11","610,838,710.89","216,151,453.17","342,583,700.50","518,938,520.87","778,939,161.51","253,322,232.26","402,372,245.38","551,276,498.52","895,031,780.67","311,875,871.65","473,945,389.96","861,231,313.23","1,152,527,960.29","1,032,780,349.32","1,089,530,939.23","2,358,633,833.14","1,628,377,133.30","2,323,963,259.63"
筹资活动现金流入小计,"68,770,000.00","38,860,000.00","386,167,374.46","368,116,000.00","180,000,000.00","183,300,000.00","276,300,000.00","392,500,000.00","220,000,000.00","441,500,000.00","689,500,000.00","1,455,800,000.00","300,015,728.33","550,200,000.00","813,930,000.00","1,059,815,594.75","536,830,000.00","683,330,000.00","1,060,681,554.49","1,330,040,165.48","326,330,000.00","586,330,000.00","916,771,857.81","1,294,168,378.71","345,000,000.00","724,306,523.54","2,090,039,737.46","2,676,020,331.78","1,920,149.78","135,697,832.85","838,183,262.00","873,596,726.95","355,427,079.96","1,355,642,464.43","2,141,058,959.52","2,547,983,166.55","523,792,573.26","1,676,276,622.03","3,917,418,190.95","4,133,885,781.65","622,510,650.73","2,184,594,113.34","3,826,381,689.17","5,261,955,123.07","856,580,095.60"
经营活动现金流出小计,"500,097,289.28","388,374,447.42","669,731,590.52","855,792,130.59","209,051,910.78","440,271,301.81","698,346,195.93","1,011,300,200.04","411,994,626.39","979,668,019.91","1,604,833,688.01","2,369,007,476.11","642,118,115.11","1,390,176,393.04","2,009,218,329.64","3,070,455,510.36","740,346,397.46","1,413,633,958.22","2,306,215,851.37","3,003,899,252.86","795,408,134.78","1,860,291,869.95","3,063,266,509.03","4,130,765,452.62","1,198,965,861.05","2,545,713,883.82","3,752,802,354.80","5,106,067,568.27","1,428,734,357.64","2,579,730,123.87","3,599,965,493.81","5,518,464,888.88","1,570,093,098.05","3,334,511,944.09","4,843,052,483.68","7,492,964,036.39","2,402,857,240.04","5,549,340,906.53","7,828,311,738.75","11,795,460,798.07","3,733,045,912.85","6,058,968,494.40","10,289,363,693.04","12,714,983,901.62","6,806,373,027.63"
偿还债务支付的现金,"37,500,000.00","1,500,000.00","72,900,000.00","93,000,000.00","107,500,000.00","107,500,000.00","175,500,000.00","195,500,000.00","81,000,000.00","114,500,000.00","277,500,000.00","478,000,000.00","220,000,000.00","461,500,000.00","599,500,000.00","1,009,500,000.00","228,330,000.00","504,830,000.00","960,230,450.00","1,280,230,000.00","213,329,198.90","343,329,198.90","750,529,198.90","1,087,529,198.90","163,330,000.00","433,330,000.00","1,443,990,000.00","1,848,340,000.00","30,000,000.00","252,567,800.00","384,060,000.00","787,825,404.28","331,335,000.00","334,687,396.78","797,413,533.07","1,393,324,024.39","429,999,526.44","556,575,437.10","618,446,794.92","1,802,645,237.51","421,392,689.10","937,263,299.42","1,386,322,277.13","1,540,989,099.42","635,961,327.80"
经营活动产生的现金流量净额,"29,551,028.45","-9,819,263.64","-63,408,759.69","-111,316,247.05","-22,093,862.09","-9,103,063.50","1,439,148.67","-39,618,165.05","-149,163,484.24","-219,430,343.51","-277,100,480.56","-187,201,389.01","-158,820,391.82","-281,644,371.29","-166,971,018.95","-187,908,603.09","-215,850,770.43","5,454,204.01","78,266,330.62","383,825,845.26","-158,933,993.09","67,649,761.88","84,357,026.29","263,594,485.15","-142,926,349.99","-64,729,631.36","63,634,909.55","351,061,516.89","-80,268,928.57","51,119,539.52","76,227,278.28","421,316,930.38","180,015,471.66","-111,594,632.21","-26,158,356.42","590,415,049.41","-158,523,770.39","-795,429,642.49","-670,681,551.11","23,949,318.30","-870,849,122.90","-379,467,009.03","-530,684,128.00","1,013,946,629.91","-2,925,957,611.49"
分配股利、利润或偿还利息支付的现金,"2,992,364.09","1,374,986.25","5,333,536.50","11,156,313.96","1,298,685.00","19,829,846.32","22,657,008.01","27,157,692.14","4,098,468.75","33,974,678.59","43,849,662.68","54,092,289.42","12,144,245.05","71,755,531.23","86,619,460.75","104,775,618.39","15,830,966.13","38,074,347.65","74,576,842.31","97,438,601.71","11,964,805.25","92,323,299.85","121,039,963.91","136,879,141.39","12,041,561.66","98,183,464.20","114,989,773.31","126,613,658.67","4,916,868.56","97,310,039.37","104,991,650.30","119,704,796.31","11,661,697.56","97,783,919.19","111,083,648.88","138,874,071.81","12,250,387.45","155,020,737.41","175,008,350.92","220,783,766.01","14,060,071.83","171,896,750.14","221,691,043.36","270,642,320.51","53,867,192.94"
收回投资收到的现金,"33,825,180.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,831,842.00",,,,,,,,"150,000,000.00",
支付其他与筹资活动有关的现金,"9,542,257.65","3,173,861.87","38,084,933.17","30,222,051.35","163,500.00","2,186,533.09","15,400,066.71","26,454,227.47",,"30,865,005.14","35,939,801.78","5,324,687.16","165,106.99","4,311,051.67","4,311,051.67","1,405,244.49",,"6,224,029.85","2,298,256.54","19,848,421.64",,"36,886,612.77","24,892,939.33","25,031,124.70","600,067.98","14,749,567.45","16,617,381.99","33,800,410.12","973,713.76","1,511,220.38","130,964,076.16","104,272,915.00","148,566,195.95","231,069,308.97","213,104,532.86","185,981,230.57","40,443,331.66","20,342,807.60","26,428,814.32","60,293,266.33","15,800,531.33","27,521,788.67","134,825,806.29","538,820,057.43","7,823,247.89"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,"3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","4,500,000.00","4,500,000.00","4,500,000.00","4,500,000.00",,"3,000,000.00","3,000,000.00","3,000,000.00",,,,,,,,,,,,,
筹资活动现金流出小计,"50,034,621.74","6,048,848.12","116,318,469.67","134,378,365.31","108,962,185.00","129,516,379.41","213,557,074.72","249,111,919.61","85,098,468.75","179,339,683.73","357,289,464.46","537,416,976.58","232,309,352.04","537,566,582.90","690,430,512.42","1,115,680,862.88","244,160,966.13","549,128,377.50","1,037,105,548.85","1,397,517,023.35","225,294,004.15","472,539,111.52","896,462,102.14","1,249,439,464.99","175,971,629.64","546,263,031.65","1,575,597,155.30","2,008,754,068.79","35,890,582.32","351,389,059.75","620,015,726.46","1,011,803,115.59","491,562,893.51","663,540,624.94","1,121,601,714.81","1,718,179,326.77","482,693,245.55","731,938,982.11","819,883,960.16","2,083,722,269.85","451,253,292.26","1,136,681,838.23","1,742,839,126.78","2,350,451,477.36","697,651,768.63"
处置固定资产、无形资产和其他长期资产收回的现金净额,"194,000.00",,"150,100.00","148,109.47","95,000.00","310,072.00","310,072.00","458,940.40",,"198,718.38","239,272.38","1,121,981.96","96,000.00","1,494,441.67","1,494,441.66","1,611,803.06","55,000.00","291,389.97","287,389.97","374,406.00","97,000.00","1,285,935.90","1,650,258.92","1,758,242.39","475,203.56","896,908.03","964,508.03","489,201.19","15,330.00","973,672.96","951,652.60","1,832,416.25","58,150.24","221,154.81","3,990,460.10","5,505,109.71","82,931.00","3,917,831.80","5,043,049.66","2,300,503.20","1,944,182.00","1,589,638.26","8,564,387.33","18,985,701.58","497,662.84"
筹资活动产生的现金流量净额,"18,735,378.26","32,811,151.88","269,848,904.79","233,737,634.69","71,037,815.00","53,783,620.59","62,742,925.28","143,388,080.39","134,901,531.25","262,160,316.27","332,210,535.54","918,383,023.42","67,706,376.29","12,633,417.10","123,499,487.58","-55,865,268.13","292,669,033.87","134,201,622.50","23,576,005.64","-67,476,857.87","101,035,995.85","113,790,888.48","20,309,755.67","44,728,913.72","169,028,370.36","178,043,491.89","514,442,582.16","667,266,262.99","-33,970,432.54","-215,691,226.90","218,167,535.54","-138,206,388.64","-136,135,813.55","692,101,839.49","1,019,457,244.71","829,803,839.78","41,099,327.71","944,337,639.92","3,097,534,230.79","2,050,163,511.80","171,257,358.47","1,047,912,275.11","2,083,542,562.39","2,911,503,645.71","158,928,326.97"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"213,898,668.04","171,082,735.52","170,294,187.26","170,294,187.26","169,639,800.00",,,"2,902,879.75","554,984.10",
四、汇率变动对现金的影响,"-29,425.53","-10,741.87",,"-12,183.78",,,,"16,636.38",,"-4,283.25",,"-55,308.98",,"-92,471.43","-138,479.31","-173,336.42",,"-6,551.99","-7,422.33","-9,693.92","355,801.81","-97,601.23","-145,934.91","-163,304.21","4,424.19","165,665.01","-7,356.54","56,723.67",130.57,"3,670.37","476,769.92","4,240,730.72","59,515.27","6,166,475.44","2,331,914.23","8,726,542.63","635,909.60","6,965,888.31","5,506,636.34","-8,979,247.46","693,119.38","-4,041,094.38","8,391,020.69","-2,609,779.81","-1,737,041.95"
收到其他与投资活动有关的现金,"156,659.23","75,136.83","27,223.47","1,066,186.58",,"341,981.71","896,157.86","1,123,360.84",,"296,811.49","426,387.21","4,150,914.96",,"1,757,104.00","1,757,104.00","19,777,754.58",,"2,420,584.67","1,379,829.78","4,844,825.37",,"1,888,034.03","2,947,437.13","18,371,729.05",,"23,337,290.00","25,373,040.06","35,546,248.97",,"23,750,738.68","29,650,692.60","40,976,541.55","15,425,226.86","8,938,905.84","10,574,518.09","19,438,563.85","2,535,351.97","4,031,971.03","6,381,649.49","80,215,139.20","4,183,654.50","13,778,982.54","17,362,497.43","17,407,512.29","6,480,283.62"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"34,175,839.23","75,136.83","177,323.47","1,214,296.05","95,000.00","652,053.71","1,206,229.86","1,582,301.24",,"495,529.87","665,659.59","5,272,896.92","96,000.00","3,251,545.67","3,251,545.66","21,389,557.64","55,000.00","2,711,974.64","1,667,219.75","5,219,231.37","3,097,000.00","6,173,969.93","7,597,696.05","23,129,971.44","4,975,203.56","28,734,198.03","30,837,548.09","40,535,450.16","15,330.00","27,724,411.64","33,602,345.20","45,808,957.80","15,483,377.10","9,160,060.65","14,564,978.19","247,674,183.60","173,701,018.49","178,243,990.09","181,718,886.41","252,155,442.40","6,127,836.50","15,368,620.80","28,829,764.51","186,948,197.97","6,977,946.46"
五、现金及现金等价物净增加额,"43,209,152.57","-28,283,595.38","149,332,151.43","50,336,905.01","34,365,337.52","7,366,887.90","11,002,462.37","19,269,465.29","-27,490,303.24","16,680,045.25","12,483,439.12","595,622,785.31","-183,483,484.15","-395,108,150.86","-192,138,504.73","-427,339,319.51","-6,804,367.62","11,480,827.88","-75,550,101.61","27,512,445.64","-92,377,705.54","61,855,054.69","-69,750,776.62","-34,730,110.99","-36,711,434.67","-39,454,647.98","265,232,924.77","522,964,861.12","-213,675,792.04","-415,321,523.02","-120,181,951.20","-307,552,912.42","-16,182,065.06","356,018,524.85","560,681,026.09","939,648,599.03","-191,943,990.71","-259,647,559.55","1,624,826,502.91","858,672,558.63","-1,020,502,956.51","11,841,135.09","301,567,447.16","2,337,812,961.03","-3,485,976,567.54"
购建固定资产、无形资产和其他长期资产支付的现金,"23,885,887.84","51,339,878.58","57,285,317.14","63,286,594.90","14,673,615.39","37,965,722.90","54,385,841.44","82,699,387.67","13,228,350.25","26,541,174.13","36,792,275.45","115,075,703.84","92,465,468.62","109,396,630.91","151,780,039.71","188,882,429.51","50,677,631.06","97,880,421.28","146,052,235.29","261,046,079.20","37,932,510.11","125,661,964.37","181,869,319.72","366,020,177.09","67,793,082.79","181,668,371.55","343,674,758.49","535,289,762.55","99,451,891.50","276,444,348.59","439,854,797.55","627,819,906.63","75,604,615.54","237,843,279.14","447,542,815.24","707,779,608.28","248,856,476.12","401,343,761.40","796,830,025.54","1,107,904,466.41","327,732,147.96","667,931,657.41","1,288,202,332.92","1,742,773,372.19","720,388,187.53"
期初现金及现金等价物余额,"5,892,979.09","49,102,131.66","49,102,131.66","49,102,131.66","113,113,137.90","99,439,036.67","99,439,036.67","99,439,036.67","158,528,819.87","118,708,501.96","118,708,501.96","118,708,501.96","714,331,287.27","714,331,287.27","714,331,287.27","714,331,287.27","286,991,967.76","286,991,967.76","286,991,967.76","286,991,967.76","314,504,413.40","314,504,413.40","314,504,413.40","314,504,413.40","279,774,302.41","279,774,302.41","279,774,302.41","279,774,302.41","802,739,163.53","802,739,163.53","802,739,163.53","802,739,163.53","495,186,251.11","496,518,159.16","497,022,225.64","495,186,251.11","1,434,834,850.14","1,434,834,850.14","1,434,834,850.14","1,434,834,850.14","2,293,507,408.77","2,293,507,408.77","2,293,507,408.77","2,293,507,408.77","4,631,320,369.80"
投资支付的现金,"15,337,780.00",,,"10,000,000.00",,,,,,,"6,500,000.00",,,"19,859,640.00",,,"33,000,000.00","33,000,000.00","33,000,000.00","33,000,000.00",,,,,,,,,,,,,,,,"22,331,842.00",,"192,000,000.00","192,000,000.00","193,320,000.00",,,,"6,300,000.00","3,800,000.00"
期末现金及现金等价物余额,"49,102,131.66","20,818,536.28","198,434,283.09","99,439,036.67","147,478,475.42","106,805,924.57","110,441,499.04","118,708,501.96","131,038,516.63","135,388,547.21","131,191,941.08","714,331,287.27","530,847,803.12","319,223,136.41","522,192,782.54","286,991,967.76","280,187,600.14","298,472,795.64","211,441,866.15","314,504,413.40","222,126,707.86","376,359,468.09","244,753,636.78","279,774,302.41","243,062,867.74","240,319,654.43","545,007,227.18","802,739,163.53","589,063,371.49","387,417,640.51","682,557,212.33","495,186,251.11","479,004,186.05","852,536,684.01","1,057,703,251.73","1,434,834,850.14","1,242,890,859.43","1,175,187,290.59","3,059,661,353.05","2,293,507,408.77","1,273,004,452.26","2,305,348,543.86","2,595,074,855.93","4,631,320,369.80","1,145,343,802.26"
