科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
支付给职工以及为职工支付的现金,"48,397,541.38","64,788,763.65","68,801,064.80","59,989,678.92","79,493,725.86","22,569,169.88","45,447,054.66","77,387,136.22","110,606,949.15","27,434,835.98","58,271,150.05","92,850,475.10","130,544,419.04","35,791,107.74","79,129,691.94","137,722,362.20"
取得借款收到的现金,"197,520,000.00","268,960,000.00","396,660,000.00","311,260,000.00","385,460,000.00","168,000,000.00","204,550,000.00","349,050,000.00","454,216,782.51","316,200,000.00","593,510,000.00","680,410,000.00","920,590,000.00","214,950,000.00","992,120,000.00","1,124,600,000.00"
支付的各项税费,"55,757,211.10","89,858,206.57","82,126,963.17","47,302,745.28","68,577,774.55","13,004,738.09","39,574,698.96","63,828,689.40","80,570,617.68","15,493,827.27","33,174,620.18","48,052,342.04","60,721,579.94","31,034,431.78","61,737,019.35","92,259,835.69"
收到其他与筹资活动有关的现金,,"209,594.38","84,834,795.47","240,848,133.66","378,511,773.32","109,221,463.76","198,204,590.61","216,992,117.50","428,092,826.70","25,796,944.35","108,100,000.00","108,100,000.00","217,237,822.08","270,682,330.00","281,223,247.78","558,026,112.06"
支付其他与经营活动有关的现金,"71,992,452.36","76,805,125.71","72,933,364.46","64,026,191.26","108,468,555.40","38,178,883.94","49,193,947.81","73,130,296.31","58,470,058.62","3,255,627.28","31,107,447.50","52,682,170.98","103,207,689.43","13,786,519.82","92,075,201.31","111,994,887.34"
筹资活动现金流入小计,"197,520,000.00","269,169,594.38","483,094,795.47","552,108,133.66","763,971,773.32","726,101,463.76","851,634,590.61","1,015,422,117.50","1,331,689,609.21","341,996,944.35","701,610,000.00","788,510,000.00","1,176,627,822.08","519,332,330.00","1,307,043,247.78","1,716,326,112.06"
经营活动现金流出小计,"631,840,594.77","723,780,480.71","704,563,942.09","527,364,641.84","706,013,688.49","163,450,025.78","298,948,381.95","531,488,852.50","703,736,956.20","187,409,611.91","379,656,716.55","578,190,770.69","865,675,792.11","254,563,938.78","366,967,676.02","770,115,096.51"
偿还债务支付的现金,"140,595,000.00","221,845,000.00","281,060,000.00","290,260,000.00","393,980,000.00","70,000,000.00","218,040,000.00","352,040,000.00","444,206,782.51","127,650,000.00","226,460,000.00","351,360,000.00","578,560,000.00","395,050,384.99","558,786,600.78","626,356,541.58"
经营活动产生的现金流量净额,"33,301,005.54","23,514,803.15","-47,276,330.37","-98,061,688.24","-118,954,120.83","-18,880,275.13","-23,858,605.00","-52,372,959.83","56,077,731.17","-13,918,853.17","-42,104,902.00","11,279,610.15","125,118,623.62","10,612,168.77","209,765,974.90","144,462,451.96"
分配股利、利润或偿还利息支付的现金,"10,366,875.53","13,566,199.29","36,433,905.64","38,796,739.03","48,908,058.18","6,162,902.24","31,626,599.27","36,905,415.12","45,205,180.30","5,697,676.41","51,120,426.61","60,799,196.96","71,501,340.27","10,996,013.47","51,539,595.24","68,330,924.14"
收回投资收到的现金,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"151,777.00","1,306,600.00","7,822,271.58","134,970,053.71","239,951,120.22","72,175,261.15","231,597,430.15","233,544,353.70","460,665,600.16","141,989,943.52","176,493,049.55","136,370,220.79","252,846,220.79","40,907,534.21","179,150,000.00","207,102,330.00"
取得投资收益收到的现金,,,,,,,,,,,,,,"2,484,000.00","2,484,000.00","2,484,000.00"
筹资活动现金流出小计,"151,113,652.53","236,717,799.29","325,316,177.22","464,026,792.74","682,839,178.40","148,338,163.39","481,264,029.42","622,489,768.82","950,077,562.97","275,337,619.93","454,073,476.16","548,529,417.75","902,907,561.06","446,953,932.67","789,476,196.02","901,789,795.72"
处置固定资产、无形资产和其他长期资产收回的现金净额,"80,000.00",,"16,004,295.90","1,653,600.00","1,703,600.00","148,682.00","167,082.00","215,832.00","556,271.00",,"92,928.00","95,733.00","200,533.00",,"13,000.00","70,000.00"
筹资活动产生的现金流量净额,"46,406,347.47","32,451,795.09","157,778,618.25","88,081,340.92","81,132,594.92","577,763,300.37","370,370,561.19","392,932,348.68","381,612,046.24","66,659,324.42","247,536,523.84","239,980,582.25","273,720,261.02","72,378,397.33","517,567,051.76","814,536,316.34"
处置子公司及其他营业单位收到的现金净额,,,,"9,728,405.72","9,728,405.72",,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,"-688,658.09","-307,887.15","-1,320,823.78"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,
投资活动现金流入小计,"80,000.00",,"16,004,295.90","11,382,005.72","11,432,005.72","148,682.00","167,082.00","215,832.00","556,271.00",,"92,928.00","95,733.00","200,533.00","2,484,000.00","2,497,000.00","2,554,000.00"
五、现金及现金等价物净增加额,"26,234,975.22","22,743,662.18","24,548,644.26","-36,570,504.66","-68,859,362.25","552,105,340.49","321,956,350.50","246,793,176.40","235,741,546.73","-17,260,598.79","-137,597,178.22","-143,517,758.52","-77,529,408.35","-41,897,750.20","-793,390.98","113,337,539.63"
购建固定资产、无形资产和其他长期资产支付的现金,"53,552,377.79","32,822,822.24","101,957,939.52","37,972,163.06","42,469,842.06","6,926,366.75","14,501,905.75","38,929,262.51","148,651,719.74","70,001,070.04","111,862,481.97","163,614,437.83","245,743,024.29","100,883,658.20","182,424,738.98","282,954,284.88"
期初现金及现金等价物余额,"32,393,187.51","58,628,162.73","81,371,824.91","105,920,469.17","105,920,469.17","37,061,106.92","37,061,106.92","37,061,106.92","37,061,106.92","272,802,653.65","272,802,653.65","272,802,653.65","272,802,653.65","195,273,245.30","195,273,245.30","211,322,573.80"
投资支付的现金,,,,,,,"10,220,781.94","55,052,781.94","43,632,000.00",,"231,259,246.09","231,259,246.09",,"25,800,000.01",,"563,800,000.01"
期末现金及现金等价物余额,"58,628,162.73","81,371,824.91","105,920,469.17","69,349,964.51","37,061,106.92","589,166,447.41","359,017,457.42","283,854,283.32","272,802,653.65","255,542,054.86","135,205,475.43","129,284,895.13","195,273,245.30","153,375,495.10","194,479,854.32","324,660,113.43"
